minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
20.647,29.977,3.65,5.42,23.77,1.322,25.312,40.45,26.594
20.936,31.442,4.37,6.27,23.17,3.128,26.189,62.435,20.152
20.947,32.018,4.99,6.86,24.894,0.353,26.476,0.353,21.594
24.512,34.694,5.45,6.88,29.547,1.0,29.553,1.353,30.294
26.6,37.618,6.07,7.22,31.047,1.965,32.065,12.457,40.293
27.488,37.788,5.92,6.77,28.347,2.249,32.589,18.408,62.653
25.623,35.335,5.51,6.3,27.635,5.355,30.523,131.688,76.3
24.888,34.3,5.29,6.23,28.159,6.047,29.6,162.222,67.652
24.788,34.165,5.07,6.16,29.047,6.592,29.476,120.167,58.941
23.724,31.9,4.18,5.46,28.536,5.479,27.812,198.434,54.093
21.724,29.189,3.39,4.86,25.682,10.302,25.411,304.773,46.441
19.871,27.812,3.14,4.79,23.759,5.605,23.835,382.866,36.593
19.171,28.489,3.52,5.35,22.47,2.045,23.823,31.613,26.594
18.923,29.429,4.16,6.13,21.959,2.045,24.176,15.289,20.152
21.447,32.518,5.05,6.83,25.47,0.024,26.977,0.023,21.594
24.824,35.006,5.47,6.89,29.547,1.0,29.864,2.571,30.294
27.188,38.206,6.13,7.25,31.047,2.001,32.653,15.495,40.293
27.188,37.489,5.89,6.77,28.359,2.183,32.288,21.186,62.653
26.0,35.712,5.55,6.3,27.635,5.614,30.812,89.26,76.3
24.976,34.388,5.3,6.25,28.159,7.685,29.688,139.28,67.652
24.3,33.677,5.01,6.17,29.047,7.516,28.988,163.452,58.941
22.824,31.0,4.1,5.41,28.435,10.3,26.911,432.433,54.093
21.835,29.3,3.41,4.82,25.282,8.69,25.524,206.519,46.441
20.647,28.588,3.2,4.8,23.87,7.622,24.611,193.977,36.593
19.959,29.277,3.59,5.36,22.47,1.902,24.611,60.546,26.594
20.535,31.042,4.32,6.22,23.17,1.502,25.789,13.373,20.152
21.435,32.418,5.02,6.85,25.47,0.0,26.876,0.0,21.594
24.424,34.606,5.43,6.93,29.547,0.0,29.464,0.0,30.294
24.923,36.03,5.9,7.23,29.958,4.435,30.477,165.018,40.293
25.912,36.212,5.74,6.67,28.347,3.326,31.011,52.657,62.653
25.124,34.835,5.46,6.24,27.635,6.117,30.024,102.674,76.3
24.6,34.011,5.26,6.23,28.159,7.393,29.3,163.47,67.652
23.7,33.077,4.94,6.12,29.047,7.596,28.388,289.82,58.941
23.236,31.411,4.13,5.42,28.447,6.375,27.324,192.455,54.093
21.347,28.811,3.36,4.83,24.794,13.695,25.035,490.54,46.441
20.059,28.0,3.16,4.79,23.87,6.703,24.024,466.346,36.593
19.358,28.676,3.53,5.37,22.27,1.769,24.012,30.51,26.594
18.935,29.441,4.16,6.14,21.959,0.0,24.188,0.0,20.152
21.223,32.206,4.99,6.79,24.57,0.0,26.665,0.0,21.594
25.023,35.206,5.49,6.93,29.547,0.0,30.065,0.0,30.294
25.423,36.529,5.95,7.23,29.335,3.105,30.976,40.575,40.293
27.0,37.3,5.87,6.72,28.347,2.279,32.1,14.577,62.653
25.5,35.211,5.5,6.27,27.635,6.301,30.311,151.738,76.3
25.477,34.889,5.36,6.24,28.159,4.504,30.176,64.338,67.652
25.288,34.665,5.11,6.21,29.047,4.001,29.977,96.402,58.941
23.523,31.7,4.16,5.46,28.435,6.365,27.611,134.355,54.093
21.947,29.412,3.41,4.86,25.294,2.204,25.635,10.692,46.441
20.247,28.188,3.18,4.83,23.87,4.0,24.211,68.305,36.593
18.258,27.576,3.44,5.31,22.47,1.08,22.912,23.1,26.594
20.035,30.541,4.28,6.13,22.482,1.377,25.288,39.407,20.152
22.335,33.318,5.12,6.89,25.358,1.044,27.777,22.514,21.594
24.223,34.406,5.4,6.93,27.982,2.315,29.265,30.526,30.294
25.8,36.818,5.96,7.17,30.258,2.739,31.265,9.865,40.293
27.876,38.176,5.97,6.71,28.924,2.245,32.977,43.271,62.653
27.123,36.835,5.68,6.37,28.247,4.325,32.023,59.71,76.3
25.288,34.7,5.34,6.27,28.159,7.804,29.989,173.428,67.652
25.688,35.065,5.16,6.22,30.071,5.064,30.377,60.562,58.941
23.236,31.411,4.13,5.46,28.435,9.671,27.324,402.585,54.093
22.136,29.6,3.43,4.86,25.682,5.505,25.824,206.647,46.441
19.871,27.812,3.14,4.79,23.87,1.369,23.835,8.495,36.593
19.758,29.076,3.57,5.32,22.458,2.023,24.412,39.448,26.594
21.223,31.729,4.39,6.25,23.17,2.162,26.476,40.595,20.152
20.747,31.729,4.95,6.82,24.094,1.09,26.189,27.133,21.594
25.312,35.495,5.53,6.88,29.547,0.0,30.353,0.0,30.294
27.377,38.394,6.15,7.29,31.047,1.0,32.841,4.223,40.293
26.312,36.612,5.78,6.72,28.347,4.112,31.411,61.342,62.653
26.111,35.823,5.57,6.3,27.635,6.232,30.923,109.492,76.3
24.188,33.6,5.21,6.21,28.07,7.82,28.889,168.051,67.652
24.512,33.888,5.04,6.13,29.047,7.276,29.2,186.644,58.941
23.612,31.788,4.17,5.44,28.524,6.135,27.7,92.509,54.093
21.923,29.388,3.41,4.86,25.682,6.759,25.612,136.345,46.441
