minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover,district
19.638,27.564,3.47,4.88,21.958,2.105,23.588,22.599,33.263000000000005,cluster_2
20.502,28.525,3.87,5.26,22.483,2.347,24.499,63.542,31.329,cluster_2
20.628,28.366,4.09,5.48,23.84,3.193,24.471,39.364,33.098,cluster_2
22.148000000000003,29.16800000000001,4.16,5.24,26.369,4.597,25.656,130.115,46.483,cluster_2
22.279,28.406,3.84,4.81,27.031,4.4460000000000015,25.304,101.517,55.294,cluster_2
21.639,27.06,3.5,4.25,26.39,7.83,24.335,191.477,68.44,cluster_2
20.978,26.424,3.47,4.22,25.664,5.0939999999999985,23.678,34.265,68.969,cluster_2
21.059,26.563,3.52,4.37,25.259,2.52,23.801,78.65100000000002,63.101000000000006,cluster_2
20.963,26.769,3.56,4.49,25.308000000000003,5.789,23.843000000000004,106.747,58.87600000000001,cluster_2
20.757,26.834,3.43,4.35,25.546,5.9620000000000015,23.774,122.715,58.87600000000001,cluster_2
20.299,26.645,3.19,4.21,24.937,11.712,23.448,224.397,53.265,cluster_2
19.576,26.538,3.12,4.37,22.493,4.0360000000000005,23.013,15.448,42.597,cluster_2
18.575,26.504,3.37,4.82,21.341,2.316,22.527,93.141,33.263000000000005,cluster_2
19.676,27.725,3.8,5.2,22.377,1.034,23.701,3.26,31.329,cluster_2
21.36,29.095,4.17,5.49,24.179,3.119,25.201,59.273,33.098,cluster_2
22.311,29.304,4.17,5.24,26.369,3.302,25.81900000000001,46.622,46.483,cluster_2
22.842,28.969,3.9,4.82,27.015,3.167,25.867,74.15100000000002,55.294,cluster_2
22.149,27.57,3.55,4.3,26.432,6.573,24.846,171.85,68.44,cluster_2
20.922,26.368,3.47,4.21,25.622,6.035,23.621,40.9,68.969,cluster_2
21.582,27.083,3.57,4.38,25.885,3.4360000000000004,24.32,60.045,63.101000000000006,cluster_2
21.097,26.904,3.57,4.52,25.308000000000003,5.154,23.975,61.5,58.87600000000001,cluster_2
20.6,26.675,3.4,4.35,25.546,10.573,23.616,345.395,58.87600000000001,cluster_2
20.09,26.41,3.17,4.19,24.937,7.73,23.24,181.37,53.265,cluster_2
19.834,26.797,3.14,4.33,23.496,4.125,23.27,100.165,42.597,cluster_2
