minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
20.761,30.867,3.97,5.67,21.955,1.244,25.787,21.577,31.088
21.52,31.815,4.48,6.2,22.862,2.821,26.645,14.317,28.502
22.209,32.167,4.84,6.54,24.524,2.251,27.172,31.208,30.645
24.039,33.322,5.07,6.45,27.152,4.4,28.646,152.602,43.396
23.519,31.839,4.74,6.05,28.16,6.528,27.652,215.752,53.396
22.707,29.717,4.19,5.14,27.919,19.509,26.195,524.981,73.198
22.464,29.171,4.07,4.91,27.339,14.336,25.794,357.626,78.635
22.649,29.268,4.06,5.0,27.22,9.995,25.953,198.971,72.273
22.707,29.992,4.17,5.24,26.973,13.01,26.309,295.498,64.404
22.277,29.97,3.98,5.14,26.851,8.651,26.104,156.861,61.163
21.309,29.309,3.62,4.94,25.706,8.934,25.284,235.226,53.263
19.797,28.81,3.53,5.09,22.287,3.085,24.286,38.231,41.088
19.582,29.686,3.87,5.6,21.77,2.101,24.607,34.256,31.088
20.285,30.58,4.34,6.09,22.549,1.771,25.409,6.98,28.502
22.656,32.617,4.9,6.52,25.164,2.624,27.637,80.285,30.645
24.108,33.391,5.08,6.46,27.124,3.935,28.716,78.62,43.396
24.127,32.432,4.79,6.07,28.13,6.725,28.253,200.446,53.396
23.311,30.304,4.24,5.21,27.919,16.194,26.783,459.06,73.198
22.205,28.914,4.04,4.89,27.316,21.621,25.536,850.572,78.635
23.238,29.844,4.11,5.02,28.303,12.16,26.531,267.312,72.273
22.08,29.398,4.12,5.25,26.973,8.643,25.716,204.457,64.404
21.944,29.657,3.97,5.1,26.844,14.625,25.793,425.638,61.163
21.516,29.517,3.63,4.93,25.501,5.361,25.491,120.381,53.263
20.741,29.744,3.61,5.1,23.342,4.196,25.221,153.379,41.088
20.546,30.667,3.98,5.64,21.932,0.883,25.586,3.118,31.088
21.089,31.384,4.44,6.16,22.992,1.581,26.213,2.788,28.502
22.86,32.818,4.93,6.55,24.582,0.253,27.838,0.253,30.645
24.162,33.431,5.09,6.47,27.323,3.403,28.756,49.311,43.396
23.588,31.894,4.74,6.03,28.143,8.499,27.708,373.38,53.396
23.164,30.173,4.22,5.18,27.919,15.314,26.653,439.518,73.198
21.969,28.68,4.03,4.9,27.339,18.184,25.301,610.499,78.635
22.428,29.017,4.04,4.98,27.22,19.623,25.704,372.362,72.273
21.837,29.146,4.12,5.23,26.973,12.948,25.463,290.835,64.404
21.793,29.487,3.94,5.11,26.865,11.888,25.623,212.912,61.163
20.682,28.682,3.56,4.93,24.736,8.811,24.657,236.203,53.263
19.373,28.363,3.48,5.06,22.007,3.561,23.838,69.335,41.088
18.947,29.052,3.8,5.59,20.661,1.667,23.973,54.966,31.088
19.731,30.025,4.29,6.08,21.829,0.265,24.856,0.279,28.502
21.672,31.634,4.81,6.47,23.844,0.645,26.655,0.682,30.645
23.563,32.848,5.01,6.45,27.253,3.948,28.172,33.862,43.396
22.926,31.245,4.68,6.04,27.1,7.464,27.06,200.417,53.396
21.701,28.71,4.09,5.11,26.503,19.531,25.188,539.214,73.198
21.393,28.101,3.96,4.84,27.328,18.258,24.725,434.281,78.635
22.437,29.027,4.03,4.95,27.152,12.306,25.713,188.162,72.273
22.359,29.666,4.15,5.24,26.973,7.463,25.984,130.279,64.404
22.254,29.947,3.98,5.13,26.865,10.019,26.081,238.336,61.163
21.007,29.007,3.59,4.94,25.349,1.565,24.983,13.088,53.263
19.956,28.945,3.54,5.09,23.342,1.875,24.421,7.767,41.088
19.642,29.777,3.89,5.6,21.858,0.737,24.7,0.749,31.088
20.869,31.165,4.4,6.13,22.898,1.193,25.992,31.131,28.502
22.389,32.336,4.86,6.53,24.559,1.824,27.37,2.984,30.645
23.344,32.615,5.0,6.44,26.705,4.59,27.976,103.697,43.396
23.548,31.853,4.74,6.02,28.174,7.631,27.667,170.114,53.396
22.976,29.956,4.2,5.16,27.931,18.689,26.435,654.416,73.198
22.609,29.317,4.08,4.93,28.433,11.917,25.939,302.605,78.635
22.679,29.298,4.06,5.0,27.22,16.349,25.985,200.862,72.273
22.63,29.95,4.19,5.26,27.003,7.891,26.267,131.109,64.404
22.13,29.821,3.97,5.11,26.844,12.421,25.958,305.663,61.163
21.701,29.702,3.66,4.94,25.706,5.063,25.676,75.385,53.263
19.867,28.879,3.54,5.09,22.097,0.482,24.356,0.482,41.088
20.428,30.534,3.95,5.62,21.955,1.727,25.453,15.915,31.088
21.056,31.352,4.44,6.18,22.639,1.195,26.18,13.27,28.502
22.247,32.195,4.86,6.49,24.97,2.354,27.216,21.439,30.645
24.812,34.11,5.15,6.48,27.323,3.041,29.436,37.028,43.396
24.299,32.604,4.81,6.1,28.196,5.8,28.432,125.253,53.396
22.662,29.671,4.17,5.17,27.919,18.381,26.148,439.81,73.198
21.824,28.547,4.02,4.89,27.339,17.27,25.171,460.175,78.635
22.31,28.9,4.01,4.96,27.22,19.889,25.585,645.982,72.273
21.886,29.172,4.11,5.21,26.973,8.126,25.489,98.831,64.404
22.1,29.791,3.96,5.1,26.844,11.175,25.928,213.733,61.163
21.374,29.375,3.63,4.94,25.706,6.172,25.348,128.326,53.263
20.181,29.17,3.55,5.1,22.716,3.957,24.647,48.874,41.088
19.485,29.589,3.87,5.59,21.896,1.246,24.51,5.753,31.088
20.685,30.979,4.38,6.12,23.229,1.12,25.809,3.629,28.502
22.241,32.2,4.86,6.54,25.164,3.161,27.22,56.285,30.645
22.985,32.269,4.96,6.41,26.504,6.706,27.592,206.135,43.396
23.463,31.782,4.72,6.03,28.107,5.479,27.596,119.039,53.396
22.583,29.598,4.17,5.17,27.925,23.45,26.077,535.02,73.198
21.992,28.702,4.03,4.91,27.286,15.457,25.324,527.858,78.635
21.559,28.148,3.95,4.93,26.887,15.475,24.85,437.173,72.273
22.352,29.659,4.15,5.22,26.987,11.742,25.977,183.115,64.404
22.291,29.984,3.98,5.11,26.844,11.721,26.132,200.944,61.163
21.419,29.419,3.63,4.94,25.706,6.266,25.393,197.993,53.263
20.181,29.193,3.56,5.1,22.694,3.18,24.67,48.835,41.088
19.828,29.963,3.9,5.63,21.896,1.223,24.886,5.169,31.088
20.416,30.713,4.35,6.13,22.481,1.777,25.54,72.073,28.502
21.836,31.783,4.82,6.47,24.056,2.921,26.804,74.313,30.645
24.021,33.321,5.08,6.46,27.323,4.415,28.645,82.738,43.396
23.259,31.564,4.7,6.04,28.107,8.068,27.378,149.083,53.396
22.615,29.624,4.17,5.17,27.925,10.654,26.101,433.615,73.198
21.11,27.833,3.96,4.86,26.157,15.418,24.457,479.764,78.635
22.159,28.764,4.01,4.95,27.22,12.852,25.45,156.966,72.273
22.243,29.538,4.14,5.23,26.973,9.915,25.857,163.919,64.404
22.291,29.984,3.98,5.13,26.877,11.862,26.132,368.713,61.163
20.97,28.972,3.59,4.94,24.749,3.084,24.946,17.781,53.263
19.814,28.803,3.53,5.09,21.965,1.15,24.28,1.62,41.088
19.428,29.532,3.86,5.59,21.337,2.41,24.455,45.901,31.088
20.509,30.804,4.36,6.1,23.229,1.548,25.634,21.809,28.502
22.533,32.493,4.9,6.53,25.164,0.748,27.499,3.495,30.645
23.426,32.695,5.01,6.45,26.905,6.611,28.033,133.394,43.396
23.181,31.484,4.69,6.02,28.107,11.4,27.307,350.123,53.396
22.607,29.615,4.16,5.17,27.852,17.154,26.093,438.862,73.198
21.434,28.143,3.98,4.86,26.454,14.258,24.767,394.182,78.635
22.25,28.841,4.01,4.95,27.171,17.314,25.526,463.347,72.273
21.911,29.197,4.11,5.2,26.571,7.277,25.514,162.558,64.404
22.213,29.905,3.98,5.11,26.863,10.64,26.04,226.731,61.163
21.454,29.458,3.64,4.94,25.159,5.803,25.429,84.927,53.263
20.455,29.46,3.57,5.12,22.879,1.386,24.935,16.152,41.088
19.807,29.942,3.89,5.63,21.955,1.027,24.865,7.247,31.088
20.422,30.716,4.35,6.12,22.924,1.819,25.546,65.616,28.502
22.334,32.281,4.86,6.5,24.298,0.604,27.286,0.604,30.645
23.746,33.029,5.04,6.45,27.323,4.229,28.353,57.615,43.396
23.794,32.099,4.76,6.07,28.16,6.205,27.914,87.235,53.396
22.403,29.387,4.14,5.15,27.961,16.694,25.866,290.799,73.198
22.034,28.758,4.03,4.89,27.241,19.051,25.381,715.297,78.635
21.908,28.499,3.98,4.95,27.182,23.749,25.185,573.36,72.273
21.623,28.909,4.09,5.2,26.973,7.606,25.225,106.418,64.404
21.707,29.398,3.91,5.09,26.865,13.541,25.534,326.302,61.163
20.855,28.853,3.58,4.92,25.519,7.773,24.83,185.574,53.263
19.56,28.573,3.5,5.07,22.009,0.482,24.049,0.482,41.088
19.68,29.815,3.89,5.63,21.896,1.055,24.738,1.537,31.088
19.477,29.772,4.27,6.08,21.84,1.193,24.601,25.802,28.502
22.156,32.118,4.86,6.47,25.164,2.784,27.123,20.584,30.645
23.754,33.052,5.05,6.45,27.281,5.249,28.376,65.207,43.396
23.339,31.66,4.71,6.05,28.13,6.644,27.488,165.612,53.396
22.351,29.328,4.14,5.14,27.685,25.998,25.809,1165.135,73.198
21.567,28.291,3.99,4.86,27.339,22.512,24.913,726.281,78.635
22.393,28.983,4.02,4.95,27.22,8.057,25.67,66.443,72.273
22.817,30.125,4.19,5.25,26.973,7.503,26.443,111.222,64.404
22.088,29.78,3.96,5.11,26.851,11.268,25.916,241.246,61.163
21.741,29.741,3.66,4.94,25.706,7.271,25.717,170.026,53.263
20.437,29.451,3.57,5.13,23.342,3.549,24.927,61.317,41.088
19.091,29.209,3.84,5.59,21.193,0.566,24.13,0.672,31.088
21.313,31.607,4.46,6.12,23.229,1.117,26.437,2.188,28.502
22.853,32.811,4.93,6.55,25.199,2.373,27.831,18.125,30.645
24.185,33.454,5.09,6.46,27.23,2.841,28.779,75.78,43.396
24.261,32.566,4.81,6.09,28.107,4.603,28.381,162.375,53.396
22.533,29.51,4.15,5.16,27.919,19.341,26.02,826.376,73.198
21.944,28.653,4.03,4.89,27.339,13.351,25.275,432.006,78.635
22.245,28.863,4.02,4.95,27.19,13.227,25.551,170.448,72.273
22.505,29.79,4.16,5.24,26.973,9.695,26.107,242.319,64.404
21.831,29.53,3.96,5.11,26.844,12.234,25.681,288.175,61.163
21.2,29.2,3.61,4.94,25.706,6.958,25.175,200.726,53.263
19.707,28.71,3.52,5.09,22.269,1.642,24.186,4.199,41.088
19.186,29.32,3.86,5.58,20.792,0.277,24.242,1.021,31.088
20.807,31.103,4.41,6.12,23.229,0.176,25.932,0.176,28.502
22.458,32.405,4.87,6.5,25.164,1.097,27.41,1.608,30.645
24.216,33.501,5.1,6.45,27.23,2.925,28.879,65.117,43.396
24.218,32.523,4.81,6.08,28.107,6.319,28.344,152.778,53.396
22.71,29.727,4.19,5.19,27.931,12.278,26.205,285.563,73.198
21.744,28.453,4.0,4.87,27.339,22.293,25.075,556.986,78.635
22.517,29.105,4.05,4.95,27.19,10.368,25.806,152.504,72.273
22.773,30.081,4.18,5.25,26.973,6.521,26.399,116.42,64.404
21.991,29.699,3.97,5.12,26.844,10.895,25.833,296.469,61.163
21.452,29.468,3.64,4.93,25.706,5.768,25.441,86.968,53.263
20.741,29.744,3.61,5.14,23.342,3.679,25.221,41.694,41.088
19.337,29.473,3.87,5.61,21.955,0.995,24.395,1.527,31.088
20.931,31.226,4.42,6.12,23.229,0.17,26.056,0.17,28.502
22.679,32.64,4.9,6.53,25.164,1.224,27.646,12.927,30.645
23.979,33.264,5.07,6.45,26.818,5.633,28.586,45.995,43.396
24.112,32.417,4.8,6.06,28.107,7.191,28.232,105.143,53.396
