minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
22.001,30.317,3.61,5.22,24.831,0.986,26.149,5.786,31.765
22.323,31.469,4.21,5.92,23.926,2.648,26.895,54.845,26.435
22.755,32.205,4.75,6.41,25.657,1.032,27.433,7.693,28.064
25.168,33.926,5.03,6.34,29.291,0.778,29.558,10.604,38.966
25.979,35.645,5.48,6.58,30.85,2.151,30.785,19.506,49.911
26.154,35.651,5.43,6.24,28.756,1.521,30.902,28.09,68.729
25.197,34.339,5.2,5.98,28.111,2.231,29.769,28.473,76.908
24.63,33.658,5.11,6.0,28.952,3.948,29.14,82.789,70.632
24.538,33.255,4.83,5.87,29.108,6.92,28.862,186.2,63.414
23.928,31.66,4.11,5.23,28.484,5.279,27.792,82.367,61.173
22.378,29.555,3.45,4.75,26.579,8.909,25.955,231.376,52.684
21.074,28.252,3.15,4.61,24.589,4.288,24.661,130.646,42.103
20.843,29.137,3.5,5.16,23.332,3.366,24.991,56.852,31.765
20.477,29.625,4.03,5.79,22.685,2.156,25.05,25.242,26.435
22.971,32.449,4.78,6.36,26.039,1.079,27.674,13.592,28.064
25.617,34.375,5.07,6.35,29.266,0.604,29.986,5.509,38.966
26.373,36.095,5.54,6.64,30.85,3.012,31.234,71.257,49.911
26.231,35.728,5.43,6.26,28.81,1.748,30.978,21.826,68.729
25.257,34.394,5.21,5.98,28.111,3.706,29.829,72.697,76.908
24.735,33.783,5.13,6.02,29.31,4.421,29.246,95.78,70.632
24.204,32.92,4.81,5.88,29.108,6.138,28.528,126.781,63.414
23.149,30.863,4.04,5.19,28.462,10.299,26.994,305.362,61.173
22.372,29.549,3.45,4.71,26.246,8.31,25.948,211.973,52.684
21.736,28.915,3.18,4.63,24.737,6.046,25.323,246.123,42.103
21.301,29.615,3.53,5.17,23.387,1.416,25.469,23.149,31.765
22.068,31.216,4.18,5.88,23.926,1.42,26.64,11.938,26.435
23.169,32.638,4.8,6.41,25.791,0.103,27.867,0.103,28.064
25.552,34.311,5.07,6.38,29.291,0.59,29.942,1.669,38.966
25.482,35.153,5.44,6.59,30.762,5.273,30.323,202.895,49.911
25.747,35.243,5.38,6.23,28.756,2.094,30.495,34.67,68.729
25.071,34.211,5.19,5.96,28.111,3.473,29.641,51.051,76.908
24.301,33.308,5.06,5.99,28.952,5.437,28.772,96.908,70.632
23.922,32.641,4.77,5.83,29.108,8.156,28.248,217.745,63.414
23.838,31.551,4.09,5.22,28.462,7.178,27.682,132.166,61.173
22.153,29.332,3.42,4.75,25.813,9.636,25.731,140.444,52.684
20.901,28.079,3.13,4.61,24.527,6.475,24.488,228.828,42.103
20.468,28.783,3.48,5.16,22.918,1.729,24.616,28.538,31.765
20.497,29.645,4.03,5.8,22.66,0.0,25.07,0.0,26.435
22.538,31.988,4.73,6.34,24.666,0.103,27.239,0.103,28.064
25.678,34.456,5.08,6.36,29.291,0.599,30.067,5.824,38.966
25.465,35.187,5.44,6.62,29.199,3.725,30.326,83.843,49.911
25.601,35.098,5.36,6.21,28.75,1.966,30.35,20.726,68.729
24.795,33.934,5.16,5.95,28.111,5.402,29.365,88.13,76.908
24.519,33.543,5.1,5.98,28.952,2.847,29.029,35.947,70.632
24.822,33.542,4.87,5.88,29.108,4.272,29.149,76.059,63.414
23.87,31.601,4.11,5.23,28.462,6.657,27.733,154.992,61.173
22.633,29.808,3.46,4.77,26.314,2.708,26.21,16.379,52.684
20.912,28.089,3.13,4.64,24.714,3.949,24.497,82.842,42.103
20.131,28.466,3.46,5.12,23.33,1.272,24.298,15.535,31.765
21.679,30.828,4.14,5.82,23.506,0.607,26.251,0.607,26.435
23.823,33.304,4.86,6.44,25.689,1.085,28.531,14.917,28.064
24.956,33.736,5.01,6.37,28.146,3.021,29.346,109.821,38.966
25.712,35.405,5.47,6.58,30.675,4.149,30.542,120.048,49.911
26.406,35.88,5.45,6.21,28.896,1.045,31.131,8.492,68.729
26.395,35.532,5.34,6.03,29.219,3.399,30.961,49.328,76.908
24.832,33.857,5.13,6.04,28.952,5.352,29.32,122.706,70.632
25.069,33.79,4.88,5.91,30.168,4.221,29.395,54.966,63.414
