minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
19.12,28.805,3.76,5.48,21.016,1.348,23.946,32.256,34.008
19.662,29.792,4.25,6.06,21.306,3.135,24.714,45.109,30.73
20.28,30.225,4.65,6.41,22.671,3.0,25.229,30.164,32.648
21.872,31.049,4.8,6.25,25.665,4.296,26.43,158.151,46.237
21.937,30.252,4.56,5.89,26.672,5.636,26.08,167.876,56.348
21.405,28.649,4.12,5.12,25.944,10.756,25.002,204.4,74.599
21.051,28.093,4.04,4.95,25.477,8.347,24.54,157.51,78.716
21.115,28.143,4.05,5.07,25.326,6.765,24.592,116.262,72.09
20.952,28.435,4.08,5.22,25.256,9.579,24.686,230.047,65.543
20.57,28.136,3.8,4.99,25.206,8.196,24.331,170.79,64.347
19.434,27.09,3.4,4.73,24.29,10.229,23.249,202.42,56.993
18.261,26.664,3.29,4.84,21.538,4.063,22.459,42.997,44.265
18.088,27.795,3.65,5.42,20.717,2.719,22.936,52.147,34.008
18.238,28.367,4.12,5.94,20.768,2.843,23.29,19.335,30.73
20.542,30.457,4.67,6.38,23.18,3.381,25.462,84.594,32.648
22.224,31.407,4.85,6.27,25.517,3.779,26.788,60.132,46.237
22.443,30.758,4.6,5.9,26.669,4.641,26.586,121.473,56.348
21.866,29.104,4.16,5.17,25.966,12.765,25.458,284.437,74.599
20.714,27.777,4.02,4.94,25.424,11.198,24.225,175.562,78.716
21.529,28.579,4.09,5.09,26.408,7.944,25.028,197.877,72.09
20.576,28.072,4.04,5.24,25.256,8.977,24.322,174.32,65.543
20.109,27.676,3.76,4.94,25.206,14.001,23.87,371.854,64.347
19.603,27.238,3.39,4.69,24.16,6.782,23.396,157.921,56.993
19.012,27.378,3.33,4.85,22.256,4.527,23.173,129.119,44.265
18.808,28.515,3.73,5.46,20.757,1.184,23.656,9.273,34.008
19.363,29.492,4.23,6.02,21.384,1.902,24.416,5.055,30.73
20.805,30.735,4.71,6.41,22.556,0.341,25.74,0.341,32.648
22.284,31.466,4.86,6.29,25.697,2.779,26.847,49.778,46.237
22.079,30.394,4.58,5.89,26.616,8.498,26.222,317.182,56.348
21.816,29.042,4.16,5.15,25.944,9.758,25.396,144.945,74.599
20.687,27.75,4.02,4.96,25.507,8.476,24.198,206.652,78.716
20.831,27.86,4.04,5.06,25.326,14.299,24.33,179.7,72.09
20.422,27.905,4.02,5.21,25.256,11.805,24.157,284.41,65.543
20.352,27.919,3.79,4.97,25.206,11.632,24.112,159.545,64.347
19.174,26.808,3.36,4.73,23.502,9.184,22.965,232.625,56.993
17.895,26.262,3.23,4.82,21.268,4.809,22.055,135.36,44.265
17.45,27.144,3.6,5.38,19.761,2.156,22.286,48.882,34.008
17.88,28.008,4.1,5.93,20.124,0.677,22.933,0.751,30.73
19.68,29.611,4.59,6.33,21.785,0.538,24.615,0.537,32.648
21.798,30.958,4.78,6.25,25.697,3.326,26.361,10.729,46.237
21.639,29.955,4.53,5.9,25.882,6.08,25.784,161.529,56.348
20.523,27.751,4.04,5.09,24.725,11.714,24.142,160.023,74.599
20.158,27.221,3.96,4.92,25.411,11.425,23.67,184.406,78.716
20.657,27.707,4.01,5.04,25.323,8.565,24.156,88.892,72.09
20.86,28.342,4.07,5.22,25.256,5.549,24.592,95.085,65.543
20.591,28.157,3.8,4.99,25.206,9.33,24.352,216.064,64.347
19.476,27.11,3.38,4.73,24.046,1.748,23.269,20.102,56.993
18.17,26.561,3.27,4.83,22.256,3.278,22.354,20.81,44.265
17.902,27.589,3.64,5.38,20.754,0.807,22.731,0.835,34.008
18.995,29.124,4.2,5.97,21.293,1.063,24.048,9.538,30.73
20.713,30.681,4.7,6.43,22.745,2.356,25.686,6.01,32.648
21.412,30.59,4.76,6.24,24.983,5.9,25.991,138.248,46.237
21.982,30.297,4.56,5.88,26.672,7.185,26.126,95.67,56.348
21.529,28.751,4.12,5.11,26.034,10.453,25.142,235.136,74.599
21.477,28.539,4.08,4.98,26.69,7.175,24.988,121.067,78.716
21.171,28.199,4.05,5.08,25.326,9.393,24.648,140.425,72.09
21.1,28.596,4.11,5.25,25.34,7.007,24.848,119.973,65.543
20.47,28.037,3.79,4.97,25.206,11.64,24.23,223.11,64.347
19.83,27.484,3.43,4.73,24.29,6.159,23.643,105.175,56.993
18.433,26.807,3.29,4.82,21.296,0.684,22.602,0.684,44.265
18.7,28.407,3.72,5.42,20.783,2.654,23.548,27.57,34.008
19.365,29.496,4.24,6.03,21.157,1.125,24.419,30.597,30.73
20.418,30.333,4.65,6.37,22.854,2.989,25.339,32.274,32.648
22.826,32.025,4.91,6.29,25.697,2.999,27.405,28.542,46.237
22.609,30.926,4.63,5.93,26.681,5.078,26.754,100.173,56.348
21.342,28.585,4.11,5.15,25.95,10.541,24.939,147.003,74.599
20.753,27.796,4.02,4.94,25.477,9.13,24.243,182.442,78.716
20.655,27.686,4.0,5.05,25.326,11.252,24.133,253.423,72.09
20.566,28.048,4.04,5.21,25.256,6.384,24.299,49.997,65.543
20.353,27.92,3.79,4.96,25.206,10.626,24.113,235.333,64.347
19.387,27.021,3.39,4.71,24.29,8.014,23.196,164.01,56.993
18.636,27.003,3.3,4.85,21.428,5.795,22.795,49.815,44.265
17.891,27.575,3.63,5.41,20.754,1.183,22.717,9.532,34.008
18.777,28.907,4.18,5.97,21.579,1.109,23.83,10.512,30.73
20.417,30.347,4.66,6.41,23.18,3.194,25.351,34.719,32.648
21.232,30.394,4.73,6.22,25.103,6.359,25.795,229.367,46.237
22.05,30.366,4.58,5.87,26.669,5.148,26.194,105.873,56.348
21.333,28.561,4.11,5.14,25.95,14.138,24.915,154.851,74.599
20.7,27.763,4.02,4.97,25.421,8.901,24.211,275.465,78.716
20.154,27.182,3.96,5.02,24.763,9.26,23.632,149.393,72.09
20.869,28.351,4.07,5.21,25.256,10.133,24.601,146.152,65.543
20.464,28.031,3.79,4.97,25.206,11.876,24.225,179.043,64.347
19.596,27.231,3.39,4.72,24.29,7.35,23.39,222.38,56.993
18.636,27.003,3.3,4.85,21.626,4.096,22.795,45.499,44.265
18.17,27.858,3.67,5.43,20.754,1.697,22.999,4.325,34.008
18.444,28.574,4.14,5.97,21.114,2.436,23.496,141.261,30.73
19.937,29.853,4.61,6.33,22.249,2.936,24.858,85.562,32.648
22.352,31.514,4.85,6.27,25.697,4.473,26.895,97.199,46.237
21.821,30.163,4.56,5.91,26.669,6.264,25.991,94.149,56.348
21.162,28.443,4.11,5.16,25.944,5.159,24.796,235.734,74.599
19.934,26.974,3.94,4.91,24.539,9.089,23.445,239.215,78.716
20.639,27.67,4.0,5.03,25.236,8.392,24.118,116.308,72.09
20.442,27.938,4.03,5.21,25.256,10.807,24.189,182.535,65.543
20.464,28.031,3.79,4.96,25.219,11.998,24.225,323.276,64.347
19.194,26.828,3.36,4.72,23.55,3.692,22.986,13.762,56.993
18.108,26.474,3.26,4.82,20.825,2.248,22.269,3.359,44.265
17.807,27.501,3.64,5.38,19.877,2.558,22.642,46.561,34.008
18.623,28.753,4.16,5.96,21.579,2.193,23.677,67.787,30.73
20.553,30.467,4.69,6.39,23.18,1.337,25.472,11.266,32.648
21.736,30.916,4.79,6.27,25.504,6.617,26.299,106.273,46.237
21.644,29.96,4.53,5.88,26.669,9.746,25.789,281.967,56.348
21.106,28.369,4.1,5.14,25.909,10.22,24.725,110.627,74.599
20.06,27.1,3.94,4.91,24.301,6.462,23.572,123.612,78.716
20.432,27.461,3.99,5.03,25.211,13.589,23.931,236.143,72.09
20.227,27.711,4.01,5.21,24.457,7.113,23.962,158.941,65.543
20.381,27.948,3.79,4.95,25.219,9.885,24.141,167.031,64.347
19.668,27.324,3.41,4.73,23.976,5.757,23.482,90.515,56.993
18.898,27.264,3.3,4.86,21.738,2.124,23.057,18.016,44.265
18.17,27.858,3.67,5.43,20.815,1.283,22.999,20.877,34.008
18.456,28.586,4.14,5.97,21.381,2.539,23.508,126.629,30.73
20.063,29.994,4.62,6.37,22.103,0.592,25.0,0.591,32.648
21.634,30.853,4.79,6.23,25.697,4.566,26.235,63.594,46.237
22.274,30.615,4.59,5.91,26.672,4.675,26.442,101.08,56.348
21.069,28.294,4.1,5.12,25.982,10.062,24.685,152.502,74.599
20.6,27.642,3.99,4.94,25.408,10.965,24.113,383.584,78.716
20.318,27.348,3.98,5.03,25.326,15.802,23.817,309.27,72.09
20.151,27.636,4.01,5.2,25.256,7.514,23.886,90.131,65.543
20.057,27.624,3.76,4.94,25.206,13.024,23.818,256.583,64.347
19.191,26.847,3.37,4.71,24.164,7.76,23.004,178.927,56.993
18.192,26.558,3.26,4.82,20.891,0.684,22.352,0.684,44.265
17.96,27.659,3.66,5.42,20.754,1.068,22.798,1.183,34.008
17.919,28.049,4.09,5.94,20.51,1.108,22.972,41.544,30.73
20.149,30.081,4.63,6.36,23.18,1.136,25.087,4.658,32.648
21.828,30.988,4.79,6.24,25.697,2.963,26.369,111.151,46.237
21.735,30.051,4.53,5.89,26.669,4.712,25.879,119.393,56.348
20.657,27.918,4.06,5.11,25.161,14.853,24.271,353.901,74.599
20.172,27.235,3.97,4.92,25.477,10.851,23.683,171.692,78.716
20.726,27.754,4.01,5.03,25.326,4.801,24.203,30.419,72.09
21.056,28.538,4.09,5.23,25.256,7.232,24.789,140.089,65.543
20.171,27.738,3.76,4.95,25.206,10.131,23.932,146.178,64.347
19.685,27.32,3.41,4.72,24.29,8.02,23.478,149.805,56.993
18.637,27.02,3.3,4.86,22.256,5.035,22.814,89.814,44.265
17.41,27.104,3.59,5.37,19.998,1.23,22.246,1.937,34.008
19.373,29.504,4.22,5.97,21.525,0.502,24.425,0.685,30.73
20.919,30.848,4.71,6.41,23.18,1.202,25.855,3.855,32.648
22.343,31.504,4.86,6.27,25.671,3.544,26.905,53.064,46.237
22.541,30.857,4.61,5.92,26.669,4.431,26.684,134.081,56.348
21.124,28.385,4.1,5.14,25.928,13.024,24.743,486.142,74.599
20.639,27.704,4.01,4.94,25.477,5.965,24.152,105.462,78.716
20.749,27.778,4.03,5.05,25.323,9.503,24.248,161.396,72.09
20.695,28.179,4.05,5.22,25.256,8.138,24.43,198.045,65.543
20.139,27.706,3.76,4.95,25.206,11.972,23.9,328.799,64.347
19.583,27.239,3.4,4.73,24.29,7.964,23.398,190.58,56.993
18.139,26.505,3.26,4.84,21.559,2.152,22.301,11.808,44.265
17.524,27.212,3.61,5.38,19.713,1.108,22.354,2.194,34.008
18.945,29.075,4.2,5.97,21.61,0.232,23.999,0.233,30.73
20.58,30.496,4.68,6.38,23.18,0.75,25.499,0.838,32.648
22.445,31.621,4.87,6.28,25.671,2.089,27.005,72.792,46.237
22.585,30.902,4.63,5.92,26.669,4.808,26.729,90.072,56.348
21.608,28.872,4.14,5.19,26.034,8.208,25.227,98.659,74.599
20.393,27.435,3.97,4.94,25.477,15.171,23.883,202.072,78.716
20.825,27.854,4.02,5.04,25.323,6.609,24.302,75.496,72.09
20.925,28.408,4.08,5.22,25.256,4.795,24.659,105.031,65.543
20.275,27.842,3.78,4.97,25.206,10.649,24.035,324.547,64.347
19.352,27.008,3.39,4.7,24.29,7.62,23.182,120.207,56.993
18.914,27.288,3.32,4.86,22.256,4.962,23.083,50.583,44.265
17.763,27.45,3.62,5.39,20.946,1.181,22.591,2.676,34.008
19.004,29.132,4.2,5.97,21.579,0.232,24.056,0.233,30.73
20.629,30.56,4.69,6.39,23.18,1.52,25.564,13.185,32.648
22.162,31.345,4.84,6.27,25.469,5.924,26.726,49.934,46.237
22.346,30.661,4.6,5.89,26.669,5.864,26.49,72.136,56.348
21.743,29.019,4.17,5.18,25.928,7.138,25.373,131.304,74.599
20.654,27.697,4.0,4.95,25.507,6.294,24.167,176.114,78.716
20.672,27.702,4.01,5.03,25.323,6.147,24.149,175.616,72.09
20.989,28.471,4.09,5.22,25.256,9.046,24.722,152.226,65.543
20.343,27.91,3.77,4.96,25.206,14.563,24.105,290.045,64.347
19.738,27.372,3.41,4.72,24.29,6.18,23.531,82.266,56.993
18.919,27.305,3.33,4.86,22.256,5.677,23.101,71.325,44.265
18.351,28.06,3.7,5.43,20.754,1.972,23.201,12.694,34.008
