minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
18.745,29.657,3.94,5.76,19.987,1.241,24.185,16.77,30.388
19.43,30.995,4.57,6.4,20.509,3.173,25.199,16.884,27.521
20.109,31.783,5.1,6.9,21.879,1.556,25.936,22.42,29.128
22.359,33.297,5.42,6.93,24.982,3.176,27.821,98.342,41.366
21.927,31.751,5.06,6.5,26.129,5.109,26.825,168.239,51.807
21.431,29.561,4.45,5.5,25.785,9.822,25.473,207.099,72.807
21.091,28.725,4.27,5.17,25.35,8.067,24.893,155.064,79.287
21.227,28.951,4.31,5.32,25.38,5.936,25.076,107.013,72.778
21.385,29.944,4.46,5.61,25.219,9.88,25.633,214.309,64.52
20.852,29.339,4.06,5.3,24.981,7.239,25.095,111.097,61.652
19.687,28.333,3.62,5.04,23.591,7.262,23.973,184.098,52.669
17.772,27.285,3.45,5.1,20.552,3.105,22.507,34.061,40.677
17.468,28.383,3.83,5.66,19.95,2.199,22.912,23.55,30.388
18.08,29.646,4.42,6.29,20.045,1.892,23.85,9.099,27.521
20.686,32.346,5.15,6.89,22.533,2.021,26.498,48.85,29.128
22.342,33.279,5.42,6.92,24.884,3.072,27.79,73.128,41.366
22.507,32.322,5.13,6.52,26.122,6.279,27.41,183.172,51.807
22.029,30.158,4.5,5.55,25.833,9.887,26.07,232.328,72.807
21.07,28.703,4.27,5.18,25.314,12.462,24.873,374.081,79.287
21.863,29.599,4.4,5.37,26.724,7.322,25.721,147.53,72.778
20.615,29.19,4.4,5.61,25.219,5.729,24.88,69.566,64.52
20.34,28.826,4.03,5.26,24.981,12.826,24.585,317.858,61.652
19.673,28.318,3.63,5.0,23.312,5.02,23.959,83.07,52.669
18.839,28.318,3.52,5.11,21.331,5.323,23.543,156.96,40.677
18.27,29.186,3.89,5.7,19.943,0.841,23.714,1.291,30.388
19.085,30.651,4.54,6.34,20.571,1.346,24.853,2.606,27.521
20.967,32.648,5.21,6.94,22.122,0.196,26.8,0.196,29.128
22.558,33.494,5.43,6.95,25.069,2.184,28.003,27.741,41.366
22.193,32.005,5.09,6.51,26.069,7.813,27.078,252.517,51.807
21.841,29.947,4.5,5.53,25.807,8.118,25.857,244.342,72.807
20.882,28.515,4.26,5.18,25.428,10.467,24.683,229.572,79.287
20.998,28.723,4.3,5.32,25.38,10.871,24.845,230.865,72.778
20.488,29.062,4.39,5.57,25.219,9.429,24.751,216.035,64.52
20.325,28.812,4.02,5.27,24.981,9.962,24.57,160.882,61.652
18.815,27.482,3.56,5.0,22.521,8.477,23.121,238.772,52.669
17.445,26.918,3.4,5.09,20.149,3.647,22.143,61.625,40.677
16.823,27.74,3.78,5.62,18.829,1.47,22.268,15.353,30.388
17.68,29.245,4.39,6.26,19.46,0.045,23.447,0.045,27.521
19.869,31.564,5.09,6.86,21.22,0.211,25.717,0.211,29.128
22.121,33.057,5.38,6.91,25.025,3.562,27.569,41.631,41.366
21.432,31.246,5.01,6.5,24.797,7.042,26.333,190.596,51.807
20.424,28.538,4.34,5.47,24.667,9.504,24.448,199.389,72.807
20.148,27.803,4.19,5.12,25.335,11.207,23.971,238.551,79.287
20.939,28.66,4.28,5.27,25.357,6.788,24.782,86.602,72.778
20.973,29.548,4.43,5.57,25.219,4.88,25.237,82.196,64.52
20.778,29.264,4.06,5.3,24.981,8.768,25.023,139.851,61.652
19.229,27.898,3.59,5.02,23.082,1.452,23.536,13.558,52.669
17.86,27.334,3.45,5.09,21.292,1.572,22.557,9.478,40.677
17.516,28.438,3.83,5.64,19.884,0.967,22.966,1.013,30.388
19.023,30.588,4.53,6.33,20.485,1.335,24.791,28.875,27.521
20.587,32.283,5.17,6.94,21.966,1.948,26.434,13.141,29.128
21.708,32.663,5.35,6.9,24.217,4.225,27.188,86.286,41.366
22.144,31.957,5.09,6.49,26.129,6.831,27.03,127.035,51.807
21.758,29.858,4.48,5.51,25.898,8.883,25.768,262.416,72.807
21.404,29.039,4.29,5.19,26.59,7.4,25.207,102.382,79.287
