minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
20.728,29.963,3.66,5.41,23.759,1.121,25.338,27.952,28.058
20.95,31.285,4.34,6.22,23.033,2.924,26.106,86.505,21.68
21.129,31.872,4.93,6.74,24.781,0.236,26.464,0.236,23.756
24.451,34.352,5.34,6.76,29.082,0.946,29.382,3.795,32.734
26.138,36.906,5.92,7.06,30.614,2.16,31.519,33.481,43.535
26.821,37.136,5.83,6.68,28.177,2.16,31.956,25.82,64.593
25.35,35.217,5.52,6.3,27.503,3.7,30.289,82.711,76.3
24.582,34.107,5.3,6.22,28.225,5.468,29.366,116.698,69.318
24.44,33.814,5.02,6.13,28.86,6.665,29.126,149.533,60.653
23.607,31.828,4.19,5.44,28.26,5.233,27.69,190.437,56.48
21.649,29.238,3.45,4.9,25.729,9.372,25.426,309.646,47.875
19.938,27.873,3.17,4.78,23.746,4.906,23.889,405.775,38.757
19.309,28.534,3.54,5.33,22.422,2.22,23.906,45.904,28.058
18.978,29.314,4.16,6.08,21.847,2.099,24.135,24.808,21.68
21.604,32.348,4.98,6.72,25.2,0.513,26.941,1.066,23.756
24.79,34.69,5.36,6.77,29.082,0.946,29.721,5.411,32.734
26.704,37.472,5.97,7.09,30.616,2.427,32.086,40.421,43.535
26.653,36.968,5.8,6.68,28.321,1.92,31.79,32.362,64.593
25.591,35.456,5.54,6.31,27.503,4.985,30.519,65.894,76.3
24.707,34.23,5.3,6.24,28.338,6.819,29.475,170.878,69.318
23.953,33.327,4.97,6.13,28.86,7.201,28.64,192.939,60.653
22.73,30.951,4.12,5.39,28.217,10.035,26.813,383.302,56.48
21.736,29.327,3.47,4.84,25.294,8.156,25.515,207.559,47.875
20.712,28.592,3.22,4.78,23.844,7.221,24.607,185.028,38.757
20.009,29.218,3.6,5.33,22.444,1.562,24.591,71.747,28.058
20.59,30.924,4.32,6.16,23.033,1.454,25.745,13.657,21.68
