minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
23.138,30.1,3.34,4.89,26.198,1.162,26.619,5.406,33.243
23.518,31.171,3.91,5.52,25.238,2.643,27.33,55.172,28.244
23.819,31.77,4.4,5.99,27.108,1.165,27.759,21.28,29.543
25.69,33.27,4.68,5.93,30.679,1.136,29.5,17.529,40.743
26.83,35.522,5.22,6.22,32.078,1.875,31.141,28.601,52.044
26.93,35.832,5.29,6.06,29.738,1.266,31.381,33.528,69.158
25.96,34.552,5.09,5.83,29.038,1.685,30.24,24.672,76.3
25.33,33.892,5.01,5.87,29.949,4.002,29.611,79.308,70.387
25.089,33.21,4.69,5.69,30.079,6.465,29.1,192.175,64.157
24.72,31.829,4.0,5.07,29.478,5.663,28.259,60.668,61.657
23.19,29.6,3.3,4.54,27.638,10.45,26.36,222.65,54.157
22.278,28.329,2.95,4.32,25.738,5.001,25.289,190.294,44.157
22.098,28.99,3.26,4.84,24.698,4.615,25.579,93.234,33.243
21.59,29.271,3.75,5.44,24.037,2.352,25.43,30.323,28.244
23.889,31.84,4.41,5.93,27.407,1.216,27.829,13.483,29.543
26.389,33.97,4.73,5.95,30.579,0.23,30.13,0.231,40.743
27.13,35.862,5.27,6.27,32.078,2.283,31.482,64.791,52.044
26.93,35.832,5.29,6.07,29.738,2.224,31.381,24.955,69.158
25.901,34.522,5.1,5.84,29.038,3.235,30.211,46.957,76.3
25.389,33.952,5.01,5.88,30.149,4.189,29.671,91.108,70.387
25.018,33.14,4.68,5.71,30.079,5.033,29.03,151.158,64.157
23.889,31.0,3.93,5.04,29.378,11.093,27.43,214.866,61.657
23.19,29.6,3.3,4.51,27.438,10.142,26.36,260.379,54.157
22.778,28.829,2.98,4.32,26.068,6.719,25.789,260.874,44.157
22.538,29.43,3.28,4.82,24.698,1.901,26.019,45.49,33.243
23.349,31.0,3.89,5.49,25.238,1.825,27.159,9.978,28.244
24.019,32.04,4.44,6.0,27.078,0.2,28.03,0.2,29.543
26.219,33.8,4.72,5.96,30.679,0.26,30.029,0.26,40.743
26.419,35.081,5.16,6.23,32.078,4.393,30.7,176.608,52.044
26.489,35.392,5.24,6.02,29.738,2.171,30.94,40.987,69.158
25.831,34.451,5.09,5.83,29.038,3.123,30.141,58.541,76.3
25.06,33.551,4.95,5.85,29.919,5.433,29.271,94.474,70.387
24.72,32.87,4.67,5.67,30.079,7.394,28.759,238.072,64.157
24.749,31.859,4.01,5.05,29.407,7.28,28.29,138.846,61.657
23.279,29.659,3.3,4.55,27.067,10.165,26.419,124.572,54.157
22.079,28.13,2.93,4.34,25.938,8.431,25.089,444.622,44.157
21.739,28.7,3.25,4.83,24.397,2.466,25.219,59.719,33.243
21.719,29.4,3.77,5.46,24.067,0.059,25.559,0.059,28.244
23.489,31.44,4.37,5.9,26.009,0.2,27.43,0.2,29.543
26.419,34.07,4.77,5.98,30.679,0.26,30.23,0.26,40.743
26.448,35.181,5.2,6.26,30.727,2.989,30.8,63.182,52.044
26.459,35.362,5.23,6.02,29.738,1.889,30.911,7.65,69.158
25.659,34.251,5.06,5.8,29.038,5.552,29.94,69.393,76.3
25.159,33.651,4.98,5.83,29.949,2.136,29.44,24.104,70.387
25.589,33.71,4.75,5.7,30.079,3.534,29.6,39.974,64.157
24.72,31.829,4.0,5.07,29.378,6.988,28.259,120.519,61.657
23.649,30.059,3.34,4.56,27.539,3.78,26.819,18.864,54.157
21.949,28.0,2.92,4.35,25.908,5.025,24.959,123.858,44.157
21.268,28.23,3.21,4.79,24.698,1.612,24.749,6.402,33.243
22.79,30.47,3.86,5.43,24.839,0.211,26.63,0.211,28.244
24.919,32.87,4.5,6.01,27.137,1.133,28.859,24.239,29.543
25.62,33.27,4.69,5.99,29.998,3.464,29.43,65.379,40.743
26.419,35.151,5.19,6.22,31.648,3.045,30.771,71.328,52.044
27.17,36.003,5.29,5.99,29.738,1.096,31.552,9.395,69.158
27.259,35.851,5.22,5.88,30.038,3.3,31.541,46.735,76.3
25.559,34.051,5.01,5.88,29.949,5.098,29.77,141.472,70.387
25.89,34.011,4.77,5.73,30.99,3.679,29.899,67.463,64.157
24.519,31.63,3.99,5.07,29.378,10.516,28.059,275.86,61.657
23.518,29.899,3.32,4.53,27.708,7.695,26.659,161.255,54.157
22.408,28.459,2.95,4.33,25.938,1.851,25.418,3.301,44.157
22.479,29.37,3.28,4.8,24.698,3.013,25.89,39.718,33.243
23.719,31.37,3.92,5.51,25.238,1.23,27.53,18.146,28.244
23.848,31.8,4.4,5.97,26.638,1.45,27.79,53.824,29.543
26.86,34.44,4.79,5.95,30.649,1.044,30.6,4.817,40.743
27.33,36.092,5.3,6.31,32.078,1.056,31.71,14.82,52.044
26.459,35.362,5.23,6.03,29.798,2.214,30.911,18.772,69.158
26.4,35.022,5.14,5.86,29.038,3.733,30.712,53.424,76.3
24.589,33.151,4.93,5.85,29.949,6.031,28.87,129.806,70.387
25.289,33.441,4.72,5.69,30.079,4.326,29.33,48.076,64.157
24.389,31.499,3.97,5.07,29.478,8.2,27.93,162.291,61.657
23.088,29.47,3.29,4.52,27.738,11.603,26.23,351.13,54.157
22.579,28.63,2.96,4.34,25.938,10.061,25.589,333.621,44.157
21.908,28.799,3.24,4.83,24.698,1.049,25.319,1.524,33.243
22.219,29.899,3.81,5.45,25.238,0.411,26.059,0.41,28.244
24.219,32.17,4.44,5.97,27.407,0.349,28.16,0.349,29.543
25.89,33.471,4.69,5.93,29.608,3.749,29.629,77.371,40.743
27.33,36.022,5.27,6.25,32.078,1.913,31.64,51.978,52.044
26.83,35.663,5.24,6.04,29.738,2.343,31.211,18.221,69.158
26.03,34.622,5.09,5.83,29.038,3.424,30.311,23.845,76.3
25.33,33.892,5.01,5.87,29.618,4.402,29.611,49.841,70.387
25.589,33.71,4.75,5.72,30.079,5.795,29.6,130.589,64.157
24.29,31.4,3.97,5.06,29.478,8.802,27.829,190.583,61.657
23.219,29.629,3.31,4.53,27.708,10.284,26.389,478.964,54.157
22.479,28.53,2.95,4.34,26.038,5.095,25.489,78.689,44.157
22.038,28.93,3.25,4.84,24.698,1.776,25.519,3.706,33.243
22.02,29.671,3.78,5.46,24.067,3.059,25.831,52.779,28.244
23.518,31.47,4.37,5.89,26.898,1.128,27.46,1.327,29.543
27.089,34.671,4.8,5.96,30.649,1.044,30.83,4.681,40.743
27.13,35.792,5.24,6.27,32.078,1.744,31.411,11.332,52.044
26.869,35.702,5.25,6.04,29.738,1.155,31.251,16.634,69.158
25.831,34.421,5.08,5.82,28.908,3.123,30.11,36.384,76.3
25.159,33.651,4.98,5.87,29.949,4.262,29.44,58.304,70.387
24.29,32.441,4.61,5.67,30.079,6.048,28.329,149.419,64.157
24.29,31.4,3.97,5.04,29.378,11.384,27.829,273.444,61.657
22.719,29.13,3.26,4.53,27.267,5.676,25.89,42.919,54.157
21.848,27.899,2.92,4.31,26.038,3.502,24.86,54.355,44.157
21.908,28.799,3.24,4.8,24.327,3.793,25.319,51.345,33.243
22.419,30.071,3.82,5.45,25.238,0.994,26.23,1.183,28.244
24.049,32.07,4.44,5.98,27.407,0.349,28.059,0.349,29.543
26.119,33.7,4.71,5.96,30.679,2.483,29.86,17.954,40.743
26.389,35.122,5.19,6.26,32.078,3.783,30.741,111.074,52.044
26.2,35.032,5.18,6.0,29.738,2.512,30.581,23.637,69.158
25.229,33.822,5.0,5.8,28.978,2.08,29.51,24.741,76.3
24.33,32.821,4.88,5.81,29.889,8.001,28.54,204.944,70.387
24.29,32.411,4.6,5.62,29.519,7.696,28.3,131.308,64.157
24.66,31.77,4.0,5.03,29.478,5.958,28.2,26.158,61.657
23.789,30.2,3.36,4.54,27.638,5.792,26.959,55.652,54.157
22.948,29.0,2.99,4.36,26.068,3.051,25.96,27.142,44.157
22.038,28.93,3.25,4.84,24.698,0.819,25.519,0.819,33.243
22.219,29.87,3.8,5.47,24.938,2.731,26.03,36.157,28.244
23.289,31.241,4.35,5.93,26.138,0.2,27.229,0.2,29.543
25.86,33.511,4.71,5.92,30.579,1.617,29.671,5.938,40.743
27.33,36.022,5.27,6.26,32.078,1.164,31.64,13.11,52.044
26.43,35.263,5.2,6.04,29.738,2.414,30.811,37.333,69.158
25.53,34.122,5.05,5.81,29.038,4.648,29.811,131.763,76.3
24.559,33.052,4.9,5.82,29.949,6.535,28.77,109.774,70.387
24.72,32.841,4.66,5.66,30.079,5.162,28.729,102.368,64.157
24.319,31.429,3.97,5.05,29.478,10.227,27.86,243.589,61.657
22.948,29.33,3.28,4.52,27.167,8.265,26.119,143.973,54.157
21.949,28.0,2.92,4.31,25.508,1.117,24.959,3.96,44.157
21.978,28.87,3.24,4.82,24.698,0.5,25.389,0.5,33.243
21.879,29.53,3.76,5.45,24.527,0.0,25.69,0.0,28.244
23.819,31.77,4.4,5.94,27.407,0.2,27.759,0.2,29.543
25.89,33.541,4.71,5.97,30.679,1.044,29.7,9.373,40.743
26.659,35.322,5.19,6.24,32.078,1.721,30.94,42.331,52.044
26.041,34.873,5.17,5.98,29.478,1.762,30.422,38.58,69.158
25.971,34.592,5.1,5.81,29.038,2.696,30.282,25.014,76.3
25.33,33.892,5.01,5.87,29.949,3.251,29.611,56.331,70.387
25.229,33.382,4.71,5.71,30.079,6.192,29.271,175.753,64.157
24.159,31.271,3.96,5.05,29.478,7.098,27.7,111.898,61.657
23.26,29.671,3.31,4.53,27.738,8.959,26.43,285.691,54.157
22.348,28.399,2.95,4.35,26.068,7.391,25.359,218.864,44.157
21.238,28.2,3.21,4.79,23.967,1.653,24.72,9.994,33.243
23.018,30.67,3.87,5.43,25.238,0.0,26.83,0.0,28.244
24.72,32.67,4.49,5.98,27.407,0.2,28.659,0.2,29.543
26.389,33.97,4.73,5.96,30.579,1.044,30.13,18.629,40.743
27.33,35.992,5.26,6.25,32.078,1.729,31.611,54.173,52.044
26.869,35.702,5.25,6.04,29.738,3.15,31.251,45.005,69.158
26.129,34.721,5.11,5.82,29.038,1.884,30.411,23.837,76.3
25.389,33.952,5.01,5.89,29.949,5.594,29.671,83.871,70.387
25.03,33.151,4.69,5.7,30.079,6.438,29.07,105.039,64.157
24.389,31.499,3.97,5.04,29.378,9.981,27.93,190.35,61.657
23.62,30.029,3.34,4.55,27.539,10.828,26.79,358.659,54.157
22.149,28.23,2.94,4.36,26.038,1.407,25.19,65.753,44.157
21.538,28.43,3.21,4.79,23.897,0.732,25.018,1.539,33.243
22.849,30.501,3.86,5.45,25.238,0.059,26.659,0.059,28.244
24.519,32.47,4.47,5.97,27.407,0.2,28.459,0.2,29.543
26.69,34.271,4.77,5.97,30.679,1.044,30.501,14.894,40.743
26.989,35.651,5.24,6.24,32.078,2.732,31.341,96.701,52.044
27.33,36.162,5.3,6.07,29.738,1.501,31.71,28.508,69.158
25.729,34.321,5.07,5.82,29.038,4.365,30.011,16.442,76.3
25.53,34.093,5.03,5.87,30.448,4.079,29.811,62.344,70.387
25.159,33.28,4.7,5.7,30.079,6.949,29.17,130.189,64.157
24.219,31.33,3.97,5.06,29.378,11.202,27.759,345.925,61.657
22.689,29.1,3.26,4.51,27.738,12.12,25.86,445.582,54.157
22.348,28.399,2.95,4.32,26.068,7.434,25.359,284.524,44.157
21.739,28.7,3.25,4.83,24.698,1.132,25.219,12.625,33.243
22.419,30.071,3.82,5.45,25.238,1.179,26.23,1.973,28.244
24.189,32.14,4.43,5.96,27.407,0.468,28.13,0.587,29.543
26.219,33.8,4.72,5.96,30.679,3.388,29.959,63.327,40.743
26.889,35.621,5.25,6.25,32.078,1.655,31.241,4.108,52.044
27.1,35.933,5.27,6.04,29.738,1.678,31.482,77.409,69.158
25.901,34.492,5.09,5.84,29.038,2.485,30.18,13.395,76.3
24.86,33.351,4.93,5.84,29.949,4.757,29.07,97.998,70.387
24.66,32.811,4.66,5.69,30.079,6.875,28.7,140.382,64.157
23.819,30.93,3.92,5.04,29.378,10.892,27.36,245.655,61.657
23.088,29.47,3.29,4.5,27.738,8.838,26.26,174.202,54.157
22.619,28.67,2.97,4.33,26.068,8.193,25.629,205.006,44.157
22.038,28.93,3.25,4.82,24.698,3.055,25.519,33.809,33.243
22.66,30.341,3.85,5.48,25.167,2.566,26.5,57.398,28.244
23.96,31.911,4.42,5.97,27.407,1.365,27.899,29.799,29.543
25.89,33.541,4.71,5.95,30.679,2.032,29.7,29.589,40.743
27.13,35.862,5.27,6.27,32.078,2.238,31.482,38.902,52.044
26.43,35.333,5.23,6.06,29.738,2.0,30.881,27.82,69.158
25.53,34.122,5.05,5.77,29.038,3.847,29.811,75.734,76.3
25.86,34.421,5.08,5.89,29.949,5.468,30.141,117.46,70.387
25.018,33.14,4.68,5.69,30.079,5.11,29.03,157.76,64.157
24.989,32.1,4.04,5.05,29.478,4.142,28.53,77.915,61.657
23.948,30.329,3.36,4.55,27.908,9.6,27.089,265.112,54.157
22.708,28.759,2.98,4.37,26.068,4.293,25.719,97.388,44.157
21.637,28.6,3.23,4.83,24.397,0.2,25.12,0.2,33.243
22.719,30.371,3.84,5.46,25.238,1.406,26.529,17.74,28.244
23.918,31.87,4.41,5.96,26.538,0.468,27.86,0.558,29.543
26.659,34.241,4.76,5.96,30.579,1.195,30.4,43.109,40.743
26.69,35.452,5.23,6.29,32.078,2.27,31.07,35.557,52.044
25.93,34.833,5.18,6.02,29.738,1.807,30.381,31.21,69.158
25.229,33.822,5.0,5.77,29.038,5.575,29.51,144.059,76.3
25.03,33.522,4.95,5.83,29.949,5.043,29.241,120.566,70.387
24.66,32.781,4.64,5.67,30.079,4.102,28.67,108.733,64.157
24.319,31.429,3.97,5.04,29.478,9.845,27.86,165.369,61.657
23.518,29.899,3.32,4.55,27.738,10.126,26.69,210.224,54.157
21.789,27.87,2.92,4.36,24.808,4.319,24.83,99.202,44.157
21.379,28.27,3.2,4.8,23.868,1.584,24.79,26.641,33.243
21.918,29.57,3.77,5.45,24.228,1.703,25.729,49.962,28.244
23.19,31.141,4.34,5.92,26.009,0.67,27.13,0.67,29.543
25.89,33.541,4.71,5.96,30.649,0.26,29.7,0.26,40.743
26.189,34.851,5.15,6.24,31.938,2.222,30.47,88.567,52.044
25.46,34.292,5.11,5.95,28.527,3.578,29.84,63.09,69.158
25.831,34.421,5.08,5.79,29.038,5.028,30.11,48.541,76.3
24.889,33.452,4.96,5.87,29.949,6.981,29.17,155.53,70.387
24.389,32.511,4.62,5.66,29.638,5.8,28.43,94.416,64.157
24.119,31.23,3.96,5.03,29.378,5.046,27.659,97.031,61.657
23.419,29.8,3.32,4.53,27.368,9.24,26.559,250.474,54.157
21.848,27.899,2.92,4.34,25.838,5.207,24.86,71.801,44.157
21.479,28.37,3.21,4.82,24.268,4.492,24.889,47.997,33.243
21.219,28.87,3.72,5.43,23.908,2.285,25.03,15.128,28.244
22.79,30.741,4.29,5.88,26.009,1.037,26.729,50.191,29.543
25.86,33.441,4.69,5.92,30.649,0.23,29.6,0.231,40.743
26.189,34.851,5.15,6.24,30.279,3.172,30.47,61.968,52.044
25.401,34.303,5.12,5.98,29.378,2.7,29.851,85.64,69.158
25.77,34.362,5.07,5.77,29.228,2.507,30.051,43.233,76.3
25.53,34.022,5.0,5.87,29.949,2.187,29.741,27.187,70.387
24.6,32.722,4.64,5.68,28.819,3.35,28.641,29.163,64.157
24.459,31.57,3.98,5.05,29.478,4.195,28.0,12.841,61.657
23.159,29.54,3.29,4.52,27.738,13.334,26.33,505.114,54.157
22.289,28.37,2.95,4.31,26.068,6.781,25.33,189.881,44.157
22.979,29.87,3.32,4.81,25.798,1.397,26.389,1.397,33.243
23.448,31.1,3.9,5.52,25.238,0.089,27.259,0.09,28.244
23.518,31.47,4.37,5.96,26.439,1.179,27.46,13.957,29.543
26.36,33.941,4.73,5.93,30.579,1.044,30.1,1.441,40.743
27.189,35.851,5.24,6.26,32.078,2.984,31.47,66.563,52.044
26.3,35.132,5.2,6.04,29.738,2.508,30.681,51.195,69.158
25.46,34.051,5.04,5.79,29.038,4.233,29.741,98.793,76.3
25.13,33.621,4.97,5.85,29.949,2.871,29.411,104.579,70.387
24.589,32.711,4.64,5.68,30.079,5.752,28.6,115.449,64.157
24.29,31.4,3.97,5.04,29.378,7.735,27.829,135.771,61.657
23.419,29.8,3.32,4.52,27.638,11.55,26.559,379.615,54.157
22.52,28.571,2.96,4.35,26.068,6.937,25.53,300.517,44.157
22.038,28.93,3.25,4.81,24.698,4.057,25.519,130.185,33.243
23.018,30.67,3.87,5.47,25.038,0.0,26.83,0.0,28.244
24.319,32.27,4.45,5.98,28.308,0.26,28.259,0.26,29.543
26.189,33.77,4.72,5.96,30.649,1.523,29.93,43.171,40.743
26.989,35.651,5.24,6.24,32.078,1.473,31.341,36.22,52.044
26.93,35.762,5.26,6.01,29.738,1.233,31.311,44.857,69.158
26.6,35.192,5.15,5.84,29.638,2.156,30.881,15.571,76.3
25.559,34.122,5.04,5.9,29.949,4.899,29.84,76.945,70.387
25.43,33.581,4.75,5.71,30.949,5.719,29.47,221.837,64.157
24.79,31.899,4.01,5.08,29.378,7.164,28.329,214.622,61.657
23.289,29.7,3.32,4.56,27.738,13.675,26.459,594.909,54.157
21.848,27.899,2.92,4.31,25.808,1.902,24.86,2.235,44.157
22.319,29.211,3.27,4.82,24.698,5.578,25.729,118.483,33.243
22.278,29.93,3.81,5.45,24.298,0.0,26.089,0.0,28.244
24.219,32.17,4.44,5.96,27.407,0.2,28.16,0.2,29.543
26.248,33.829,4.72,5.92,30.679,1.688,30.059,56.951,40.743
28.03,36.692,5.34,6.25,32.078,1.0,32.311,2.886,52.044
27.33,36.162,5.3,6.09,29.738,2.989,31.71,54.653,69.158
25.559,34.152,5.05,5.82,29.038,3.992,29.84,86.211,76.3
25.33,33.892,5.01,5.87,29.949,5.923,29.611,127.951,70.387
24.959,33.081,4.68,5.7,30.079,4.493,29.0,92.931,64.157
24.149,31.26,3.96,5.05,29.319,10.473,27.688,267.656,61.657
22.948,29.33,3.28,4.52,27.427,6.405,26.119,89.684,54.157
22.149,28.2,2.93,4.32,25.609,4.466,25.159,85.273,44.157
21.908,28.799,3.24,4.82,24.698,4.562,25.319,89.502,33.243
21.918,29.57,3.77,5.45,24.027,1.798,25.729,10.444,28.244
23.76,31.71,4.39,5.93,27.407,0.2,27.7,0.2,29.543
26.159,33.741,4.72,5.94,30.579,1.094,29.969,20.473,40.743
26.69,35.452,5.23,6.26,31.989,2.344,31.07,43.257,52.044
26.9,35.733,5.25,6.01,29.738,2.556,31.281,39.405,69.158
26.129,34.721,5.11,5.83,29.038,2.446,30.411,26.708,76.3
25.53,34.022,5.0,5.87,29.949,4.186,29.741,63.139,70.387
25.089,33.21,4.69,5.7,30.079,4.15,29.1,91.383,64.157
24.019,31.13,3.94,5.04,29.378,9.664,27.559,232.046,61.657
23.448,29.829,3.32,4.54,27.738,13.148,26.619,280.816,54.157
21.778,27.829,2.92,4.35,24.568,4.476,24.79,55.046,44.157
21.238,28.2,3.21,4.79,23.927,5.334,24.72,125.5,33.243
22.348,30.0,3.81,5.44,24.667,0.059,26.159,0.059,28.244
23.848,31.8,4.4,5.94,26.009,2.248,27.79,58.534,29.543
26.448,34.1,4.77,5.98,30.579,1.062,30.259,12.104,40.743
26.83,35.522,5.22,6.25,32.078,1.07,31.141,17.244,52.044
27.1,35.933,5.27,6.04,29.738,2.349,31.482,42.42,69.158
26.2,34.791,5.12,5.83,29.038,1.702,30.481,15.518,76.3
25.53,34.093,5.03,5.9,30.819,2.712,29.811,23.023,70.387
25.089,33.241,4.7,5.71,30.079,5.304,29.13,153.934,64.157
24.389,31.499,3.97,5.05,29.378,10.254,27.93,307.444,61.657
23.518,29.899,3.32,4.53,27.738,4.093,26.69,29.658,54.157
22.219,28.3,2.95,4.36,26.068,6.525,25.26,204.838,44.157
21.608,28.571,3.23,4.82,23.897,3.052,25.089,33.689,33.243
22.649,30.3,3.83,5.45,25.238,0.0,26.459,0.0,28.244
24.079,32.1,4.45,5.98,27.108,2.021,28.089,55.892,29.543
26.659,34.241,4.76,5.93,30.679,1.576,30.4,7.082,40.743
27.919,36.581,5.31,6.27,32.078,1.884,32.2,37.195,52.044
27.2,36.032,5.29,6.07,29.208,1.596,31.581,27.005,69.158
26.059,34.651,5.1,5.83,29.038,3.1,30.341,44.332,76.3
25.53,34.022,5.0,5.88,29.949,4.704,29.741,56.841,70.387
24.72,32.841,4.66,5.68,30.079,7.404,28.729,230.786,64.157
24.72,31.829,4.0,5.05,29.378,6.652,28.259,59.377,61.657
23.448,29.829,3.32,4.55,27.337,8.892,26.619,157.729,54.157
21.949,28.0,2.92,4.35,25.579,4.003,24.959,57.756,44.157
21.208,28.171,3.21,4.81,23.768,3.272,24.69,18.359,33.243
22.02,29.7,3.8,5.44,24.357,0.119,25.86,0.119,28.244
23.719,31.671,4.39,5.92,26.439,2.223,27.659,89.835,29.543
26.72,34.3,4.78,5.96,30.679,1.328,30.53,18.083,40.743
26.749,35.481,5.23,6.27,31.938,2.499,31.1,101.416,52.044
26.729,35.561,5.23,6.03,29.738,1.988,31.111,11.891,69.158
25.831,34.421,5.08,5.83,29.038,3.003,30.11,23.993,76.3
24.889,33.452,4.96,5.86,29.949,6.405,29.17,143.304,70.387
25.089,33.21,4.69,5.68,30.079,3.753,29.1,44.064,64.157
24.449,31.559,3.98,5.06,29.378,8.088,27.989,195.736,61.657
23.119,29.53,3.3,4.54,27.738,10.566,26.29,255.8,54.157
22.049,28.101,2.93,4.31,25.838,8.985,25.06,330.214,44.157
22.038,28.93,3.25,4.81,24.698,3.887,25.519,88.758,33.243
22.419,30.071,3.82,5.45,25.238,1.23,26.23,10.704,28.244
24.519,32.47,4.47,5.96,27.407,1.084,28.459,5.919,29.543
26.69,34.271,4.76,5.97,30.579,1.438,30.431,6.975,40.743
26.889,35.621,5.25,6.27,32.078,2.633,31.241,72.122,52.044
26.9,35.803,5.28,6.06,29.738,1.821,31.351,10.916,69.158
25.971,34.592,5.1,5.83,29.038,3.407,30.282,58.711,76.3
25.389,33.952,5.01,5.89,29.949,4.062,29.671,80.077,70.387
25.018,33.14,4.68,5.69,30.079,6.577,29.03,84.731,64.157
24.519,31.63,3.99,5.07,29.478,8.149,28.059,110.41,61.657
22.689,29.1,3.26,4.53,27.638,8.84,25.86,266.236,54.157
22.379,28.43,2.95,4.31,26.068,4.114,25.389,36.146,44.157
22.008,28.9,3.25,4.81,24.698,2.182,25.489,24.328,33.243
22.79,30.47,3.86,5.47,25.238,1.901,26.63,32.502,28.244
24.489,32.441,4.46,5.98,27.407,1.108,28.43,5.679,29.543
26.03,33.611,4.7,5.96,30.679,3.895,29.77,76.32,40.743
26.6,35.263,5.18,6.24,31.33,3.014,30.881,45.289,52.044
26.3,35.132,5.2,5.99,29.708,3.317,30.681,61.593,69.158
26.159,34.751,5.11,5.81,29.038,3.011,30.441,18.871,76.3
25.53,34.022,5.0,5.87,29.949,2.938,29.741,48.519,70.387
