minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
21.683,30.831,3.8,5.44,24.328,1.09,26.245,4.522,31.574
22.036,32.085,4.45,6.15,23.351,3.421,27.022,24.961,27.493
22.612,32.962,5.02,6.67,24.951,1.008,27.776,6.658,28.792
24.916,34.488,5.27,6.6,28.528,1.155,29.702,42.543,40.98
25.108,34.822,5.39,6.57,30.128,2.932,29.965,60.698,51.293
25.056,34.06,5.13,6.0,28.559,1.96,29.558,34.393,70.988
24.257,33.06,4.99,5.78,28.036,2.853,28.659,32.423,77.508
24.061,32.688,4.9,5.81,28.582,3.649,28.386,129.231,71.3
24.138,32.794,4.77,5.81,28.607,7.337,28.416,205.069,63.8
23.538,31.57,4.18,5.28,27.983,5.711,27.516,87.153,62.493
22.114,29.777,3.58,4.88,26.181,7.37,25.946,161.896,53.785
20.583,28.475,3.3,4.79,24.204,3.871,24.491,48.243,42.493
20.583,29.73,3.7,5.39,22.828,2.795,25.144,39.255,31.574
20.313,30.361,4.28,6.04,22.28,2.718,25.299,19.176,27.493
22.89,33.24,5.04,6.63,25.427,1.181,28.053,15.808,28.792
25.185,34.757,5.3,6.6,28.452,1.164,29.971,32.898,40.98
25.609,35.32,5.45,6.6,30.128,3.74,30.465,111.19,51.293
25.333,34.337,5.15,6.02,28.56,3.218,29.835,50.584,70.988
24.334,33.061,4.97,5.76,28.036,3.505,28.735,57.715,77.508
24.339,32.99,4.94,5.84,29.312,4.335,28.663,109.474,71.3
23.66,32.318,4.72,5.82,28.607,6.135,27.939,159.899,63.8
22.761,30.77,4.1,5.24,27.983,10.665,26.717,203.229,62.493
22.037,29.701,3.57,4.84,25.882,6.54,25.869,91.096,53.785
21.359,29.253,3.35,4.8,24.305,4.944,25.269,162.85,42.493
20.96,30.131,3.75,5.38,22.828,1.212,25.545,6.291,31.574
21.836,31.884,4.43,6.11,23.351,1.021,26.822,2.677,27.493
23.19,33.539,5.08,6.67,25.052,0.0,28.353,0.0,28.792
25.339,34.91,5.32,6.62,28.528,1.01,30.124,7.694,40.98
25.161,34.873,5.4,6.6,30.128,6.393,30.016,119.128,51.293
25.032,34.037,5.12,6.0,28.559,2.742,29.535,75.456,70.988
24.233,33.036,4.99,5.79,28.036,3.418,28.635,37.581,77.508
23.761,32.39,4.87,5.81,28.582,5.489,28.063,120.044,71.3
23.461,32.194,4.74,5.8,28.607,9.052,27.815,269.658,63.8
23.384,31.393,4.16,5.27,27.983,7.784,27.339,158.476,62.493
21.683,29.347,3.53,4.87,25.404,8.187,25.515,163.539,53.785
