minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
22.609,30.478,3.59,5.12,25.793,1.664,26.526,14.919,35.061
22.831,31.529,4.17,5.77,25.023,2.695,27.156,41.576,31.043
23.235,32.131,4.66,6.23,26.492,2.016,27.69,16.802,32.569
24.973,33.192,4.82,6.08,29.873,2.076,29.079,47.106,45.677
25.537,33.47,4.79,5.89,31.207,2.481,29.499,50.081,55.688
25.242,32.673,4.55,5.38,29.795,1.25,28.942,30.463,72.813
24.625,32.003,4.49,5.26,29.187,1.751,28.299,27.649,77.446
24.452,31.801,4.48,5.36,29.37,2.156,28.098,43.405,71.314
24.381,31.8,4.38,5.37,29.478,5.881,28.057,221.052,65.074
23.916,31.092,3.98,5.01,28.97,5.776,27.504,118.318,63.879
22.67,29.521,3.44,4.61,27.591,9.106,26.061,222.092,57.205
21.702,28.535,3.15,4.55,25.434,4.361,25.086,56.794,45.143
21.718,29.586,3.52,5.08,24.46,3.772,25.634,59.478,35.061
21.161,29.82,3.99,5.68,24.043,2.954,25.447,48.29,31.043
23.298,32.257,4.67,6.2,26.861,2.325,27.775,23.395,32.569
25.494,33.713,4.87,6.09,29.845,1.761,29.6,19.968,45.677
25.852,33.786,4.83,5.9,31.207,2.317,29.82,62.03,55.688
25.589,33.027,4.6,5.41,29.797,3.115,29.296,61.499,72.813
24.461,31.84,4.47,5.25,29.187,1.276,28.137,12.634,77.446
24.671,32.045,4.51,5.38,29.918,3.071,28.339,75.075,71.314
24.216,31.636,4.36,5.41,29.478,4.054,27.894,77.997,65.074
23.205,30.342,3.88,4.98,28.97,10.366,26.793,245.282,63.879
22.575,29.446,3.44,4.6,27.459,7.568,25.986,189.586,57.205
22.178,29.01,3.18,4.55,25.897,4.774,25.561,134.472,45.143
22.036,29.903,3.54,5.08,24.46,1.377,25.952,12.982,35.061
22.705,31.363,4.15,5.74,25.024,1.683,26.991,8.134,31.043
23.679,32.611,4.71,6.23,26.285,0.193,28.127,0.193,32.569
25.674,33.894,4.88,6.1,29.85,1.109,29.781,11.494,45.677
25.818,33.752,4.82,5.91,31.207,4.615,29.782,124.891,55.688
