minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
21.432,29.542,3.61,5.02,24.224,2.59,25.474,32.203,38.243
22.092,30.785,4.16,5.62,23.985,2.967,26.444,65.658,33.989
22.479,31.089,4.51,5.94,25.568,3.373,26.796,46.805,36.305
23.871,31.71,4.57,5.7,28.552,4.833,27.808,152.341,49.53
24.5,31.539,4.35,5.33,29.518,4.176,27.991,140.814,58.655
24.034,30.366,4.02,4.81,28.501,2.901,27.165,18.764,70.948
23.356,29.717,3.99,4.75,27.745,1.969,26.515,16.527,73.598
23.282,29.643,4.01,4.84,27.72,1.502,26.442,31.784,69.069
23.077,29.691,4.0,4.92,27.754,7.625,26.372,141.092,64.381
22.784,29.543,3.78,4.75,27.637,6.99,26.164,121.374,62.885
21.894,28.646,3.38,4.46,26.656,12.849,25.245,328.233,57.36
21.129,28.166,3.21,4.45,24.168,5.345,24.616,32.109,48.352
20.595,28.706,3.54,4.98,23.344,3.846,24.638,136.362,38.243
20.798,29.491,4.03,5.52,23.546,3.454,25.113,26.801,33.989
22.716,31.328,4.54,5.9,25.879,3.687,27.007,72.174,36.305
24.398,32.236,4.62,5.72,28.555,3.488,28.334,46.947,49.53
24.936,31.937,4.38,5.33,29.518,3.132,28.391,56.634,58.655
24.403,30.733,4.06,4.84,28.598,7.051,27.571,178.164,70.948
23.167,29.529,3.98,4.75,27.745,1.96,26.328,2.704,73.598
23.662,30.024,4.05,4.85,28.247,3.092,26.819,93.935,69.069
23.177,29.792,4.02,4.95,27.754,4.95,26.471,44.56,64.381
22.387,29.112,3.73,4.71,27.637,12.102,25.73,371.821,62.885
21.758,28.507,3.37,4.45,26.621,9.233,25.107,265.56,57.36
21.437,28.513,3.25,4.45,25.097,5.765,24.964,95.101,48.352
21.446,29.556,3.61,4.99,23.517,1.637,25.487,34.659,38.243
22.004,30.696,4.15,5.59,24.006,1.798,26.357,9.927,33.989
22.851,31.46,4.56,5.94,25.082,0.331,27.139,0.33,36.305
24.602,32.44,4.65,5.72,28.591,2.764,28.499,44.537,49.53
24.647,31.647,4.35,5.32,29.518,6.243,28.099,159.094,58.655
24.409,30.74,4.06,4.82,28.501,4.152,27.538,34.718,70.948
23.337,29.7,4.0,4.75,27.839,3.403,26.497,28.261,73.598
23.217,29.577,4.01,4.84,27.72,6.794,26.376,71.828,69.069
23.018,29.632,4.0,4.91,27.754,7.271,26.314,131.229,64.381
22.938,29.659,3.78,4.73,27.637,8.511,26.28,148.436,62.885
22.01,28.757,3.39,4.48,26.319,8.378,25.356,261.149,57.36
20.652,27.687,3.17,4.45,24.32,7.245,24.138,137.496,48.352
20.129,28.238,3.51,4.96,22.657,2.292,24.17,56.182,38.243
20.417,29.111,4.0,5.52,22.742,0.662,24.729,0.693,33.989
21.865,30.48,4.46,5.87,24.497,0.331,26.158,0.33,36.305
24.192,32.035,4.6,5.69,28.552,1.096,28.094,1.863,49.53
24.555,31.584,4.36,5.35,29.511,2.723,28.038,42.213,58.655
23.435,29.768,3.98,4.8,27.683,3.395,26.567,5.899,70.948
23.015,29.375,3.98,4.74,27.745,6.108,26.175,99.208,73.598
22.766,29.126,3.98,4.8,27.72,2.197,25.926,13.214,69.069
23.281,29.897,4.03,4.91,27.754,2.634,26.575,24.289,64.381
22.978,29.701,3.78,4.73,27.637,7.818,26.321,207.961,62.885
22.201,28.948,3.41,4.5,26.624,2.638,25.549,26.766,57.36
20.675,27.711,3.18,4.45,24.28,5.712,24.161,93.176,48.352
20.435,28.545,3.53,4.95,23.517,1.216,24.477,2.106,38.243
21.415,30.108,4.09,5.53,23.912,0.632,25.729,1.484,33.989
23.205,31.816,4.58,5.95,25.636,0.71,27.493,1.189,36.305
23.609,31.447,4.55,5.71,28.516,6.34,27.505,102.348,49.53
24.29,31.33,4.33,5.3,29.509,4.507,27.781,91.897,58.655
24.038,30.369,4.02,4.79,28.598,3.308,27.169,72.93,70.948
24.15,30.512,4.06,4.77,28.675,1.128,27.307,1.888,73.598
23.482,29.844,4.03,4.86,27.72,3.106,26.64,68.345,69.069
23.617,30.232,4.06,4.95,27.754,3.25,26.91,40.975,64.381
22.758,29.479,3.77,4.74,27.637,10.014,26.099,188.92,62.885
22.084,28.834,3.41,4.46,26.656,8.091,25.433,145.725,57.36
21.206,28.243,3.21,4.45,24.248,2.042,24.693,9.355,48.352
21.114,29.227,3.58,4.96,23.517,2.611,25.157,18.07,38.243
22.07,30.762,4.14,5.57,23.893,0.741,26.383,10.138,33.989
22.948,31.56,4.57,5.93,25.603,3.063,27.238,26.61,36.305
24.82,32.66,4.68,5.74,28.555,2.674,28.758,29.125,49.53
24.71,31.713,4.35,5.34,29.544,3.476,28.166,25.978,58.655
23.981,30.313,4.02,4.81,28.626,3.58,27.111,18.424,70.948
23.477,29.84,4.01,4.77,27.745,3.553,26.64,36.453,73.598
22.876,29.236,3.98,4.82,27.72,4.194,26.035,104.438,69.069
23.472,30.087,4.04,4.94,27.754,2.767,26.764,21.55,64.381
22.555,29.319,3.77,4.75,27.637,9.894,25.939,276.212,62.885
21.509,28.261,3.35,4.45,26.656,10.46,24.862,282.579,57.36
21.202,28.239,3.22,4.45,24.371,7.06,24.689,77.828,48.352
20.543,28.653,3.54,4.96,23.517,1.662,24.584,58.729,38.243
21.179,29.875,4.06,5.54,24.032,1.072,25.493,5.476,33.989
22.71,31.323,4.54,5.93,25.879,2.691,27.001,22.54,36.305
23.776,31.654,4.58,5.71,28.41,5.554,27.713,128.375,49.53
24.718,31.719,4.36,5.32,29.518,3.301,28.21,32.241,58.655
24.034,30.366,4.02,4.82,28.501,1.532,27.165,8.378,70.948
23.274,29.637,3.99,4.75,27.745,3.259,26.436,63.312,73.598
22.658,29.018,3.97,4.8,26.757,3.123,25.818,11.123,69.069
23.377,29.994,4.04,4.93,27.754,4.739,26.671,40.173,64.381
22.491,29.215,3.74,4.73,27.637,11.175,25.834,285.435,62.885
21.746,28.523,3.38,4.46,26.656,9.298,25.123,173.827,57.36
21.195,28.232,3.22,4.45,24.342,5.578,24.682,76.438,48.352
20.604,28.713,3.54,4.97,23.517,1.95,24.644,22.899,38.243
20.797,29.49,4.04,5.52,24.004,2.923,25.111,133.193,33.989
22.342,30.952,4.5,5.89,25.277,3.781,26.631,67.864,36.305
24.564,32.405,4.65,5.71,28.552,3.948,28.463,79.476,49.53
24.456,31.523,4.37,5.36,29.518,3.476,27.974,63.912,58.655
23.593,29.923,3.99,4.81,28.542,1.736,26.722,13.911,70.948
22.679,29.04,3.94,4.71,27.083,3.34,25.839,27.779,73.598
