minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
20.759,31.483,4.07,5.8,22.427,1.33,26.087,4.115,29.33
21.174,32.932,4.79,6.56,21.858,2.346,27.036,14.492,25.552
21.959,34.079,5.44,7.14,23.42,0.542,27.994,2.359,27.072
24.645,35.896,5.8,7.15,26.928,1.524,30.279,41.816,39.074
24.223,35.026,5.67,6.97,28.507,3.69,29.659,98.801,49.572
24.079,33.526,5.18,6.13,27.589,2.889,28.78,41.159,70.403
23.434,32.413,4.97,5.79,27.18,3.747,27.921,48.15,78.679
23.283,32.337,4.97,5.9,27.567,3.832,27.789,121.106,71.541
23.518,32.865,4.93,6.0,27.521,7.663,28.178,159.483,63.799
22.969,31.694,4.32,5.5,26.992,5.796,27.328,112.879,60.551
21.59,30.265,3.79,5.17,25.055,5.965,25.917,145.188,51.31
19.567,28.74,3.5,5.09,22.56,2.916,24.102,36.298,40.293
19.483,30.204,3.95,5.7,21.429,2.629,24.809,17.537,29.33
19.678,31.388,4.61,6.41,21.063,1.634,25.495,9.526,25.552
22.458,34.579,5.51,7.11,24.006,1.245,28.495,17.428,27.072
24.666,35.938,5.8,7.15,26.919,1.766,30.301,45.896,39.074
24.79,35.621,5.73,6.98,28.507,5.62,30.227,150.73,49.572
24.579,34.007,5.23,6.16,27.722,2.966,29.258,78.497,70.403
23.601,32.57,4.98,5.79,27.18,5.697,28.09,70.228,78.679
23.927,32.954,5.02,5.95,28.634,4.891,28.406,110.434,71.541
22.773,32.119,4.85,5.99,27.521,6.008,27.431,106.473,63.799
22.279,31.005,4.25,5.44,26.992,10.823,26.637,234.866,60.551
21.4,30.073,3.77,5.13,24.734,4.929,25.725,55.458,51.31
20.545,29.717,3.57,5.12,22.906,4.6,25.08,106.705,40.293
20.061,30.782,4.01,5.73,21.429,0.674,25.386,1.193,29.33
20.953,32.711,4.76,6.5,21.906,0.497,26.815,0.874,25.552
22.828,34.928,5.54,7.15,23.696,0.003,28.863,0.003,27.072
24.934,36.205,5.83,7.19,26.995,1.102,30.571,9.608,39.074
24.506,35.312,5.69,6.98,28.507,7.6,29.875,152.27,49.572
24.259,33.686,5.2,6.14,27.589,3.03,28.939,106.82,70.403
23.461,32.44,4.98,5.81,27.202,5.216,27.95,37.417,78.679
23.122,32.128,4.94,5.9,27.567,6.081,27.579,147.812,71.541
22.691,32.046,4.84,5.97,27.521,8.527,27.359,209.257,63.799
22.59,31.316,4.28,5.48,26.992,8.074,26.949,168.454,60.551
20.754,29.429,3.7,5.14,24.056,7.655,25.08,232.8,51.31
19.217,28.459,3.48,5.09,22.108,3.573,23.823,51.178,40.293
18.835,29.603,3.92,5.7,20.579,1.353,24.207,10.156,29.33
19.52,31.23,4.6,6.41,20.785,0.0,25.337,0.0,25.552
21.937,34.058,5.43,7.09,22.696,0.003,27.972,0.003,27.072
24.766,36.016,5.8,7.16,26.975,1.934,30.378,41.985,39.074
23.891,34.745,5.63,6.99,26.896,6.172,29.328,182.357,49.572
23.145,32.591,5.08,6.11,27.155,3.14,27.891,55.292,70.403
22.802,31.781,4.9,5.75,27.18,6.674,27.29,117.614,78.679
23.122,32.128,4.94,5.88,27.567,3.797,27.579,32.41,71.541
23.231,32.588,4.91,5.98,27.521,4.298,27.899,91.528,63.799
22.87,31.595,4.31,5.5,26.992,7.292,27.227,117.266,60.551
21.254,29.928,3.76,5.14,24.555,1.252,25.58,6.28,51.31
19.449,28.67,3.5,5.09,22.818,1.791,24.033,10.572,40.293
19.282,30.051,3.95,5.69,21.337,0.82,24.656,3.938,29.33
20.91,32.668,4.76,6.49,21.796,0.376,26.773,1.979,25.552
22.839,34.96,5.55,7.2,23.497,1.143,28.874,17.482,27.072
24.155,35.427,5.73,7.14,25.717,3.999,29.79,67.022,39.074
24.558,35.411,5.71,6.97,28.554,6.361,29.974,93.547,49.572
24.401,33.827,5.21,6.13,27.858,2.435,29.08,58.626,70.403
24.163,33.134,5.05,5.83,28.669,4.271,28.644,39.905,78.679
23.621,32.628,4.98,5.94,27.567,5.948,28.078,108.611,71.541
23.364,32.72,4.91,6.01,27.945,4.568,28.029,61.716,63.799
22.68,31.405,4.29,5.48,26.992,11.074,27.039,180.261,60.551
21.622,30.297,3.79,5.14,25.065,4.394,25.948,35.878,51.31
19.886,29.107,3.53,5.09,22.349,0.911,24.47,1.201,40.293
20.43,31.15,4.04,5.71,21.405,2.422,25.754,24.372,29.33
21.567,33.278,4.81,6.55,21.807,1.316,27.405,10.644,25.552
22.159,34.279,5.47,7.12,23.306,1.181,28.194,6.806,27.072
25.745,37.016,5.93,7.16,26.995,0.772,31.38,1.619,39.074
25.638,36.443,5.83,7.05,28.596,3.308,31.074,60.791,49.572
24.143,33.569,5.19,6.16,27.589,3.555,28.87,75.927,70.403
23.583,32.562,4.98,5.82,27.18,5.54,28.07,51.056,78.679
22.981,31.988,4.92,5.9,27.567,7.362,27.439,172.326,71.541
22.463,31.82,4.81,5.95,27.521,5.709,27.132,62.358,63.799
22.559,31.294,4.29,5.45,26.992,7.942,26.927,165.054,60.551
21.509,30.185,3.78,5.14,25.055,5.759,25.835,68.48,51.31
20.134,29.328,3.55,5.14,22.894,4.367,24.691,62.723,40.293
19.303,30.072,3.95,5.71,21.427,1.33,24.677,13.311,29.33
20.41,32.168,4.7,6.47,22.116,0.128,26.276,0.145,25.552
