minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
22.629,30.738,3.69,5.22,25.577,1.696,26.669,21.644,35.442
23.074,31.853,4.24,5.82,25.244,2.523,27.436,57.021,32.082
23.537,32.289,4.65,6.19,26.776,2.618,27.947,30.259,33.851
24.977,33.03,4.76,5.98,29.972,2.959,28.988,102.457,47.928
25.512,32.921,4.6,5.65,31.152,2.835,29.184,91.042,57.928
25.044,31.811,4.28,5.1,30.012,2.012,28.407,33.748,74.24
24.456,31.257,4.26,5.02,29.346,2.093,27.852,31.62,77.5
24.356,31.157,4.27,5.14,29.285,1.837,27.752,34.713,71.0
24.239,31.246,4.23,5.23,29.318,5.497,27.719,182.198,65.0
23.855,30.859,3.93,4.96,29.046,6.324,27.357,136.322,64.581
22.705,29.587,3.45,4.63,27.883,10.506,26.113,275.377,58.045
21.924,28.998,3.26,4.62,25.504,4.274,25.436,35.634,45.546
21.833,29.95,3.62,5.18,24.631,2.978,25.881,71.923,35.442
21.505,30.258,4.08,5.73,24.546,3.087,25.842,41.282,32.082
23.572,32.35,4.66,6.15,27.135,2.881,27.939,53.142,33.851
25.584,33.646,4.82,5.99,29.963,2.321,29.603,36.115,47.928
25.895,33.303,4.63,5.68,31.152,2.266,29.565,53.023,57.928
25.377,32.146,4.31,5.13,30.105,4.557,28.741,129.937,74.24
24.15,30.96,4.24,5.02,29.346,1.83,27.556,7.915,77.5
24.579,31.388,4.3,5.17,29.915,2.994,27.984,93.628,71.0
24.138,31.145,4.23,5.25,29.318,4.129,27.618,50.433,65.0
23.253,30.231,3.87,4.92,29.046,10.926,26.754,329.061,64.581
22.719,29.592,3.46,4.6,27.783,7.76,26.119,212.486,58.045
22.398,29.465,3.29,4.62,26.176,4.377,25.904,96.222,45.546
22.264,30.382,3.66,5.18,24.654,1.146,26.312,17.381,35.442
22.9,31.654,4.21,5.78,25.253,1.675,27.238,8.047,32.082
23.89,32.668,4.7,6.19,26.446,0.297,28.259,0.296,33.851
25.637,33.698,4.83,6.01,29.972,1.591,29.656,25.732,47.928
25.716,33.124,4.62,5.68,31.152,4.674,29.386,132.354,57.928
25.393,32.162,4.31,5.13,30.012,2.653,28.756,23.857,74.24
24.318,31.127,4.25,5.05,29.447,2.436,27.723,34.804,77.5
24.135,30.935,4.26,5.14,29.285,5.968,27.54,121.847,71.0
24.041,31.048,4.23,5.21,29.318,6.122,27.521,172.339,65.0
23.942,30.918,3.92,4.95,29.046,8.069,27.417,116.342,64.581
