minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
22.863,30.338,3.49,5.03,25.967,1.478,26.57,8.368,34.25
23.02,31.352,4.08,5.69,25.125,3.047,27.17,34.904,29.943
23.396,32.072,4.6,6.17,26.666,1.573,27.722,19.132,31.553
25.313,33.349,4.79,6.03,30.149,1.536,29.311,37.816,43.841
26.051,34.33,4.98,6.04,31.552,2.218,30.186,40.771,54.055
25.899,33.933,4.87,5.65,29.82,1.36,29.887,38.36,71.704
25.129,33.042,4.75,5.5,29.193,1.726,29.081,21.428,77.368
24.843,32.674,4.69,5.57,29.664,2.889,28.718,83.241,71.166
24.676,32.403,4.51,5.51,29.815,6.189,28.52,237.624,64.811
24.257,31.416,3.98,5.03,29.143,5.582,27.838,74.147,63.464
22.883,29.556,3.38,4.59,27.609,9.19,26.186,196.799,56.21
21.83,28.386,3.07,4.46,25.523,4.516,25.103,96.618,44.984
21.899,29.365,3.42,4.99,24.55,4.411,25.605,78.516,34.25
21.241,29.577,3.93,5.6,23.976,3.107,25.392,34.738,29.943
23.524,32.16,4.6,6.09,26.979,1.805,27.809,15.417,31.553
25.903,33.941,4.86,6.05,30.082,1.158,29.892,10.853,43.841
26.372,34.661,5.03,6.06,31.552,2.322,30.515,65.934,54.055
26.07,34.153,4.89,5.67,29.82,3.149,30.106,41.491,71.704
25.069,32.983,4.75,5.51,29.193,2.096,29.02,39.916,77.368
24.981,32.842,4.73,5.58,30.02,3.616,28.882,101.122,71.166
24.521,32.248,4.51,5.53,29.815,4.341,28.364,162.81,64.811
23.496,30.652,3.92,5.0,29.132,10.332,27.073,176.187,63.464
22.816,29.498,3.38,4.57,27.43,8.262,26.128,186.665,56.21
22.365,28.92,3.1,4.46,25.883,5.397,25.638,202.242,44.984
22.245,29.714,3.43,4.98,24.55,1.605,25.955,22.602,34.25
22.895,31.232,4.05,5.66,25.125,1.803,27.047,5.189,29.943
23.844,32.482,4.62,6.15,26.486,0.09,28.132,0.089,31.553
25.95,33.989,4.86,6.07,30.141,0.963,29.95,3.878,43.841
26.076,34.355,4.98,6.05,31.552,4.559,30.211,85.601,54.055
25.908,33.949,4.85,5.66,29.82,2.334,29.904,52.459,71.704
25.111,33.025,4.75,5.51,29.201,2.48,29.064,56.606,77.368
24.494,32.341,4.67,5.56,29.663,5.385,28.379,122.2,71.166
24.376,32.129,4.5,5.49,29.815,7.332,28.243,294.266,64.811
24.31,31.465,4.0,5.03,29.133,7.244,27.887,134.662,63.464
22.843,29.525,3.38,4.6,27.023,8.741,26.154,127.327,56.21
21.538,28.066,3.04,4.46,25.486,6.703,24.784,303.012,44.984
21.353,28.827,3.38,4.96,24.153,2.032,25.058,39.86,34.25
21.329,29.664,3.93,5.6,23.745,0.053,25.479,0.053,29.943
23.05,31.674,4.54,6.08,25.578,0.09,27.326,0.089,31.553
25.938,33.986,4.86,6.05,30.2,0.817,29.937,8.717,43.841
25.958,34.248,4.97,6.07,30.692,2.972,30.103,73.32,54.055
25.37,33.41,4.79,5.64,29.685,2.314,29.367,9.607,71.704
24.725,32.639,4.72,5.47,29.193,5.356,28.678,76.303,77.368
24.461,32.289,4.66,5.53,29.664,2.341,28.365,22.425,71.166
24.978,32.703,4.55,5.51,29.815,3.211,28.818,49.3,64.811
24.291,31.45,3.98,5.03,29.132,6.65,27.872,101.212,63.464
23.23,29.904,3.41,4.61,27.437,2.808,26.533,18.965,56.21
21.424,27.98,3.04,4.48,25.539,4.367,24.698,92.706,44.984
21.256,28.742,3.37,4.92,24.55,0.595,24.973,1.666,34.25
22.499,30.835,4.02,5.62,24.843,0.058,26.65,0.057,29.943
24.402,33.082,4.7,6.18,26.692,1.124,28.739,5.043,31.553
25.201,33.247,4.78,6.05,29.474,4.135,29.199,55.346,43.841
25.958,34.247,4.97,6.04,31.455,3.496,30.103,77.861,54.055
26.033,34.105,4.89,5.63,29.836,1.51,30.061,13.011,71.704
26.234,34.147,4.85,5.54,30.386,2.888,30.186,42.894,77.368
24.986,32.836,4.73,5.59,29.664,4.167,28.878,128.898,71.166
25.179,32.905,4.56,5.53,30.387,3.436,29.023,79.59,64.811
24.098,31.253,3.96,5.03,29.132,10.266,27.673,209.44,63.464
23.064,29.787,3.42,4.6,27.624,6.889,26.414,128.234,56.21
22.053,28.584,3.07,4.46,25.486,1.293,25.325,6.579,44.984
22.27,29.735,3.44,4.95,24.55,3.187,25.965,43.204,34.25
23.308,31.642,4.1,5.67,25.117,1.413,27.457,15.354,29.943
23.608,32.285,4.63,6.15,26.378,1.65,27.934,21.04,31.553
26.465,34.55,4.91,6.08,30.149,1.053,30.501,6.252,43.841
26.737,35.028,5.06,6.1,31.552,1.654,30.884,23.903,54.055
25.844,33.878,4.84,5.65,29.873,2.364,29.834,21.64,71.704
25.525,33.438,4.78,5.53,29.193,3.142,29.479,42.473,77.368
24.196,32.029,4.65,5.54,29.664,5.44,28.069,147.802,71.166
24.71,32.436,4.52,5.52,29.815,3.784,28.554,19.421,64.811
23.875,31.028,3.95,5.02,29.143,7.882,27.45,206.691,63.464
22.699,29.373,3.37,4.58,27.675,9.48,26.0,260.737,56.21
22.219,28.775,3.09,4.47,25.546,8.134,25.491,177.946,44.984
21.641,29.109,3.4,4.97,24.55,1.226,25.34,6.358,34.25
22.023,30.358,3.98,5.62,25.125,0.517,26.173,1.933,29.943
23.842,32.479,4.62,6.14,26.979,0.498,28.127,1.432,31.553
25.367,33.402,4.8,6.03,29.176,4.216,29.354,116.674,43.841
26.468,34.746,5.03,6.05,31.552,2.203,30.602,59.971,54.055
25.875,33.897,4.85,5.65,29.82,2.82,29.854,22.94,71.704
25.188,33.102,4.75,5.51,29.193,2.845,29.142,23.98,77.368
24.384,32.221,4.65,5.53,29.135,4.112,28.259,44.295,71.166
24.978,32.703,4.55,5.52,29.815,5.659,28.818,138.143,64.811
23.884,31.038,3.95,5.03,29.143,8.614,27.459,186.469,63.464
22.936,29.609,3.38,4.58,27.619,8.394,26.238,369.875,56.21
22.131,28.662,3.08,4.46,25.655,4.341,25.404,57.976,44.984
21.753,29.222,3.41,4.99,24.55,1.996,25.463,3.659,34.25
21.616,29.95,3.95,5.63,24.07,3.013,25.766,49.188,29.943
23.11,31.784,4.56,6.09,26.145,1.568,27.435,7.286,31.553
26.638,34.676,4.91,6.06,30.092,1.173,30.626,17.832,43.841
26.269,34.547,5.0,6.09,31.552,2.041,30.401,21.499,54.055
25.847,33.869,4.84,5.65,29.82,1.113,29.825,20.477,71.704
24.808,32.721,4.72,5.5,28.871,2.831,28.761,31.636,77.368
24.461,32.289,4.66,5.54,29.445,3.719,28.365,61.592,71.166
23.967,31.72,4.47,5.48,29.815,6.935,27.837,176.772,64.811
23.884,31.038,3.95,5.0,29.132,10.681,27.459,207.865,63.464
22.524,29.207,3.37,4.59,27.222,4.515,25.833,27.146,56.21
21.423,27.977,3.04,4.44,25.372,3.206,24.693,36.955,44.984
21.66,29.122,3.4,4.93,24.067,3.7,25.354,44.06,34.25
22.1,30.434,3.99,5.63,25.125,1.741,26.25,11.387,29.943
23.703,32.341,4.62,6.13,26.979,0.333,28.048,0.558,31.553
25.748,33.785,4.84,6.07,30.092,3.091,29.736,23.268,43.841
