minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
20.801,30.18,3.87,5.52,22.569,1.181,25.481,32.563,33.344
21.806,31.235,4.31,5.97,23.437,3.364,26.486,31.869,31.303
22.319,31.282,4.58,6.21,24.934,4.111,26.767,73.877,33.6
23.549,31.763,4.66,6.0,27.619,6.957,27.647,249.446,47.535
23.404,30.884,4.42,5.64,28.403,7.864,27.135,283.655,57.536
22.637,29.103,3.96,4.88,27.851,22.155,25.854,408.417,75.22
22.369,28.768,3.92,4.77,27.167,14.522,25.551,238.997,77.92
22.519,28.785,3.91,4.87,26.865,10.178,25.635,204.156,70.841
22.216,28.914,3.94,5.04,26.733,11.501,25.548,294.43,64.424
21.986,29.083,3.8,4.91,26.936,9.798,25.5,204.494,63.343
21.032,28.364,3.45,4.71,26.221,12.485,24.683,288.903,56.725
20.104,28.501,3.46,4.93,23.123,3.679,24.303,35.72,44.004
19.936,29.333,3.78,5.46,22.269,2.166,24.636,47.473,33.344
20.471,29.901,4.18,5.88,23.07,1.404,25.152,4.596,31.303
22.482,31.43,4.59,6.17,25.449,4.077,26.914,127.025,33.6
23.868,32.081,4.7,6.01,27.585,5.224,27.967,122.832,47.535
24.021,31.451,4.45,5.65,28.352,5.505,27.702,125.234,57.536
23.0,29.465,3.98,4.92,27.902,17.65,26.217,648.351,75.22
21.851,28.25,3.88,4.75,27.134,19.579,25.033,354.327,77.92
22.883,29.15,3.94,4.89,27.782,11.704,25.999,331.941,70.841
21.952,28.667,3.93,5.05,26.733,13.625,25.301,325.472,64.424
21.669,28.748,3.77,4.88,26.885,15.965,25.167,504.606,63.343
21.368,28.698,3.49,4.7,26.121,7.326,25.017,185.315,56.725
20.803,29.199,3.52,4.96,24.106,3.448,25.001,98.609,44.004
20.854,30.233,3.87,5.5,22.538,1.088,25.535,18.544,33.344
21.355,30.784,4.26,5.95,23.519,1.936,26.035,3.626,31.303
22.683,31.647,4.63,6.2,24.682,0.519,27.132,0.519,33.6
23.8,32.013,4.69,6.03,27.701,4.885,27.9,78.451,47.535
23.421,30.901,4.42,5.64,28.318,10.028,27.152,315.09,57.536
23.035,29.501,3.99,4.91,27.851,18.888,26.252,133.206,75.22
21.771,28.169,3.87,4.76,27.167,16.034,24.953,385.076,77.92
22.25,28.517,3.89,4.86,26.814,21.812,25.368,237.09,70.841
21.703,28.4,3.89,5.03,26.733,14.909,25.034,370.341,64.424
21.703,28.784,3.78,4.88,26.936,13.852,25.218,349.37,63.343
20.938,28.269,3.45,4.72,25.758,9.62,24.588,269.414,56.725
19.62,28.018,3.41,4.93,22.907,4.254,23.819,78.929,44.004
19.305,28.7,3.74,5.44,21.372,2.131,24.003,62.431,33.344
19.921,29.351,4.12,5.87,22.185,1.034,24.603,2.758,31.303
21.5,30.446,4.51,6.14,24.049,3.175,25.93,13.515,33.6
23.183,31.397,4.63,5.97,27.65,3.937,27.282,47.676,47.535
23.073,30.503,4.35,5.62,27.822,6.5,26.754,149.582,57.536
21.753,28.217,3.87,4.85,26.4,23.199,24.986,363.793,75.22
21.337,27.736,3.83,4.71,27.119,17.762,24.519,422.93,77.92
22.134,28.4,3.88,4.84,26.865,12.55,25.25,146.818,70.841
22.168,28.866,3.94,5.03,26.733,8.022,25.5,158.002,64.424
21.986,29.083,3.8,4.91,26.936,10.787,25.5,388.253,63.343
21.17,28.501,3.47,4.72,26.089,1.592,24.819,8.979,56.725
20.069,28.466,3.46,4.94,24.106,2.906,24.267,25.805,44.004
19.803,29.181,3.77,5.45,22.538,0.164,24.484,0.163,33.344
20.87,30.3,4.21,5.9,23.437,1.089,25.551,3.492,31.303
22.518,31.481,4.61,6.21,24.983,2.543,26.966,6.04,33.6
23.001,31.214,4.6,5.99,27.287,7.053,27.098,143.279,47.535
23.252,30.682,4.38,5.6,28.352,8.728,26.985,186.073,57.536
22.668,29.133,3.97,4.87,27.951,20.024,25.901,628.542,75.22
22.571,28.97,3.95,4.78,28.183,11.46,25.754,228.552,77.92
22.468,28.735,3.9,4.87,26.814,13.85,25.584,233.233,70.841
22.521,29.235,3.99,5.08,26.733,9.559,25.87,156.798,64.424
21.885,28.983,3.79,4.9,26.885,12.019,25.399,327.13,63.343
21.635,28.964,3.51,4.72,26.221,5.794,25.284,85.704,56.725
20.12,28.467,3.45,4.92,22.89,0.568,24.268,0.567,44.004
20.434,29.831,3.83,5.48,22.569,1.958,25.133,23.037,33.344
21.054,30.484,4.24,5.93,23.288,1.134,25.735,10.15,31.303
22.434,31.382,4.59,6.18,25.367,3.257,26.867,22.597,33.6
24.249,32.461,4.73,6.03,27.718,4.824,28.348,75.986,47.535
23.769,31.198,4.43,5.66,28.403,6.681,27.449,98.214,57.536
22.401,28.866,3.93,4.89,27.851,19.161,25.618,246.335,75.22
21.704,28.102,3.87,4.75,27.167,14.632,24.886,398.061,77.92
22.035,28.301,3.88,4.85,26.865,15.604,25.151,377.04,70.841
22.037,28.737,3.94,5.03,26.733,7.821,25.371,106.28,64.424
21.851,28.932,3.79,4.89,26.885,12.36,25.365,285.227,63.343
21.049,28.398,3.46,4.71,26.221,8.632,24.716,181.464,56.725
20.336,28.682,3.45,4.95,23.072,5.036,24.484,67.474,44.004
19.737,29.115,3.76,5.45,22.538,1.087,24.418,35.921,33.344
20.754,30.183,4.21,5.9,23.668,1.002,25.434,3.166,31.303
22.285,31.249,4.58,6.2,25.449,3.845,26.733,73.108,33.6
22.736,30.949,4.58,5.97,27.472,7.443,26.834,288.106,47.535
23.421,30.901,4.42,5.63,28.335,6.464,27.152,87.192,57.536
22.501,28.967,3.94,4.88,27.851,25.01,25.718,314.463,75.22
21.852,28.251,3.88,4.77,27.134,14.753,25.034,472.607,77.92
21.402,27.669,3.82,4.81,26.213,13.163,24.518,220.13,70.841
22.168,28.866,3.94,5.03,26.733,13.125,25.5,251.649,64.424
21.884,28.964,3.79,4.89,26.885,13.452,25.398,317.434,63.343
21.284,28.615,3.48,4.72,26.221,8.313,24.933,165.472,56.725
20.319,28.665,3.45,4.95,23.203,3.892,24.467,69.542,44.004
20.019,29.399,3.8,5.46,22.538,1.204,24.7,6.773,33.344
20.536,30.016,4.2,5.93,23.555,2.534,25.268,107.252,31.303
21.868,30.814,4.53,6.15,24.617,3.77,26.3,116.331,33.6
23.667,31.88,4.68,6.01,27.718,6.123,27.765,142.065,47.535
23.187,30.619,4.38,5.62,28.403,7.741,26.869,164.602,57.536
22.2,28.682,3.92,4.9,27.851,13.572,25.433,335.31,75.22
20.918,27.317,3.79,4.71,26.086,15.129,24.101,387.544,77.92
21.969,28.234,3.87,4.83,26.696,12.834,25.084,267.244,70.841
21.834,28.548,3.91,5.03,26.733,12.315,25.182,331.668,64.424
21.884,28.964,3.79,4.9,26.952,12.664,25.398,443.698,63.343
20.818,28.148,3.44,4.71,25.303,4.507,24.467,21.857,56.725
19.819,28.217,3.44,4.93,22.62,2.19,24.018,10.672,44.004
19.485,28.865,3.75,5.44,21.686,2.174,24.167,38.785,33.344
20.502,29.932,4.17,5.89,23.668,2.431,25.184,51.639,31.303
22.317,31.264,4.58,6.19,25.449,2.817,26.748,45.94,33.6
23.167,31.382,4.63,6.0,27.57,8.243,27.267,124.403,47.535
23.122,30.552,4.36,5.61,28.352,12.137,26.804,345.672,57.536
22.25,28.733,3.92,4.89,27.834,17.834,25.483,270.687,75.22
21.153,27.552,3.82,4.73,26.05,11.508,24.336,269.78,77.92
21.766,28.034,3.83,4.82,26.546,13.426,24.884,450.924,70.841
21.718,28.416,3.9,5.02,25.964,9.076,25.051,251.133,64.424
21.851,28.932,3.79,4.89,26.969,9.983,25.365,178.465,63.343
21.082,28.431,3.47,4.71,25.922,7.704,24.749,133.951,56.725
20.386,28.731,3.46,4.94,23.387,1.921,24.533,33.377,44.004
19.968,29.348,3.79,5.49,22.569,1.127,24.65,25.328,33.344
20.453,29.883,4.17,5.9,23.536,2.853,25.135,70.333,31.303
21.899,30.845,4.54,6.17,24.448,1.811,26.331,3.06,33.6
22.965,31.195,4.61,5.97,27.718,5.872,27.08,197.33,47.535
23.469,30.95,4.42,5.64,28.352,6.15,27.202,165.691,57.536
22.033,28.499,3.91,4.87,27.918,18.562,25.266,470.194,75.22
21.669,28.068,3.86,4.75,27.119,16.925,24.851,548.373,77.92
21.669,27.935,3.83,4.84,26.865,22.654,24.785,503.16,70.841
21.637,28.335,3.89,5.03,26.733,9.738,24.97,166.045,64.424
21.402,28.5,3.74,4.87,26.885,13.942,24.917,391.139,63.343
21.037,28.384,3.46,4.71,26.204,9.413,24.702,262.903,56.725
19.971,28.319,3.44,4.92,22.688,0.669,24.12,0.737,44.004
19.819,29.198,3.77,5.46,22.538,1.087,24.501,1.738,33.344
19.956,29.386,4.12,5.86,22.504,1.034,24.638,37.079,31.303
22.068,31.015,4.56,6.15,25.449,2.645,26.499,5.515,33.6
23.383,31.597,4.64,6.0,27.65,4.003,27.482,175.052,47.535
23.153,30.585,4.38,5.62,28.352,6.077,26.836,161.388,57.536
21.833,28.314,3.9,4.86,27.282,25.418,25.066,789.058,75.22
21.336,27.735,3.83,4.71,27.167,18.729,24.518,290.153,77.92
22.134,28.4,3.88,4.83,26.814,7.903,25.25,84.38,70.841
22.45,29.149,3.96,5.04,26.733,8.641,25.783,172.225,64.424
21.735,28.815,3.77,4.89,26.936,11.675,25.234,292.314,63.343
21.501,28.848,3.5,4.72,26.221,8.722,25.167,156.102,56.725
20.468,28.815,3.46,4.97,24.106,4.614,24.617,99.348,44.004
19.22,28.6,3.71,5.42,21.653,1.103,23.901,2.001,33.344
21.27,30.699,4.25,5.89,23.635,1.259,25.95,12.225,31.303
22.768,31.732,4.63,6.21,25.449,2.039,27.217,12.134,33.6
23.766,31.978,4.69,6.03,27.636,5.778,27.865,111.053,47.535
23.752,31.181,4.43,5.66,28.335,6.124,27.432,219.324,57.536
22.2,28.682,3.92,4.88,27.851,23.477,25.433,1042.871,75.22
21.821,28.219,3.88,4.75,27.167,10.268,25.003,228.069,77.92
22.067,28.334,3.88,4.85,26.814,13.364,25.184,385.385,70.841
22.118,28.816,3.94,5.04,26.733,9.804,25.45,298.079,64.424
21.603,28.682,3.76,4.88,26.885,14.515,25.101,632.081,63.343
21.337,28.684,3.49,4.72,26.221,8.468,25.003,220.687,56.725
19.97,28.317,3.44,4.94,23.255,2.39,24.119,18.18,44.004
19.553,28.949,3.76,5.44,21.742,1.629,24.252,8.696,33.344
20.938,30.368,4.22,5.9,23.668,0.953,25.619,2.755,31.303
22.333,31.281,4.58,6.18,25.449,1.053,26.765,10.864,33.6
23.867,32.079,4.69,6.0,27.636,3.391,27.965,118.744,47.535
24.038,31.468,4.45,5.66,28.403,6.428,27.719,170.17,57.536
22.702,29.183,3.97,4.91,27.951,15.714,25.935,232.651,75.22
21.604,28.003,3.86,4.75,27.167,20.683,24.787,356.384,77.92
22.233,28.5,3.89,4.84,26.814,9.381,25.351,150.657,70.841
22.249,28.948,3.95,5.04,26.733,5.92,25.582,137.926,64.424
21.819,28.9,3.78,4.89,26.885,13.158,25.333,426.985,63.343
21.267,28.615,3.48,4.71,26.221,8.308,24.933,87.184,56.725
20.65,29.046,3.51,4.98,24.106,4.111,24.848,30.888,44.004
19.704,29.083,3.76,5.45,22.62,1.087,24.385,3.12,33.344
20.902,30.332,4.21,5.9,23.668,0.79,25.583,2.519,31.303
22.482,31.429,4.6,6.19,25.449,2.502,26.914,32.898,33.6
23.717,31.93,4.69,6.01,27.572,5.265,27.816,39.148,47.535
23.719,31.149,4.44,5.64,28.403,8.117,27.451,192.452,57.536
22.783,29.265,3.98,4.9,27.851,14.09,26.016,360.537,75.22
21.902,28.301,3.88,4.77,27.167,10.809,25.084,365.647,77.92
22.035,28.301,3.88,4.84,26.865,11.374,25.151,221.32,70.841
22.433,29.132,3.96,5.04,26.733,10.103,25.766,176.158,64.424
22.001,29.098,3.79,4.91,26.885,16.037,25.515,551.573,63.343
21.585,28.93,3.51,4.72,26.221,6.916,25.25,123.182,56.725
20.617,28.963,3.49,4.96,24.106,4.971,24.765,69.935,44.004
20.235,29.614,3.82,5.49,22.538,1.65,24.916,13.908,33.344
20.969,30.399,4.22,5.93,23.552,3.056,25.65,20.401,31.303
21.9,30.846,4.54,6.18,25.449,5.067,26.332,75.088,33.6
23.332,31.546,4.64,5.98,27.718,7.903,27.432,195.668,47.535
23.468,30.949,4.42,5.63,28.369,8.415,27.2,159.849,57.536
23.001,29.482,3.99,4.9,27.851,20.435,26.234,304.432,75.22
21.934,28.332,3.88,4.77,27.167,17.727,25.117,482.838,77.92
22.534,28.801,3.91,4.86,26.814,10.262,25.65,278.734,70.841
22.266,28.965,3.95,5.04,26.733,13.074,25.599,432.162,64.424
22.201,29.282,3.8,4.9,26.885,7.547,25.7,107.119,63.343
21.436,28.765,3.49,4.73,26.221,10.057,25.084,355.114,56.725
20.304,28.701,3.47,4.98,24.106,1.95,24.503,32.043,44.004
19.487,28.884,3.75,5.46,22.024,0.031,24.186,0.031,33.344
