minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
23.117,30.533,3.49,4.96,26.315,1.523,26.803,9.838,36.904
23.303,31.646,4.11,5.67,25.328,3.575,27.433,64.847,31.775
23.706,32.309,4.6,6.13,27.212,2.067,28.006,38.834,33.432
25.398,33.431,4.8,6.0,30.625,2.269,29.38,48.23,45.244
26.426,34.819,5.07,6.05,31.915,2.895,30.624,50.229,55.931
26.47,34.555,4.93,5.72,29.866,1.504,30.517,49.296,70.652
25.591,33.549,4.81,5.55,29.154,1.786,29.528,17.08,76.529
25.123,32.982,4.74,5.58,29.756,3.159,29.043,72.473,71.995
24.923,32.688,4.56,5.52,29.969,6.74,28.764,226.072,66.059
24.575,31.751,4.03,5.06,29.434,6.219,28.122,61.463,63.442
23.113,29.768,3.39,4.6,27.886,10.854,26.417,215.52,56.326
22.268,28.723,3.07,4.38,25.806,5.123,25.47,159.212,47.482
22.257,29.672,3.43,4.94,24.864,5.235,25.945,125.928,36.904
21.4,29.796,3.95,5.59,24.159,3.432,25.582,61.71,31.775
23.713,32.299,4.6,6.06,27.482,2.154,27.994,18.797,33.432
26.107,34.14,4.86,6.01,30.556,0.656,30.088,2.607,45.244
26.7,35.038,5.08,6.05,31.915,3.029,30.844,74.823,55.931
26.55,34.65,4.95,5.73,29.866,4.576,30.585,39.882,70.652
25.427,33.436,4.81,5.57,29.154,2.114,29.417,36.817,76.529
25.279,33.137,4.75,5.59,29.95,3.949,29.199,94.162,71.995
24.888,32.653,4.55,5.54,29.969,4.22,28.757,172.131,66.059
23.724,30.9,3.96,5.03,29.353,11.806,27.272,162.549,63.442
23.095,29.751,3.38,4.56,27.687,10.176,26.399,279.134,56.326
22.7,29.154,3.09,4.39,26.247,6.468,25.902,248.038,47.482
22.49,29.934,3.46,4.92,24.864,2.039,26.203,46.218,36.904
23.203,31.545,4.1,5.63,25.328,2.603,27.334,9.0,31.775
23.93,32.52,4.63,6.11,27.006,0.221,28.216,0.222,33.432
26.028,34.062,4.86,6.03,30.68,1.103,30.011,1.613,45.244
26.268,34.606,5.03,6.05,31.915,5.726,30.409,108.463,55.931
26.285,34.372,4.92,5.7,29.866,3.58,30.305,65.338,70.652
25.485,33.495,4.82,5.58,29.154,3.034,29.474,65.353,76.529
24.888,32.747,4.72,5.58,29.677,5.96,28.809,91.855,71.995
24.679,32.498,4.56,5.51,29.969,7.664,28.576,288.294,66.059
24.687,31.862,4.04,5.05,29.433,7.541,28.234,164.005,63.442
23.34,29.943,3.39,4.61,27.367,9.627,26.592,116.686,56.326
21.993,28.448,3.05,4.4,26.007,8.832,25.192,452.874,47.482
21.698,29.143,3.38,4.92,24.571,2.56,25.411,72.553,36.904
21.524,29.947,3.97,5.6,24.17,0.43,25.734,0.529,31.775
23.264,31.85,4.55,6.05,26.083,0.221,27.549,0.222,33.432
26.161,34.195,4.87,6.01,30.684,1.153,30.143,3.425,45.244
26.357,34.697,5.05,6.05,31.109,3.554,30.501,84.637,55.931
26.079,34.163,4.88,5.7,29.787,1.802,30.098,3.432,70.652
25.244,33.2,4.77,5.52,29.154,6.492,29.209,72.646,76.529
24.91,32.769,4.72,5.55,29.756,1.863,28.831,18.129,71.995
25.385,33.149,4.6,5.53,29.969,3.226,29.224,34.8,66.059
24.577,31.78,4.05,5.07,29.353,7.391,28.151,117.488,63.442
23.658,30.314,3.43,4.63,27.767,3.757,26.964,32.955,56.326
21.839,28.294,3.04,4.42,25.942,5.521,25.041,136.297,47.482
21.385,28.829,3.36,4.88,24.864,1.244,25.098,2.085,36.904
22.589,30.983,4.06,5.58,24.976,0.225,26.771,0.225,31.775
24.758,33.361,4.71,6.14,27.266,1.034,29.059,9.17,33.432
25.379,33.413,4.8,6.03,30.271,5.982,29.361,55.029,45.244
26.247,34.586,5.03,6.01,31.477,3.544,30.39,85.11,55.931
26.6,34.7,4.96,5.69,29.866,2.002,30.635,9.521,70.652
26.852,34.81,4.94,5.6,30.194,3.446,30.791,45.405,76.529
25.388,33.245,4.77,5.6,29.756,4.698,29.309,137.937,71.995
25.665,33.432,4.62,5.56,30.505,3.453,29.506,81.65,66.059
24.406,31.581,4.02,5.06,29.353,11.196,27.952,225.145,63.442
23.43,30.05,3.4,4.58,27.858,8.09,26.699,181.345,56.326
22.444,28.896,3.07,4.4,26.007,1.997,25.643,6.61,47.482
22.385,29.8,3.44,4.9,24.864,3.193,26.07,53.074,36.904
23.522,31.866,4.13,5.66,25.328,1.348,27.653,19.249,31.775
23.825,32.43,4.62,6.11,26.833,2.191,28.128,33.619,33.432
26.527,34.578,4.91,6.03,30.573,1.34,30.528,14.74,45.244
26.935,35.326,5.12,6.1,31.915,1.856,31.133,29.237,55.931
26.202,34.287,4.91,5.71,30.029,3.39,30.221,17.04,70.652
25.966,33.977,4.87,5.6,29.154,3.986,29.957,57.306,76.529
24.509,32.366,4.67,5.55,29.756,5.967,28.427,138.464,71.995
25.173,32.99,4.6,5.55,29.969,3.863,29.065,26.598,66.059
