minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
19.638,27.564,3.47,4.88,21.958,2.105,23.588,22.599,33.263
20.502,28.525,3.87,5.26,22.483,2.347,24.499,63.542,31.329
20.628,28.366,4.09,5.48,23.84,3.193,24.471,39.364,33.098
22.148,29.168,4.16,5.24,26.369,4.597,25.656,130.115,46.483
22.279,28.406,3.84,4.81,27.031,4.446,25.304,101.517,55.294
21.639,27.06,3.5,4.25,26.39,7.83,24.335,191.477,68.44
20.978,26.424,3.47,4.22,25.664,5.094,23.678,34.265,68.969
21.059,26.563,3.52,4.37,25.259,2.52,23.801,78.651,63.101
20.963,26.769,3.56,4.49,25.308,5.789,23.843,106.747,58.876
20.757,26.834,3.43,4.35,25.546,5.962,23.774,122.715,58.876
20.299,26.645,3.19,4.21,24.937,11.712,23.448,224.397,53.265
19.576,26.538,3.12,4.37,22.493,4.036,23.013,15.448,42.597
18.575,26.504,3.37,4.82,21.341,2.316,22.527,93.141,33.263
19.676,27.725,3.8,5.2,22.377,1.034,23.701,3.26,31.329
21.36,29.095,4.17,5.49,24.179,3.119,25.201,59.273,33.098
22.311,29.304,4.17,5.24,26.369,3.302,25.819,46.622,46.483
22.842,28.969,3.9,4.82,27.015,3.167,25.867,74.151,55.294
22.149,27.57,3.55,4.3,26.432,6.573,24.846,171.85,68.44
20.922,26.368,3.47,4.21,25.622,6.035,23.621,40.9,68.969
21.582,27.083,3.57,4.38,25.885,3.436,24.32,60.045,63.101
21.097,26.904,3.57,4.52,25.308,5.154,23.975,61.5,58.876
20.6,26.675,3.4,4.35,25.546,10.573,23.616,345.395,58.876
20.09,26.41,3.17,4.19,24.937,7.73,23.24,181.37,53.265
19.834,26.797,3.14,4.33,23.496,4.125,23.27,100.165,42.597
20.112,28.04,3.51,4.84,21.958,1.04,24.062,26.567,33.263
20.568,28.591,3.87,5.26,22.525,0.798,24.565,4.196,31.329
21.166,28.903,4.15,5.49,23.32,0.361,25.031,0.362,33.098
22.629,29.649,4.2,5.27,26.369,3.334,26.14,103.942,46.483
22.301,28.428,3.84,4.81,27.015,5.662,25.326,157.703,55.294
21.988,27.41,3.53,4.27,26.39,7.284,24.685,78.535,68.44
21.045,26.49,3.47,4.23,25.711,6.67,23.743,67.608,68.969
21.102,26.606,3.53,4.37,25.259,5.938,23.844,111.554,63.101
20.837,26.642,3.55,4.48,25.308,5.78,23.716,73.256,58.876
20.789,26.865,3.42,4.36,25.546,8.061,23.805,176.327,58.876
20.112,26.431,3.17,4.21,24.884,7.16,23.234,199.046,53.265
19.082,26.046,3.07,4.33,22.552,4.751,22.519,131.785,42.597
18.492,26.422,3.36,4.81,20.826,2.008,22.445,37.064,33.263
18.864,26.913,3.72,5.2,21.435,0.557,22.89,0.709,31.329
20.309,28.045,4.06,5.42,22.896,1.166,24.152,2.441,33.098
21.988,29.008,4.14,5.21,26.369,2.274,25.497,17.353,46.483
22.28,28.419,3.86,4.84,26.989,3.303,25.317,36.359,55.294
20.852,26.276,3.44,4.23,25.043,8.68,23.55,187.603,68.44
20.748,26.193,3.45,4.21,25.648,7.253,23.446,89.556,68.969
20.779,26.266,3.5,4.35,25.259,3.049,23.504,36.523,63.101
20.893,26.699,3.56,4.48,25.308,2.708,23.773,35.046,58.876
20.986,27.062,3.44,4.36,25.546,7.107,24.002,189.55,58.876
20.345,26.693,3.19,4.22,24.937,1.728,23.495,14.616,53.265
19.245,26.209,3.11,4.33,22.842,3.455,22.683,49.714,42.597
19.056,26.985,3.41,4.82,21.958,0.928,23.008,1.906,33.263
19.771,27.82,3.8,5.22,22.483,0.494,23.796,1.036,31.329
21.165,28.902,4.14,5.51,23.93,0.532,25.008,0.95,33.098
21.548,28.541,4.09,5.23,26.353,4.759,25.03,103.751,46.483
21.967,28.096,3.82,4.79,27.031,4.74,24.991,94.075,55.294
21.559,26.982,3.5,4.23,26.405,6.838,24.257,137.114,68.44
21.386,26.832,3.5,4.23,26.294,3.825,24.085,10.912,68.969
21.25,26.737,3.53,4.36,25.259,3.747,23.974,114.805,63.101
21.344,27.171,3.61,4.53,25.308,3.253,24.245,33.105,58.876
20.597,26.673,3.4,4.35,25.546,7.787,23.613,155.463,58.876
20.355,26.702,3.18,4.21,24.937,5.676,23.504,97.193,53.265
19.582,26.545,3.12,4.33,22.537,1.03,23.018,1.663,42.597
19.506,27.434,3.46,4.83,21.958,1.649,23.458,7.549,33.263
20.463,28.486,3.86,5.25,22.457,0.947,24.459,22.228,31.329
21.386,29.121,4.17,5.49,24.153,2.266,25.227,18.309,33.098
22.816,29.835,4.22,5.28,26.369,3.061,26.326,32.991,46.483
22.322,28.476,3.86,4.85,27.057,3.656,25.374,32.219,55.294
21.544,26.966,3.5,4.26,26.431,6.759,24.241,72.188,68.44
20.809,26.255,3.45,4.22,25.638,5.393,23.508,50.843,68.969
20.773,26.26,3.49,4.34,25.259,3.852,23.499,73.752,63.101
21.303,27.109,3.6,4.49,25.308,2.388,24.182,13.65,58.876
20.619,26.696,3.41,4.36,25.546,8.584,23.636,239.325,58.876
19.899,26.247,3.16,4.2,24.937,8.628,23.05,186.767,53.265
19.388,26.352,3.11,4.33,22.78,5.252,22.825,72.727,42.597
18.965,26.894,3.4,4.83,21.958,1.085,22.918,34.338,33.263
19.585,27.607,3.77,5.21,22.615,0.557,23.584,1.388,31.329
20.932,28.669,4.13,5.48,24.179,2.467,24.776,25.279,33.098
21.654,28.647,4.11,5.21,26.369,4.253,25.136,121.307,46.483
22.397,28.524,3.86,4.81,26.989,3.312,25.422,47.611,55.294
21.608,27.029,3.5,4.26,26.369,8.913,24.304,59.74,68.44
20.826,26.271,3.45,4.23,25.622,5.532,23.524,77.563,68.969
20.473,25.959,3.47,4.33,24.304,3.502,23.197,53.325,63.101
21.123,26.93,3.57,4.48,25.308,4.391,24.001,34.236,58.876
20.477,26.578,3.4,4.37,25.546,9.179,23.52,223.709,58.876
19.86,26.209,3.15,4.19,24.937,8.384,23.011,143.794,53.265
19.452,26.415,3.11,4.33,22.691,4.063,22.89,60.187,42.597
19.034,26.963,3.41,4.84,21.958,1.02,22.986,12.347,33.263
19.197,27.22,3.74,5.2,22.568,2.258,23.196,83.546,31.329
20.796,28.533,4.11,5.46,23.687,3.218,24.638,40.301,33.098
22.014,29.007,4.13,5.23,26.369,3.831,25.496,67.363,46.483
22.184,28.296,3.83,4.81,27.031,3.772,25.194,66.292,55.294
21.037,26.46,3.44,4.25,26.39,5.598,23.735,47.11,68.44
20.276,25.721,3.4,4.18,24.794,5.134,22.975,39.277,68.969
20.965,26.452,3.52,4.34,24.754,3.899,23.69,84.799,63.101
20.827,26.632,3.55,4.48,25.308,5.324,23.705,114.926,58.876
20.592,26.669,3.4,4.36,25.588,9.122,23.609,225.869,58.876
19.624,25.945,3.12,4.19,24.338,4.454,22.747,63.102,53.265
19.076,26.038,3.07,4.32,22.566,2.733,22.514,9.362,42.597
18.839,26.767,3.39,4.81,21.04,1.872,22.791,65.565,33.263
19.362,27.411,3.76,5.2,22.568,1.508,23.387,63.725,31.329
20.788,28.526,4.11,5.47,24.179,2.458,24.632,8.91,33.098
21.962,28.982,4.14,5.25,26.369,4.488,25.471,17.885,46.483
21.913,28.069,3.82,4.81,27.031,6.235,24.964,159.105,55.294
21.413,26.835,3.49,4.25,26.458,5.604,24.109,56.64,68.44
20.666,26.109,3.44,4.21,24.491,4.681,23.363,60.371,68.969
20.674,26.177,3.5,4.35,24.483,5.019,23.415,84.455,63.101
20.827,26.632,3.55,4.47,24.145,4.088,23.705,44.562,58.876
20.668,26.744,3.41,4.35,25.637,6.918,23.684,117.102,58.876
19.936,26.284,3.16,4.2,24.922,8.026,23.086,115.831,53.265
19.548,26.511,3.12,4.33,22.796,2.637,22.986,21.531,42.597
19.118,27.048,3.42,4.84,21.958,1.608,23.071,39.122,33.263
19.598,27.62,3.78,5.21,22.573,2.574,23.596,32.596,31.329
20.755,28.49,4.11,5.49,23.527,1.045,24.597,6.897,33.098
21.72,28.712,4.11,5.21,26.369,3.648,25.201,77.967,46.483
22.322,28.476,3.86,4.82,27.031,2.915,25.374,44.403,55.294
21.257,26.679,3.46,4.25,26.39,6.742,23.954,106.261,68.44
20.583,26.028,3.44,4.21,25.622,6.938,23.281,109.574,68.969
20.626,26.113,3.49,4.35,25.259,6.604,23.35,201.562,63.101
20.618,26.446,3.55,4.49,25.308,3.318,23.519,32.596,58.876
20.355,26.431,3.39,4.32,25.546,8.539,23.372,253.952,58.876
20.159,26.479,3.17,4.2,24.937,8.111,23.309,166.017,53.265
19.267,26.23,3.1,4.33,22.193,1.236,22.703,3.52,42.597
19.077,27.007,3.41,4.84,21.958,1.192,23.03,4.66,33.263
19.279,27.328,3.75,5.2,21.837,0.889,23.304,3.005,31.329
20.96,28.698,4.13,5.47,24.179,1.643,24.804,4.998,33.098
21.957,28.976,4.14,5.23,26.369,2.534,25.466,59.096,46.483
22.591,28.718,3.88,4.84,27.031,2.888,25.639,69.884,55.294
21.213,26.634,3.46,4.26,25.244,7.894,23.909,165.575,68.44
20.5,25.943,3.43,4.2,25.664,5.694,23.197,37.35,68.969
20.779,26.266,3.5,4.33,25.259,2.339,23.504,6.527,63.101
21.122,26.949,3.58,4.5,25.308,3.491,24.023,79.192,58.876
20.627,26.702,3.4,4.35,25.546,7.395,23.643,205.206,58.876
20.239,26.587,3.18,4.2,24.937,7.994,23.388,143.91,53.265
19.676,26.639,3.13,4.37,23.496,5.859,23.113,137.636,42.597
18.534,26.464,3.37,4.79,20.923,0.947,22.487,6.085,33.263
20.132,28.183,3.84,5.21,22.525,1.673,24.156,10.756,31.329
21.34,29.077,4.17,5.5,24.179,2.19,25.184,5.411,33.098
22.391,29.411,4.18,5.26,26.369,4.402,25.901,101.342,46.483
22.301,28.455,3.85,4.85,26.989,3.79,25.353,153.385,55.294
21.246,26.668,3.47,4.25,26.39,9.379,23.943,264.768,68.44
21.013,26.457,3.48,4.21,25.664,3.736,23.71,23.025,68.969
20.922,26.409,3.51,4.36,25.238,3.458,23.647,73.976,63.101
21.028,26.855,3.57,4.5,25.308,4.104,23.928,77.527,58.876
20.784,26.861,3.42,4.36,25.546,9.649,23.801,468.177,58.876
20.069,26.388,3.16,4.2,24.937,7.93,23.191,156.23,53.265
19.182,26.145,3.09,4.33,22.813,3.056,22.619,48.258,42.597
18.715,26.645,3.4,4.8,21.272,2.079,22.668,15.313,33.263
19.84,27.862,3.8,5.21,22.615,1.559,23.838,6.734,31.329
20.98,28.716,4.13,5.48,24.179,1.015,24.823,5.967,33.098
22.359,29.351,4.17,5.24,26.369,2.384,25.867,30.101,46.483
22.788,28.942,3.91,4.84,27.057,2.832,25.84,31.097,55.294
21.904,27.326,3.53,4.29,26.405,5.715,24.601,87.41,68.44
20.811,26.255,3.45,4.21,25.664,7.531,23.509,61.038,68.969
21.102,26.59,3.53,4.36,25.259,2.573,23.828,19.743,63.101
21.139,26.945,3.57,4.49,25.308,3.266,24.018,23.852,58.876
20.731,26.808,3.43,4.36,25.546,8.341,23.748,253.848,58.876
20.17,26.519,3.17,4.2,24.937,8.665,23.32,105.71,53.265
19.697,26.66,3.13,4.36,23.496,4.016,23.134,93.778,42.597
19.179,27.107,3.43,4.84,21.958,0.947,23.13,5.634,33.263
19.786,27.835,3.81,5.22,22.568,0.557,23.811,0.994,31.329
21.305,29.043,4.16,5.48,24.179,1.153,25.149,3.867,33.098
22.551,29.57,4.19,5.26,26.369,2.003,26.061,21.69,46.483
