minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
21.065,30.323,3.79,5.45,23.557,1.47,25.666,13.258,32.834
21.396,31.444,4.39,6.11,22.879,3.073,26.386,29.223,29.152
22.019,32.262,4.92,6.61,24.391,1.493,27.11,12.493,30.441
24.003,33.506,5.14,6.5,27.799,1.912,28.743,64.703,43.077
24.167,33.35,5.09,6.32,29.195,3.301,28.75,85.415,53.286
23.911,32.226,4.75,5.67,27.927,2.656,28.053,49.623,72.362
23.313,31.429,4.63,5.48,27.448,3.324,27.344,48.355,77.894
23.209,31.273,4.61,5.56,27.722,3.769,27.214,94.26,71.505
23.207,31.478,4.56,5.62,27.746,7.172,27.336,198.579,64.526
22.721,30.583,4.07,5.18,27.295,6.105,26.63,115.628,63.493
21.439,29.091,3.54,4.84,25.79,7.687,25.241,149.304,55.44
20.056,28.025,3.29,4.79,23.593,3.885,23.995,40.773,43.257
20.024,29.278,3.71,5.38,22.374,3.11,24.62,37.706,32.834
19.745,29.792,4.24,6.0,21.974,2.632,24.734,18.858,29.152
22.228,32.504,4.96,6.56,24.846,1.838,27.352,27.776,30.441
24.305,33.817,5.19,6.51,27.697,1.864,29.055,38.229,43.077
24.613,33.797,5.15,6.34,29.195,3.607,29.196,108.395,53.286
24.329,32.644,4.8,5.71,27.962,5.001,28.47,75.31,72.362
23.264,31.361,4.63,5.47,27.448,3.985,27.304,44.419,77.894
23.56,31.631,4.65,5.59,28.569,4.411,27.585,115.108,71.505
22.801,31.072,4.51,5.63,27.746,5.827,26.916,113.713,64.526
22.022,29.884,3.99,5.15,27.295,11.066,25.932,236.728,63.493
21.32,28.995,3.55,4.79,25.562,6.296,25.146,109.186,55.44
20.74,28.699,3.34,4.8,23.86,4.759,24.671,129.002,43.257
20.447,29.702,3.74,5.39,22.374,1.274,25.042,5.787,32.834
21.195,31.244,4.38,6.07,22.901,1.416,26.184,2.98,29.152
22.625,32.868,5.0,6.61,24.376,0.157,27.715,0.155,30.441
24.505,34.015,5.21,6.54,27.766,1.156,29.267,16.612,43.077
24.45,33.634,5.14,6.34,29.195,6.434,29.034,174.251,53.286
24.13,32.48,4.8,5.71,27.927,3.357,28.305,71.955,72.362
23.282,31.405,4.63,5.49,27.52,3.582,27.322,45.339,77.894
22.932,30.994,4.59,5.56,27.722,6.516,26.943,123.381,71.505
22.721,31.019,4.52,5.61,27.746,8.743,26.862,271.111,64.526
22.606,30.467,4.07,5.17,27.295,8.431,26.514,127.331,63.493
21.017,28.704,3.51,4.84,25.022,8.076,24.857,188.069,55.44
19.696,27.668,3.26,4.79,23.215,4.768,23.638,139.947,43.257
19.361,28.621,3.65,5.35,21.717,1.76,23.963,18.948,32.834
19.696,29.744,4.24,6.0,21.594,0.049,24.686,0.048,29.152
21.714,31.956,4.89,6.52,23.447,0.157,26.802,0.155,30.441
24.31,33.812,5.18,6.51,27.799,1.639,29.059,26.645,43.077
24.043,33.227,5.08,6.35,28.118,4.731,28.628,134.532,53.286
23.115,31.464,4.69,5.65,27.669,3.667,27.291,29.944,72.362
22.739,30.864,4.58,5.43,27.448,6.537,26.778,83.849,77.894
22.769,30.841,4.58,5.52,27.722,4.015,26.781,37.011,71.505
23.145,31.455,4.56,5.63,27.746,3.869,27.298,80.093,64.526
22.727,30.588,4.07,5.18,27.295,7.294,26.636,102.703,63.493
21.461,29.104,3.54,4.84,25.488,1.76,25.254,17.483,55.44
19.771,27.746,3.27,4.8,23.856,3.075,23.717,27.104,43.257
19.66,28.936,3.68,5.34,22.361,0.516,24.277,0.535,32.834
20.97,31.02,4.36,6.02,22.757,0.49,25.962,3.241,29.152
22.845,33.089,5.02,6.63,24.436,1.287,27.969,6.878,30.441
23.659,33.164,5.1,6.51,26.743,4.492,28.409,85.148,43.077
24.369,33.552,5.13,6.32,29.195,5.266,28.952,72.807,53.286
24.088,32.406,4.76,5.67,28.067,2.757,28.231,40.353,72.362
24.153,32.25,4.7,5.52,28.918,3.649,28.165,33.287,77.894
23.381,31.443,4.64,5.58,27.722,5.243,27.385,96.622,71.505
23.31,31.607,4.57,5.64,28.262,4.729,27.45,80.053,64.526
22.581,30.445,4.07,5.18,27.295,10.525,26.49,157.446,63.493
21.576,29.228,3.54,4.83,25.816,5.755,25.377,74.962,55.44
20.339,28.315,3.32,4.8,23.309,0.785,24.285,0.991,43.257
20.648,29.903,3.77,5.36,22.361,3.046,25.243,31.926,32.834
21.622,31.668,4.42,6.09,22.801,1.357,26.611,22.953,29.152
22.246,32.489,4.96,6.56,24.258,1.715,27.334,19.899,30.441
25.127,34.638,5.27,6.53,27.799,1.3,29.876,3.851,43.077
25.183,34.365,5.21,6.4,29.226,3.032,29.766,59.094,53.286
24.024,32.34,4.76,5.7,27.941,3.654,28.167,49.192,72.362
23.539,31.655,4.66,5.5,27.448,4.333,27.569,34.435,77.894
22.693,30.754,4.57,5.55,27.722,6.194,26.696,164.128,71.505
22.7,31.012,4.52,5.62,27.746,4.92,26.857,26.952,64.526
22.325,30.212,4.04,5.16,27.295,8.203,26.257,213.0,63.493
21.284,28.941,3.52,4.82,25.79,7.428,25.09,126.448,55.44
20.511,28.471,3.32,4.82,23.46,6.055,24.443,73.148,43.257
19.79,29.034,3.68,5.37,22.361,1.244,24.375,6.686,32.834
20.572,30.62,4.31,6.02,22.997,0.938,25.56,5.034,29.152
22.343,32.619,4.98,6.62,24.846,1.028,27.464,4.689,30.441
23.617,33.122,5.1,6.49,26.802,5.017,28.381,124.649,43.077
24.5,33.684,5.15,6.33,29.195,3.437,29.082,71.67,53.286
