minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
19.17,29.962,3.91,5.72,21.475,0.833,24.548,4.99,28.564
19.518,31.447,4.6,6.53,20.507,3.496,25.465,55.369,23.105
20.066,32.455,5.27,7.14,21.71,0.552,26.24,0.552,24.504
23.264,34.62,5.66,7.14,25.888,1.098,28.952,16.649,35.018
23.897,35.474,5.9,7.21,27.351,3.523,29.669,67.059,46.237
24.131,34.407,5.49,6.49,25.888,2.576,29.267,36.864,67.459
23.187,33.002,5.25,6.11,25.534,3.404,28.094,44.49,77.699
22.619,32.31,5.12,6.12,26.055,4.977,27.44,50.433,71.054
22.641,32.329,4.94,6.08,26.297,7.433,27.485,203.676,62.628
21.844,30.686,4.23,5.49,25.797,5.57,26.229,199.038,59.107
20.082,28.735,3.61,5.11,23.488,6.948,24.402,199.96,48.96
18.205,27.336,3.33,5.01,21.518,3.356,22.754,216.764,38.805
17.723,28.522,3.77,5.62,20.115,2.209,23.11,45.22,28.564
17.733,29.661,4.42,6.39,19.386,2.14,23.68,19.701,23.105
20.645,33.034,5.33,7.12,22.196,0.994,26.819,3.076,24.504
23.422,34.775,5.68,7.16,25.861,1.138,29.109,17.168,35.018
24.449,36.026,5.96,7.24,27.496,4.654,30.221,82.245,46.237
24.316,34.593,5.52,6.49,26.03,2.497,29.451,69.058,67.459
23.426,33.241,5.27,6.13,25.534,5.124,28.332,54.109,77.699
22.962,32.679,5.17,6.16,26.596,6.676,27.803,231.191,71.054
21.959,31.645,4.87,6.08,26.297,8.022,26.803,175.796,62.628
21.087,29.929,4.16,5.44,25.797,9.847,25.471,300.549,59.107
20.051,28.682,3.59,5.05,22.988,5.973,24.35,109.008,48.96
19.084,28.197,3.4,5.02,21.555,5.268,23.614,116.082,38.805
18.424,29.196,3.83,5.65,20.121,1.125,23.782,30.565,28.564
19.183,31.113,4.57,6.46,20.512,1.032,25.131,3.331,23.105
20.764,33.128,5.35,7.16,22.138,0.0,26.939,0.0,24.504
23.329,34.682,5.68,7.19,25.888,0.859,29.015,3.994,35.018
23.285,34.835,5.81,7.19,27.147,8.247,29.033,153.576,46.237
23.547,33.824,5.42,6.45,25.888,3.322,28.682,68.379,67.459
23.0,32.786,5.22,6.09,25.534,5.162,27.879,80.066,77.699
22.372,32.085,5.1,6.13,26.055,7.156,27.209,138.519,71.054
21.65,31.338,4.84,6.05,26.297,9.126,26.494,322.416,62.628
21.433,30.276,4.18,5.47,25.797,7.439,25.818,157.226,59.107
19.439,28.066,3.55,5.06,22.432,9.157,23.733,415.703,48.96
18.178,27.291,3.32,4.98,21.241,4.564,22.71,245.907,38.805
17.522,28.291,3.75,5.62,19.594,1.209,22.878,20.932,28.564
17.675,29.606,4.42,6.39,19.273,0.0,23.624,0.0,23.105
20.169,32.558,5.28,7.09,20.908,0.0,26.343,0.0,24.504
23.576,34.931,5.71,7.19,25.888,1.1,29.239,8.836,35.018
23.148,34.727,5.8,7.2,25.791,5.901,28.925,148.335,46.237
23.488,33.765,5.43,6.45,25.684,2.704,28.623,21.666,67.459
22.7,32.502,5.19,6.06,25.534,6.327,27.607,94.451,77.699
22.734,32.474,5.14,6.14,26.055,4.034,27.597,41.048,71.054
22.714,32.401,4.95,6.1,26.297,5.303,27.557,86.589,62.628
21.705,30.574,4.21,5.5,25.797,6.516,26.116,178.194,59.107
20.032,28.659,3.6,5.08,22.974,1.349,24.327,9.532,48.96
18.293,27.451,3.35,5.04,21.358,2.852,22.869,26.487,38.805
17.25,28.044,3.71,5.58,20.062,1.088,22.63,24.451,28.564
18.984,30.913,4.56,6.42,20.058,0.333,24.932,2.393,23.105
21.167,33.532,5.41,7.17,21.747,1.13,27.355,26.141,24.504
22.851,34.232,5.62,7.17,24.281,3.669,28.537,54.177,35.018
23.712,35.263,5.85,7.18,27.25,6.525,29.46,89.05,46.237
24.53,34.809,5.55,6.47,26.468,2.063,29.665,41.938,67.459
24.287,34.073,5.36,6.18,26.744,4.345,29.167,41.33,77.699
22.929,32.645,5.16,6.16,26.055,7.217,27.769,177.744,71.054
22.901,32.588,4.97,6.12,26.977,5.776,27.743,50.87,62.628
21.53,30.373,4.2,5.47,25.797,10.542,25.916,294.641,59.107
20.344,28.971,3.62,5.09,23.488,4.408,24.637,113.21,48.96
18.41,27.525,3.35,5.0,21.436,0.952,22.943,2.426,38.805
18.569,29.339,3.84,5.61,20.062,1.864,23.925,38.682,28.564
19.844,31.774,4.63,6.54,20.432,1.89,25.792,9.1,23.105
20.053,32.443,5.27,7.11,21.269,1.167,26.227,6.201,24.504
24.221,35.578,5.78,7.16,25.888,0.281,29.909,0.282,35.018
25.03,36.606,6.02,7.33,27.496,1.935,30.803,31.733,46.237
23.724,34.002,5.44,6.49,25.879,3.785,28.861,58.626,67.459
23.458,33.245,5.26,6.14,25.534,5.883,28.337,90.489,77.699
22.149,31.812,5.05,6.11,26.055,7.684,26.936,290.781,71.054
21.889,31.577,4.85,6.05,26.297,6.676,26.734,117.2,62.628
21.572,30.415,4.2,5.45,25.797,7.11,25.958,108.756,59.107
20.151,28.805,3.61,5.07,23.488,6.508,24.472,105.849,48.96
18.685,27.842,3.38,5.04,21.555,5.96,23.261,120.421,38.805
17.62,28.39,3.76,5.62,20.121,0.333,22.978,0.343,28.564
18.34,30.269,4.47,6.41,20.545,0.276,24.288,0.277,23.105
20.613,33.003,5.33,7.14,22.196,1.15,26.787,18.924,24.504
22.742,34.07,5.59,7.11,24.29,3.581,28.402,88.56,35.018
24.357,35.933,5.95,7.23,27.496,2.879,30.128,40.755,46.237
23.889,34.166,5.46,6.49,25.888,3.573,29.024,35.738,67.459
23.157,32.972,5.25,6.1,25.534,5.103,28.065,74.247,77.699
22.817,32.504,5.14,6.12,26.027,5.242,27.628,62.552,71.054
22.714,32.401,4.95,6.1,26.297,8.219,27.557,201.985,62.628
21.659,30.53,4.21,5.5,25.803,6.507,26.072,125.457,59.107
20.008,28.635,3.59,5.07,23.488,6.728,24.302,210.562,48.96
18.679,27.824,3.37,5.03,21.555,3.686,23.242,46.536,38.805
18.007,28.777,3.79,5.64,20.121,0.794,23.363,1.662,28.564
18.12,30.055,4.47,6.43,19.373,2.836,24.074,17.214,23.105
19.901,32.29,5.25,7.06,20.866,1.199,26.075,3.525,24.504
24.108,35.489,5.77,7.18,25.888,0.918,29.796,3.028,35.018
24.184,35.765,5.93,7.24,27.464,3.357,29.962,59.131,46.237
24.486,34.763,5.55,6.52,26.363,2.641,29.621,34.142,67.459
23.013,32.8,5.21,6.1,25.422,4.841,27.893,47.903,77.699
22.667,32.358,5.12,6.14,26.055,5.653,27.489,44.159,71.054
21.755,31.442,4.85,6.05,26.297,7.56,26.599,183.512,62.628
21.659,30.53,4.21,5.48,25.797,9.841,26.072,235.054,59.107
19.423,28.05,3.55,5.07,22.632,3.405,23.715,33.116,48.96
18.219,27.371,3.34,4.99,21.484,1.469,22.79,12.752,38.805
17.902,28.678,3.78,5.61,19.562,2.12,23.265,46.875,28.564
18.62,30.554,4.53,6.43,20.545,0.777,24.574,0.914,23.105
20.837,33.227,5.36,7.16,22.196,0.0,27.025,0.0,24.504
23.034,34.39,5.63,7.17,25.35,3.033,28.697,69.395,35.018
23.418,34.993,5.82,7.19,27.337,7.392,29.189,231.611,46.237
23.616,33.895,5.43,6.45,25.749,3.739,28.751,34.847,67.459
22.626,32.428,5.18,6.1,25.534,4.793,27.519,39.521,77.699
22.109,31.773,5.04,6.11,26.055,8.027,26.897,232.35,71.054
21.392,31.079,4.8,6.01,26.239,9.919,26.235,222.438,62.628
22.058,30.903,4.25,5.45,25.803,5.259,26.443,151.741,59.107
20.857,29.489,3.68,5.1,23.173,2.077,25.156,20.103,48.96
19.354,28.465,3.42,5.06,21.555,1.281,23.883,3.695,38.805
18.093,28.862,3.8,5.65,20.121,0.158,23.45,0.158,28.564
18.499,30.427,4.5,6.44,20.058,1.883,24.447,6.182,23.105
20.296,32.66,5.29,7.1,20.852,0.0,26.47,0.0,24.504
23.674,35.028,5.71,7.15,25.888,1.604,29.335,23.52,35.018
24.574,36.15,5.97,7.27,27.496,2.664,30.345,47.598,46.237
23.625,33.903,5.43,6.49,26.059,3.947,28.759,63.17,67.459
22.955,32.728,5.21,6.11,25.534,6.9,27.834,172.47,77.699
21.918,31.63,5.05,6.11,26.055,7.355,26.755,263.127,71.054
21.559,31.246,4.83,6.04,26.297,7.932,26.402,135.123,62.628
21.511,30.353,4.19,5.47,25.797,9.759,25.897,302.179,59.107
19.326,27.952,3.54,5.06,22.578,5.729,23.621,171.792,48.96
18.125,27.249,3.32,4.98,21.227,0.762,22.668,0.828,38.805
18.068,28.837,3.8,5.65,20.121,0.074,23.425,0.074,28.564
17.391,29.326,4.39,6.38,19.245,0.0,23.344,0.0,23.105
20.436,32.826,5.32,7.1,22.196,0.981,26.61,6.021,24.504
23.35,34.73,5.68,7.17,25.888,1.131,29.037,27.493,35.018
23.884,35.46,5.9,7.23,27.496,4.277,29.657,64.749,46.237
23.785,34.062,5.46,6.47,25.888,3.138,28.921,34.513,67.459
23.347,33.16,5.26,6.11,25.534,5.355,28.252,66.71,77.699
23.029,32.715,5.16,6.14,26.055,3.995,27.866,35.649,71.054
22.728,32.415,4.95,6.11,26.297,8.151,27.57,108.532,62.628
21.545,30.387,4.19,5.47,25.797,6.707,25.931,115.038,59.107
20.292,28.923,3.62,5.08,23.488,6.05,24.591,133.351,48.96
18.853,27.965,3.38,5.05,21.555,3.742,23.384,126.702,38.805
17.184,27.978,3.71,5.58,19.738,0.865,22.565,2.439,28.564
19.339,31.269,4.6,6.44,20.545,0.0,25.288,0.0,23.105
21.281,33.697,5.42,7.19,22.196,0.0,27.482,0.0,24.504
23.549,34.903,5.69,7.16,25.861,0.282,29.21,0.283,35.018
24.872,36.454,6.01,7.26,27.496,3.619,30.65,45.45,46.237
24.359,34.637,5.53,6.52,26.137,3.648,29.494,44.164,67.459
23.273,33.088,5.26,6.13,25.534,4.103,28.18,34.75,77.699
22.846,32.532,5.14,6.13,26.055,7.383,27.656,113.913,71.054
22.513,32.2,4.93,6.08,26.297,7.154,27.356,181.68,62.628
21.558,30.401,4.19,5.48,25.797,8.719,25.944,293.544,59.107
19.966,28.593,3.59,5.07,23.133,7.279,24.259,330.609,48.96
18.211,27.329,3.33,5.01,21.448,0.963,22.747,3.135,38.805
17.474,28.243,3.74,5.59,19.462,0.012,22.831,0.012,28.564
18.971,30.899,4.56,6.43,20.545,0.857,24.919,0.907,23.105
21.107,33.497,5.41,7.16,22.196,0.916,27.282,5.38,24.504
23.937,35.291,5.75,7.22,25.888,1.01,29.625,24.456,35.018
24.262,35.838,5.94,7.24,27.464,3.629,30.034,77.608,46.237
24.29,34.566,5.52,6.52,25.861,1.956,29.424,33.533,67.459
22.96,32.732,5.19,6.09,25.534,4.665,27.825,30.331,77.699
23.247,32.959,5.19,6.14,26.358,5.321,28.083,77.134,71.054
22.851,32.537,4.96,6.14,26.297,7.591,27.694,153.623,62.628
21.203,30.072,4.16,5.48,25.797,9.72,25.615,248.994,59.107
19.8,28.432,3.58,5.05,23.488,4.504,24.098,108.58,48.96
18.967,28.093,3.4,5.05,21.555,5.463,23.51,102.575,38.805
17.512,28.282,3.75,5.61,20.121,1.079,22.87,7.678,28.564
18.585,30.513,4.51,6.42,20.545,1.242,24.533,7.822,23.105
21.043,33.407,5.39,7.16,22.196,1.067,27.192,5.016,24.504
23.267,34.647,5.68,7.16,25.36,4.307,28.954,82.041,35.018
24.478,36.06,5.96,7.24,27.496,3.475,30.258,57.022,46.237
24.751,35.03,5.57,6.52,25.818,2.996,29.887,25.252,67.459
23.3,33.087,5.26,6.15,25.534,3.799,28.206,34.004,77.699
22.39,32.103,5.1,6.13,26.055,6.744,27.227,122.1,71.054
22.061,31.748,4.87,6.07,26.297,10.003,26.904,190.585,62.628
21.281,30.124,4.16,5.45,25.797,8.116,25.665,199.231,59.107
20.117,28.77,3.61,5.07,23.488,5.633,24.438,207.5,48.96
19.265,28.392,3.41,5.05,21.555,3.978,23.809,62.74,38.805
18.348,29.118,3.83,5.65,20.12,1.742,23.705,16.2,28.564
19.087,31.015,4.56,6.46,20.121,2.999,25.036,26.826,23.105
20.75,33.113,5.34,7.16,22.196,1.859,26.924,43.987,24.504
23.364,34.718,5.68,7.14,25.888,1.347,29.051,40.062,35.018
24.677,36.252,5.98,7.24,27.496,4.616,30.45,78.403,46.237
24.064,34.341,5.48,6.49,25.893,3.046,29.199,51.966,67.459
23.108,32.895,5.24,6.09,25.534,4.757,28.015,153.306,77.699
23.466,33.155,5.21,6.16,26.055,6.492,28.302,70.13,71.054
22.385,32.073,4.91,6.08,26.297,7.372,27.228,170.293,62.628
22.263,31.134,4.28,5.5,25.803,3.729,26.677,62.725,59.107
20.527,29.154,3.64,5.11,23.701,6.848,24.82,224.825,48.96
18.571,27.696,3.37,5.05,21.528,1.902,23.115,18.603,38.805
17.413,28.182,3.73,5.59,19.646,0.038,22.77,0.038,28.564
18.825,30.755,4.54,6.44,20.432,0.101,24.774,1.593,23.105
20.428,32.817,5.3,7.12,21.069,0.0,26.601,0.0,24.504
23.869,35.223,5.75,7.19,25.888,1.08,29.557,12.418,35.018
23.762,35.337,5.86,7.24,27.496,4.816,29.534,53.401,46.237
23.337,33.613,5.4,6.46,25.551,2.871,28.471,16.645,67.459
22.713,32.499,5.17,6.06,25.534,7.508,27.593,283.108,77.699
22.475,32.164,5.11,6.12,26.055,7.001,27.288,150.432,71.054
22.055,31.742,4.87,6.06,26.297,5.899,26.899,189.995,62.628
21.572,30.415,4.2,5.45,25.803,9.344,25.958,300.987,59.107
20.136,28.762,3.6,5.08,23.488,6.506,24.43,186.257,48.96
18.206,27.337,3.33,5.02,20.976,2.299,22.756,48.808,38.805
17.416,28.186,3.74,5.6,19.291,0.968,22.772,10.428,28.564
17.974,29.908,4.44,6.41,19.372,1.962,23.927,21.362,23.105
19.814,32.231,5.25,7.09,20.865,0.939,26.016,4.004,24.504
23.235,34.564,5.65,7.15,25.449,0.859,28.897,1.9,35.018
23.274,34.849,5.81,7.23,26.155,4.067,29.047,106.149,46.237
22.488,32.766,5.3,6.38,24.386,4.69,27.625,81.558,67.459
23.268,33.042,5.24,6.07,25.534,4.692,28.133,102.624,77.699
22.348,32.012,5.08,6.13,26.055,7.863,27.143,274.181,71.054
21.499,31.187,4.81,6.05,25.44,7.692,26.343,194.375,62.628
21.129,29.973,4.15,5.44,25.616,4.756,25.515,139.02,59.107
20.25,28.876,3.61,5.07,22.85,5.925,24.542,168.332,48.96
18.353,27.464,3.35,5.02,21.49,3.017,22.884,45.518,38.805
17.441,28.211,3.74,5.62,20.115,2.207,22.799,57.26,28.564
17.299,29.228,4.38,6.39,19.35,2.335,23.248,13.791,23.105
19.53,31.892,5.19,7.05,20.877,1.127,25.678,31.131,24.504
22.978,34.359,5.63,7.14,25.318,0.958,28.665,11.646,35.018
22.963,34.536,5.78,7.19,25.796,7.045,28.733,126.338,46.237
23.085,33.362,5.38,6.41,25.879,4.356,28.22,52.679,67.459
23.796,33.583,5.31,6.1,25.957,3.346,28.703,32.477,77.699
23.234,32.973,5.21,6.19,26.055,3.246,28.097,53.953,71.054
22.317,32.004,4.91,6.07,25.794,5.524,27.16,112.872,62.628
22.201,31.071,4.27,5.5,25.803,1.886,26.613,12.498,59.107
20.497,29.15,3.63,5.11,23.843,9.199,24.818,286.182,48.96
18.881,28.013,3.4,5.01,21.555,3.81,23.432,46.331,38.805
19.111,29.904,3.89,5.67,21.024,1.519,24.491,25.283,28.564
19.498,31.426,4.61,6.51,20.545,0.0,25.445,0.0,23.105
20.235,32.6,5.28,7.12,21.149,1.127,26.409,22.325,24.504
23.868,35.223,5.75,7.17,25.888,1.171,29.556,16.53,35.018
24.128,35.679,5.92,7.24,27.496,5.716,29.874,117.747,46.237
23.558,33.835,5.43,6.47,25.68,3.307,28.693,54.175,67.459
22.95,32.723,5.21,6.07,25.561,5.696,27.829,127.4,77.699
23.003,32.715,5.17,6.16,26.332,3.936,27.84,28.296,71.054
22.042,31.729,4.87,6.07,26.297,7.192,26.884,204.802,62.628
21.726,30.597,4.22,5.46,25.797,6.08,26.139,71.207,59.107
20.386,29.018,3.62,5.08,23.435,8.244,24.685,374.109,48.96
19.026,28.138,3.4,5.05,21.555,4.503,23.557,59.647,38.805
17.912,28.681,3.77,5.62,20.026,2.712,23.269,55.448,28.564
19.192,31.122,4.58,6.44,20.205,0.813,25.141,0.938,23.105
21.006,33.371,5.37,7.17,22.619,0.0,27.155,0.0,24.504
23.303,34.684,5.68,7.17,25.888,1.401,28.99,10.527,35.018
24.397,35.973,5.96,7.24,27.496,2.273,30.17,35.104,46.237
24.084,34.36,5.48,6.48,25.861,2.125,29.22,24.249,67.459
23.946,33.72,5.32,6.14,26.29,4.021,28.852,31.441,77.699
22.974,32.664,5.15,6.15,26.055,6.234,27.814,101.162,71.054
22.726,32.414,4.95,6.1,26.7,8.134,27.57,192.634,62.628
21.913,30.786,4.25,5.5,25.797,7.454,26.33,161.874,59.107
20.25,28.876,3.61,5.11,23.406,7.788,24.542,220.568,48.96
18.349,27.493,3.36,5.01,21.468,0.762,22.911,0.828,38.805
18.689,29.46,3.84,5.67,20.121,3.416,24.046,78.258,28.564
18.123,30.058,4.47,6.43,19.563,0.0,24.078,0.0,23.105
20.808,33.198,5.36,7.13,22.196,0.0,26.983,0.0,24.504
23.095,34.477,5.65,7.13,25.861,2.425,28.782,39.845,35.018
25.288,36.841,6.05,7.25,27.588,1.218,31.061,25.243,46.237
24.323,34.6,5.53,6.54,26.059,3.901,29.456,49.793,67.459
22.798,32.599,5.18,6.1,25.534,6.637,27.692,143.895,77.699
22.696,32.36,5.12,6.12,26.055,6.562,27.491,167.387,71.054
21.944,31.631,4.86,6.07,26.297,4.758,26.789,130.234,62.628
21.216,30.058,4.16,5.46,25.797,9.283,25.601,162.314,59.107
19.453,28.085,3.55,5.04,22.632,3.867,23.753,86.312,48.96
18.439,27.552,3.36,5.0,21.518,1.713,22.971,15.113,38.805
17.935,28.704,3.78,5.64,20.12,2.355,23.29,22.073,28.564
18.026,29.953,4.45,6.4,19.438,1.339,23.975,7.98,23.105
20.752,33.142,5.35,7.12,22.196,0.0,26.954,0.0,24.504
23.818,35.148,5.72,7.2,25.888,0.904,29.479,4.576,35.018
23.93,35.506,5.9,7.24,27.496,4.38,29.702,106.151,46.237
24.016,34.293,5.48,6.49,25.879,2.755,29.151,56.015,67.459
23.206,33.008,5.24,6.1,25.534,5.08,28.113,81.656,77.699
22.948,32.664,5.16,6.15,26.055,5.194,27.788,139.021,71.054
22.542,32.229,4.93,6.11,26.297,5.473,27.386,65.551,62.628
21.203,30.072,4.16,5.46,25.797,8.131,25.615,249.26,59.107
20.052,28.679,3.6,5.08,23.488,9.14,24.347,420.227,48.96
17.884,27.011,3.3,5.01,20.223,2.626,22.429,23.847,38.805
17.061,27.83,3.7,5.58,19.035,2.838,22.419,64.267,28.564
18.138,30.068,4.46,6.4,19.832,0.081,24.087,0.081,23.105
20.007,32.371,5.26,7.09,20.89,2.476,26.155,32.719,24.504
23.24,34.619,5.68,7.14,25.888,1.399,28.927,13.458,35.018
23.93,35.506,5.9,7.2,27.464,2.281,29.702,20.761,46.237
24.585,34.864,5.55,6.5,26.361,3.86,29.721,41.827,67.459
23.346,33.134,5.25,6.12,25.534,3.232,28.226,23.001,77.699
23.247,32.959,5.19,6.17,26.345,4.218,28.083,15.371,71.054
22.115,31.802,4.88,6.07,26.297,7.275,26.957,100.949,62.628
21.578,30.42,4.2,5.45,25.797,10.005,25.964,133.257,59.107
20.344,28.976,3.62,5.08,23.488,2.924,24.643,8.77,48.96
18.853,27.965,3.38,5.04,21.555,2.761,23.384,32.524,38.805
17.848,28.618,3.77,5.62,19.478,1.773,23.205,20.658,28.564
18.706,30.64,4.53,6.44,20.545,1.322,24.658,2.404,23.105
20.52,32.884,5.33,7.11,22.14,1.774,26.669,10.393,24.504
24.057,35.412,5.76,7.17,25.861,1.642,29.719,12.755,35.018
24.585,36.168,5.98,7.27,27.464,3.66,30.363,72.663,46.237
