minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
18.448,29.886,3.95,5.83,20.268,0.488,24.153,1.426,27.286
18.871,31.541,4.72,6.67,19.345,4.024,25.202,40.846,22.08
19.482,32.579,5.38,7.3,20.368,0.087,26.018,0.087,23.568
22.877,34.964,5.83,7.38,24.725,1.11,28.904,20.636,33.48
23.382,35.42,5.98,7.39,26.074,3.8,29.381,75.978,44.699
23.605,33.931,5.45,6.5,25.115,2.573,28.744,37.752,67.124
22.706,32.393,5.18,6.05,24.822,3.865,27.553,50.849,78.098
22.249,31.818,5.04,6.06,25.233,4.966,26.995,37.392,71.0
22.257,32.059,4.93,6.1,25.413,7.451,27.155,205.704,62.327
21.337,30.43,4.23,5.54,24.923,5.721,25.872,183.34,58.205
19.581,28.602,3.63,5.19,22.47,6.364,24.068,171.101,47.204
17.431,27.038,3.34,5.11,20.447,3.204,22.209,169.398,37.386
16.899,28.335,3.81,5.73,19.052,1.651,22.601,35.589,27.286
17.136,29.794,4.5,6.52,18.354,1.119,23.452,7.696,22.08
20.184,33.281,5.47,7.29,20.927,0.854,26.722,1.271,23.568
22.951,35.022,5.84,7.39,24.716,1.151,28.965,22.37,33.48
24.043,36.08,6.06,7.41,26.407,4.805,30.043,92.314,44.699
23.812,34.136,5.48,6.51,25.216,2.82,28.96,96.367,67.124
23.001,32.694,5.2,6.08,24.822,5.385,27.845,49.389,78.098
22.701,32.269,5.1,6.1,25.867,6.765,27.445,260.17,71.0
21.459,31.251,4.83,6.08,25.413,8.556,26.348,173.469,62.327
20.624,29.709,4.17,5.48,24.923,9.834,25.153,291.877,58.205
19.48,28.539,3.64,5.15,21.919,5.369,24.006,85.904,47.204
18.42,28.025,3.44,5.12,20.518,4.981,23.195,76.766,37.386
17.675,29.086,3.89,5.74,19.052,1.087,23.352,22.022,27.286
18.499,31.155,4.66,6.6,19.382,0.301,24.816,1.035,22.08
20.303,33.399,5.5,7.33,20.916,0.0,26.845,0.0,23.568
22.887,34.958,5.82,7.42,24.728,0.946,28.899,5.267,33.48
22.794,34.802,5.9,7.37,26.031,8.755,28.765,144.616,44.699
23.008,33.334,5.38,6.47,25.115,3.63,28.147,98.831,67.124
22.47,32.146,5.11,6.04,24.822,5.504,27.297,108.07,78.098
21.979,31.565,5.01,6.07,25.233,7.216,26.743,144.207,71.0
21.16,30.951,4.81,6.05,25.413,9.356,26.046,350.291,62.327
20.824,29.915,4.19,5.5,24.923,7.378,25.357,162.162,58.205
18.723,27.743,3.57,5.14,21.323,8.98,23.209,398.275,47.204
17.43,27.033,3.34,5.07,20.157,4.118,22.204,185.971,37.386
16.724,28.136,3.78,5.71,18.514,1.174,22.402,14.054,27.286
17.038,29.697,4.49,6.52,18.236,0.0,23.357,0.0,22.08
19.73,32.827,5.41,7.26,19.649,0.0,26.265,0.0,23.568
23.075,35.161,5.86,7.4,24.728,1.339,29.094,12.604,33.48
22.55,34.626,5.9,7.4,24.713,6.347,28.587,152.837,44.699
