minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover
21.198,30.137,3.8,5.42,23.456,1.726,25.633,27.275,35.525
22.149,31.294,4.29,5.89,23.956,2.757,26.71,56.355,33.098
22.536,31.369,4.59,6.17,25.424,3.753,26.949,62.785,34.622
23.831,31.893,4.64,5.92,28.311,5.658,27.85,201.334,49.816
24.079,31.306,4.38,5.51,29.127,5.531,27.661,192.097,59.404
23.288,29.674,3.97,4.85,28.405,10.304,26.482,179.834,75.766
22.844,29.2,3.94,4.78,27.691,7.456,26.011,73.539,77.313
22.795,29.212,3.98,4.95,27.32,4.637,25.993,103.147,70.293
22.682,29.395,3.99,5.07,27.317,7.956,26.008,193.717,64.929
22.383,29.354,3.81,4.89,27.502,7.865,25.853,151.24,64.852
21.49,28.612,3.46,4.66,26.778,12.684,25.029,282.056,58.391
20.825,28.718,3.42,4.85,24.127,4.303,24.736,26.495,45.542
20.307,29.268,3.74,5.37,22.999,2.365,24.767,85.088,35.525
20.87,30.016,4.16,5.82,23.637,1.224,25.431,2.722,33.098
22.812,31.645,4.6,6.15,25.85,3.652,27.224,91.411,34.622
24.23,32.291,4.67,5.93,28.311,3.982,28.248,83.721,49.816
24.598,31.823,4.43,5.54,29.088,3.925,28.18,82.495,59.404
23.655,30.042,4.0,4.88,28.443,10.635,26.849,354.491,75.766
22.481,28.838,3.92,4.77,27.636,9.018,25.649,85.972,77.313
23.222,29.638,4.02,4.95,28.144,6.323,26.419,175.435,70.293
22.662,29.376,4.0,5.1,27.317,8.538,25.988,130.266,64.929
22.076,29.026,3.78,4.86,27.496,13.181,25.522,414.693,64.852
21.574,28.697,3.46,4.64,26.73,8.108,25.12,200.943,58.391
21.34,29.233,3.45,4.84,24.987,4.134,25.251,93.09,45.542
21.373,30.312,3.8,5.4,23.383,1.056,25.809,29.26,35.525
21.914,31.057,4.27,5.89,24.005,1.409,26.473,2.277,33.098
22.836,31.668,4.61,6.17,24.997,0.414,27.25,0.414,34.622
24.304,32.366,4.68,5.95,28.313,3.689,28.323,80.204,49.816
24.098,31.325,4.38,5.51,29.07,7.56,27.681,179.623,59.404
23.648,30.036,4.0,4.88,28.405,10.621,26.843,45.713,75.766
22.515,28.872,3.92,4.77,27.732,9.02,25.682,124.325,77.313
22.718,29.133,3.98,4.95,27.318,12.011,25.915,136.342,70.293
22.384,29.098,3.96,5.05,27.317,9.576,25.708,192.875,64.929
22.288,29.239,3.8,4.86,27.502,10.508,25.758,243.768,64.852
21.504,28.631,3.46,4.67,26.505,8.691,25.049,255.538,58.391
20.29,28.182,3.36,4.84,23.987,5.045,24.2,101.265,45.542
19.771,28.732,3.69,5.34,22.284,1.937,24.231,51.506,35.525
20.293,29.44,4.1,5.8,22.667,0.834,24.854,1.483,33.098
21.73,30.567,4.51,6.1,24.449,2.602,26.147,7.262,34.622
23.672,31.759,4.63,5.91,28.311,2.798,27.715,26.401,49.816
23.923,31.116,4.36,5.52,28.917,4.237,27.47,71.501,59.404
22.485,28.873,3.9,4.83,26.982,12.364,25.678,148.214,75.766
22.168,28.523,3.89,4.74,27.636,10.948,25.334,173.121,77.313
22.42,28.805,3.94,4.9,27.325,6.192,25.584,57.737,70.293
22.742,29.456,4.0,5.04,27.317,4.478,26.068,68.593,64.929
22.512,29.482,3.81,4.89,27.502,8.774,25.981,286.276,64.852
21.673,28.795,3.47,4.68,26.73,1.736,25.212,12.334,58.391
20.582,28.475,3.41,4.84,24.71,3.715,24.493,47.607,45.542
20.268,29.207,3.73,5.34,23.383,0.53,24.703,0.557,35.525
21.212,30.354,4.2,5.82,23.956,0.79,25.769,1.276,33.098
22.905,31.735,4.62,6.19,25.519,1.673,27.317,3.055,34.622
23.353,31.416,4.6,5.92,28.111,6.267,27.372,117.205,49.816
23.8,31.025,4.36,5.5,29.125,6.303,27.382,124.697,59.404
23.239,29.622,3.97,4.83,28.466,10.063,26.434,269.351,75.766
23.311,29.666,3.99,4.81,28.568,6.273,26.477,45.803,77.313
22.944,29.33,3.99,4.94,27.318,6.804,26.11,151.863,70.293
23.15,29.863,4.03,5.1,27.317,5.571,26.475,73.257,64.929
22.278,29.251,3.81,4.89,27.496,10.028,25.749,215.541,64.852
21.858,28.98,3.5,4.67,26.778,6.513,25.397,100.274,58.391
20.809,28.7,3.41,4.83,23.904,0.832,24.718,0.836,45.542
20.828,29.789,3.78,5.36,23.383,1.83,25.287,15.143,35.525
21.668,30.81,4.23,5.85,23.866,1.021,26.227,12.72,33.098
22.834,31.665,4.6,6.17,25.739,2.84,27.247,24.233,34.622
24.604,32.667,4.73,5.95,28.336,3.688,28.623,47.652,49.816
24.201,31.426,4.4,5.55,29.167,4.743,27.782,38.682,59.404
23.067,29.451,3.95,4.85,28.458,9.986,26.257,96.021,75.766
22.522,28.879,3.92,4.77,27.691,7.905,25.689,129.494,77.313
22.41,28.796,3.94,4.9,27.325,7.507,25.576,189.259,70.293
22.876,29.589,4.01,5.06,27.317,4.354,26.202,46.695,64.929
22.225,29.176,3.8,4.88,27.501,10.338,25.694,279.609,64.852
21.261,28.411,3.44,4.65,26.778,9.377,24.828,202.919,58.391
20.887,28.777,3.41,4.84,24.073,6.15,24.796,81.966,45.542
20.245,29.189,3.73,5.35,23.383,1.067,24.686,48.48,35.525
21.077,30.219,4.18,5.83,24.126,0.801,25.633,1.746,33.098
22.583,31.414,4.59,6.17,25.85,3.073,26.995,43.973,34.622
23.297,31.36,4.59,5.9,28.24,5.599,27.316,176.483,49.816
24.128,31.355,4.38,5.51,29.065,4.473,27.709,48.643,59.404
23.19,29.572,3.96,4.85,28.405,13.404,26.384,84.858,75.766
22.524,28.879,3.92,4.78,27.636,7.952,25.69,189.296,77.313
21.958,28.345,3.9,4.9,26.458,6.667,25.124,70.504,70.293
22.774,29.487,4.01,5.04,27.317,7.468,26.098,102.037,64.929
22.149,29.099,3.79,4.88,27.496,11.7,25.618,289.897,64.852
21.483,28.61,3.45,4.65,26.778,8.789,25.027,129.221,58.391
20.871,28.763,3.42,4.84,24.071,4.502,24.78,75.509,45.542
20.405,29.344,3.73,5.36,23.383,1.154,24.84,11.739,35.525
20.791,29.933,4.17,5.84,24.089,2.481,25.348,126.428,33.098
22.243,31.076,4.56,6.13,25.172,3.659,26.657,78.131,34.622
23.955,32.04,4.67,5.94,28.336,4.824,27.997,105.081,49.816
23.908,31.102,4.36,5.52,29.127,5.012,27.457,97.595,59.404
22.738,29.123,3.94,4.85,28.405,6.837,25.934,91.278,75.766
21.733,28.09,3.84,4.73,26.733,8.055,24.901,113.567,77.313
22.44,28.825,3.94,4.9,26.935,6.873,25.605,155.692,70.293
22.372,29.085,3.96,5.04,27.317,9.023,25.698,224.095,64.929
22.2,29.151,3.79,4.88,27.534,11.136,25.67,335.858,64.852
21.052,28.181,3.42,4.65,25.974,4.688,24.596,34.568,58.391
20.335,28.228,3.36,4.82,23.583,2.978,24.246,10.211,45.542
19.989,28.929,3.7,5.33,22.373,1.962,24.425,63.974,35.525
20.855,30.001,4.17,5.81,24.111,1.895,25.416,81.656,33.098
22.512,31.345,4.59,6.17,25.85,2.448,26.925,21.009,34.622
23.657,31.72,4.62,5.92,28.311,6.086,27.675,47.167,49.816
23.711,30.936,4.34,5.51,29.12,8.352,27.292,211.473,59.404
22.853,29.237,3.94,4.85,28.458,9.323,26.043,90.939,75.766
21.885,28.241,3.86,4.74,26.369,5.694,25.052,79.965,77.313
22.11,28.528,3.93,4.9,26.729,9.36,25.309,247.127,70.293
22.323,29.036,3.96,5.03,26.227,6.34,25.65,121.201,64.929
22.2,29.151,3.79,4.86,27.572,8.607,25.67,113.407,64.852
21.369,28.514,3.45,4.65,26.664,7.86,24.936,143.857,58.391
20.959,28.848,3.42,4.83,24.27,2.64,24.866,31.767,45.542
20.435,29.375,3.73,5.36,23.383,1.37,24.871,47.449,35.525
20.809,29.952,4.17,5.83,24.028,2.79,25.366,52.52,33.098
22.129,30.961,4.54,6.15,24.973,1.229,26.542,3.752,34.622
23.28,31.367,4.61,5.91,28.336,4.657,27.323,134.292,49.816
24.123,31.35,4.38,5.51,29.12,3.797,27.705,96.716,59.404
22.754,29.136,3.93,4.84,28.411,10.058,25.945,210.435,75.766
22.23,28.586,3.89,4.75,27.636,10.203,25.396,238.166,77.313
22.124,28.51,3.92,4.9,27.325,12.347,25.29,306.821,70.293
22.286,29.0,3.95,5.03,27.317,5.529,25.611,70.437,64.929
21.86,28.832,3.76,4.84,27.501,11.26,25.329,308.882,64.852
21.495,28.64,3.47,4.65,26.778,8.9,25.058,225.434,58.391
20.593,28.483,3.41,4.83,23.489,1.095,24.501,1.781,45.542
20.268,29.207,3.73,5.35,23.383,1.077,24.703,3.573,35.525
20.558,29.699,4.12,5.82,23.224,0.985,25.115,15.803,33.098
22.391,31.224,4.57,6.14,25.85,2.007,26.804,4.481,34.622
23.687,31.748,4.63,5.92,28.311,3.148,27.705,129.79,49.816
23.898,31.123,4.36,5.53,29.12,3.898,27.478,98.367,59.404
22.412,28.798,3.89,4.82,27.336,12.529,25.606,338.337,75.766
21.981,28.338,3.87,4.74,27.691,9.118,25.148,79.245,77.313
22.435,28.819,3.94,4.9,27.318,4.096,25.599,28.822,70.293
22.868,29.582,4.02,5.07,27.317,5.654,26.193,133.4,64.929
22.082,29.032,3.78,4.85,27.502,9.275,25.528,211.572,64.852
21.689,28.838,3.5,4.65,26.778,8.828,25.257,145.16,58.391
20.97,28.858,3.42,4.88,24.987,5.89,24.878,139.345,45.542
19.755,28.694,3.68,5.32,22.274,1.034,24.19,4.468,35.525
21.579,30.721,4.24,5.82,24.058,1.384,26.134,10.866,33.098
23.026,31.859,4.62,6.18,25.85,2.444,27.44,8.413,34.622
24.163,32.226,4.67,5.94,28.334,4.982,28.183,80.549,49.816
24.201,31.426,4.4,5.54,29.065,4.579,27.782,150.577,59.404
22.791,29.18,3.94,4.84,28.405,13.806,25.985,486.942,75.766
22.556,28.914,3.92,4.77,27.691,5.198,25.724,56.547,77.313
22.508,28.894,3.95,4.92,27.318,6.439,25.674,199.112,70.293
22.634,29.347,4.0,5.07,27.317,6.666,25.959,176.926,64.929
22.161,29.111,3.78,4.86,27.496,11.981,25.609,590.992,64.852
21.659,28.804,3.49,4.67,26.778,8.723,25.223,215.902,58.391
20.561,28.451,3.4,4.84,24.149,2.944,24.47,32.512,45.542
19.969,28.931,3.71,5.34,22.555,1.875,24.429,13.366,35.525
21.292,30.44,4.2,5.82,24.151,1.377,25.854,2.735,33.098
22.622,31.454,4.59,6.17,25.85,0.93,27.036,5.823,34.622
24.239,32.325,4.68,5.94,28.334,2.631,28.282,67.697,49.816
24.623,31.848,4.43,5.55,29.143,3.949,28.204,72.457,59.404
23.477,29.864,3.99,4.89,28.466,8.37,26.671,92.847,75.766
22.333,28.689,3.89,4.77,27.691,12.104,25.499,127.185,77.313
22.646,29.031,3.96,4.92,27.318,4.935,25.812,71.386,70.293
22.728,29.443,4.0,5.07,27.317,4.133,26.056,56.619,64.929
22.247,29.198,3.79,4.88,27.496,10.769,25.717,291.069,64.852
21.461,28.61,3.46,4.65,26.778,9.396,25.026,91.118,58.391
21.104,28.997,3.44,4.85,24.987,4.324,25.015,59.945,45.542
20.283,29.222,3.73,5.35,23.383,1.034,24.718,6.003,35.525
21.277,30.419,4.2,5.84,24.111,0.737,25.832,1.755,33.098
22.709,31.54,4.6,6.17,25.85,1.969,27.121,12.125,34.622
24.172,32.234,4.67,5.94,28.334,3.493,28.192,24.053,49.816
24.146,31.371,4.39,5.53,29.127,6.066,27.729,136.28,59.404
23.402,29.784,3.99,4.86,28.41,7.127,26.59,143.871,75.766
22.674,29.031,3.93,4.8,27.732,4.934,25.842,112.477,77.313
22.549,28.935,3.94,4.91,27.325,6.02,25.716,88.958,70.293
22.91,29.623,4.01,5.08,27.317,7.235,26.234,68.383,64.929
22.232,29.204,3.8,4.88,27.496,13.92,25.702,539.426,64.852
21.835,28.985,3.5,4.67,26.778,7.669,25.404,147.594,58.391
21.041,28.932,3.42,4.85,24.987,5.626,24.951,114.663,45.542
20.681,29.619,3.75,5.35,23.383,1.547,25.116,15.181,35.525
21.41,30.551,4.22,5.85,24.088,2.082,25.966,19.703,33.098
22.348,31.179,4.57,6.15,25.85,3.41,26.76,32.988,34.622
23.816,31.877,4.65,5.91,28.336,6.148,27.834,119.343,49.816
24.274,31.47,4.38,5.5,29.377,5.778,27.825,87.931,59.404
23.587,29.971,4.0,4.88,28.405,9.536,26.778,186.005,75.766
22.524,28.881,3.92,4.78,27.691,10.293,25.691,169.1,77.313
22.935,29.32,4.0,4.93,27.318,5.793,26.101,141.747,70.293
22.791,29.505,4.0,5.07,27.317,9.871,26.118,199.875,64.929
22.61,29.559,3.81,4.88,27.496,6.015,26.058,72.895,64.852
21.792,28.914,3.48,4.67,26.803,10.425,25.331,277.862,58.391
20.943,28.834,3.42,4.86,24.987,2.435,24.852,51.898,45.542
20.063,29.025,3.71,5.35,22.89,0.103,24.521,0.103,35.525
21.087,30.229,4.18,5.82,24.04,1.123,25.644,14.401,33.098
22.779,31.61,4.6,6.17,25.325,1.741,27.192,6.246,34.622
24.215,32.276,4.67,5.93,28.313,5.215,28.235,59.147,49.816
24.316,31.511,4.39,5.54,29.167,6.06,27.865,219.417,59.404
22.476,28.859,3.91,4.82,28.41,9.61,25.67,96.606,75.766
22.605,28.961,3.92,4.74,27.636,13.018,25.772,457.708,77.313
22.631,29.046,3.97,4.94,27.318,8.764,25.828,127.488,70.293
22.285,28.998,3.96,5.06,27.317,7.044,25.611,221.815,64.929
21.883,28.854,3.76,4.84,27.557,8.525,25.351,238.555,64.852
21.585,28.707,3.47,4.66,26.778,7.526,25.126,180.187,58.391
20.278,28.17,3.36,4.84,23.725,2.644,24.188,19.196,45.542
