
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.556"	"31.644"	"32.441"	"34"	"35.078"	"34.747"	"33.762"	"33.203"	"32.992"	"31.733"	"29.678"	"28.382"
"1902"	"29.469"	"29.844"	"32.63"	"34.511"	"35.552"	"34.95"	"33.761"	"33.478"	"32.619"	"30.935"	"29.664"	"29.067"
"1903"	"29.869"	"31.456"	"32.93"	"34.514"	"34.994"	"34.662"	"33.676"	"32.891"	"32.433"	"31.647"	"29.488"	"28.167"
"1904"	"28.968"	"29.857"	"32.215"	"34.512"	"34.806"	"34.158"	"33.275"	"32.976"	"33.205"	"31.735"	"29.976"	"28.155"
"1905"	"28.873"	"31.058"	"33.526"	"33.812"	"34.981"	"34.947"	"34.861"	"33.477"	"33.403"	"31.536"	"29.877"	"28.583"
"1906"	"29.959"	"31.943"	"32.642"	"35.199"	"35.953"	"34.489"	"34.075"	"32.591"	"32.73"	"31.333"	"29.565"	"28.782"
"1907"	"29.182"	"30.558"	"32.927"	"33.911"	"35.564"	"34.658"	"33.774"	"32.96"	"33.205"	"31.423"	"29.678"	"28.769"
"1908"	"29.37"	"30.244"	"32.229"	"35.213"	"35.364"	"34.747"	"33.46"	"32.976"	"32.207"	"31.423"	"29.279"	"28.156"
"1909"	"29.27"	"30.658"	"32.903"	"34.225"	"34.779"	"34.163"	"33.062"	"32.378"	"32.018"	"31.607"	"30.263"	"29.257"
"1910"	"29.468"	"30.443"	"32.218"	"34.186"	"35.766"	"34.376"	"33.377"	"32.491"	"32.217"	"31.234"	"29.29"	"28.256"
"1911"	"29.257"	"29.971"	"32.529"	"34.185"	"34.966"	"33.935"	"33.647"	"33.148"	"33.005"	"31.122"	"29.751"	"28.656"
"1912"	"28.671"	"31.344"	"33.428"	"34.626"	"35.854"	"34.635"	"33.762"	"33.201"	"32.691"	"31.32"	"29.889"	"28.269"
"1913"	"28.767"	"31.044"	"33.227"	"34.912"	"35.579"	"35.062"	"33.373"	"33.174"	"32.98"	"31.149"	"29.253"	"28.755"
"1914"	"29.068"	"30.761"	"32.903"	"34.413"	"35.452"	"35.136"	"33.648"	"32.692"	"32.522"	"30.923"	"29.565"	"28.956"
"1915"	"29.469"	"30.945"	"32.615"	"34.199"	"35.552"	"34.45"	"33.465"	"33.691"	"32.72"	"32.02"	"30.276"	"28.78"
"1916"	"28.968"	"30.859"	"32.733"	"34.9"	"35.18"	"33.748"	"33.176"	"32.69"	"32.204"	"31.321"	"29.877"	"27.954"
"1917"	"28.555"	"29.944"	"31.916"	"34.099"	"34.579"	"33.377"	"33.677"	"32.891"	"32.134"	"31.034"	"29.779"	"28.156"
"1918"	"28.755"	"29.343"	"31.416"	"34.013"	"34.391"	"33.45"	"33.636"	"33.175"	"32.206"	"31.61"	"29.853"	"28.643"
"1919"	"30.255"	"31.656"	"32.429"	"34.602"	"35.48"	"34.162"	"33.364"	"32.962"	"32.407"	"31.322"	"29.765"	"28.756"
"1920"	"29.367"	"31.144"	"33.129"	"34.312"	"35.468"	"34.764"	"34.245"	"33.389"	"33.003"	"31.734"	"29.765"	"28.055"
"1921"	"29.73"	"30.558"	"33.03"	"34.324"	"36.25"	"35.161"	"33.477"	"33.203"	"32.519"	"31.236"	"29.378"	"28.355"
"1922"	"29.37"	"30.144"	"32.617"	"34.385"	"35.164"	"34.75"	"33.774"	"33.202"	"32.704"	"31.035"	"29.878"	"27.969"
"1923"	"28.57"	"30.456"	"32.256"	"34.511"	"35.179"	"34.935"	"33.66"	"33.174"	"32.717"	"31.334"	"30.064"	"28.557"
"1924"	"29.056"	"30.957"	"32.73"	"34.9"	"36.306"	"34.96"	"33.775"	"33.377"	"32.433"	"31.634"	"29.791"	"28.155"
"1925"	"28.771"	"30.271"	"32.444"	"34.926"	"35.003"	"34.662"	"33.563"	"32.878"	"32.719"	"31.349"	"29.476"	"28.254"
"1926"	"29.468"	"30.658"	"33.215"	"34.61"	"35.468"	"35.136"	"34.05"	"33.378"	"32.705"	"31.536"	"29.266"	"28.669"
"1927"	"29.469"	"31.045"	"33.23"	"34.374"	"35.053"	"34.249"	"33.86"	"33.377"	"32.606"	"31.62"	"29.69"	"28.857"
"1928"	"29.757"	"31.271"	"32.245"	"34.499"	"35.853"	"34.836"	"33.661"	"33.09"	"33.12"	"31.535"	"29.562"	"28.568"
"1929"	"29.669"	"30.76"	"32.442"	"33.498"	"35.065"	"34.248"	"33.948"	"33.178"	"32.707"	"31.421"	"29.476"	"28.557"
"1930"	"29.27"	"30.958"	"32.729"	"34.213"	"34.38"	"34.178"	"34.261"	"33.15"	"32.719"	"30.824"	"29.692"	"28.968"
"1931"	"29.469"	"30.871"	"32.93"	"34.7"	"35.869"	"34.95"	"33.876"	"33.566"	"32.719"	"31.835"	"29.678"	"28.356"
"1932"	"28.969"	"30.657"	"32.427"	"34.214"	"34.681"	"34.335"	"33.66"	"32.979"	"32.717"	"31.223"	"29.978"	"28.457"
"1933"	"29.355"	"30.558"	"32.416"	"34"	"34.479"	"34.147"	"33.86"	"32.977"	"32.704"	"30.934"	"29.878"	"28.569"
"1934"	"29.356"	"29.646"	"32.029"	"34.211"	"35.367"	"34.662"	"33.861"	"33.203"	"33.206"	"31.637"	"29.591"	"28.068"
"1935"	"29.258"	"30.545"	"32.517"	"34.599"	"36.052"	"34.95"	"33.66"	"32.89"	"32.618"	"31.436"	"29.475"	"28.755"
"1936"	"29.971"	"31.344"	"32.642"	"34.699"	"35.381"	"33.861"	"33.988"	"33.502"	"32.906"	"31.523"	"29.878"	"29.168"
"1937"	"29.469"	"31.345"	"32.704"	"33.898"	"35.566"	"34.747"	"33.575"	"33.478"	"33.106"	"31.235"	"29.691"	"28.583"
"1938"	"29.783"	"31.144"	"33.215"	"34.199"	"35.751"	"34.177"	"33.562"	"32.89"	"32.618"	"31.318"	"29.591"	"28.557"
"1939"	"28.956"	"29.86"	"32.229"	"33.712"	"34.925"	"34.447"	"33.459"	"33.149"	"32.705"	"31.635"	"29.364"	"28.668"
"1940"	"28.671"	"30.258"	"33.227"	"34.013"	"35.378"	"34.659"	"33.873"	"33.2"	"33.633"	"32.149"	"29.777"	"28.869"
"1941"	"29.77"	"30.957"	"32.93"	"34.699"	"35.964"	"34.658"	"34.247"	"33.675"	"32.731"	"31.536"	"29.866"	"28.968"
"1942"	"29.67"	"31.045"	"32.643"	"34.201"	"35.767"	"34.948"	"34.059"	"33.204"	"33.104"	"31.836"	"30.091"	"28.757"
