
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"22.351"	"22.54"	"23.028"	"25.285"	"25.808"	"25.868"	"25.07"	"24.612"	"24.585"	"24.011"	"22.539"	"21.254"
"1902"	"21.265"	"20.742"	"23.226"	"25.796"	"26.283"	"26.057"	"25.069"	"24.801"	"24.211"	"23.299"	"22.524"	"21.939"
"1903"	"21.578"	"22.352"	"23.528"	"25.797"	"25.727"	"25.782"	"24.984"	"24.299"	"24.025"	"24.011"	"22.349"	"21.038"
"1904"	"20.763"	"20.754"	"22.813"	"25.797"	"25.536"	"25.278"	"24.585"	"24.296"	"24.797"	"24.012"	"22.837"	"21.025"
"1905"	"20.579"	"21.955"	"24.112"	"25.097"	"25.711"	"26.055"	"26.169"	"24.798"	"24.995"	"23.898"	"22.726"	"21.455"
"1906"	"21.752"	"22.84"	"23.228"	"26.472"	"26.685"	"25.61"	"25.384"	"23.999"	"24.323"	"23.698"	"22.426"	"21.653"
"1907"	"20.892"	"21.455"	"23.525"	"25.197"	"26.295"	"25.779"	"25.083"	"24.281"	"24.797"	"23.787"	"22.539"	"21.641"
"1908"	"21.078"	"21.141"	"22.815"	"26.496"	"26.095"	"25.868"	"24.77"	"24.296"	"23.8"	"23.787"	"22.139"	"21.027"
"1909"	"21.065"	"21.555"	"23.501"	"25.511"	"25.51"	"25.284"	"24.372"	"23.787"	"23.611"	"23.971"	"23.124"	"22.127"
"1910"	"21.263"	"21.34"	"22.814"	"25.472"	"26.496"	"25.498"	"24.686"	"23.812"	"23.809"	"23.511"	"22.138"	"21.127"
"1911"	"21.051"	"20.867"	"23.116"	"25.47"	"25.696"	"25.055"	"24.956"	"24.556"	"24.598"	"23.486"	"22.611"	"21.528"
"1912"	"20.379"	"22.242"	"24.024"	"25.913"	"26.583"	"25.755"	"25.07"	"24.609"	"24.283"	"23.684"	"22.751"	"21.14"
"1913"	"20.562"	"21.941"	"23.812"	"26.196"	"26.31"	"26.181"	"24.683"	"24.582"	"24.572"	"23.512"	"22.114"	"21.628"
"1914"	"20.863"	"21.657"	"23.502"	"25.698"	"26.183"	"26.257"	"24.956"	"24.099"	"24.114"	"23.287"	"22.426"	"21.827"
"1915"	"21.265"	"21.842"	"23.2"	"25.473"	"26.283"	"25.56"	"24.774"	"25.098"	"24.313"	"24.297"	"23.138"	"21.652"
"1916"	"20.762"	"21.755"	"23.331"	"26.184"	"25.912"	"24.869"	"24.487"	"24.099"	"23.797"	"23.685"	"22.726"	"20.825"
