
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.2"	"5.9"	"6.42"	"6.33"	"6.43"	"5.99"	"5.79"	"5.83"	"5.75"	"5.21"	"4.74"	"4.6"
"1902"	"5.17"	"5.81"	"6.35"	"6.34"	"6.46"	"6.02"	"5.79"	"5.88"	"5.76"	"5.15"	"4.69"	"4.62"
"1903"	"5.18"	"5.87"	"6.42"	"6.35"	"6.44"	"6"	"5.79"	"5.83"	"5.72"	"5.18"	"4.74"	"4.61"
"1904"	"5.13"	"5.81"	"6.34"	"6.34"	"6.45"	"5.97"	"5.76"	"5.82"	"5.75"	"5.21"	"4.75"	"4.62"
"1905"	"5.12"	"5.82"	"6.45"	"6.34"	"6.41"	"5.97"	"5.84"	"5.89"	"5.78"	"5.18"	"4.74"	"4.6"
"1906"	"5.12"	"5.9"	"6.4"	"6.34"	"6.5"	"6"	"5.82"	"5.83"	"5.74"	"5.17"	"4.71"	"4.62"
"1907"	"5.17"	"5.82"	"6.41"	"6.32"	"6.45"	"6"	"5.8"	"5.83"	"5.76"	"5.18"	"4.73"	"4.62"
"1908"	"5.18"	"5.83"	"6.33"	"6.34"	"6.47"	"6.01"	"5.79"	"5.86"	"5.72"	"5.17"	"4.73"	"4.6"
"1909"	"5.12"	"5.83"	"6.4"	"6.35"	"6.44"	"5.98"	"5.77"	"5.8"	"5.69"	"5.14"	"4.74"	"4.66"
"1910"	"5.17"	"5.84"	"6.36"	"6.3"	"6.46"	"6"	"5.78"	"5.83"	"5.72"	"5.18"	"4.72"	"4.6"
"1911"	"5.14"	"5.81"	"6.36"	"6.34"	"6.45"	"5.96"	"5.76"	"5.82"	"5.76"	"5.17"	"4.72"	"4.64"
"1912"	"5.12"	"5.82"	"6.42"	"6.34"	"6.48"	"6.01"	"5.79"	"5.84"	"5.75"	"5.16"	"4.74"	"4.62"
"1913"	"5.11"	"5.82"	"6.41"	"6.36"	"6.46"	"6.04"	"5.78"	"5.83"	"5.76"	"5.18"	"4.69"	"4.62"
"1914"	"5.13"	"5.83"	"6.4"	"6.34"	"6.44"	"6.02"	"5.81"	"5.82"	"5.75"	"5.15"	"4.69"	"4.62"
"1915"	"5.14"	"5.85"	"6.4"	"6.33"	"6.46"	"6.01"	"5.76"	"5.85"	"5.75"	"5.2"	"4.75"	"4.66"
"1916"	"5.12"	"5.83"	"6.38"	"6.35"	"6.49"	"5.97"	"5.75"	"5.82"	"5.73"	"5.15"	"4.75"	"4.62"
"1917"	"5.11"	"5.81"	"6.34"	"6.33"	"6.45"	"5.92"	"5.76"	"5.84"	"5.73"	"5.14"	"4.73"	"4.62"
"1918"	"5.14"	"5.8"	"6.3"	"6.31"	"6.44"	"5.93"	"5.75"	"5.85"	"5.73"	"5.16"	"4.74"	"4.6"
"1919"	"5.14"	"5.9"	"6.4"	"6.34"	"6.48"	"5.99"	"5.76"	"5.85"	"5.74"	"5.16"	"4.73"	"4.62"
"1920"	"5.15"	"5.84"	"6.42"	"6.34"	"6.45"	"6"	"5.81"	"5.85"	"5.75"	"5.21"	"4.75"	"4.6"
"1921"	"5.14"	"5.83"	"6.4"	"6.32"	"6.46"	"6.05"	"5.79"	"5.84"	"5.75"	"5.19"	"4.72"	"4.6"
"1922"	"5.18"	"5.82"	"6.37"	"6.34"	"6.44"	"5.99"	"5.79"	"5.84"	"5.75"	"5.15"	"4.74"	"4.62"
"1923"	"5.11"	"5.82"	"6.36"	"6.34"	"6.44"	"6.01"	"5.79"	"5.84"	"5.75"	"5.16"	"4.74"	"4.63"
"1924"	"5.12"	"5.83"	"6.39"	"6.34"	"6.49"	"6.05"	"5.79"	"5.85"	"5.74"	"5.17"	"4.75"	"4.62"
"1925"	"5.12"	"5.81"	"6.36"	"6.35"	"6.45"	"5.99"	"5.79"	"5.81"	"5.75"	"5.18"	"4.73"	"4.6"
"1926"	"5.13"	"5.83"	"6.4"	"6.35"	"6.45"	"6.01"	"5.81"	"5.85"	"5.75"	"5.18"	"4.71"	"4.6"
"1927"	"5.13"	"5.84"	"6.42"	"6.36"	"6.45"	"5.97"	"5.78"	"5.85"	"5.75"	"5.18"	"4.73"	"4.61"
"1928"	"5.14"	"5.88"	"6.39"	"6.31"	"6.46"	"6.02"	"5.79"	"5.83"	"5.75"	"5.18"	"4.73"	"4.6"
"1929"	"5.18"	"5.86"	"6.41"	"6.3"	"6.43"	"5.96"	"5.79"	"5.85"	"5.75"	"5.18"	"4.72"	"4.61"
"1930"	"5.13"	"5.84"	"6.4"	"6.35"	"6.42"	"5.93"	"5.8"	"5.85"	"5.76"	"5.15"	"4.69"	"4.62"
"1931"	"5.18"	"5.88"	"6.42"	"6.34"	"6.52"	"6.07"	"5.86"	"5.86"	"5.8"	"5.27"	"4.82"	"4.6"
"1932"	"5.18"	"5.78"	"6.34"	"6.25"	"6.33"	"5.89"	"5.71"	"5.82"	"5.71"	"5.02"	"4.56"	"4.62"
"1933"	"5.16"	"5.82"	"6.39"	"6.34"	"6.47"	"5.96"	"5.81"	"5.88"	"5.75"	"5.15"	"4.74"	"4.65"
"1934"	"5.15"	"5.83"	"6.33"	"6.26"	"6.45"	"5.99"	"5.84"	"5.87"	"5.82"	"5.2"	"4.81"	"4.67"
"1935"	"5.09"	"5.8"	"6.34"	"6.28"	"6.46"	"6.03"	"5.82"	"5.84"	"5.74"	"5.18"	"4.75"	"4.6"
"1936"	"5.14"	"5.87"	"6.41"	"6.31"	"6.44"	"5.97"	"5.8"	"5.89"	"5.78"	"5.18"	"4.71"	"4.63"
"1937"	"5.14"	"5.84"	"6.4"	"6.31"	"6.53"	"5.98"	"5.75"	"5.94"	"5.84"	"5.19"	"4.74"	"4.63"
"1938"	"5.18"	"5.83"	"6.42"	"6.35"	"6.5"	"5.99"	"5.75"	"5.84"	"5.74"	"5.2"	"4.8"	"4.62"
"1939"	"5.14"	"5.8"	"6.36"	"6.28"	"6.43"	"6"	"5.79"	"5.85"	"5.76"	"5.2"	"4.69"	"4.67"
"1940"	"5.2"	"5.77"	"6.41"	"6.34"	"6.44"	"5.98"	"5.71"	"5.79"	"5.76"	"5.24"	"4.66"	"4.6"
"1941"	"5.13"	"5.8"	"6.33"	"6.26"	"6.44"	"5.96"	"5.8"	"5.87"	"5.73"	"5.14"	"4.69"	"4.63"
"1942"	"5.2"	"5.86"	"6.4"	"6.32"	"6.46"	"6.04"	"5.8"	"5.86"	"5.76"	"5.18"	"4.82"	"4.56"
"1943"	"5.17"	"5.85"	"6.35"	"6.33"	"6.39"	"5.89"	"5.75"	"5.88"	"5.76"	"5.14"	"4.67"	"4.64"
"1944"	"5.16"	"5.87"	"6.39"	"6.27"	"6.46"	"6.01"	"5.78"	"5.94"	"5.81"	"5.27"	"4.76"	"4.65"
"1945"	"5.18"	"5.83"	"6.42"	"6.34"	"6.42"	"6.07"	"5.81"	"5.89"	"5.79"	"5.26"	"4.7"	"4.63"
