
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.91"	"40.403"	"8.72"	"24.345"	"30.801"	"32.831"	"20.848"	"90.828"	"226.433"	"68.721"	"169.584"	"70.862"
"1902"	"58.149"	"25.886"	"13.344"	"12.016"	"72.781"	"25.979"	"59.093"	"89.321"	"166.581"	"228.854"	"140.69"	"213.708"
"1903"	"13.499"	"7.543"	"0.004"	"2.904"	"136.849"	"46.355"	"43.511"	"85.175"	"282.276"	"135.892"	"107.061"	"165.982"
"1904"	"27.436"	"0"	"0.004"	"13.461"	"86.443"	"20.121"	"83.359"	"28.961"	"85.31"	"127.957"	"12.061"	"67.14"
"1905"	"5.291"	"0.432"	"1.947"	"118.819"	"119.544"	"12.224"	"43.03"	"116.796"	"67.094"	"275.648"	"84.849"	"1.137"
"1906"	"45.333"	"21.049"	"7.108"	"3.228"	"17.141"	"31.538"	"44.253"	"117.422"	"46.581"	"153.879"	"222.228"	"191.227"
"1907"	"6.05"	"0.918"	"0.008"	"125.859"	"45.469"	"21.01"	"21.608"	"58.014"	"173.023"	"147.023"	"243.052"	"51.801"
"1908"	"2.227"	"35.713"	"2.542"	"17.378"	"29.709"	"28.304"	"39.577"	"69.984"	"163.546"	"259.193"	"48.803"	"23.742"
"1909"	"43.829"	"5.135"	"0.004"	"27.469"	"99.546"	"38.916"	"35.491"	"89.422"	"240.396"	"103.062"	"16.504"	"14.032"
"1910"	"0.643"	"48.625"	"0.004"	"17.676"	"10.384"	"36.827"	"88.503"	"107.283"	"154.615"	"250.605"	"96.132"	"1.222"
"1911"	"0.605"	"0.13"	"10.075"	"12.785"	"38.502"	"23.459"	"28.593"	"43.047"	"205.973"	"130.811"	"140.207"	"118.612"
"1912"	"9.56"	"0"	"0.004"	"14.261"	"49.035"	"43.769"	"17.99"	"89.122"	"147.929"	"174.648"	"208.515"	"23.697"
"1913"	"0.001"	"0"	"0.004"	"19.016"	"47.668"	"28.64"	"27.558"	"74.845"	"236.345"	"317.7"	"267.069"	"163.697"
"1914"	"4.436"	"3.016"	"0.004"	"97.632"	"20.356"	"62.298"	"22.247"	"103.295"	"246.116"	"269.805"	"96.459"	"148.882"
"1915"	"18.442"	"36.841"	"21.847"	"25.374"	"58.742"	"21.281"	"58.434"	"119.103"	"181.857"	"82.845"	"168.452"	"51.302"
"1916"	"0.001"	"12.652"	"0.004"	"18.983"	"51.549"	"21.731"	"129.686"	"102.356"	"101.951"	"246.179"	"137.731"	"41.349"
"1917"	"11.504"	"32.372"	"2.612"	"2.001"	"61.88"	"71.076"	"36.403"	"153.904"	"134.975"	"73.293"	"163.875"	"26.478"
"1918"	"35.948"	"14.44"	"5.685"	"5.376"	"77.124"	"69.032"	"37.675"	"29.517"	"44.454"	"15.397"	"294.748"	"106.357"
"1919"	"5.711"	"0"	"3.356"	"6.769"	"76.739"	"38.417"	"46.318"	"84.46"	"153.764"	"94.774"	"208.394"	"180.133"
"1920"	"94.992"	"0"	"0.004"	"43.854"	"22.288"	"26.442"	"32.639"	"83.479"	"272.872"	"181.454"	"394.563"	"1.157"
"1921"	"122.418"	"0"	"0.004"	"61.452"	"13.086"	"57.251"	"91.268"	"131.777"	"75.131"	"243.41"	"76.458"	"44.971"
"1922"	"40.337"	"8.684"	"0.004"	"21.489"	"57.953"	"28.323"	"35.31"	"77.811"	"111.349"	"220.684"	"218.507"	"43.212"
"1923"	"78.939"	"0.125"	"31.285"	"25.134"	"21.266"	"46.577"	"17.059"	"37.794"	"153.353"	"294.442"	"11.505"	"111.29"
"1924"	"25.369"	"0"	"33.006"	"15.562"	"25.034"	"18.934"	"42.258"	"56.881"	"236.509"	"70.852"	"116.09"	"42.071"
"1925"	"13.455"	"0.587"	"30.974"	"31.154"	"89.75"	"28.143"	"30.016"	"134.54"	"66.341"	"153.598"	"158.759"	"222.258"
"1926"	"65.862"	"4.662"	"7.647"	"46.517"	"71.93"	"23.873"	"29.749"	"71.433"	"145.112"	"86.807"	"137.758"	"20.86"
"1927"	"12.265"	"16.962"	"2.18"	"166.638"	"79.924"	"72.088"	"41.826"	"54.291"	"107.069"	"46.99"	"51.185"	"31.208"
"1928"	"44.578"	"42.38"	"8.321"	"35.487"	"46.958"	"31.126"	"37.686"	"124.472"	"69.599"	"199.31"	"161.85"	"150.375"
"1929"	"14.183"	"6.581"	"0.214"	"52.581"	"12.385"	"54.792"	"33.828"	"89.054"	"121.095"	"109.34"	"154.251"	"82.161"
"1930"	"71.472"	"23.735"	"3.622"	"4.47"	"166.692"	"15.945"	"28.427"	"56.352"	"93.58"	"390.141"	"125.454"	"21.095"
"1931"	"27.805"	"0"	"0.004"	"60.04"	"46.053"	"24.27"	"37.472"	"62.18"	"56.267"	"86.001"	"165.238"	"408.266"
"1932"	"2.858"	"17.966"	"4.392"	"101.574"	"135.988"	"17.718"	"9.673"	"113.038"	"163.486"	"242.119"	"243.261"	"115.432"
"1933"	"0.025"	"5.411"	"17.465"	"13.195"	"65.343"	"37.196"	"58.531"	"90.04"	"69.187"	"230.662"	"77.004"	"158.094"
"1934"	"65.345"	"0"	"0.375"	"18.956"	"32.523"	"23.394"	"43.862"	"82.084"	"19.744"	"346.942"	"140.596"	"21.819"
"1935"	"46.207"	"2.506"	"4.675"	"85.144"	"2.883"	"43.62"	"32.003"	"114.641"	"97.111"	"127.639"	"110.001"	"166.223"
"1936"	"0.787"	"46.978"	"39.352"	"16.224"	"72.514"	"27.871"	"47.014"	"58.536"	"146.584"	"56.297"	"171.559"	"59.823"
"1937"	"14.307"	"4.512"	"17.969"	"60.006"	"22.578"	"21.95"	"29.365"	"101.207"	"103.386"	"201.385"	"229.574"	"21.091"
"1938"	"0.519"	"28.812"	"42.744"	"96.65"	"18.843"	"34.516"	"47.123"	"90.462"	"118.618"	"144.925"	"23.568"	"34.464"
"1939"	"39.738"	"0"	"7.723"	"125.865"	"86.791"	"21.056"	"14.565"	"101.413"	"160.373"	"259.153"	"231.265"	"8.31"
"1940"	"1.211"	"0.432"	"16.654"	"66.301"	"97.883"	"47.796"	"44.068"	"50.958"	"217.424"	"111.261"	"304.97"	"70.692"
"1941"	"19.599"	"15.553"	"0.004"	"81.729"	"67.617"	"5.857"	"55.027"	"58.619"	"206.245"	"239.675"	"127.503"	"182.528"
"1942"	"0.695"	"0"	"0.043"	"108.182"	"18.018"	"11.542"	"14.041"	"155.586"	"268.679"	"119.747"	"31.934"	"101.311"
"1943"	"45.321"	"9.984"	"7.949"	"111.411"	"182.668"	"38.71"	"33.064"	"79.833"	"100.272"	"177.824"	"64.241"	"97.621"
"1944"	"17.821"	"36.104"	"56.174"	"11.28"	"18.115"	"48.155"	"44.08"	"73.033"	"55.755"	"169.405"	"247.938"	"100.015"
"1945"	"1.624"	"0.758"	"4.254"	"122.371"	"11.14"	"11.492"	"20.61"	"72.203"	"82.983"	"117.878"	"134.003"	"3.12"
"1946"	"28.898"	"0.054"	"29.994"	"31.404"	"58.768"	"21.983"	"52.944"	"71.361"	"122.709"	"163.718"	"308.108"	"317.188"
"1947"	"72.727"	"22.49"	"22.086"	"48.752"	"34.689"	"24.764"	"92.259"	"84.766"	"205.46"	"196.19"	"28.166"	"5.128"
"1948"	"33.511"	"2.004"	"0.296"	"20.413"	"46.524"	"23.66"	"48.288"	"56.922"	"144.797"	"94.431"	"169.389"	"27.915"
"1949"	"0.048"	"0.574"	"0.004"	"46.393"	"134.496"	"76.682"	"79.415"	"115.409"	"83.138"	"138.697"	"38.483"	"1.912"
"1950"	"0.988"	"29.791"	"2.442"	"5.82"	"114.564"	"24.552"	"28.955"	"115.858"	"72.896"	"103.704"	"107.019"	"54.992"
"1951"	"6.824"	"0"	"13.607"	"77.492"	"38.97"	"29.22"	"70.739"	"92.321"	"66.679"	"65.085"	"221.416"	"4.991"
"1952"	"10.507"	"48.732"	"0.678"	"7.869"	"36.2"	"18.939"	"80.853"	"68.969"	"38.358"	"128.745"	"20.775"	"222.58"
"1953"	"11.181"	"11.658"	"0.004"	"152.649"	"20.089"	"66.343"	"65.73"	"57.532"	"163.036"	"268.645"	"54.709"	"22.194"
