
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.175"	"24.29"	"25.875"	"29.377"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"26.878"	"24.953"
"1902"	"23.689"	"23.006"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.713"	"29.336"	"28.638"	"26.592"	"25.078"
"1903"	"23.689"	"24.29"	"25.937"	"29.375"	"30.948"	"29.163"	"28.566"	"29.236"	"29.336"	"28.638"	"26.191"	"24.765"
"1904"	"23.289"	"22.89"	"24.864"	"29.377"	"29.615"	"29.15"	"28.565"	"29.236"	"29.336"	"28.638"	"26.676"	"25.042"
"1905"	"23.689"	"23.905"	"25.875"	"28.315"	"30.946"	"29.166"	"29.766"	"29.236"	"30.193"	"28.638"	"26.965"	"24.765"
"1906"	"23.689"	"24.288"	"25.577"	"29.377"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"26.977"	"24.95"
"1907"	"23.689"	"24.29"	"26.263"	"28.105"	"30.948"	"29.163"	"28.565"	"28.908"	"29.336"	"28.639"	"26.879"	"25.05"
"1908"	"23.689"	"23.009"	"25.189"	"29.363"	"30.948"	"29.163"	"28.262"	"29.208"	"29.336"	"28.638"	"26.391"	"24.749"
"1909"	"23.101"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.496"	"29.221"	"28.809"	"28.725"	"26.791"	"25.076"
"1910"	"23.689"	"24.003"	"24.976"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"26.393"	"24.734"
"1911"	"23.689"	"23.6"	"26.263"	"29.375"	"30.948"	"28.823"	"28.565"	"29.236"	"29.336"	"28.639"	"26.965"	"25.078"
"1912"	"23.076"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.794"	"24.963"
"1913"	"22.889"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.508"	"29.336"	"28.638"	"26.979"	"25.078"
"1914"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.578"	"29.236"	"29.336"	"28.638"	"26.979"	"25.078"
"1915"	"23.689"	"24.102"	"26.263"	"29.377"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.737"	"27.078"	"25.078"
"1916"	"23.202"	"24.288"	"25.477"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"26.879"	"24.069"
"1917"	"22.69"	"23.343"	"24.864"	"29.363"	"30.335"	"28.005"	"28.565"	"29.236"	"28.863"	"28.535"	"26.492"	"25.053"
"1918"	"23.477"	"22.99"	"24.864"	"29.363"	"29.148"	"28.723"	"28.906"	"29.236"	"28.213"	"28.651"	"26.967"	"25.078"
"1919"	"24.589"	"24.29"	"25.378"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.878"	"25.078"
"1920"	"23.689"	"24.089"	"26.86"	"29.363"	"30.948"	"29.163"	"28.948"	"29.236"	"30.02"	"28.638"	"26.879"	"24.551"
"1921"	"23.862"	"23.316"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.491"	"24.752"
"1922"	"23.689"	"23.018"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.879"	"23.666"
"1923"	"22.704"	"23.901"	"24.864"	"29.363"	"30.948"	"29.163"	"28.565"	"29.707"	"29.336"	"28.638"	"26.979"	"25.078"
"1924"	"22.991"	"24.29"	"26.262"	"29.363"	"30.949"	"28.852"	"28.565"	"29.236"	"29.336"	"28.638"	"26.478"	"24.638"
"1925"	"22.878"	"23.43"	"25.477"	"29.375"	"30.947"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.979"	"24.577"
"1926"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.737"	"29.236"	"29.336"	"28.725"	"26.779"	"25.078"
"1927"	"23.689"	"24.29"	"26.263"	"29.375"	"30.411"	"29.151"	"28.565"	"29.236"	"29.336"	"28.638"	"26.878"	"25.078"
"1928"	"23.689"	"24.29"	"25.279"	"29.377"	"30.948"	"29.163"	"28.565"	"28.841"	"29.336"	"28.638"	"26.679"	"25.078"
"1929"	"23.862"	"24.004"	"25.48"	"26.602"	"30.948"	"29.038"	"28.565"	"29.038"	"29.223"	"28.638"	"26.692"	"25.078"
"1930"	"23.307"	"23.804"	"26.263"	"29.377"	"29.108"	"29.163"	"28.565"	"29.236"	"29.336"	"28.296"	"26.591"	"25.078"
"1931"	"23.305"	"24.191"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.679"	"24.868"
"1932"	"23.201"	"23.588"	"25.563"	"29.363"	"29.529"	"29.163"	"28.565"	"29.235"	"29.336"	"28.255"	"26.966"	"24.766"
"1933"	"23.689"	"23.992"	"25.862"	"29.362"	"29.383"	"29.077"	"28.565"	"29.049"	"29.336"	"28.34"	"26.977"	"25.078"
"1934"	"23.292"	"22.889"	"24.864"	"29.362"	"30.948"	"28.539"	"28.565"	"28.829"	"29.336"	"28.638"	"26.389"	"24.45"
"1935"	"23.689"	"23.904"	"26.263"	"29.362"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.191"	"24.954"
"1936"	"23.591"	"24.287"	"25.875"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"26.879"	"25.078"
"1937"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.364"	"28.565"	"29.705"	"29.336"	"28.638"	"26.965"	"24.625"
"1938"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.136"	"29.336"	"28.737"	"26.692"	"25.078"
"1939"	"23.391"	"23.317"	"24.99"	"28.329"	"30.904"	"29.166"	"28.565"	"29.236"	"29.336"	"28.638"	"26.506"	"25.078"
"1940"	"22.716"	"23.459"	"26.262"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.962"	"28.638"	"26.88"	"25.078"
"1941"	"23.863"	"24.29"	"26.263"	"29.363"	"30.948"	"29.337"	"28.566"	"29.324"	"29.336"	"28.638"	"26.979"	"25.078"
"1942"	"23.862"	"24.203"	"26.263"	"29.363"	"30.948"	"29.187"	"28.565"	"29.236"	"29.336"	"28.638"	"26.967"	"25.078"
"1943"	"23.867"	"23.706"	"25.764"	"27.964"	"29.04"	"28.908"	"28.565"	"29.223"	"29.336"	"27.025"	"26.476"	"25.078"
"1944"	"23.689"	"24.089"	"24.99"	"28.104"	"30.948"	"29.166"	"28.565"	"29.422"	"29.336"	"28.638"	"26.78"	"25.078"
"1945"	"23.191"	"24.003"	"26.263"	"27.681"	"30.948"	"29.163"	"28.565"	"29.335"	"29.336"	"28.638"	"26.703"	"25.076"
"1946"	"22.503"	"23.904"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"27.066"	"25.078"
"1947"	"23.689"	"23.905"	"26.263"	"29.377"	"30.948"	"29.192"	"28.565"	"29.039"	"29.336"	"28.638"	"26.592"	"24.868"
"1948"	"23.689"	"24.29"	"26.263"	"29.375"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.879"	"25.078"
"1949"	"23.105"	"23.803"	"26.263"	"29.362"	"30.948"	"29.163"	"28.565"	"28.853"	"29.336"	"28.638"	"26.692"	"24.768"
"1950"	"23.391"	"23.991"	"25.679"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.578"	"25.078"
"1951"	"23.689"	"22.99"	"26.263"	"29.377"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.725"	"26.967"	"25.078"
"1952"	"23.862"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.578"	"29.236"	"29.336"	"28.639"	"26.478"	"25.078"
"1953"	"23.689"	"24.29"	"27.959"	"29.363"	"31.776"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.779"	"25.078"
"1954"	"23.862"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"27.531"	"26.392"	"25.078"
"1955"	"23.689"	"24.29"	"26.263"	"29.377"	"29.148"	"29.15"	"28.565"	"28.5"	"29.336"	"28.638"	"26.292"	"23.773"
"1956"	"23.689"	"23.616"	"26.263"	"29.363"	"29.917"	"28.003"	"26.978"	"29.236"	"29.336"	"27.248"	"26.979"	"25.078"
"1957"	"23.689"	"24.29"	"24.864"	"27.765"	"30.948"	"29.163"	"28.565"	"29.359"	"29.336"	"28.638"	"26.965"	"25.078"
"1958"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.878"	"25.078"
"1959"	"23.904"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.979"	"25.078"
"1960"	"23.689"	"24.102"	"26.263"	"29.375"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.879"	"25.078"
"1961"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.364"	"29.236"	"29.336"	"28.638"	"26.692"	"25.078"
"1962"	"23.49"	"24.102"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"26.592"	"25.078"
"1963"	"23.689"	"23.604"	"26.263"	"28.202"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.879"	"25.078"
"1964"	"23.689"	"24.29"	"26.263"	"29.363"	"31.33"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"26.689"	"25.076"
"1965"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.235"	"29.336"	"28.639"	"26.979"	"24.577"
"1966"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.312"	"29.336"	"28.639"	"26.977"	"25.078"
"1967"	"23.689"	"24.29"	"26.263"	"29.377"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.78"	"25.078"
"1968"	"23.376"	"23.277"	"26.263"	"29.375"	"30.948"	"29.365"	"28.563"	"29.236"	"29.336"	"28.638"	"26.878"	"25.078"
"1969"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"29.235"	"29.821"	"28.737"	"26.979"	"25.078"
"1970"	"23.904"	"24.29"	"26.163"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"26.592"	"23.863"
"1971"	"23.689"	"24.189"	"26.262"	"29.363"	"30.944"	"28.891"	"28.562"	"29.197"	"29.336"	"28.638"	"26.58"	"23.678"
"1972"	"22.816"	"24.287"	"24.963"	"29.363"	"29.139"	"29.163"	"28.565"	"29.235"	"29.336"	"28.639"	"26.878"	"25.078"
"1973"	"23.689"	"25.69"	"26.263"	"29.363"	"30.948"	"29.163"	"29.949"	"29.236"	"29.336"	"28.625"	"26.791"	"25.078"
"1974"	"23.689"	"23.279"	"25.189"	"29.363"	"30.948"	"29.163"	"28.565"	"29.136"	"29.336"	"28.638"	"26.878"	"24.307"
"1975"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.047"	"28.565"	"29.236"	"28.862"	"28.725"	"25.721"	"24.905"
"1976"	"22.716"	"23.015"	"25.337"	"29.174"	"30.948"	"29.163"	"28.565"	"28.135"	"29.336"	"28.638"	"27.067"	"25.078"
"1977"	"23.689"	"24.29"	"26.651"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"27.265"	"25.078"
"1978"	"23.862"	"24.19"	"26.263"	"29.363"	"30.948"	"29.157"	"28.563"	"29.236"	"29.336"	"28.638"	"27.265"	"25.406"
"1979"	"23.689"	"25.748"	"26.263"	"29.365"	"30.948"	"29.163"	"28.565"	"30.496"	"27.978"	"28.638"	"27.265"	"26.166"
"1980"	"23.689"	"24.591"	"26.263"	"29.363"	"30.948"	"28.821"	"28.349"	"29.236"	"29.336"	"28.638"	"26.966"	"25.078"
"1981"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"28.948"	"28.561"	"29.236"	"28.724"	"28.638"	"26.879"	"25.078"
"1982"	"23.689"	"24.491"	"26.263"	"29.363"	"30.948"	"29.163"	"28.565"	"30.294"	"29.336"	"28.639"	"26.965"	"25.078"
"1983"	"23.862"	"25.789"	"27.049"	"29.363"	"30.966"	"30.892"	"28.567"	"29.236"	"29.336"	"28.639"	"26.691"	"25.078"
"1984"	"23.689"	"24.292"	"26.263"	"29.363"	"31.121"	"29.19"	"28.565"	"30.184"	"29.336"	"28.639"	"26.979"	"25.078"
"1985"	"23.689"	"24.49"	"26.44"	"29.363"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.639"	"26.979"	"25.078"
"1986"	"23.904"	"24.29"	"26.263"	"29.363"	"31.345"	"29.191"	"28.694"	"29.236"	"29.336"	"28.737"	"27.067"	"25.421"
"1987"	"24.329"	"24.09"	"26.263"	"29.765"	"30.95"	"29.163"	"30.32"	"29.237"	"31.136"	"28.638"	"28.276"	"25.078"
"1988"	"24.404"	"24.58"	"27.963"	"29.363"	"31.063"	"29.038"	"28.565"	"29.816"	"29.336"	"30.163"	"26.878"	"25.078"
"1989"	"23.689"	"23.418"	"25.975"	"29.377"	"30.96"	"29.163"	"28.553"	"30.694"	"29.336"	"28.639"	"26.977"	"25.078"
"1990"	"23.867"	"25.702"	"27.776"	"29.377"	"30.948"	"29.163"	"28.565"	"29.236"	"30.162"	"28.789"	"28.378"	"25.331"
"1991"	"24.878"	"24.291"	"26.564"	"29.375"	"30.948"	"29.163"	"30.15"	"29.236"	"30.764"	"28.638"	"26.878"	"25.078"
"1992"	"23.689"	"24.29"	"26.263"	"29.377"	"30.948"	"29.163"	"28.565"	"29.236"	"29.336"	"28.638"	"26.965"	"24.937"
"1993"	"23.689"	"24.29"	"26.263"	"29.363"	"30.997"	"29.163"	"28.565"	"29.236"	"30.346"	"28.639"	"28.09"	"25.078"
"1994"	"23.689"	"24.29"	"26.263"	"29.363"	"30.948"	"29.163"	"28.566"	"29.236"	"30.825"	"28.651"	"26.879"	"25.078"
