
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.8951"	"2.8189"	"1.0727"	"1.0699"	"2.4167"	"1.6295"	"2.0914"	"3.5432"	"7.3736"	"5.633"	"8.4578"	"4.2935"
"1902"	"3.7934"	"2.4933"	"1.2144"	"1.0273"	"2.9573"	"2.7598"	"3.0323"	"3.9622"	"6.153"	"10.6419"	"7.8228"	"5.498"
"1903"	"1.353"	"1.4624"	"0.0032"	"1.0134"	"5.4942"	"2.4801"	"2.8168"	"5.2262"	"9.0005"	"7.6682"	"8.8648"	"6.028"
"1904"	"1.7173"	"0"	"0.0032"	"1.0178"	"3.9562"	"2.456"	"5.2835"	"2.8354"	"4.3878"	"6.9369"	"2.5099"	"3.7573"
"1905"	"1.0908"	"0.4321"	"1.0198"	"3.5953"	"4.3763"	"1.3205"	"3.1847"	"4.8184"	"4.4707"	"10.9847"	"6.3098"	"1.0264"
"1906"	"2.8563"	"1.2774"	"1.0853"	"1.0157"	"1.6929"	"2.6681"	"3.442"	"5.8123"	"5.1257"	"7.7927"	"9.0894"	"7.4231"
"1907"	"1.0871"	"0.8806"	"0.0071"	"3.8986"	"2.5734"	"3.0406"	"3.0437"	"4.5023"	"7.568"	"8.4003"	"8.1661"	"3.8983"
"1908"	"1.5028"	"2.6675"	"1.0706"	"1.0212"	"2.2889"	"1.296"	"3.0984"	"4.0845"	"6.9864"	"11.0561"	"4.5548"	"2.2768"
"1909"	"3.2204"	"1.413"	"0.0032"	"2.6655"	"5.096"	"3.0204"	"2.1003"	"7.8608"	"8.9052"	"6.1849"	"3.936"	"2.2545"
"1910"	"0.5697"	"2.4452"	"0.0032"	"1.775"	"1.8287"	"2.8731"	"4.2941"	"6.5855"	"6.6531"	"10.0814"	"6.7776"	"1.0097"
"1911"	"0.6052"	"0.0166"	"1.0219"	"1.016"	"2.2024"	"1.7815"	"2.8807"	"2.8393"	"7.2274"	"7.0988"	"7.4764"	"5.4444"
"1912"	"1.3068"	"0"	"0.0032"	"1.0314"	"2.1598"	"3.493"	"1.7507"	"5.3372"	"7.7279"	"9.473"	"8.5841"	"1.0511"
"1913"	"0.0005"	"0"	"0.0032"	"1.0156"	"2.975"	"1.9556"	"3.9643"	"3.9056"	"8.6053"	"9.9738"	"9.5575"	"6.2569"
"1914"	"1.0877"	"1.141"	"0.0032"	"3.6952"	"2.1706"	"1.9931"	"2.1667"	"3.9447"	"9.444"	"10.4487"	"6.6459"	"6.6575"
"1915"	"2.2957"	"2.2584"	"1.3486"	"1.7586"	"3.209"	"2.1796"	"3.4004"	"4.8098"	"6.6641"	"3.3774"	"8.1421"	"3.1289"
