
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.312"	"26.189"	"26.476"	"29.553"	"32.065"	"32.589"	"30.523"	"29.6"	"29.476"	"27.812"	"25.411"	"23.835"
"1902"	"23.823"	"24.176"	"26.977"	"29.864"	"32.653"	"32.288"	"30.812"	"29.688"	"28.988"	"26.911"	"25.524"	"24.611"
"1903"	"24.611"	"25.789"	"26.876"	"29.464"	"30.477"	"31.011"	"30.024"	"29.3"	"28.388"	"27.324"	"25.035"	"24.024"
"1904"	"24.012"	"24.188"	"26.665"	"30.065"	"30.976"	"32.1"	"30.311"	"30.176"	"29.977"	"27.611"	"25.635"	"24.211"
"1905"	"22.912"	"25.288"	"27.777"	"29.265"	"31.265"	"32.977"	"32.023"	"29.989"	"30.377"	"27.324"	"25.824"	"23.835"
"1906"	"24.412"	"26.476"	"26.189"	"30.353"	"32.841"	"31.411"	"30.923"	"28.889"	"29.2"	"27.7"	"25.612"	"24.324"
"1907"	"23.712"	"24.488"	"27.077"	"29.076"	"32.753"	"32.2"	"30.512"	"30.677"	"29.888"	"27.5"	"25.323"	"24.223"
"1908"	"24.112"	"24.488"	"26.288"	"30.465"	"32.453"	"32.876"	"30.712"	"29.989"	"28.388"	"27.5"	"24.523"	"23.823"
"1909"	"23.911"	"24.976"	"27.265"	"29.265"	"31.364"	"31.489"	"29.911"	"28.788"	"28.288"	"28.388"	"26.412"	"24.912"
"1910"	"24.3"	"25.065"	"26.365"	"30.141"	"32.453"	"31.312"	"30.012"	"28.8"	"28.788"	"27.611"	"24.824"	"23.812"
"1911"	"24.3"	"23.8"	"26.876"	"29.853"	"31.953"	"32.165"	"31.3"	"30.677"	"29.765"	"27.7"	"25.812"	"24.412"
"1912"	"23.111"	"25.577"	"27.777"	"29.565"	"32.741"	"32.876"	"30.912"	"30.088"	"29.864"	"27.712"	"25.524"	"23.923"
"1913"	"24"	"25.577"	"27.576"	"30.264"	"31.953"	"32.5"	"30.512"	"30.976"	"29.965"	"27.112"	"25.212"	"24.412"
"1914"	"23.812"	"24.588"	"27.365"	"29.464"	"32.441"	"32.788"	"30.9"	"29.388"	"28.676"	"27.1"	"25.6"	"24.8"
"1915"	"24.5"	"25.477"	"27.453"	"29.653"	"32.942"	"32.076"	"30.112"	"30.588"	"29.277"	"28.4"	"26.023"	"24.336"
"1916"	"23.712"	"25.276"	"26.376"	"30.153"	"31.465"	"31.776"	"29.612"	"29.688"	"29.464"	"27.611"	"25.723"	"24.2"
"1917"	"23.989"	"24.677"	"26.365"	"29.653"	"31.065"	"30.112"	"30.311"	"29.1"	"28.188"	"27.312"	"25.711"	"23.911"
"1918"	"23.8"	"23.876"	"26.165"	"29.265"	"30.964"	"31.077"	"31.388"	"30.777"	"29.653"	"28.188"	"25.7"	"24.512"
"1919"	"25.5"	"25.888"	"26.277"	"30.141"	"32.165"	"31.6"	"30.012"	"30.576"	"28.877"	"27.7"	"26.012"	"24.712"
"1920"	"24.312"	"25.777"	"27.265"	"29.653"	"32.253"	"32.1"	"31.9"	"30.2"	"30.165"	"28"	"25.711"	"24.2"
"1921"	"24.988"	"24.2"	"26.977"	"29.577"	"33.742"	"32.5"	"29.724"	"29.6"	"29.189"	"26.911"	"24.835"	"24.211"
"1922"	"23.812"	"24.388"	"27.065"	"30.441"	"31.953"	"32.2"	"30.724"	"30.288"	"29.864"	"27.112"	"25.423"	"23.523"
"1923"	"23.312"	"24.689"	"26.589"	"29.864"	"31.953"	"32.977"	"31.4"	"31.065"	"29.288"	"27.6"	"25.711"	"24.412"
"1924"	"24"	"24.888"	"26.876"	"30.353"	"32.088"	"32.5"	"30.323"	"30.188"	"28.388"	"27.9"	"25.235"	"23.823"
"1925"	"23.4"	"24.289"	"26.189"	"29.776"	"31.089"	"31.9"	"30.512"	"29.488"	"29.577"	"27.223"	"25.224"	"23.923"
"1926"	"24.4"	"24.788"	"27.765"	"30.453"	"32.142"	"32.388"	"30.611"	"29.989"	"29.277"	"27.611"	"24.912"	"24.123"
"1927"	"24.4"	"25.577"	"27.765"	"30.33"	"32.33"	"31.788"	"30.912"	"30.288"	"29.277"	"28.3"	"25.224"	"24.412"
"1928"	"24.8"	"25.3"	"26.476"	"30.053"	"33.041"	"32.677"	"30.812"	"29.6"	"29.388"	"27.611"	"25.9"	"24.611"
"1929"	"24.112"	"24.588"	"26.376"	"29.441"	"32.253"	"31.988"	"31.312"	"29.589"	"29.277"	"27.712"	"25.411"	"24.412"
"1930"	"23.812"	"24.8"	"26.977"	"29.453"	"30.853"	"30.712"	"31.312"	"30.188"	"29.177"	"26.712"	"24.835"	"24.324"
"1931"	"24.211"	"24.788"	"26.876"	"29.853"	"31.965"	"32.4"	"30.311"	"30.088"	"29.088"	"28.2"	"25.512"	"24.312"
"1932"	"23.624"	"24.888"	"27.077"	"29.365"	"30.677"	"32.277"	"30.912"	"29.388"	"29.388"	"27.3"	"25.623"	"24.123"
"1933"	"24.211"	"24.488"	"26.677"	"29.453"	"30.865"	"32"	"31.011"	"29.7"	"29.776"	"27.112"	"25.423"	"24.024"
