
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1902"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1903"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1904"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1905"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1906"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1907"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1908"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1909"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1910"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1911"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1912"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1913"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1914"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1915"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1916"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1917"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1918"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
"1919"	"26.594"	"20.152"	"21.594"	"30.294"	"40.293"	"62.653"	"76.3"	"67.652"	"58.941"	"54.093"	"46.441"	"36.593"
