
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.65"	"4.37"	"4.99"	"5.45"	"6.07"	"5.92"	"5.51"	"5.29"	"5.07"	"4.18"	"3.39"	"3.14"
"1902"	"3.52"	"4.16"	"5.05"	"5.47"	"6.13"	"5.89"	"5.55"	"5.3"	"5.01"	"4.1"	"3.41"	"3.2"
"1903"	"3.59"	"4.32"	"5.02"	"5.43"	"5.9"	"5.74"	"5.46"	"5.26"	"4.94"	"4.13"	"3.36"	"3.16"
"1904"	"3.53"	"4.16"	"4.99"	"5.49"	"5.95"	"5.87"	"5.5"	"5.36"	"5.11"	"4.16"	"3.41"	"3.18"
"1905"	"3.44"	"4.28"	"5.12"	"5.4"	"5.96"	"5.97"	"5.68"	"5.34"	"5.16"	"4.13"	"3.43"	"3.14"
"1906"	"3.57"	"4.39"	"4.95"	"5.53"	"6.15"	"5.78"	"5.57"	"5.21"	"5.04"	"4.17"	"3.41"	"3.19"
"1907"	"3.51"	"4.2"	"5.05"	"5.38"	"6.14"	"5.88"	"5.51"	"5.41"	"5.1"	"4.15"	"3.38"	"3.18"
"1908"	"3.54"	"4.2"	"4.96"	"5.55"	"6.14"	"5.95"	"5.57"	"5.34"	"4.94"	"4.15"	"3.33"	"3.14"
"1909"	"3.52"	"4.24"	"5.06"	"5.4"	"5.98"	"5.8"	"5.47"	"5.2"	"4.93"	"4.23"	"3.47"	"3.23"
"1910"	"3.56"	"4.25"	"4.96"	"5.5"	"6.14"	"5.77"	"5.46"	"5.2"	"4.98"	"4.16"	"3.35"	"3.14"
"1911"	"3.56"	"4.13"	"5.02"	"5.47"	"6.07"	"5.87"	"5.61"	"5.41"	"5.09"	"4.17"	"3.43"	"3.19"
"1912"	"3.46"	"4.3"	"5.12"	"5.45"	"6.14"	"5.95"	"5.56"	"5.35"	"5.1"	"4.17"	"3.41"	"3.15"
"1913"	"3.53"	"4.3"	"5.1"	"5.52"	"6.07"	"5.91"	"5.51"	"5.45"	"5.11"	"4.12"	"3.37"	"3.19"
"1914"	"3.52"	"4.2"	"5.07"	"5.43"	"6.14"	"5.94"	"5.56"	"5.27"	"4.98"	"4.12"	"3.41"	"3.22"
"1915"	"3.58"	"4.29"	"5.11"	"5.46"	"6.2"	"5.86"	"5.47"	"5.4"	"5.04"	"4.23"	"3.45"	"3.19"
