
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"29.977"	"31.442"	"32.018"	"34.694"	"37.618"	"37.788"	"35.335"	"34.3"	"34.165"	"31.9"	"29.189"	"27.812"
"1902"	"28.489"	"29.429"	"32.518"	"35.006"	"38.206"	"37.489"	"35.712"	"34.388"	"33.677"	"31"	"29.3"	"28.588"
"1903"	"29.277"	"31.042"	"32.418"	"34.606"	"36.03"	"36.212"	"34.835"	"34.011"	"33.077"	"31.411"	"28.811"	"28"
"1904"	"28.676"	"29.441"	"32.206"	"35.206"	"36.529"	"37.3"	"35.211"	"34.889"	"34.665"	"31.7"	"29.412"	"28.188"
"1905"	"27.576"	"30.541"	"33.318"	"34.406"	"36.818"	"38.176"	"36.835"	"34.7"	"35.065"	"31.411"	"29.6"	"27.812"
"1906"	"29.076"	"31.729"	"31.729"	"35.495"	"38.394"	"36.612"	"35.823"	"33.6"	"33.888"	"31.788"	"29.388"	"28.3"
"1907"	"28.376"	"29.741"	"32.618"	"34.218"	"38.218"	"37.4"	"35.324"	"35.388"	"34.577"	"31.588"	"29.1"	"28.2"
"1908"	"28.776"	"29.741"	"31.83"	"35.606"	"38.006"	"38.076"	"35.612"	"34.7"	"33.077"	"31.588"	"28.3"	"27.8"
"1909"	"28.577"	"30.229"	"32.806"	"34.406"	"36.918"	"36.688"	"34.811"	"33.5"	"32.977"	"32.476"	"30.188"	"28.889"
"1910"	"28.965"	"30.318"	"31.906"	"35.283"	"38.006"	"36.512"	"34.823"	"33.512"	"33.477"	"31.7"	"28.6"	"27.788"
"1911"	"28.965"	"29.053"	"32.418"	"34.994"	"37.506"	"37.364"	"36.2"	"35.388"	"34.453"	"31.788"	"29.589"	"28.388"
"1912"	"27.777"	"30.83"	"33.318"	"34.706"	"38.206"	"38.076"	"35.812"	"34.8"	"34.553"	"31.8"	"29.3"	"27.9"
"1913"	"28.665"	"30.83"	"33.118"	"35.406"	"37.506"	"37.7"	"35.324"	"35.688"	"34.653"	"31.2"	"28.988"	"28.388"
"1914"	"28.477"	"29.841"	"32.906"	"34.606"	"37.994"	"37.988"	"35.8"	"34.1"	"33.365"	"31.188"	"29.376"	"28.776"
"1915"	"29.165"	"30.73"	"32.994"	"34.795"	"38.495"	"37.276"	"35.012"	"35.3"	"33.964"	"32.488"	"29.8"	"28.312"
"1916"	"28.376"	"30.529"	"31.918"	"35.294"	"37.018"	"36.976"	"34.512"	"34.388"	"34.153"	"31.7"	"29.5"	"28.177"
"1917"	"28.653"	"29.93"	"31.906"	"34.795"	"36.617"	"35.312"	"35.211"	"33.8"	"32.876"	"31.4"	"29.488"	"27.888"
"1918"	"28.465"	"29.13"	"31.706"	"34.406"	"36.518"	"36.276"	"36.288"	"35.476"	"34.341"	"32.277"	"29.476"	"28.489"
"1919"	"30.165"	"31.141"	"31.818"	"35.283"	"37.717"	"36.8"	"34.823"	"35.289"	"33.565"	"31.788"	"29.788"	"28.688"
"1920"	"28.977"	"31.03"	"32.806"	"34.795"	"37.717"	"37.3"	"36.8"	"34.912"	"34.853"	"32.088"	"29.488"	"28.177"
"1921"	"29.653"	"29.453"	"32.518"	"34.717"	"39.206"	"37.7"	"34.624"	"34.3"	"33.876"	"31"	"28.612"	"28.188"
"1922"	"28.477"	"29.641"	"32.606"	"35.583"	"37.506"	"37.4"	"35.624"	"35"	"34.553"	"31.2"	"29.2"	"27.5"
"1923"	"27.976"	"29.942"	"32.13"	"35.006"	"37.506"	"38.176"	"36.3"	"35.776"	"33.976"	"31.688"	"29.488"	"28.388"
"1924"	"28.665"	"30.141"	"32.418"	"35.495"	"37.641"	"37.7"	"35.223"	"34.889"	"33.077"	"31.988"	"29.012"	"27.8"
"1925"	"28.065"	"29.542"	"31.729"	"34.918"	"36.641"	"37.1"	"35.324"	"34.2"	"34.265"	"31.312"	"29"	"27.9"
"1926"	"29.065"	"30.041"	"33.306"	"35.595"	"37.694"	"37.588"	"35.511"	"34.7"	"33.964"	"31.7"	"28.688"	"28.1"
"1927"	"29.065"	"30.83"	"33.306"	"35.471"	"37.883"	"36.988"	"35.812"	"35"	"33.964"	"32.388"	"29"	"28.388"
"1928"	"29.464"	"30.553"	"32.018"	"35.195"	"38.595"	"37.877"	"35.712"	"34.3"	"34.077"	"31.7"	"29.677"	"28.588"
"1929"	"28.776"	"29.841"	"31.918"	"34.582"	"37.717"	"37.188"	"36.212"	"34.3"	"33.964"	"31.8"	"29.189"	"28.388"
"1930"	"28.477"	"30.053"	"32.518"	"34.594"	"36.406"	"35.911"	"36.212"	"34.889"	"33.865"	"30.8"	"28.612"	"28.3"
"1931"	"28.877"	"30.041"	"32.418"	"34.994"	"37.518"	"37.6"	"35.211"	"34.8"	"33.777"	"32.288"	"29.288"	"28.288"
"1932"	"28.288"	"30.141"	"32.618"	"34.506"	"36.229"	"37.477"	"35.812"	"34.1"	"34.077"	"31.388"	"29.4"	"28.1"
"1933"	"28.877"	"29.741"	"32.218"	"34.594"	"36.418"	"37.2"	"35.823"	"34.411"	"34.465"	"31.2"	"29.2"	"28"
"1934"	"28.764"	"29.029"	"31.818"	"34.806"	"37.606"	"36.711"	"35.511"	"34.3"	"34.465"	"31.5"	"29"	"27.7"
"1935"	"28.565"	"29.829"	"32.406"	"35.394"	"38.507"	"37.489"	"35.823"	"34.112"	"33.777"	"31.6"	"29.1"	"28.288"
"1936"	"29.076"	"31.13"	"32.118"	"35.495"	"37.118"	"36.412"	"35.335"	"34.423"	"34.177"	"31.9"	"29.4"	"28.788"
"1937"	"28.776"	"30.841"	"32.706"	"34.694"	"37.906"	"37.889"	"35.211"	"34.512"	"34.364"	"31.2"	"28.811"	"27.512"
"1938"	"28.788"	"30.83"	"33.206"	"34.795"	"38.694"	"36.024"	"35.612"	"34.3"	"33.576"	"32.388"	"29.1"	"28.188"
