
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.647"	"20.936"	"20.947"	"24.512"	"26.6"	"27.488"	"25.623"	"24.888"	"24.788"	"23.724"	"21.724"	"19.871"
"1902"	"19.171"	"18.923"	"21.447"	"24.824"	"27.188"	"27.188"	"26"	"24.976"	"24.3"	"22.824"	"21.835"	"20.647"
"1903"	"19.959"	"20.535"	"21.435"	"24.424"	"24.923"	"25.912"	"25.124"	"24.6"	"23.7"	"23.236"	"21.347"	"20.059"
"1904"	"19.358"	"18.935"	"21.223"	"25.023"	"25.423"	"27"	"25.5"	"25.477"	"25.288"	"23.523"	"21.947"	"20.247"
"1905"	"18.258"	"20.035"	"22.335"	"24.223"	"25.8"	"27.876"	"27.123"	"25.288"	"25.688"	"23.236"	"22.136"	"19.871"
"1906"	"19.758"	"21.223"	"20.747"	"25.312"	"27.377"	"26.312"	"26.111"	"24.188"	"24.512"	"23.612"	"21.923"	"20.359"
"1907"	"19.058"	"19.235"	"21.635"	"24.035"	"27.2"	"27.1"	"25.612"	"25.976"	"25.2"	"23.412"	"21.635"	"20.259"
"1908"	"19.459"	"19.235"	"20.847"	"25.423"	"26.9"	"27.777"	"25.812"	"25.288"	"23.7"	"23.412"	"20.835"	"19.859"
"1909"	"19.259"	"19.723"	"21.812"	"24.223"	"25.9"	"26.388"	"25.011"	"24.088"	"23.6"	"24.3"	"22.723"	"20.947"
"1910"	"19.647"	"19.812"	"20.924"	"25.1"	"26.9"	"26.212"	"25.112"	"24.1"	"24.1"	"23.523"	"21.135"	"19.847"
"1911"	"19.647"	"18.547"	"21.435"	"24.812"	"26.4"	"27.065"	"26.488"	"25.976"	"25.077"	"23.612"	"22.124"	"20.447"
"1912"	"18.459"	"20.324"	"22.335"	"24.523"	"27.188"	"27.777"	"26.1"	"25.388"	"25.177"	"23.624"	"21.835"	"19.959"
"1913"	"19.347"	"20.324"	"22.136"	"25.224"	"26.4"	"27.4"	"25.612"	"26.277"	"25.276"	"23.023"	"21.523"	"20.447"
"1914"	"19.147"	"19.335"	"21.923"	"24.424"	"26.888"	"27.689"	"26.088"	"24.689"	"23.989"	"23.012"	"21.912"	"20.835"
"1915"	"19.847"	"20.224"	"21.923"	"24.611"	"27.388"	"26.977"	"25.3"	"25.888"	"24.588"	"24.312"	"22.335"	"20.37"
"1916"	"19.058"	"20.023"	"20.936"	"25.112"	"25.912"	"26.677"	"24.8"	"24.976"	"24.777"	"23.523"	"22.035"	"20.236"
"1917"	"19.323"	"19.424"	"20.924"	"24.611"	"25.6"	"25.011"	"25.5"	"24.388"	"23.5"	"23.224"	"22.023"	"19.947"
"1918"	"19.147"	"18.623"	"20.723"	"24.223"	"25.411"	"25.976"	"26.577"	"26.064"	"24.964"	"24.1"	"22.011"	"20.546"
"1919"	"20.847"	"20.635"	"20.835"	"25.1"	"26.7"	"26.5"	"25.112"	"25.877"	"24.188"	"23.612"	"22.323"	"20.747"
