
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"40.45"	"62.435"	"0.353"	"1.353"	"12.457"	"18.408"	"131.688"	"162.222"	"120.167"	"198.434"	"304.773"	"382.866"
"1902"	"31.613"	"15.289"	"0.023"	"2.571"	"15.495"	"21.186"	"89.26"	"139.28"	"163.452"	"432.433"	"206.519"	"193.977"
"1903"	"60.546"	"13.373"	"0"	"0"	"165.018"	"52.657"	"102.674"	"163.47"	"289.82"	"192.455"	"490.54"	"466.346"
"1904"	"30.51"	"0"	"0"	"0"	"40.575"	"14.577"	"151.738"	"64.338"	"96.402"	"134.355"	"10.692"	"68.305"
"1905"	"23.1"	"39.407"	"22.514"	"30.526"	"9.865"	"43.271"	"59.71"	"173.428"	"60.562"	"402.585"	"206.647"	"8.495"
"1906"	"39.448"	"40.595"	"27.133"	"0"	"4.223"	"61.342"	"109.492"	"168.051"	"186.644"	"92.509"	"136.345"	"349.991"
"1907"	"0.665"	"0"	"1.235"	"19.613"	"2.423"	"54.107"	"74.128"	"84.294"	"79.345"	"235.806"	"336.737"	"119.642"
"1908"	"1.059"	"27.617"	"0"	"0.493"	"10.029"	"19.715"	"70.192"	"104.752"	"238.336"	"438.157"	"191.432"	"36.214"
"1909"	"70.49"	"4.06"	"0"	"43.033"	"140.127"	"32.091"	"91.625"	"181.595"	"208.334"	"49.23"	"75.178"	"13.908"
"1910"	"1.377"	"2.493"	"0"	"6.93"	"17.904"	"60.275"	"195.449"	"140.857"	"112.382"	"259.917"	"319.412"	"1.435"
"1911"	"0.023"	"0"	"0.312"	"5.809"	"8.677"	"19.859"	"54.572"	"72.43"	"180.731"	"124.225"	"267.289"	"197.872"
"1912"	"18.745"	"0"	"0"	"0"	"1.824"	"25.777"	"69.414"	"197.648"	"77.562"	"377.682"	"555.645"	"9.351"
"1913"	"0.023"	"3.707"	"0"	"8.36"	"63.325"	"2.536"	"65.467"	"45.478"	"97.799"	"407.993"	"288.534"	"234.946"
"1914"	"14.275"	"0"	"0.823"	"56.127"	"5.912"	"22.805"	"56.401"	"222.299"	"204.664"	"349.739"	"316.873"	"74.417"
"1915"	"36.874"	"29.494"	"13.977"	"26.597"	"17.889"	"37.666"	"193.217"	"53.607"	"215.591"	"75.359"	"487.643"	"18.001"
"1916"	"0.376"	"4.729"	"0"	"20.801"	"7"	"70.044"	"132.536"	"113.564"	"133.863"	"314.544"	"310.199"	"80.808"
"1917"	"8.304"	"9.07"	"0"	"0"	"38.191"	"117.465"	"107.097"	"183.983"	"111.173"	"298.725"	"161.776"	"123.67"
