
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.77"	"23.17"	"24.894"	"29.547"	"31.047"	"28.347"	"27.635"	"28.159"	"29.047"	"28.536"	"25.682"	"23.759"
"1902"	"22.47"	"21.959"	"25.47"	"29.547"	"31.047"	"28.359"	"27.635"	"28.159"	"29.047"	"28.435"	"25.282"	"23.87"
"1903"	"22.47"	"23.17"	"25.47"	"29.547"	"29.958"	"28.347"	"27.635"	"28.159"	"29.047"	"28.447"	"24.794"	"23.87"
"1904"	"22.27"	"21.959"	"24.57"	"29.547"	"29.335"	"28.347"	"27.635"	"28.159"	"29.047"	"28.435"	"25.294"	"23.87"
"1905"	"22.47"	"22.482"	"25.358"	"27.982"	"30.258"	"28.924"	"28.247"	"28.159"	"30.071"	"28.435"	"25.682"	"23.87"
"1906"	"22.458"	"23.17"	"24.094"	"29.547"	"31.047"	"28.347"	"27.635"	"28.07"	"29.047"	"28.524"	"25.682"	"23.87"
"1907"	"22.47"	"23.17"	"25.47"	"27.871"	"31.047"	"28.247"	"27.635"	"28.159"	"29.047"	"28.536"	"25.682"	"23.87"
"1908"	"22.47"	"21.97"	"24.494"	"29.547"	"31.047"	"29.488"	"27.635"	"28.159"	"29.047"	"28.435"	"24.894"	"23.87"
"1909"	"22.07"	"23.17"	"25.47"	"28.183"	"30.159"	"28.259"	"27.635"	"28.159"	"29.047"	"28.536"	"25.493"	"23.87"
"1910"	"22.47"	"22.571"	"24.071"	"29.547"	"31.047"	"28.447"	"27.635"	"28.159"	"29.047"	"28.536"	"24.694"	"22.782"
"1911"	"22.47"	"21.871"	"25.47"	"29.547"	"31.047"	"28.347"	"27.635"	"28.159"	"29.047"	"28.435"	"25.682"	"23.87"
"1912"	"22.247"	"23.17"	"25.47"	"29.059"	"31.047"	"29.312"	"27.635"	"28.159"	"29.047"	"28.536"	"25.482"	"23.671"
"1913"	"21.959"	"23.17"	"25.47"	"29.547"	"31.047"	"28.347"	"27.635"	"28.858"	"29.047"	"28.435"	"25.682"	"23.87"
"1914"	"22.47"	"23.17"	"25.47"	"28.971"	"31.047"	"27.97"	"27.635"	"28.159"	"28.77"	"28.435"	"25.682"	"23.87"
"1915"	"22.47"	"22.782"	"25.47"	"29.547"	"31.047"	"28.247"	"27.635"	"28.159"	"28.858"	"28.536"	"26.17"	"23.87"
"1916"	"22.435"	"23.17"	"23.982"	"29.547"	"31.047"	"28.171"	"27.547"	"28.058"	"29.047"	"28.536"	"25.682"	"23.158"
"1917"	"22.159"	"21.959"	"23.982"	"28.458"	"30.447"	"26.747"	"27.635"	"28.159"	"27.882"	"28.536"	"25.194"	"23.87"
"1918"	"22.47"	"21.97"	"23.982"	"28.382"	"29.347"	"27.871"	"29"	"28.259"	"29.047"	"28.536"	"25.971"	"23.87"
"1919"	"23.77"	"23.17"	"23.982"	"29.547"	"31.047"	"28.159"	"27.635"	"28.823"	"29.047"	"28.536"	"25.682"	"23.87"
"1920"	"22.458"	"23.371"	"25.505"	"29.547"	"31.047"	"28.259"	"29.111"	"28.159"	"29.47"	"28.536"	"25.682"	"23.87"
"1921"	"22.47"	"22.058"	"25.47"	"29.547"	"31.712"	"28.447"	"27.635"	"28.159"	"29.047"	"28.435"	"24.806"	"23.858"
"1922"	"22.47"	"22.058"	"25.47"	"29.547"	"31.047"	"28.347"	"27.635"	"28.159"	"29.047"	"28.035"	"25.682"	"22.77"
"1923"	"21.871"	"22.07"	"23.982"	"29.547"	"31.047"	"29.212"	"27.635"	"29.07"	"29.047"	"28.435"	"25.682"	"23.87"
"1924"	"21.947"	"23.17"	"25.347"	"29.547"	"31.047"	"28.347"	"27.635"	"28.159"	"28.647"	"28.536"	"25.182"	"23.659"
"1925"	"22.147"	"21.959"	"24.082"	"29.547"	"29.347"	"28.347"	"27.547"	"28.159"	"29.047"	"28.435"	"25.682"	"23.87"
"1926"	"22.47"	"23.17"	"25.47"	"29.371"	"31.047"	"28.347"	"27.635"	"28.058"	"29.047"	"28.536"	"25.482"	"23.87"
"1927"	"22.47"	"23.17"	"25.47"	"29.547"	"31.047"	"28.447"	"27.635"	"28.159"	"29.047"	"28.536"	"25.493"	"23.87"
"1928"	"22.47"	"23.17"	"23.982"	"29.547"	"31.047"	"28.247"	"27.635"	"28.159"	"29.047"	"28.435"	"25.194"	"23.87"
"1929"	"22.47"	"22.282"	"24.082"	"26.935"	"31.047"	"28.247"	"27.635"	"28.159"	"28.447"	"28.536"	"25.294"	"23.87"
"1930"	"22.347"	"22.382"	"25.47"	"29.547"	"29.247"	"27.871"	"27.635"	"28.159"	"29.047"	"27.8"	"24.982"	"23.87"
"1931"	"22.147"	"22.871"	"25.47"	"29.547"	"31.047"	"28.347"	"27.635"	"28.159"	"29.047"	"28.435"	"25.005"	"23.759"
"1932"	"21.97"	"22.282"	"24.494"	"29.547"	"29.347"	"28.447"	"27.635"	"27.447"	"29.047"	"27.923"	"25.682"	"23.847"
"1933"	"22.47"	"22.659"	"24.982"	"28.682"	"29.247"	"27.871"	"27.371"	"28.07"	"29.047"	"28.212"	"25.682"	"23.659"
"1934"	"22.058"	"22.07"	"23.982"	"29.547"	"31.047"	"28.347"	"27.635"	"28.159"	"29.047"	"28.435"	"24.894"	"23.759"
"1935"	"22.47"	"22.282"	"25.47"	"29.547"	"31.047"	"28.347"	"27.635"	"28.159"	"29.047"	"28.435"	"24.694"	"23.659"
"1936"	"22.358"	"22.782"	"24.518"	"29.547"	"31.047"	"28.259"	"27.635"	"28.159"	"29.047"	"28.536"	"25.682"	"23.87"
"1937"	"22.47"	"23.17"	"25.47"	"28.493"	"31.047"	"28.347"	"27.635"	"28.159"	"29.047"	"28.536"	"25.682"	"23.659"
