
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.97"	"4.48"	"4.84"	"5.07"	"4.74"	"4.19"	"4.07"	"4.06"	"4.17"	"3.98"	"3.62"	"3.53"
"1902"	"3.87"	"4.34"	"4.9"	"5.08"	"4.79"	"4.24"	"4.04"	"4.11"	"4.12"	"3.97"	"3.63"	"3.61"
"1903"	"3.98"	"4.44"	"4.93"	"5.09"	"4.74"	"4.22"	"4.03"	"4.04"	"4.12"	"3.94"	"3.56"	"3.48"
"1904"	"3.8"	"4.29"	"4.81"	"5.01"	"4.68"	"4.09"	"3.96"	"4.03"	"4.15"	"3.98"	"3.59"	"3.54"
"1905"	"3.89"	"4.4"	"4.86"	"5"	"4.74"	"4.2"	"4.08"	"4.06"	"4.19"	"3.97"	"3.66"	"3.54"
"1906"	"3.95"	"4.44"	"4.86"	"5.15"	"4.81"	"4.17"	"4.02"	"4.01"	"4.11"	"3.96"	"3.63"	"3.55"
"1907"	"3.87"	"4.38"	"4.86"	"4.96"	"4.72"	"4.17"	"4.03"	"3.95"	"4.15"	"3.98"	"3.63"	"3.56"
"1908"	"3.9"	"4.35"	"4.82"	"5.08"	"4.7"	"4.17"	"3.96"	"4.01"	"4.14"	"3.98"	"3.59"	"3.53"
"1909"	"3.86"	"4.36"	"4.9"	"5.01"	"4.69"	"4.16"	"3.98"	"4.01"	"4.11"	"3.98"	"3.64"	"3.57"
"1910"	"3.89"	"4.35"	"4.86"	"5.04"	"4.76"	"4.14"	"4.03"	"3.98"	"4.09"	"3.91"	"3.58"	"3.5"
"1911"	"3.89"	"4.27"	"4.86"	"5.05"	"4.71"	"4.14"	"3.99"	"4.02"	"4.19"	"3.96"	"3.66"	"3.57"
"1912"	"3.84"	"4.46"	"4.93"	"5.09"	"4.81"	"4.15"	"4.03"	"4.02"	"4.16"	"3.96"	"3.61"	"3.52"
"1913"	"3.86"	"4.41"	"4.87"	"5.1"	"4.81"	"4.19"	"4"	"4.05"	"4.18"	"3.97"	"3.64"	"3.61"
"1914"	"3.87"	"4.42"	"4.9"	"5.07"	"4.8"	"4.23"	"4.03"	"4.01"	"4.18"	"3.98"	"3.67"	"3.61"
"1915"	"3.93"	"4.43"	"4.85"	"5.05"	"4.77"	"4.25"	"4.05"	"4.08"	"4.17"	"4.01"	"3.64"	"3.54"
"1916"	"3.85"	"4.39"	"4.9"	"5.1"	"4.74"	"4.12"	"4.07"	"4.03"	"4.11"	"3.93"	"3.61"	"3.52"
"1917"	"3.86"	"4.34"	"4.8"	"5.04"	"4.69"	"4.12"	"4.09"	"4.04"	"4.12"	"3.88"	"3.61"	"3.53"
"1918"	"3.86"	"4.25"	"4.76"	"5.04"	"4.61"	"4.16"	"4.1"	"4.05"	"4.16"	"4.03"	"3.7"	"3.57"
"1919"	"3.96"	"4.44"	"4.86"	"5.12"	"4.73"	"4.14"	"4.02"	"4.02"	"4.16"	"3.99"	"3.6"	"3.58"
"1920"	"3.87"	"4.42"	"4.93"	"5.03"	"4.79"	"4.15"	"4.04"	"4.01"	"4.14"	"3.98"	"3.62"	"3.53"
"1921"	"3.93"	"4.35"	"4.93"	"4.99"	"4.8"	"4.19"	"4.03"	"4.01"	"4.12"	"3.96"	"3.6"	"3.53"
"1922"	"3.89"	"4.35"	"4.89"	"5.05"	"4.69"	"4.14"	"3.98"	"4"	"4.12"	"3.97"	"3.59"	"3.51"
"1923"	"3.82"	"4.32"	"4.77"	"5.03"	"4.74"	"4.2"	"3.97"	"3.99"	"4.11"	"3.96"	"3.67"	"3.6"
"1924"	"3.89"	"4.43"	"4.88"	"5.1"	"4.8"	"4.14"	"3.99"	"4.03"	"4.14"	"3.97"	"3.6"	"3.54"
"1925"	"3.89"	"4.37"	"4.82"	"5.05"	"4.68"	"4.16"	"4.03"	"4.02"	"4.18"	"3.98"	"3.61"	"3.52"
"1926"	"3.9"	"4.4"	"4.92"	"5.05"	"4.81"	"4.23"	"4.11"	"4.09"	"4.16"	"3.97"	"3.64"	"3.58"
"1927"	"3.93"	"4.45"	"4.94"	"5.11"	"4.71"	"4.14"	"3.98"	"4.05"	"4.15"	"3.96"	"3.6"	"3.6"
