
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"20.761"	"21.52"	"22.209"	"24.039"	"23.519"	"22.707"	"22.464"	"22.649"	"22.707"	"22.277"	"21.309"	"19.797"
"1902"	"19.582"	"20.285"	"22.656"	"24.108"	"24.127"	"23.311"	"22.205"	"23.238"	"22.08"	"21.944"	"21.516"	"20.741"
"1903"	"20.546"	"21.089"	"22.86"	"24.162"	"23.588"	"23.164"	"21.969"	"22.428"	"21.837"	"21.793"	"20.682"	"19.373"
"1904"	"18.947"	"19.731"	"21.672"	"23.563"	"22.926"	"21.701"	"21.393"	"22.437"	"22.359"	"22.254"	"21.007"	"19.956"
"1905"	"19.642"	"20.869"	"22.389"	"23.344"	"23.548"	"22.976"	"22.609"	"22.679"	"22.63"	"22.13"	"21.701"	"19.867"
"1906"	"20.428"	"21.056"	"22.247"	"24.812"	"24.299"	"22.662"	"21.824"	"22.31"	"21.886"	"22.1"	"21.374"	"20.181"
"1907"	"19.485"	"20.685"	"22.241"	"22.985"	"23.463"	"22.583"	"21.992"	"21.559"	"22.352"	"22.291"	"21.419"	"20.181"
"1908"	"19.828"	"20.416"	"21.836"	"24.021"	"23.259"	"22.615"	"21.11"	"22.159"	"22.243"	"22.291"	"20.97"	"19.814"
"1909"	"19.428"	"20.509"	"22.533"	"23.426"	"23.181"	"22.607"	"21.434"	"22.25"	"21.911"	"22.213"	"21.454"	"20.455"
"1910"	"19.807"	"20.422"	"22.334"	"23.746"	"23.794"	"22.403"	"22.034"	"21.908"	"21.623"	"21.707"	"20.855"	"19.56"
"1911"	"19.68"	"19.477"	"22.156"	"23.754"	"23.339"	"22.351"	"21.567"	"22.393"	"22.817"	"22.088"	"21.741"	"20.437"
"1912"	"19.091"	"21.313"	"22.853"	"24.185"	"24.261"	"22.533"	"21.944"	"22.245"	"22.505"	"21.831"	"21.2"	"19.707"
"1913"	"19.186"	"20.807"	"22.458"	"24.216"	"24.218"	"22.71"	"21.744"	"22.517"	"22.773"	"21.991"	"21.452"	"20.741"
"1914"	"19.337"	"20.931"	"22.679"	"23.979"	"24.112"	"23.282"	"22.099"	"22.316"	"22.824"	"22.336"	"21.825"	"20.722"
"1915"	"20.166"	"21.031"	"22.131"	"23.887"	"23.883"	"23.403"	"22.394"	"22.899"	"22.639"	"22.521"	"21.483"	"19.947"
"1916"	"19.14"	"20.661"	"22.679"	"24.199"	"23.759"	"21.992"	"22.425"	"22.426"	"22.038"	"21.775"	"21.203"	"19.701"
"1917"	"19.342"	"20.247"	"21.702"	"23.706"	"23.193"	"22.004"	"22.709"	"22.495"	"21.893"	"21.357"	"21.25"	"19.832"
"1918"	"19.209"	"19.29"	"21.439"	"23.701"	"22.331"	"22.545"	"22.693"	"22.554"	"22.418"	"22.914"	"22.253"	"20.499"
"1919"	"20.56"	"21.166"	"22.179"	"24.495"	"23.545"	"22.461"	"21.948"	"22.203"	"22.475"	"22.397"	"21.154"	"20.532"
"1920"	"19.565"	"20.973"	"23.026"	"23.699"	"24.092"	"22.479"	"22.253"	"22.226"	"22.296"	"22.247"	"21.268"	"19.846"
"1921"	"20.203"	"20.419"	"22.859"	"23.252"	"24.135"	"22.71"	"21.969"	"22.176"	"21.953"	"22.1"	"21.12"	"19.786"
"1922"	"19.653"	"20.405"	"22.474"	"23.887"	"23.15"	"22.427"	"21.548"	"22.128"	"22.107"	"21.93"	"21.036"	"19.406"
"1923"	"19.101"	"19.981"	"21.576"	"23.719"	"23.681"	"22.762"	"21.423"	"21.995"	"22.013"	"22.088"	"21.754"	"20.619"
"1924"	"19.672"	"21.008"	"22.451"	"24.26"	"24.177"	"22.414"	"21.605"	"22.462"	"22.28"	"22.115"	"21.185"	"19.848"
"1925"	"19.665"	"20.488"	"21.905"	"23.894"	"23.067"	"22.542"	"22.004"	"22.321"	"22.712"	"22.177"	"21.149"	"19.702"
"1926"	"19.972"	"20.754"	"22.757"	"23.765"	"24.229"	"23.205"	"22.886"	"23.063"	"22.457"	"22.153"	"21.508"	"20.437"
"1927"	"20.303"	"21.208"	"23.002"	"24.254"	"23.413"	"22.431"	"21.462"	"22.648"	"22.318"	"21.939"	"21.132"	"20.609"
"1928"	"20.326"	"20.767"	"22.071"	"24.1"	"24.428"	"23.054"	"22.342"	"22.153"	"22.692"	"21.939"	"21.485"	"20.188"
"1929"	"19.939"	"20.72"	"22.165"	"23.049"	"23.708"	"22.393"	"22.268"	"22.773"	"22.707"	"22.085"	"21.636"	"20.683"
"1930"	"20.013"	"20.66"	"22.436"	"23.729"	"22.995"	"22.676"	"22.442"	"22.502"	"22.579"	"22.072"	"21.504"	"20.603"
"1931"	"20.259"	"20.904"	"22.732"	"24.108"	"24.46"	"23.175"	"22.333"	"22.409"	"22.171"	"22.18"	"21.701"	"20.486"
"1932"	"19.235"	"20.264"	"21.926"	"23.771"	"22.944"	"22.772"	"21.908"	"22.768"	"22.262"	"21.886"	"21.385"	"20.181"
"1933"	"19.978"	"20.892"	"22.167"	"23.687"	"22.702"	"22.156"	"21.919"	"22.065"	"21.778"	"21.479"	"21.501"	"20.168"
"1934"	"19.879"	"19.842"	"21.785"	"23.452"	"23.825"	"22.626"	"22.139"	"22.444"	"22.7"	"22.273"	"20.848"	"19.968"
"1935"	"20.076"	"20.844"	"22.39"	"23.627"	"24.297"	"22.924"	"21.784"	"21.991"	"21.91"	"22.031"	"20.968"	"20.425"
"1936"	"20.315"	"20.938"	"22.122"	"23.937"	"23.653"	"21.935"	"21.778"	"22.112"	"22.551"	"22.216"	"21.601"	"20.993"
