
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.67"	"6.2"	"6.54"	"6.45"	"6.05"	"5.14"	"4.91"	"5"	"5.24"	"5.14"	"4.94"	"5.09"
"1902"	"5.6"	"6.09"	"6.52"	"6.46"	"6.07"	"5.21"	"4.89"	"5.02"	"5.25"	"5.1"	"4.93"	"5.1"
"1903"	"5.64"	"6.16"	"6.55"	"6.47"	"6.03"	"5.18"	"4.9"	"4.98"	"5.23"	"5.11"	"4.93"	"5.06"
"1904"	"5.59"	"6.08"	"6.47"	"6.45"	"6.04"	"5.11"	"4.84"	"4.95"	"5.24"	"5.13"	"4.94"	"5.09"
"1905"	"5.6"	"6.13"	"6.53"	"6.44"	"6.02"	"5.16"	"4.93"	"5"	"5.26"	"5.11"	"4.94"	"5.09"
"1906"	"5.62"	"6.18"	"6.49"	"6.48"	"6.1"	"5.17"	"4.89"	"4.96"	"5.21"	"5.1"	"4.94"	"5.1"
"1907"	"5.59"	"6.12"	"6.54"	"6.41"	"6.03"	"5.17"	"4.91"	"4.93"	"5.22"	"5.11"	"4.94"	"5.1"
"1908"	"5.63"	"6.13"	"6.47"	"6.46"	"6.04"	"5.17"	"4.86"	"4.95"	"5.23"	"5.13"	"4.94"	"5.09"
"1909"	"5.59"	"6.1"	"6.53"	"6.45"	"6.02"	"5.17"	"4.86"	"4.95"	"5.2"	"5.11"	"4.94"	"5.12"
"1910"	"5.63"	"6.12"	"6.5"	"6.45"	"6.07"	"5.15"	"4.89"	"4.95"	"5.2"	"5.09"	"4.92"	"5.07"
"1911"	"5.63"	"6.08"	"6.47"	"6.45"	"6.05"	"5.14"	"4.86"	"4.95"	"5.25"	"5.11"	"4.94"	"5.13"
"1912"	"5.59"	"6.12"	"6.55"	"6.46"	"6.09"	"5.16"	"4.89"	"4.95"	"5.24"	"5.11"	"4.94"	"5.09"
"1913"	"5.58"	"6.12"	"6.5"	"6.45"	"6.08"	"5.19"	"4.87"	"4.95"	"5.25"	"5.12"	"4.93"	"5.14"
"1914"	"5.61"	"6.12"	"6.53"	"6.45"	"6.06"	"5.2"	"4.92"	"4.95"	"5.24"	"5.13"	"4.94"	"5.13"
"1915"	"5.63"	"6.17"	"6.5"	"6.45"	"6.03"	"5.19"	"4.92"	"4.98"	"5.24"	"5.14"	"4.95"	"5.12"
"1916"	"5.6"	"6.1"	"6.52"	"6.48"	"6.08"	"5.13"	"4.9"	"4.98"	"5.23"	"5.1"	"4.93"	"5.09"
"1917"	"5.59"	"6.12"	"6.47"	"6.45"	"6.04"	"5.1"	"4.9"	"4.99"	"5.24"	"5.08"	"4.92"	"5.09"
"1918"	"5.63"	"6.08"	"6.45"	"6.47"	"6"	"5.1"	"4.93"	"4.99"	"5.23"	"5.13"	"4.97"	"5.12"
"1919"	"5.64"	"6.18"	"6.51"	"6.48"	"6.08"	"5.13"	"4.89"	"4.95"	"5.23"	"5.14"	"4.93"	"5.11"
"1920"	"5.61"	"6.12"	"6.55"	"6.45"	"6.08"	"5.16"	"4.9"	"4.98"	"5.23"	"5.11"	"4.94"	"5.06"
"1921"	"5.63"	"6.12"	"6.55"	"6.43"	"6.06"	"5.19"	"4.9"	"4.96"	"5.22"	"5.11"	"4.93"	"5.09"
"1922"	"5.62"	"6.12"	"6.51"	"6.47"	"6.04"	"5.13"	"4.86"	"4.95"	"5.23"	"5.12"	"4.95"	"5.09"
"1923"	"5.59"	"6.09"	"6.46"	"6.44"	"6.04"	"5.19"	"4.87"	"4.95"	"5.22"	"5.09"	"4.94"	"5.14"
"1924"	"5.63"	"6.14"	"6.52"	"6.45"	"6.09"	"5.17"	"4.87"	"4.95"	"5.23"	"5.11"	"4.94"	"5.09"
"1925"	"5.61"	"6.13"	"6.47"	"6.45"	"6.02"	"5.14"	"4.89"	"4.95"	"5.24"	"5.14"	"4.94"	"5.07"
"1926"	"5.6"	"6.12"	"6.54"	"6.45"	"6.07"	"5.17"	"4.93"	"5.02"	"5.27"	"5.11"	"4.94"	"5.12"
"1927"	"5.63"	"6.15"	"6.55"	"6.5"	"6.07"	"5.16"	"4.85"	"4.95"	"5.25"	"5.12"	"4.91"	"5.09"
"1928"	"5.64"	"6.16"	"6.49"	"6.43"	"6.08"	"5.19"	"4.94"	"4.95"	"5.24"	"5.12"	"4.94"	"5.09"
"1929"	"5.62"	"6.14"	"6.54"	"6.39"	"6.03"	"5.13"	"4.88"	"4.98"	"5.25"	"5.11"	"4.93"	"5.13"
"1930"	"5.63"	"6.13"	"6.53"	"6.47"	"6.02"	"5.14"	"4.91"	"4.97"	"5.25"	"5.11"	"4.93"	"5.11"
"1931"	"5.67"	"6.17"	"6.57"	"6.45"	"6.14"	"5.27"	"5.01"	"4.97"	"5.29"	"5.22"	"5.01"	"5.13"
"1932"	"5.69"	"6.04"	"6.46"	"6.34"	"5.9"	"5.07"	"4.8"	"4.95"	"5.19"	"4.91"	"4.72"	"5.09"
"1933"	"5.62"	"6.12"	"6.53"	"6.46"	"6.08"	"5.14"	"4.93"	"4.98"	"5.22"	"5.08"	"4.94"	"5.13"
"1934"	"5.6"	"6.12"	"6.48"	"6.37"	"6.04"	"5.17"	"4.97"	"5"	"5.29"	"5.15"	"4.98"	"5.13"
"1935"	"5.58"	"6.09"	"6.51"	"6.38"	"6.05"	"5.21"	"4.93"	"4.97"	"5.22"	"5.13"	"4.95"	"5.09"
"1936"	"5.64"	"6.15"	"6.54"	"6.4"	"6.02"	"5.16"	"4.93"	"4.95"	"5.24"	"5.11"	"4.9"	"5.13"
"1937"	"5.64"	"6.13"	"6.54"	"6.44"	"6.17"	"5.13"	"4.8"	"5.04"	"5.33"	"5.12"	"4.94"	"5.11"
"1938"	"5.64"	"6.12"	"6.55"	"6.47"	"6.09"	"5.17"	"4.84"	"4.99"	"5.23"	"5.13"	"4.97"	"5.11"
"1939"	"5.62"	"6.11"	"6.49"	"6.38"	"6.04"	"5.17"	"4.89"	"4.96"	"5.24"	"5.14"	"4.89"	"5.16"
"1940"	"5.65"	"6.08"	"6.51"	"6.43"	"6.03"	"5.17"	"4.8"	"4.9"	"5.23"	"5.15"	"4.84"	"5.06"
"1941"	"5.63"	"6.08"	"6.46"	"6.39"	"6.02"	"5.12"	"4.91"	"5"	"5.18"	"5.08"	"4.94"	"5.13"
"1942"	"5.64"	"6.13"	"6.54"	"6.46"	"6.08"	"5.19"	"4.87"	"4.99"	"5.24"	"5.12"	"4.97"	"5.04"
"1943"	"5.63"	"6.13"	"6.54"	"6.41"	"6"	"5.05"	"4.82"	"5.02"	"5.2"	"5.08"	"4.87"	"5.11"
"1944"	"5.62"	"6.13"	"6.53"	"6.37"	"6.08"	"5.22"	"4.88"	"5.08"	"5.31"	"5.21"	"4.94"	"5.13"
"1945"	"5.63"	"6.13"	"6.56"	"6.45"	"6.04"	"5.3"	"4.91"	"5.01"	"5.27"	"5.17"	"4.89"	"5.14"
"1946"	"5.63"	"6.08"	"6.53"	"6.41"	"6.03"	"5.12"	"4.91"	"4.89"	"5.2"	"5.09"	"4.8"	"5.01"
"1947"	"5.6"	"6.07"	"6.47"	"6.33"	"6.08"	"5.25"	"4.85"	"5"	"5.2"	"5.08"	"5.01"	"5.1"
"1948"	"5.61"	"6.17"	"6.54"	"6.48"	"6.11"	"5.17"	"4.91"	"4.98"	"5.22"	"5.17"	"4.96"	"5.14"
"1949"	"5.66"	"6.12"	"6.55"	"6.47"	"6.03"	"5.12"	"4.84"	"4.98"	"5.21"	"5.1"	"4.98"	"5.19"
