
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.149"	"26.895"	"27.433"	"29.558"	"30.785"	"30.902"	"29.769"	"29.14"	"28.862"	"27.792"	"25.955"	"24.661"
"1902"	"24.991"	"25.05"	"27.674"	"29.986"	"31.234"	"30.978"	"29.829"	"29.246"	"28.528"	"26.994"	"25.948"	"25.323"
"1903"	"25.469"	"26.64"	"27.867"	"29.942"	"30.323"	"30.495"	"29.641"	"28.772"	"28.248"	"27.682"	"25.731"	"24.488"
"1904"	"24.616"	"25.07"	"27.239"	"30.067"	"30.326"	"30.35"	"29.365"	"29.029"	"29.149"	"27.733"	"26.21"	"24.497"
"1905"	"24.298"	"26.251"	"28.531"	"29.346"	"30.542"	"31.131"	"30.961"	"29.32"	"29.395"	"27.536"	"26.201"	"24.813"
"1906"	"25.475"	"27.12"	"27.48"	"30.623"	"31.599"	"30.485"	"30.164"	"28.397"	"28.69"	"27.468"	"25.88"	"25.046"
"1907"	"24.742"	"25.647"	"27.907"	"29.38"	"31.28"	"30.721"	"29.79"	"29.12"	"29.123"	"27.472"	"25.924"	"24.994"
"1908"	"24.999"	"25.394"	"27.21"	"30.69"	"31.082"	"30.938"	"29.592"	"28.975"	"28.035"	"27.472"	"25.417"	"24.45"
"1909"	"24.851"	"25.853"	"27.919"	"29.691"	"30.38"	"30.24"	"29.096"	"28.205"	"27.875"	"27.796"	"26.579"	"25.521"
"1910"	"25.022"	"25.681"	"27.175"	"29.755"	"31.386"	"30.383"	"29.371"	"28.289"	"28.169"	"27.398"	"25.514"	"24.492"
"1911"	"24.929"	"25.084"	"27.571"	"29.724"	"30.639"	"30.142"	"29.843"	"29.217"	"28.933"	"27.325"	"26.051"	"24.949"
"1912"	"24.22"	"26.503"	"28.443"	"30.05"	"31.496"	"30.885"	"29.896"	"29.171"	"28.735"	"27.439"	"26.161"	"24.593"
"1913"	"24.473"	"26.274"	"28.243"	"30.418"	"31.115"	"31.173"	"29.496"	"29.381"	"28.936"	"27.214"	"25.528"	"25.003"
"1914"	"24.664"	"25.875"	"27.998"	"29.839"	"31.069"	"31.214"	"29.745"	"28.649"	"28.36"	"27.003"	"25.853"	"25.28"
"1915"	"25.135"	"26.179"	"27.745"	"29.698"	"31.29"	"30.566"	"29.48"	"29.7"	"28.684"	"28.144"	"26.541"	"25.088"
"1916"	"24.565"	"26.07"	"27.64"	"30.339"	"30.736"	"29.958"	"29.126"	"28.75"	"28.305"	"27.446"	"26.141"	"24.347"
"1917"	"24.273"	"25.274"	"26.969"	"29.645"	"30.16"	"29.352"	"29.673"	"28.695"	"27.95"	"27.135"	"26.072"	"24.452"
"1918"	"24.426"	"24.598"	"26.521"	"29.489"	"29.999"	"29.565"	"29.84"	"29.335"	"28.366"	"27.759"	"26.112"	"24.949"
"1919"	"25.955"	"26.824"	"27.315"	"30.131"	"31.079"	"30.255"	"29.35"	"29.057"	"28.285"	"27.453"	"26.127"	"25.127"
