
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.61"	"4.21"	"4.75"	"5.03"	"5.48"	"5.43"	"5.2"	"5.11"	"4.83"	"4.11"	"3.45"	"3.15"
"1902"	"3.5"	"4.03"	"4.78"	"5.07"	"5.54"	"5.43"	"5.21"	"5.13"	"4.81"	"4.04"	"3.45"	"3.18"
"1903"	"3.53"	"4.18"	"4.8"	"5.07"	"5.44"	"5.38"	"5.19"	"5.06"	"4.77"	"4.09"	"3.42"	"3.13"
"1904"	"3.48"	"4.03"	"4.73"	"5.08"	"5.44"	"5.36"	"5.16"	"5.1"	"4.87"	"4.11"	"3.46"	"3.13"
"1905"	"3.46"	"4.14"	"4.86"	"5.01"	"5.47"	"5.45"	"5.34"	"5.13"	"4.88"	"4.08"	"3.47"	"3.15"
"1906"	"3.55"	"4.22"	"4.75"	"5.14"	"5.59"	"5.37"	"5.25"	"5.02"	"4.82"	"4.07"	"3.43"	"3.16"
"1907"	"3.49"	"4.09"	"4.8"	"5.01"	"5.53"	"5.4"	"5.21"	"5.11"	"4.87"	"4.08"	"3.44"	"3.16"
"1908"	"3.5"	"4.07"	"4.73"	"5.14"	"5.51"	"5.42"	"5.19"	"5.09"	"4.76"	"4.08"	"3.4"	"3.13"
"1909"	"3.49"	"4.11"	"4.82"	"5.03"	"5.43"	"5.34"	"5.14"	"5.01"	"4.72"	"4.1"	"3.49"	"3.21"
"1910"	"3.5"	"4.09"	"4.73"	"5.05"	"5.54"	"5.36"	"5.16"	"5.02"	"4.76"	"4.08"	"3.42"	"3.13"
"1911"	"3.49"	"4.04"	"4.76"	"5.04"	"5.47"	"5.33"	"5.22"	"5.11"	"4.84"	"4.07"	"3.45"	"3.16"
"1912"	"3.46"	"4.17"	"4.85"	"5.08"	"5.56"	"5.42"	"5.22"	"5.11"	"4.83"	"4.07"	"3.46"	"3.14"
"1913"	"3.46"	"4.14"	"4.85"	"5.12"	"5.52"	"5.47"	"5.18"	"5.13"	"4.84"	"4.05"	"3.41"	"3.17"
"1914"	"3.49"	"4.11"	"4.81"	"5.05"	"5.52"	"5.46"	"5.2"	"5.05"	"4.78"	"4.04"	"3.43"	"3.18"
"1915"	"3.52"	"4.13"	"4.78"	"5.04"	"5.55"	"5.39"	"5.17"	"5.17"	"4.82"	"4.15"	"3.49"	"3.17"
"1916"	"3.46"	"4.12"	"4.78"	"5.11"	"5.48"	"5.32"	"5.14"	"5.06"	"4.78"	"4.07"	"3.46"	"3.11"
"1917"	"3.44"	"4.06"	"4.7"	"5.04"	"5.41"	"5.24"	"5.2"	"5.06"	"4.76"	"4.04"	"3.46"	"3.13"
"1918"	"3.46"	"3.99"	"4.65"	"5.03"	"5.4"	"5.27"	"5.21"	"5.13"	"4.78"	"4.1"	"3.46"	"3.16"
