
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.317"	"31.469"	"32.205"	"33.926"	"35.645"	"35.651"	"34.339"	"33.658"	"33.255"	"31.66"	"29.555"	"28.252"
"1902"	"29.137"	"29.625"	"32.449"	"34.375"	"36.095"	"35.728"	"34.394"	"33.783"	"32.92"	"30.863"	"29.549"	"28.915"
"1903"	"29.615"	"31.216"	"32.638"	"34.311"	"35.153"	"35.243"	"34.211"	"33.308"	"32.641"	"31.551"	"29.332"	"28.079"
"1904"	"28.783"	"29.645"	"31.988"	"34.456"	"35.187"	"35.098"	"33.934"	"33.543"	"33.542"	"31.601"	"29.808"	"28.089"
"1905"	"28.466"	"30.828"	"33.304"	"33.736"	"35.405"	"35.88"	"35.532"	"33.857"	"33.79"	"31.404"	"29.801"	"28.405"
"1906"	"29.643"	"31.694"	"32.253"	"35.013"	"36.428"	"35.234"	"34.734"	"32.934"	"33.083"	"31.338"	"29.48"	"28.635"
"1907"	"28.909"	"30.222"	"32.682"	"33.769"	"36.143"	"35.47"	"34.361"	"33.658"	"33.515"	"31.341"	"29.523"	"28.584"
"1908"	"29.144"	"29.97"	"31.982"	"35.079"	"35.942"	"35.687"	"34.158"	"33.49"	"32.429"	"31.341"	"29.016"	"28.039"
"1909"	"29.018"	"30.43"	"32.694"	"34.081"	"35.241"	"34.989"	"33.666"	"32.74"	"32.268"	"31.664"	"30.181"	"29.112"
"1910"	"29.169"	"30.256"	"31.923"	"34.146"	"36.249"	"35.133"	"33.941"	"32.828"	"32.562"	"31.266"	"29.114"	"28.084"
"1911"	"29.098"	"29.659"	"32.342"	"34.115"	"35.499"	"34.89"	"34.412"	"33.735"	"33.326"	"31.192"	"29.65"	"28.541"
"1912"	"28.389"	"31.08"	"33.217"	"34.439"	"36.358"	"35.634"	"34.466"	"33.69"	"33.127"	"31.308"	"29.76"	"28.183"
"1913"	"28.618"	"30.851"	"33.016"	"34.787"	"35.924"	"35.922"	"34.064"	"33.899"	"33.328"	"31.081"	"29.129"	"28.594"
"1914"	"28.832"	"30.452"	"32.77"	"34.231"	"35.899"	"35.962"	"34.314"	"33.167"	"32.752"	"30.87"	"29.452"	"28.87"
"1915"	"29.282"	"30.754"	"32.495"	"34.09"	"36.153"	"35.316"	"34.05"	"34.216"	"33.057"	"32.013"	"30.142"	"28.678"
"1916"	"28.733"	"30.648"	"32.416"	"34.73"	"35.597"	"34.707"	"33.695"	"33.269"	"32.679"	"31.316"	"29.74"	"27.937"
"1917"	"28.441"	"29.849"	"31.743"	"34.035"	"35.02"	"34.1"	"34.24"	"33.231"	"32.343"	"31.002"	"29.672"	"28.041"
"1918"	"28.593"	"29.172"	"31.294"	"33.879"	"34.861"	"34.311"	"34.409"	"33.852"	"32.739"	"31.626"	"29.713"	"28.541"
"1919"	"30.123"	"31.399"	"32.088"	"34.521"	"35.908"	"35.004"	"33.919"	"33.573"	"32.677"	"31.322"	"29.727"	"28.717"
"1920"	"29.11"	"30.977"	"32.869"	"34.181"	"35.926"	"35.578"	"34.989"	"33.885"	"33.448"	"31.737"	"29.65"	"28.048"
"1921"	"29.574"	"30.192"	"32.738"	"34.203"	"36.9"	"35.97"	"33.963"	"33.66"	"32.893"	"31.082"	"29.192"	"28.259"
"1922"	"29.037"	"29.869"	"32.401"	"34.371"	"35.619"	"35.574"	"34.434"	"33.766"	"33.13"	"31.019"	"29.692"	"27.831"
"1923"	"28.336"	"30.215"	"32.106"	"34.398"	"35.668"	"35.887"	"34.485"	"33.924"	"33.014"	"31.34"	"29.871"	"28.441"
"1924"	"28.847"	"30.623"	"32.54"	"34.789"	"36.638"	"35.821"	"34.361"	"33.831"	"32.642"	"31.609"	"29.585"	"28.032"
"1925"	"28.502"	"29.974"	"32.158"	"34.731"	"35.404"	"35.427"	"34.243"	"33.288"	"33.164"	"31.28"	"29.341"	"28.133"
"1926"	"29.169"	"30.372"	"33.018"	"34.603"	"35.903"	"35.88"	"34.57"	"33.787"	"33.023"	"31.46"	"29.074"	"28.543"
"1927"	"29.23"	"30.855"	"33.077"	"34.326"	"35.607"	"35.085"	"34.483"	"33.835"	"32.925"	"31.712"	"29.514"	"28.682"
"1928"	"29.594"	"31.015"	"32.045"	"34.439"	"36.373"	"35.71"	"34.343"	"33.572"	"33.397"	"31.507"	"29.527"	"28.557"
"1929"	"29.266"	"30.421"	"32.188"	"33.487"	"35.652"	"35.132"	"34.669"	"33.541"	"33.008"	"31.388"	"29.372"	"28.5"
"1930"	"28.972"	"30.638"	"32.538"	"34.09"	"34.794"	"34.832"	"34.932"	"33.685"	"33.027"	"30.713"	"29.437"	"28.784"
"1931"	"29.169"	"30.572"	"32.638"	"34.515"	"36.197"	"35.782"	"34.363"	"33.96"	"32.969"	"31.839"	"29.551"	"28.318"
"1932"	"28.708"	"30.419"	"32.31"	"34.064"	"34.988"	"35.231"	"34.36"	"33.344"	"33.071"	"31.139"	"29.793"	"28.312"
"1933"	"29.115"	"30.28"	"32.185"	"33.864"	"34.871"	"35.048"	"34.531"	"33.433"	"33.118"	"30.908"	"29.696"	"28.403"
"1934"	"29.086"	"29.378"	"31.814"	"34.139"	"35.851"	"35.319"	"34.435"	"33.658"	"33.528"	"31.513"	"29.434"	"28.008"
"1935"	"28.97"	"30.201"	"32.297"	"34.553"	"36.542"	"35.724"	"34.39"	"33.279"	"32.916"	"31.361"	"29.389"	"28.582"
"1936"	"29.668"	"31.175"	"32.36"	"34.636"	"35.745"	"34.691"	"34.547"	"33.847"	"33.222"	"31.487"	"29.745"	"29.061"
"1937"	"29.169"	"31.094"	"32.472"	"33.813"	"36.018"	"35.68"	"34.157"	"33.879"	"33.396"	"31.159"	"29.486"	"28.328"
"1938"	"29.462"	"30.908"	"33.018"	"34.09"	"36.32"	"34.868"	"34.265"	"33.385"	"32.838"	"31.457"	"29.445"	"28.411"
"1939"	"28.694"	"29.598"	"32.02"	"33.582"	"35.536"	"35.408"	"34.208"	"33.837"	"33.122"	"31.56"	"29.192"	"28.579"
"1940"	"28.332"	"29.97"	"33.221"	"33.956"	"35.821"	"35.393"	"34.504"	"33.734"	"33.858"	"32.002"	"29.639"	"28.731"
"1941"	"29.566"	"30.774"	"32.701"	"34.668"	"36.365"	"35.442"	"35.019"	"34.367"	"33.044"	"31.517"	"29.721"	"28.755"
"1942"	"29.331"	"30.797"	"32.343"	"34.095"	"36.203"	"35.753"	"34.756"	"33.709"	"33.443"	"31.701"	"29.883"	"28.645"
"1943"	"29.381"	"30.069"	"32.163"	"33.762"	"34.7"	"34.926"	"34.128"	"33.658"	"32.906"	"30.281"	"29.645"	"28.485"
"1944"	"29.385"	"30.912"	"31.668"	"33.712"	"35.675"	"35.292"	"34.248"	"33.949"	"33.353"	"32.205"	"29.834"	"28.392"
"1945"	"29.042"	"30.879"	"32.449"	"33.665"	"35.537"	"35.73"	"34.58"	"33.658"	"32.889"	"31.584"	"29.043"	"28.136"
"1946"	"28.51"	"29.999"	"32.572"	"33.864"	"35.676"	"35.152"	"34.602"	"33.602"	"32.791"	"31.289"	"29.971"	"28.753"
"1947"	"29.617"	"30.263"	"32.346"	"34.203"	"35.901"	"35.802"	"34.357"	"33.721"	"32.639"	"30.861"	"29.641"	"28.485"
"1948"	"29.169"	"30.686"	"32.342"	"34.161"	"35.972"	"35.583"	"34.485"	"33.824"	"33.313"	"31.66"	"30.251"	"28.259"
"1949"	"28.664"	"30.266"	"32.844"	"34.654"	"35.065"	"34.747"	"33.953"	"33.599"	"32.659"	"31.835"	"29.439"	"28.109"
"1950"	"28.542"	"30.599"	"32.627"	"34.068"	"36.015"	"35.35"	"34.031"	"33.139"	"32.57"	"31.007"	"29.514"	"28.433"
"1951"	"28.891"	"29.531"	"32.863"	"33.936"	"35.792"	"35.222"	"34.059"	"34.012"	"33.318"	"31.907"	"30.151"	"28.554"
"1952"	"29.278"	"31.026"	"32.902"	"34.765"	"35.645"	"35.425"	"34.512"	"33.658"	"33.347"	"31.556"	"30.086"	"28.976"
"1953"	"29.852"	"30.737"	"34.068"	"34.795"	"37.051"	"36.027"	"34.602"	"34.128"	"33.096"	"31.308"	"29.639"	"28.362"
"1954"	"29.228"	"31.026"	"32.649"	"34.671"	"36.194"	"35.68"	"33.609"	"32.957"	"32.893"	"30.815"	"28.965"	"28.441"
"1955"	"29.139"	"30.438"	"32.324"	"33.843"	"34.514"	"34.58"	"33.521"	"32.455"	"32.65"	"31.46"	"29.192"	"27.633"
"1956"	"28.647"	"29.748"	"32.433"	"34.326"	"35.279"	"34.28"	"33.208"	"33.13"	"32.347"	"30.487"	"29.25"	"27.939"
"1957"	"28.624"	"30.306"	"31.702"	"33.621"	"35.48"	"34.827"	"33.659"	"32.762"	"32.969"	"31.099"	"29.279"	"28.645"
"1958"	"29.489"	"31.068"	"33.182"	"34.249"	"35.078"	"35.744"	"34.091"	"32.86"	"32.976"	"31.116"	"29.873"	"28.976"
"1959"	"29.79"	"31.421"	"32.841"	"34.617"	"35.951"	"34.823"	"33.781"	"33.826"	"33.192"	"31.54"	"29.474"	"28.466"
"1960"	"29.613"	"30.478"	"32.635"	"34.341"	"35.484"	"35.427"	"34.192"	"34.24"	"32.667"	"31.396"	"28.894"	"28.804"
"1961"	"29.466"	"31.013"	"33.469"	"34.864"	"35.795"	"34.55"	"33.583"	"33.205"	"32.889"	"31.63"	"29.353"	"28.141"
"1962"	"28.844"	"30.677"	"32.629"	"34.328"	"35.196"	"34.832"	"34.168"	"33.351"	"32.911"	"30.813"	"29.472"	"28.782"
"1963"	"28.668"	"30.109"	"32.519"	"33.685"	"35.897"	"35.571"	"34.639"	"33.773"	"33.612"	"31.756"	"29.674"	"28.685"
"1964"	"29.169"	"31.418"	"33.565"	"35.219"	"36.931"	"35.769"	"34.365"	"33.279"	"32.88"	"31.964"	"29.234"	"28.535"
"1965"	"29.227"	"30.672"	"32.82"	"33.787"	"36.008"	"35.485"	"34.411"	"33.128"	"33.47"	"31.823"	"29.827"	"28.84"
"1966"	"29.869"	"31.351"	"33.516"	"34.598"	"36.108"	"34.695"	"34.192"	"33.764"	"32.65"	"30.99"	"30.241"	"28.784"
"1967"	"29.096"	"30.203"	"32.489"	"34.636"	"35.701"	"34.74"	"33.898"	"33.023"	"32.916"	"30.71"	"28.849"	"28.642"
"1968"	"28.285"	"30.387"	"32.528"	"33.906"	"35.586"	"35.405"	"34.145"	"34.025"	"33.103"	"31.455"	"29.404"	"28.513"
"1969"	"28.919"	"30.491"	"33.392"	"34.601"	"35.901"	"35.806"	"34.309"	"33.574"	"33.487"	"31.181"	"29.998"	"28.385"
"1970"	"29.173"	"30.996"	"33.39"	"34.668"	"35.995"	"35.292"	"34.2"	"33.197"	"32.969"	"31.48"	"29.4"	"27.438"
"1971"	"28.88"	"30.803"	"32.489"	"34.436"	"35.847"	"34.566"	"33.575"	"33.263"	"32.952"	"30.87"	"29.363"	"27.542"
"1972"	"28.557"	"30.438"	"32.019"	"34.632"	"34.709"	"35.365"	"35.121"	"34.308"	"33.561"	"31.487"	"30.022"	"29.724"
"1973"	"29.768"	"31.522"	"32.774"	"35.291"	"35.935"	"35.533"	"35.359"	"33.22"	"33.543"	"31.561"	"29.523"	"28.069"
"1974"	"28.227"	"29.735"	"31.741"	"34.937"	"35.422"	"35.157"	"33.693"	"33.333"	"32.369"	"30.835"	"30.329"	"27.866"
"1975"	"28.849"	"31.533"	"33.125"	"35.014"	"36.267"	"35.519"	"33.463"	"33.452"	"32.341"	"31.311"	"28.916"	"27.884"
"1976"	"28.379"	"29.627"	"32.453"	"34.065"	"36.382"	"35.459"	"34.386"	"32.166"	"33.39"	"31.638"	"30.42"	"29.134"
"1977"	"28.68"	"31.17"	"33.12"	"34.788"	"35.47"	"34.81"	"34.114"	"33.112"	"33.47"	"31.136"	"29.828"	"29.032"
"1978"	"29.587"	"31.315"	"32.598"	"34.658"	"36.289"	"35.165"	"33.962"	"33.585"	"32.995"	"31.813"	"30.561"	"28.981"
"1979"	"29.744"	"32.089"	"33.433"	"34.908"	"36.059"	"35.227"	"34.227"	"34.623"	"31.764"	"31.364"	"29.679"	"29.832"
"1980"	"29.541"	"31.05"	"33.175"	"34.718"	"36.183"	"35.961"	"34.754"	"33.722"	"32.738"	"31.293"	"29.603"	"29.263"
"1981"	"29.544"	"29.916"	"33.205"	"35.086"	"35.312"	"34.807"	"34.269"	"33.406"	"32.87"	"31.338"	"29.648"	"28.118"
"1982"	"29.167"	"30.753"	"33.443"	"34.985"	"36.141"	"36.11"	"34.834"	"35.012"	"34.018"	"32.235"	"30.591"	"28.935"
"1983"	"29.435"	"32.264"	"33.921"	"35.14"	"36.764"	"36.418"	"35.252"	"33.997"	"33.18"	"32.3"	"30.189"	"28.962"
"1984"	"29.942"	"30.867"	"32.759"	"34.654"	"36.301"	"35.182"	"33.686"	"33.982"	"32.949"	"31.948"	"29.738"	"28.814"
"1985"	"29.698"	"31.057"	"33.518"	"35.744"	"36.44"	"35.122"	"33.929"	"33.662"	"33.007"	"31.903"	"29.221"	"29.16"
"1986"	"29.143"	"30.966"	"32.777"	"34.426"	"36.437"	"35.839"	"35.213"	"33.937"	"33.717"	"31.955"	"30.094"	"29.58"
"1987"	"29.834"	"30.35"	"33.202"	"34.718"	"35.974"	"36.096"	"35.49"	"34.354"	"34.273"	"31.965"	"30.96"	"29.471"
"1988"	"29.663"	"31.701"	"34.337"	"35.201"	"37.086"	"35.418"	"34.605"	"33.658"	"33.602"	"32.796"	"29.453"	"29.475"
"1989"	"29.707"	"29.715"	"32.861"	"35.032"	"36.563"	"35.27"	"33.983"	"34.761"	"33.857"	"32.333"	"29.72"	"29.007"
"1990"	"29.169"	"32.192"	"34.334"	"35.678"	"35.501"	"35.788"	"34.434"	"33.455"	"33.554"	"31.586"	"30.59"	"29.65"
"1991"	"30.197"	"31.379"	"33.817"	"35.497"	"36.598"	"35.091"	"35.536"	"34.216"	"34.334"	"31.986"	"30.13"	"29.251"
"1992"	"29.135"	"31.425"	"32.5"	"34.834"	"36.061"	"35.768"	"35.032"	"34.489"	"33.686"	"32.075"	"30.515"	"28.709"
"1993"	"29.016"	"31.145"	"33.543"	"35.008"	"36.299"	"35.272"	"35.251"	"34.182"	"33.657"	"31.363"	"30.048"	"28.734"
"1994"	"29.887"	"31.475"	"33.414"	"35.204"	"36.666"	"36.116"	"34.723"	"34.226"	"34.184"	"31.953"	"29.565"	"28.576"
"1995"	"29.513"	"31.571"	"33.382"	"35.282"	"35.516"	"36.005"	"34.357"	"33.689"	"33.966"	"32.104"	"30.944"	"29.182"
"1996"	"29.892"	"31.616"	"33.073"	"35.053"	"37.146"	"34.244"	"34.534"	"33.806"	"33.046"	"31.926"	"30.341"	"28.782"
"1997"	"29.641"	"30.954"	"33.72"	"34.647"	"36.619"	"36.371"	"35.507"	"34.526"	"33.992"	"32.009"	"30.33"	"29.717"
"1998"	"31.059"	"32.646"	"34.513"	"35.681"	"37.066"	"36.703"	"34.963"	"34.009"	"33.814"	"32.126"	"30.716"	"29.187"
"1999"	"29.44"	"31.471"	"34.068"	"35.079"	"35.335"	"35.227"	"34.201"	"34.16"	"33.84"	"31.963"	"30.335"	"28.983"
"2000"	"29.924"	"31.923"	"33.264"	"35.375"	"36.655"	"35.46"	"34.553"	"33.819"	"33.768"	"31.562"	"30.296"	"28.935"
"2001"	"30.146"	"31.542"	"34.147"	"34.636"	"36.856"	"35.427"	"34.941"	"33.904"	"33.798"	"31.805"	"30.495"	"28.884"
"2002"	"30.317"	"31.186"	"33.813"	"35.284"	"36.813"	"35.969"	"35.584"	"34.106"	"34.23"	"32.013"	"30.048"	"28.937"
