
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.22"	"5.92"	"6.41"	"6.34"	"6.58"	"6.24"	"5.98"	"6"	"5.87"	"5.23"	"4.75"	"4.61"
"1902"	"5.16"	"5.79"	"6.36"	"6.35"	"6.64"	"6.26"	"5.98"	"6.02"	"5.88"	"5.19"	"4.71"	"4.63"
"1903"	"5.17"	"5.88"	"6.41"	"6.38"	"6.59"	"6.23"	"5.96"	"5.99"	"5.83"	"5.22"	"4.75"	"4.61"
"1904"	"5.16"	"5.8"	"6.34"	"6.36"	"6.62"	"6.21"	"5.95"	"5.98"	"5.88"	"5.23"	"4.77"	"4.64"
"1905"	"5.12"	"5.82"	"6.44"	"6.37"	"6.58"	"6.21"	"6.03"	"6.04"	"5.91"	"5.23"	"4.75"	"4.62"
"1906"	"5.15"	"5.91"	"6.39"	"6.35"	"6.68"	"6.24"	"6.01"	"5.97"	"5.86"	"5.21"	"4.73"	"4.63"
"1907"	"5.15"	"5.82"	"6.4"	"6.33"	"6.61"	"6.24"	"5.96"	"6"	"5.89"	"5.23"	"4.73"	"4.63"
"1908"	"5.17"	"5.83"	"6.33"	"6.36"	"6.63"	"6.26"	"5.98"	"6"	"5.84"	"5.2"	"4.73"	"4.61"
"1909"	"5.15"	"5.83"	"6.4"	"6.37"	"6.6"	"6.22"	"5.95"	"5.95"	"5.8"	"5.19"	"4.75"	"4.67"
"1910"	"5.18"	"5.84"	"6.37"	"6.32"	"6.63"	"6.24"	"5.96"	"5.96"	"5.82"	"5.22"	"4.73"	"4.61"
"1911"	"5.16"	"5.8"	"6.36"	"6.36"	"6.61"	"6.2"	"5.95"	"5.99"	"5.89"	"5.21"	"4.73"	"4.64"
"1912"	"5.12"	"5.82"	"6.42"	"6.36"	"6.62"	"6.26"	"5.98"	"6.01"	"5.87"	"5.2"	"4.76"	"4.63"
"1913"	"5.11"	"5.82"	"6.4"	"6.39"	"6.62"	"6.26"	"5.96"	"5.99"	"5.89"	"5.23"	"4.72"	"4.63"
"1914"	"5.15"	"5.82"	"6.4"	"6.36"	"6.6"	"6.26"	"5.99"	"5.98"	"5.87"	"5.19"	"4.71"	"4.63"
"1915"	"5.16"	"5.86"	"6.4"	"6.35"	"6.63"	"6.25"	"5.93"	"6.03"	"5.87"	"5.23"	"4.77"	"4.66"
"1916"	"5.14"	"5.84"	"6.39"	"6.37"	"6.64"	"6.22"	"5.93"	"5.98"	"5.85"	"5.2"	"4.76"	"4.63"
"1917"	"5.13"	"5.81"	"6.36"	"6.36"	"6.61"	"6.16"	"5.95"	"6.01"	"5.83"	"5.18"	"4.74"	"4.63"
"1918"	"5.15"	"5.79"	"6.32"	"6.34"	"6.61"	"6.17"	"5.94"	"6.02"	"5.84"	"5.21"	"4.75"	"4.6"
"1919"	"5.16"	"5.92"	"6.39"	"6.35"	"6.63"	"6.23"	"5.94"	"5.99"	"5.87"	"5.19"	"4.73"	"4.63"
"1920"	"5.15"	"5.85"	"6.41"	"6.36"	"6.62"	"6.23"	"6"	"6.03"	"5.89"	"5.23"	"4.77"	"4.61"
"1921"	"5.16"	"5.83"	"6.4"	"6.33"	"6.63"	"6.3"	"5.96"	"6.01"	"5.87"	"5.22"	"4.73"	"4.61"
"1922"	"5.17"	"5.82"	"6.37"	"6.35"	"6.61"	"6.23"	"5.98"	"6"	"5.89"	"5.2"	"4.75"	"4.63"
"1923"	"5.11"	"5.82"	"6.35"	"6.36"	"6.61"	"6.24"	"5.99"	"6.02"	"5.88"	"5.21"	"4.75"	"4.63"
"1924"	"5.15"	"5.83"	"6.38"	"6.35"	"6.63"	"6.26"	"5.99"	"6.03"	"5.86"	"5.21"	"4.76"	"4.62"
"1925"	"5.14"	"5.82"	"6.35"	"6.37"	"6.62"	"6.23"	"5.98"	"5.98"	"5.87"	"5.23"	"4.73"	"4.61"
"1926"	"5.15"	"5.82"	"6.4"	"6.38"	"6.62"	"6.25"	"5.99"	"6.02"	"5.87"	"5.23"	"4.73"	"4.61"
"1927"	"5.15"	"5.84"	"6.41"	"6.38"	"6.63"	"6.21"	"5.96"	"6.02"	"5.87"	"5.23"	"4.74"	"4.61"
"1928"	"5.15"	"5.88"	"6.38"	"6.34"	"6.64"	"6.26"	"5.98"	"5.98"	"5.87"	"5.23"	"4.73"	"4.62"
"1929"	"5.17"	"5.86"	"6.39"	"6.33"	"6.6"	"6.2"	"5.98"	"6.01"	"5.87"	"5.23"	"4.73"	"4.63"
"1930"	"5.15"	"5.84"	"6.4"	"6.39"	"6.59"	"6.17"	"5.98"	"6.03"	"5.9"	"5.19"	"4.71"	"4.63"
"1931"	"5.19"	"5.88"	"6.41"	"6.35"	"6.68"	"6.31"	"6.03"	"6.03"	"5.91"	"5.33"	"4.83"	"4.61"
