
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.831"	"23.926"	"25.657"	"29.291"	"30.85"	"28.756"	"28.111"	"28.952"	"29.108"	"28.484"	"26.579"	"24.589"
"1902"	"23.332"	"22.685"	"26.039"	"29.266"	"30.85"	"28.81"	"28.111"	"29.31"	"29.108"	"28.462"	"26.246"	"24.737"
"1903"	"23.387"	"23.926"	"25.791"	"29.291"	"30.762"	"28.756"	"28.111"	"28.952"	"29.108"	"28.462"	"25.813"	"24.527"
"1904"	"22.918"	"22.66"	"24.666"	"29.291"	"29.199"	"28.75"	"28.111"	"28.952"	"29.108"	"28.462"	"26.314"	"24.714"
"1905"	"23.33"	"23.506"	"25.689"	"28.146"	"30.675"	"28.896"	"29.219"	"28.952"	"30.168"	"28.462"	"26.623"	"24.594"
"1906"	"23.33"	"23.897"	"25.231"	"29.291"	"30.85"	"28.756"	"28.111"	"28.952"	"29.108"	"28.484"	"26.62"	"24.693"
"1907"	"23.387"	"23.93"	"26.039"	"28.046"	"30.85"	"28.756"	"28.111"	"28.735"	"29.108"	"28.513"	"26.579"	"24.734"
"1908"	"23.332"	"22.68"	"25.081"	"29.291"	"30.848"	"28.756"	"27.906"	"28.95"	"29.108"	"28.462"	"26.013"	"24.634"
"1909"	"22.775"	"23.93"	"26.039"	"29.141"	"30.85"	"28.754"	"28.108"	"28.952"	"28.722"	"28.532"	"26.469"	"24.734"
"1910"	"23.332"	"23.574"	"24.683"	"29.269"	"30.85"	"28.756"	"28.111"	"28.952"	"29.108"	"28.484"	"25.942"	"24.378"
"1911"	"23.387"	"22.975"	"26.039"	"29.288"	"30.85"	"28.645"	"28.111"	"28.952"	"29.108"	"28.484"	"26.62"	"24.737"
"1912"	"22.735"	"23.93"	"26.039"	"29.266"	"30.845"	"28.754"	"28.111"	"28.952"	"29.108"	"28.462"	"26.401"	"24.681"
"1913"	"22.585"	"23.93"	"26.039"	"29.291"	"30.845"	"28.756"	"28.111"	"29.347"	"29.108"	"28.462"	"26.623"	"24.737"
"1914"	"23.362"	"23.93"	"26.039"	"29.203"	"30.845"	"28.756"	"28.115"	"28.952"	"29.108"	"28.462"	"26.623"	"24.737"
"1915"	"23.33"	"23.726"	"26.039"	"29.291"	"30.85"	"28.756"	"28.111"	"28.952"	"29.108"	"28.532"	"26.798"	"24.737"
"1916"	"22.872"	"23.926"	"25.075"	"29.266"	"30.85"	"28.756"	"28.111"	"28.952"	"29.108"	"28.513"	"26.574"	"23.744"
"1917"	"22.452"	"22.768"	"24.639"	"29.284"	"30.106"	"27.366"	"28.111"	"28.952"	"28.525"	"28.401"	"26.148"	"24.69"
"1918"	"23.147"	"22.633"	"24.669"	"29.141"	"29.106"	"28.544"	"28.266"	"28.952"	"28.109"	"28.513"	"26.681"	"24.737"
"1919"	"24.298"	"23.93"	"25.036"	"29.266"	"30.85"	"28.752"	"28.113"	"28.952"	"29.108"	"28.462"	"26.522"	"24.737"
"1920"	"23.33"	"23.705"	"26.75"	"29.291"	"30.847"	"28.754"	"28.689"	"28.952"	"29.929"	"28.462"	"26.574"	"24.522"
"1921"	"23.43"	"22.906"	"26.039"	"29.288"	"30.85"	"28.756"	"28.111"	"28.952"	"29.108"	"28.462"	"26.058"	"24.468"
"1922"	"23.33"	"22.694"	"26.039"	"29.266"	"30.85"	"28.754"	"28.111"	"28.952"	"29.108"	"28.462"	"26.579"	"23.316"
"1923"	"22.399"	"23.367"	"24.641"	"29.266"	"30.85"	"28.754"	"28.111"	"29.613"	"29.108"	"28.462"	"26.623"	"24.737"
