
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"0.9861"	"2.6477"	"1.0322"	"0.7776"	"2.151"	"1.5207"	"2.2313"	"3.9479"	"6.9198"	"5.2789"	"8.9092"	"4.2877"
"1902"	"3.3659"	"2.1562"	"1.0785"	"0.6036"	"3.0122"	"1.7477"	"3.7061"	"4.421"	"6.1377"	"10.2988"	"8.3096"	"6.0464"
"1903"	"1.416"	"1.4196"	"0.103"	"0.5902"	"5.2728"	"2.094"	"3.4728"	"5.4368"	"8.156"	"7.1781"	"9.6356"	"6.4752"
"1904"	"1.7292"	"0"	"0.103"	"0.5986"	"3.7254"	"1.9659"	"5.4021"	"2.8471"	"4.272"	"6.6572"	"2.7081"	"3.9487"
"1905"	"1.2717"	"0.6066"	"1.0855"	"3.0207"	"4.1495"	"1.0452"	"3.3993"	"5.3521"	"4.2214"	"10.4813"	"6.312"	"1.3732"
"1906"	"2.5251"	"1.2887"	"1.2041"	"0.5828"	"1.2642"	"2.3105"	"4.0013"	"6.0588"	"5.1044"	"7.4299"	"9.6473"	"8.1146"
"1907"	"0.6751"	"0.9918"	"0.4247"	"3.151"	"2.2344"	"2.425"	"3.547"	"4.6419"	"6.9991"	"7.767"	"8.7365"	"4.366"
"1908"	"1.1981"	"2.7856"	"0.8096"	"1.0065"	"2.0865"	"1.3393"	"3.4087"	"4.3648"	"6.2542"	"10.628"	"4.793"	"2.3211"
"1909"	"2.8654"	"1.3122"	"0.103"	"2.2144"	"4.7412"	"2.5361"	"2.9997"	"7.2608"	"8.8892"	"5.4788"	"3.9318"	"2.1707"
"1910"	"0.7713"	"2.4"	"0.103"	"1.3917"	"1.5909"	"2.4849"	"4.8307"	"6.3746"	"6.6761"	"9.8154"	"7.1217"	"0.9985"
"1911"	"0.7709"	"0"	"0.6092"	"1.0124"	"2.2087"	"1.5936"	"3.3161"	"3.2432"	"7.0137"	"6.7951"	"7.6872"	"5.7809"
"1912"	"1.2408"	"0"	"0.103"	"0.5946"	"2.054"	"2.8552"	"2.319"	"5.7726"	"6.6067"	"9.1286"	"9.2117"	"1.1594"
"1913"	"0.103"	"0"	"0.3923"	"0.7687"	"2.9776"	"1.4905"	"3.4281"	"4.2198"	"7.9662"	"10.3566"	"9.1315"	"6.7811"
"1914"	"1.0487"	"1.206"	"0.3923"	"3.1756"	"1.9522"	"1.7985"	"2.6033"	"4.7685"	"8.5651"	"9.6352"	"7.3566"	"6.5158"
"1915"	"2.3207"	"2.5486"	"1.4673"	"1.4225"	"2.8638"	"1.8977"	"3.7873"	"5.3748"	"6.0102"	"3.536"	"8.399"	"3.1944"
"1916"	"0.103"	"1.4002"	"0.103"	"1.0443"	"2.8231"	"1.8549"	"5.861"	"5.074"	"4.7203"	"9.7501"	"8.7185"	"3.285"
