
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.399"	"25.517"	"26.552"	"28.982"	"28.106"	"26.905"	"26.072"	"26.013"	"26.561"	"25.666"	"24.303"	"22.308"
"1902"	"22.908"	"23.969"	"27.285"	"28.85"	"28.732"	"27.5"	"26.395"	"26.699"	"25.585"	"25.007"	"24.097"	"23.427"
"1903"	"23.606"	"25.214"	"27.595"	"29.079"	"28.273"	"27.037"	"26.077"	"25.772"	"25.503"	"25.127"	"23.145"	"22.15"
"1904"	"22.378"	"23.799"	"26.744"	"28.944"	"27.593"	"25.992"	"25.405"	"25.898"	"26.14"	"25.57"	"23.719"	"22.414"
"1905"	"22.896"	"25.316"	"27.451"	"28.368"	"28.443"	"27.354"	"26.715"	"26.315"	"26.214"	"25.368"	"24.308"	"22.719"
"1906"	"24.086"	"25.927"	"26.698"	"30.06"	"29.773"	"27.035"	"26.182"	"25.66"	"25.148"	"25.286"	"24.294"	"22.985"
"1907"	"22.838"	"24.768"	"27.049"	"28.225"	"28.384"	"26.704"	"26.068"	"25.465"	"26.192"	"25.66"	"24.146"	"23.027"
"1908"	"23.24"	"24.36"	"26.431"	"29.624"	"28.353"	"27.393"	"25.555"	"25.802"	"25.792"	"25.646"	"23.758"	"22.614"
"1909"	"23.279"	"24.935"	"27.49"	"28.606"	"27.831"	"26.893"	"25.612"	"25.8"	"25.201"	"25.643"	"24.856"	"23.761"
"1910"	"23.342"	"24.668"	"27.294"	"29.296"	"29.13"	"26.945"	"26.155"	"25.367"	"24.955"	"25.13"	"23.156"	"22.146"
"1911"	"23.245"	"23.406"	"26.956"	"28.854"	"28.303"	"26.793"	"25.834"	"25.942"	"26.515"	"25.28"	"24.325"	"23.213"
"1912"	"22.608"	"25.767"	"27.794"	"29.349"	"29.583"	"27.083"	"25.965"	"25.997"	"26.009"	"25.157"	"23.778"	"22.3"
"1913"	"22.368"	"25.03"	"27.593"	"29.536"	"28.96"	"27.144"	"25.65"	"26.142"	"26.584"	"25.073"	"23.909"	"23.555"
