
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1902"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1903"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1904"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1905"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1906"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1907"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1908"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1909"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1910"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1911"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1912"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1913"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1914"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1915"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1916"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1917"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1918"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1919"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1920"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1921"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1922"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1923"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1924"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1925"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1926"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1927"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1928"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1929"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1930"	"27.801"	"23.946"	"25.246"	"36.567"	"47.746"	"70.249"	"79.384"	"72.292"	"64.071"	"59.377"	"48.526"	"38.465"
"1931"	"26.366"	"21.858"	"23.294"	"36.405"	"44.681"	"67.294"	"75.056"	"72.28"	"61.217"	"53.928"	"44.581"	"39.856"
"1932"	"23.928"	"27.256"	"27.039"	"42.097"	"54.057"	"75.492"	"84.017"	"73.593"	"66.385"	"69.031"	"59.431"	"38.465"
"1933"	"27.801"	"25.355"	"25.246"	"36.567"	"44.638"	"69.868"	"77.657"	"70.998"	"64.071"	"59.377"	"47.712"	"37.266"
"1934"	"30.101"	"22.869"	"25.246"	"39.001"	"47.537"	"70.108"	"76.105"	"69.794"	"61.414"	"58.395"	"44.336"	"35.014"
"1935"	"30.082"	"26.103"	"26.663"	"39.029"	"48.722"	"70.501"	"78.285"	"71.017"	"64.03"	"58.532"	"45.82"	"38.465"
"1936"	"27.801"	"24.772"	"24.095"	"39.058"	"50.509"	"69.313"	"77.431"	"71.017"	"62.84"	"59.377"	"49.612"	"38.465"
"1937"	"27.801"	"25.284"	"26.397"	"36.453"	"42.091"	"71.76"	"81.452"	"68.079"	"60.358"	"59.377"	"47.511"	"37.266"
