
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.94"	"6.7"	"7.35"	"7.44"	"7.2"	"6.15"	"5.72"	"5.78"	"5.98"	"5.52"	"5.28"	"5.2"
"1902"	"5.82"	"6.58"	"7.35"	"7.43"	"7.21"	"6.17"	"5.72"	"5.88"	"5.96"	"5.48"	"5.23"	"5.23"
"1903"	"5.85"	"6.63"	"7.39"	"7.47"	"7.22"	"6.15"	"5.72"	"5.82"	"5.92"	"5.5"	"5.22"	"5.18"
"1904"	"5.79"	"6.56"	"7.31"	"7.45"	"7.21"	"6.11"	"5.64"	"5.79"	"5.95"	"5.51"	"5.23"	"5.2"
"1905"	"5.8"	"6.64"	"7.42"	"7.43"	"7.18"	"6.16"	"5.73"	"5.85"	"5.98"	"5.5"	"5.26"	"5.19"
"1906"	"5.84"	"6.72"	"7.35"	"7.45"	"7.31"	"6.18"	"5.72"	"5.81"	"5.91"	"5.47"	"5.25"	"5.25"
"1907"	"5.82"	"6.62"	"7.38"	"7.41"	"7.22"	"6.14"	"5.72"	"5.78"	"5.95"	"5.51"	"5.26"	"5.23"
"1908"	"5.85"	"6.62"	"7.28"	"7.46"	"7.23"	"6.2"	"5.72"	"5.79"	"5.93"	"5.51"	"5.24"	"5.19"
"1909"	"5.84"	"6.63"	"7.4"	"7.46"	"7.17"	"6.14"	"5.7"	"5.81"	"5.88"	"5.48"	"5.27"	"5.28"
"1910"	"5.88"	"6.62"	"7.37"	"7.44"	"7.27"	"6.17"	"5.73"	"5.8"	"5.88"	"5.49"	"5.22"	"5.17"
"1911"	"5.85"	"6.56"	"7.3"	"7.43"	"7.21"	"6.13"	"5.69"	"5.79"	"5.98"	"5.5"	"5.24"	"5.26"
"1912"	"5.79"	"6.65"	"7.42"	"7.45"	"7.29"	"6.2"	"5.72"	"5.81"	"5.96"	"5.51"	"5.23"	"5.2"
"1913"	"5.77"	"6.61"	"7.38"	"7.47"	"7.26"	"6.18"	"5.69"	"5.78"	"5.99"	"5.5"	"5.23"	"5.26"
"1914"	"5.8"	"6.63"	"7.41"	"7.44"	"7.22"	"6.22"	"5.73"	"5.78"	"5.95"	"5.5"	"5.22"	"5.24"
"1915"	"5.85"	"6.66"	"7.37"	"7.44"	"7.24"	"6.17"	"5.72"	"5.86"	"5.97"	"5.53"	"5.28"	"5.25"
"1916"	"5.77"	"6.62"	"7.37"	"7.48"	"7.25"	"6.1"	"5.7"	"5.8"	"5.92"	"5.5"	"5.24"	"5.21"
"1917"	"5.8"	"6.57"	"7.3"	"7.43"	"7.21"	"6.05"	"5.71"	"5.81"	"5.93"	"5.45"	"5.23"	"5.23"
"1918"	"5.82"	"6.56"	"7.25"	"7.43"	"7.13"	"6.07"	"5.72"	"5.84"	"5.94"	"5.51"	"5.31"	"5.23"
"1919"	"5.85"	"6.71"	"7.37"	"7.48"	"7.24"	"6.13"	"5.71"	"5.81"	"5.94"	"5.51"	"5.24"	"5.24"
"1920"	"5.81"	"6.62"	"7.41"	"7.43"	"7.24"	"6.18"	"5.72"	"5.83"	"5.94"	"5.52"	"5.28"	"5.19"
"1921"	"5.86"	"6.62"	"7.39"	"7.42"	"7.24"	"6.18"	"5.72"	"5.81"	"5.92"	"5.5"	"5.22"	"5.19"
"1922"	"5.85"	"6.59"	"7.37"	"7.47"	"7.22"	"6.15"	"5.72"	"5.82"	"5.97"	"5.49"	"5.26"	"5.2"
"1923"	"5.77"	"6.59"	"7.29"	"7.41"	"7.17"	"6.19"	"5.71"	"5.81"	"5.94"	"5.49"	"5.25"	"5.25"
"1924"	"5.82"	"6.65"	"7.35"	"7.44"	"7.28"	"6.19"	"5.72"	"5.84"	"5.93"	"5.5"	"5.24"	"5.19"
"1925"	"5.81"	"6.61"	"7.31"	"7.47"	"7.19"	"6.12"	"5.72"	"5.82"	"5.97"	"5.5"	"5.23"	"5.18"
"1926"	"5.83"	"6.61"	"7.38"	"7.43"	"7.24"	"6.2"	"5.77"	"5.88"	"5.96"	"5.5"	"5.24"	"5.2"
"1927"	"5.85"	"6.65"	"7.42"	"7.49"	"7.25"	"6.17"	"5.71"	"5.82"	"5.95"	"5.52"	"5.23"	"5.2"
"1928"	"5.85"	"6.65"	"7.34"	"7.42"	"7.28"	"6.2"	"5.72"	"5.8"	"5.96"	"5.52"	"5.24"	"5.19"
"1929"	"5.85"	"6.65"	"7.37"	"7.39"	"7.19"	"6.12"	"5.72"	"5.85"	"5.98"	"5.51"	"5.23"	"5.23"
"1930"	"5.85"	"6.61"	"7.35"	"7.45"	"7.17"	"6.13"	"5.72"	"5.83"	"5.96"	"5.5"	"5.22"	"5.23"
"1931"	"5.87"	"6.65"	"7.42"	"7.47"	"7.33"	"6.25"	"5.8"	"5.86"	"5.99"	"5.62"	"5.34"	"5.23"
"1932"	"5.87"	"6.53"	"7.26"	"7.34"	"7.08"	"6.06"	"5.59"	"5.8"	"5.89"	"5.32"	"5.06"	"5.22"
"1933"	"5.81"	"6.61"	"7.35"	"7.45"	"7.25"	"6.09"	"5.72"	"5.83"	"5.94"	"5.47"	"5.26"	"5.23"
