
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"19.4"	"19.022"	"20.177"	"23.972"	"25.469"	"25.149"	"24.885"	"25.117"	"25.082"	"24.559"	"22.452"	"19.826"
"1902"	"18.823"	"18.296"	"20.819"	"23.965"	"25.65"	"25.208"	"24.885"	"26.327"	"25.082"	"24.559"	"22.012"	"20.307"
"1903"	"18.823"	"19.05"	"20.651"	"24.059"	"25.612"	"25.149"	"24.888"	"25.117"	"25.082"	"24.559"	"21.298"	"19.41"
"1904"	"17.948"	"18.062"	"19.532"	"24.033"	"24.045"	"24.379"	"24.885"	"25.117"	"25.082"	"24.559"	"21.864"	"20.047"
"1905"	"18.801"	"18.98"	"20.221"	"22.709"	"25.708"	"25.512"	"26.257"	"25.117"	"25.233"	"24.559"	"22.503"	"19.719"
"1906"	"18.811"	"18.994"	"20.041"	"24.059"	"25.722"	"25.13"	"24.885"	"25.117"	"25.082"	"24.559"	"22.452"	"20.307"
"1907"	"18.823"	"19.376"	"20.819"	"22.496"	"25.65"	"25.149"	"24.885"	"25.085"	"25.082"	"24.559"	"22.452"	"20.273"
"1908"	"18.823"	"18.193"	"19.528"	"24.059"	"25.57"	"25.337"	"24.448"	"25.117"	"25.082"	"24.559"	"21.483"	"19.376"
"1909"	"18.327"	"19.376"	"20.819"	"23.52"	"25.619"	"24.818"	"24.911"	"25.117"	"25.039"	"24.559"	"22.064"	"20.303"
"1910"	"18.823"	"18.913"	"19.651"	"24.059"	"25.67"	"25.237"	"24.885"	"25.117"	"25.082"	"24.559"	"21.744"	"19.634"
"1911"	"18.823"	"18.067"	"20.819"	"23.986"	"25.664"	"25.149"	"24.885"	"25.117"	"25.082"	"24.559"	"22.439"	"20.307"
"1912"	"18.523"	"19.376"	"20.819"	"23.965"	"25.66"	"25.224"	"24.93"	"25.117"	"25.082"	"24.559"	"22.338"	"19.723"
"1913"	"18.043"	"19.376"	"20.819"	"24.014"	"25.583"	"25.142"	"24.885"	"25.128"	"25.082"	"24.559"	"22.452"	"20.307"
"1914"	"18.823"	"19.376"	"20.819"	"23.296"	"25.616"	"25.1"	"24.952"	"25.117"	"25.082"	"24.559"	"22.452"	"20.307"
"1915"	"18.819"	"18.923"	"20.819"	"24.056"	"25.664"	"25.149"	"24.885"	"25.117"	"25.082"	"24.559"	"22.575"	"19.928"
"1916"	"18.105"	"19.02"	"19.816"	"24.059"	"25.664"	"24.67"	"24.911"	"25.117"	"25.082"	"24.559"	"22.448"	"20.036"
"1917"	"17.692"	"18.337"	"19.505"	"23.502"	"24.109"	"24.193"	"24.885"	"25.117"	"24.55"	"23.771"	"21.991"	"19.863"
"1918"	"18.771"	"18.217"	"19.532"	"23.5"	"24.037"	"25.126"	"25.448"	"25.117"	"24.785"	"24.559"	"23.087"	"20.307"
