
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.0009"	"2.1005"	"0.1566"	"1.6411"	"4.3296"	"2.985"	"4.0317"	"3.9702"	"7.9865"	"6.3033"	"5.1714"	"2.4482"
"1902"	"1.3252"	"1.124"	"1.2819"	"2.2248"	"6.3126"	"2.9872"	"5.665"	"5.0682"	"6.7717"	"10.4868"	"4.2007"	"4.3195"
"1903"	"0.1799"	"0.1867"	"0"	"1.3277"	"8.7948"	"3.3038"	"5.8302"	"6.3692"	"8.9153"	"8.7667"	"7.4497"	"3.0872"
"1904"	"1.0606"	"0"	"0"	"2.3471"	"6.8979"	"2.9294"	"6.6522"	"3.4674"	"4.7472"	"7.1959"	"0.9863"	"1.54"
"1905"	"1.008"	"0.2101"	"1.287"	"4.1466"	"7.1641"	"2.7393"	"4.3835"	"6.2101"	"4.8792"	"10.7479"	"3.6783"	"0.8633"
"1906"	"1.263"	"1.1285"	"1.0642"	"0.909"	"3.6773"	"3.6481"	"6.2046"	"8.0044"	"6.4746"	"7.8429"	"4.3767"	"3.7117"
"1907"	"0.963"	"0.0506"	"1.6051"	"5.0061"	"3.8841"	"3.9046"	"5.2146"	"5.5376"	"8.5439"	"6.7776"	"4.9493"	"2.5738"
"1908"	"0.8341"	"1.6336"	"1.8126"	"1.1981"	"5.2411"	"2.1286"	"4.9925"	"4.5953"	"6.5816"	"9.7826"	"2.0576"	"1.1335"
"1909"	"1.2921"	"0.864"	"0"	"4.7616"	"8.7742"	"3.4961"	"5.0316"	"7.7747"	"7.498"	"6.4233"	"2.5018"	"0.6518"
"1910"	"0"	"1.2046"	"0.2293"	"2.2787"	"4.7222"	"3.6199"	"7.2702"	"7.2172"	"6.4686"	"10.4368"	"4.935"	"0.3588"
"1911"	"0.03"	"0.0256"	"1.3105"	"1.9897"	"5.79"	"4.3723"	"6.4535"	"3.5085"	"6.8232"	"7.9265"	"5.0371"	"2.3208"
"1912"	"0.3968"	"0.9205"	"1.0607"	"0.9404"	"4.9435"	"3.3441"	"4.658"	"5.5478"	"7.3148"	"9.328"	"5.4776"	"0.394"
"1913"	"0"	"0"	"0.8575"	"1.748"	"4.6052"	"1.9608"	"5.5157"	"4.3074"	"7.3344"	"8.132"	"3.6367"	"3.16"
"1914"	"0.9611"	"0.7204"	"0.8464"	"5.9607"	"4.8868"	"2.7812"	"3.9173"	"4.9443"	"9.2543"	"8.5158"	"3.5267"	"3.5322"
"1915"	"1.046"	"0.4882"	"1.9065"	"1.9532"	"6.0698"	"3.5132"	"4.828"	"4.8205"	"7.9203"	"4.3755"	"5.7392"	"1.456"
"1916"	"0"	"0.0184"	"0"	"1.5163"	"6.2913"	"2.4527"	"7.5294"	"6.6596"	"6.0696"	"9.3402"	"5.4175"	"1.546"
"1917"	"0.4242"	"1.6145"	"1.525"	"1.1763"	"4.8455"	"3.5679"	"4.5141"	"6.7742"	"9.3425"	"6.6749"	"5.3279"	"1.5446"
"1918"	"1.2961"	"1.3221"	"1.4609"	"1.7798"	"8.3965"	"3.6599"	"3.9188"	"2.6043"	"5.1942"	"3.7381"	"8.0332"	"2.8426"
"1919"	"1.1452"	"0"	"1.2262"	"2.4547"	"6.6877"	"3.6281"	"5.8155"	"3.8123"	"8.1762"	"5.927"	"5.8055"	"2.6795"
"1920"	"1.4583"	"0.6077"	"0.8668"	"2.3417"	"3.0932"	"2.6787"	"4.0476"	"5.2585"	"7.7384"	"7.4625"	"6.1479"	"0.3588"
"1921"	"1.5701"	"0"	"0"	"4.3466"	"1.9074"	"3.7991"	"6.3919"	"5.583"	"4.6827"	"9.47"	"4.443"	"1.0184"
"1922"	"1.343"	"1.1035"	"0"	"1.8294"	"5.4118"	"2.5709"	"5.5137"	"4.9557"	"4.1028"	"8.4619"	"7.5935"	"2.6035"
