
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"23.946"	"24.714"	"25.229"	"26.43"	"26.08"	"25.002"	"24.54"	"24.592"	"24.686"	"24.331"	"23.249"	"22.459"
"1902"	"22.936"	"23.29"	"25.462"	"26.788"	"26.586"	"25.458"	"24.225"	"25.028"	"24.322"	"23.87"	"23.396"	"23.173"
"1903"	"23.656"	"24.416"	"25.74"	"26.847"	"26.222"	"25.396"	"24.198"	"24.33"	"24.157"	"24.112"	"22.965"	"22.055"
"1904"	"22.286"	"22.933"	"24.615"	"26.361"	"25.784"	"24.142"	"23.67"	"24.156"	"24.592"	"24.352"	"23.269"	"22.354"
"1905"	"22.731"	"24.048"	"25.686"	"25.991"	"26.126"	"25.142"	"24.988"	"24.648"	"24.848"	"24.23"	"23.643"	"22.602"
"1906"	"23.548"	"24.419"	"25.339"	"27.405"	"26.754"	"24.939"	"24.243"	"24.133"	"24.299"	"24.113"	"23.196"	"22.795"
"1907"	"22.717"	"23.83"	"25.351"	"25.795"	"26.194"	"24.915"	"24.211"	"23.632"	"24.601"	"24.225"	"23.39"	"22.795"
"1908"	"22.999"	"23.496"	"24.858"	"26.895"	"25.991"	"24.796"	"23.445"	"24.118"	"24.189"	"24.225"	"22.986"	"22.269"
"1909"	"22.642"	"23.677"	"25.472"	"26.299"	"25.789"	"24.725"	"23.572"	"23.931"	"23.962"	"24.141"	"23.482"	"23.057"
"1910"	"22.999"	"23.508"	"25"	"26.235"	"26.442"	"24.685"	"24.113"	"23.817"	"23.886"	"23.818"	"23.004"	"22.352"
"1911"	"22.798"	"22.972"	"25.087"	"26.369"	"25.879"	"24.271"	"23.683"	"24.203"	"24.789"	"23.932"	"23.478"	"22.814"
"1912"	"22.246"	"24.425"	"25.855"	"26.905"	"26.684"	"24.743"	"24.152"	"24.248"	"24.43"	"23.9"	"23.398"	"22.301"
"1913"	"22.354"	"23.999"	"25.499"	"27.005"	"26.729"	"25.227"	"23.883"	"24.302"	"24.659"	"24.035"	"23.182"	"23.083"
"1914"	"22.591"	"24.056"	"25.564"	"26.726"	"26.49"	"25.373"	"24.167"	"24.149"	"24.722"	"24.105"	"23.531"	"23.101"
"1915"	"23.201"	"24.072"	"24.986"	"26.418"	"26.341"	"25.312"	"24.297"	"24.861"	"24.637"	"24.549"	"23.633"	"22.705"
"1916"	"22.408"	"23.848"	"25.585"	"26.933"	"26.366"	"24.129"	"24.285"	"24.206"	"23.943"	"23.856"	"23.28"	"22.057"
"1917"	"22.329"	"23.29"	"24.552"	"26.29"	"25.764"	"24.209"	"24.669"	"24.438"	"24.042"	"23.527"	"23.249"	"22.273"
"1918"	"22.317"	"22.375"	"24.158"	"26.303"	"25.112"	"24.398"	"24.398"	"24.349"	"24.215"	"24.6"	"23.876"	"22.817"
"1919"	"23.661"	"24.49"	"25.087"	"26.989"	"26.281"	"24.643"	"24.012"	"24.028"	"24.368"	"24.211"	"23.135"	"22.914"
"1920"	"22.867"	"24.131"	"25.89"	"26.404"	"26.579"	"24.89"	"24.404"	"24.349"	"24.45"	"24.331"	"23.227"	"22.252"
"1921"	"23.201"	"23.715"	"25.761"	"26.201"	"26.756"	"25.252"	"24.14"	"24.258"	"24.16"	"24.134"	"23.161"	"22.32"
"1922"	"22.845"	"23.474"	"25.23"	"26.418"	"25.84"	"24.782"	"23.913"	"24.16"	"24.17"	"23.916"	"23.222"	"22.001"
"1923"	"22.276"	"23.317"	"24.743"	"26.576"	"26.204"	"24.998"	"23.757"	"23.974"	"24.244"	"24.1"	"23.693"	"22.841"
"1924"	"22.722"	"24.131"	"25.457"	"26.933"	"27.113"	"24.871"	"24.022"	"24.434"	"24.425"	"24.23"	"23.376"	"22.348"
"1925"	"22.625"	"23.671"	"24.999"	"26.853"	"25.809"	"24.885"	"24.11"	"24.146"	"24.653"	"24.255"	"23.145"	"22.266"
"1926"	"23.031"	"23.881"	"25.758"	"26.576"	"26.61"	"25.299"	"24.807"	"24.903"	"24.51"	"24.23"	"23.281"	"22.972"
"1927"	"23.253"	"24.224"	"25.828"	"26.648"	"25.786"	"24.571"	"23.838"	"24.519"	"24.357"	"24.031"	"23.33"	"23.073"
"1928"	"23.403"	"24.222"	"24.986"	"26.635"	"26.811"	"25.173"	"24.355"	"24.233"	"24.814"	"24.098"	"23.302"	"22.743"
"1929"	"23.136"	"23.949"	"25.158"	"25.591"	"26.099"	"24.524"	"24.315"	"24.548"	"24.58"	"24.113"	"23.441"	"22.961"
"1930"	"23.044"	"24.017"	"25.411"	"26.402"	"25.492"	"24.87"	"24.686"	"24.387"	"24.59"	"23.902"	"23.561"	"23.119"
"1931"	"23.325"	"24.134"	"25.651"	"26.732"	"26.953"	"25.345"	"24.529"	"24.474"	"24.371"	"24.274"	"23.549"	"22.811"
"1932"	"22.505"	"23.545"	"24.946"	"26.362"	"25.641"	"24.892"	"24.085"	"24.552"	"24.429"	"23.859"	"23.429"	"22.672"
"1933"	"23.07"	"23.984"	"25.127"	"26.219"	"25.428"	"24.48"	"24.224"	"24.102"	"24.054"	"23.604"	"23.486"	"22.753"
"1934"	"23.016"	"22.93"	"24.69"	"26.218"	"26.394"	"24.936"	"24.368"	"24.484"	"24.801"	"24.327"	"23.135"	"22.451"
"1935"	"23.098"	"23.846"	"25.202"	"26.451"	"26.839"	"25.228"	"24.003"	"24.046"	"24.244"	"24.13"	"23.104"	"22.959"
"1936"	"23.517"	"24.192"	"25.225"	"26.633"	"26.353"	"24.364"	"24.285"	"24.418"	"24.658"	"24.216"	"23.564"	"23.472"
"1937"	"23.255"	"24.451"	"25.371"	"25.991"	"26.497"	"24.757"	"23.728"	"24.632"	"24.741"	"24"	"23.467"	"22.683"
"1938"	"23.402"	"24.159"	"25.673"	"26.216"	"26.425"	"24.557"	"23.798"	"24.099"	"24.17"	"23.601"	"23.104"	"22.792"
"1939"	"22.602"	"23.441"	"24.845"	"25.809"	"25.792"	"24.5"	"23.756"	"24.018"	"24.226"	"24.176"	"22.965"	"22.727"
"1940"	"22.4"	"23.501"	"25.216"	"26.159"	"26.284"	"25.044"	"24.17"	"24.132"	"25.143"	"24.712"	"23.467"	"22.978"
"1941"	"23.493"	"24.103"	"25.759"	"26.903"	"26.866"	"24.915"	"24.653"	"24.717"	"24.476"	"24.438"	"23.82"	"22.987"
"1942"	"23.187"	"24.128"	"25.642"	"26.427"	"26.621"	"25.073"	"24.129"	"24.333"	"24.472"	"24.345"	"23.494"	"23"
"1943"	"23.045"	"23.574"	"25.313"	"25.65"	"25.369"	"24.188"	"23.784"	"24.34"	"23.942"	"23.272"	"23.222"	"22.743"
"1944"	"23.203"	"24.017"	"24.922"	"25.906"	"26.321"	"24.973"	"24.426"	"24.854"	"24.846"	"24.761"	"23.606"	"22.602"
"1945"	"23.015"	"24.259"	"25.384"	"25.819"	"26.197"	"25.233"	"24.343"	"24.403"	"24.472"	"24.274"	"23.164"	"22.602"
"1946"	"22.232"	"23.533"	"25.102"	"25.93"	"26.112"	"24.889"	"24.301"	"24.047"	"24.371"	"24.216"	"23.505"	"22.887"
"1947"	"23.502"	"23.766"	"25.102"	"25.736"	"26.829"	"25.057"	"24.361"	"24.545"	"24.054"	"23.701"	"23.445"	"23.058"
"1948"	"23.357"	"24.045"	"25.275"	"26.519"	"26.167"	"24.678"	"24.12"	"24.268"	"24.49"	"24.502"	"23.893"	"22.679"
"1949"	"22.706"	"23.627"	"25.74"	"26.552"	"25.938"	"24.924"	"24.17"	"24.603"	"24.235"	"24.278"	"23.237"	"22.444"
"1950"	"22.722"	"23.877"	"25.386"	"26.269"	"26.738"	"24.743"	"23.667"	"24.097"	"23.974"	"23.704"	"23.33"	"22.64"
"1951"	"23.089"	"23.41"	"25.585"	"26.012"	"26.467"	"24.428"	"23.952"	"24.704"	"24.855"	"24.687"	"23.906"	"22.799"
"1952"	"23.287"	"24.401"	"25.504"	"26.689"	"26.479"	"25.027"	"24.336"	"24.352"	"24.341"	"23.964"	"23.693"	"23.168"
"1953"	"23.612"	"23.932"	"26.468"	"26.332"	"26.975"	"25.834"	"24.217"	"24.589"	"24.444"	"24.312"	"23.504"	"22.826"
"1954"	"23.475"	"24.256"	"25.186"	"26.464"	"26.582"	"25.199"	"23.855"	"23.93"	"24.288"	"23.516"	"22.937"	"23.058"
"1955"	"23.594"	"24.185"	"25.102"	"26.019"	"25.296"	"24.27"	"23.878"	"23.947"	"24.542"	"24.059"	"22.979"	"22.243"
"1956"	"22.801"	"23.841"	"25.538"	"26.276"	"25.153"	"24.242"	"23.356"	"24.221"	"24.018"	"23.406"	"23.356"	"22.714"
"1957"	"22.878"	"24.001"	"24.814"	"26.059"	"26.17"	"24.985"	"24.041"	"24.172"	"24.517"	"24.101"	"23.165"	"23.231"
"1958"	"23.518"	"24.369"	"25.614"	"26.304"	"25.612"	"25.109"	"24.214"	"24.046"	"24.193"	"23.751"	"23.792"	"23.443"
"1959"	"23.802"	"24.629"	"25.829"	"26.697"	"26.697"	"24.842"	"24.015"	"24.589"	"24.554"	"24.233"	"23.635"	"23.105"
"1960"	"23.802"	"24.187"	"25.499"	"26.244"	"25.682"	"25.142"	"24.429"	"24.564"	"24.173"	"24.025"	"22.965"	"23.173"
"1961"	"23.37"	"24.337"	"26.131"	"26.859"	"25.957"	"24.524"	"24.009"	"24.422"	"24.453"	"24.259"	"23.45"	"23.112"
"1962"	"23.241"	"24.098"	"25.281"	"26.159"	"25.715"	"25.428"	"24.34"	"24.233"	"24.447"	"23.801"	"23.434"	"23.173"
"1963"	"23.196"	"23.62"	"25.199"	"26.107"	"26.628"	"25.331"	"24.627"	"24.722"	"25.099"	"24.352"	"23.75"	"23.173"
"1964"	"23.104"	"24.562"	"26.001"	"27.261"	"26.953"	"25.356"	"24.285"	"24.236"	"24.143"	"24.173"	"23.046"	"22.68"
"1965"	"22.831"	"23.644"	"25.129"	"26.008"	"26.237"	"25.049"	"24.469"	"24.352"	"24.803"	"24.826"	"23.896"	"22.915"
"1966"	"23.831"	"24.832"	"25.847"	"26.575"	"26.211"	"24.795"	"24.217"	"24.846"	"24.283"	"23.916"	"23.633"	"23.16"
"1967"	"22.798"	"23.471"	"24.9"	"26.773"	"25.979"	"24.807"	"23.837"	"23.9"	"24.26"	"23.759"	"23.153"	"22.986"
"1968"	"22.578"	"23.623"	"25.172"	"26.04"	"26.14"	"24.78"	"23.414"	"24.224"	"24.367"	"24.283"	"23.378"	"22.901"
"1969"	"22.984"	"23.93"	"26.014"	"26.645"	"26.271"	"25.101"	"24.041"	"24.245"	"24.278"	"24.031"	"23.605"	"22.958"
"1970"	"23.237"	"23.976"	"25.597"	"26.405"	"26.04"	"24.978"	"24.191"	"24.147"	"24.371"	"24.112"	"23.409"	"22.246"
"1971"	"22.906"	"23.823"	"24.886"	"26.426"	"25.389"	"24.252"	"23.539"	"23.599"	"24.123"	"23.933"	"23.224"	"22.001"
"1972"	"22.26"	"23.67"	"24.621"	"26.864"	"24.989"	"25.345"	"24.141"	"24.83"	"24.808"	"24.044"	"23.716"	"23.591"
"1973"	"23.534"	"24.591"	"25.819"	"27.642"	"27.209"	"24.858"	"24.685"	"23.915"	"24.669"	"24.13"	"23.435"	"22.826"
"1974"	"22.433"	"23.211"	"25.558"	"26.853"	"26.019"	"25.492"	"24.088"	"23.964"	"24.015"	"24.432"	"24.415"	"23.03"
"1975"	"22.899"	"25.006"	"25.759"	"27.212"	"25.478"	"24.525"	"24.21"	"24.063"	"23.969"	"23.773"	"23.601"	"22.426"
"1976"	"22.477"	"23.047"	"25.131"	"25.78"	"26.063"	"24.756"	"24.229"	"23.725"	"24.464"	"24.674"	"23.873"	"22.99"
"1977"	"23.203"	"24.153"	"25.585"	"26.635"	"25.344"	"24.752"	"23.705"	"24.326"	"24.646"	"23.441"	"23.417"	"23.02"
"1978"	"23.327"	"23.946"	"25.485"	"26.816"	"25.628"	"24.375"	"23.697"	"24.031"	"24.252"	"24.244"	"23.615"	"23.173"
"1979"	"23.948"	"25.005"	"25.93"	"26.85"	"26.648"	"24.746"	"23.803"	"23.943"	"23.876"	"24.227"	"22.502"	"23.52"
"1980"	"22.794"	"24.132"	"25.701"	"26.163"	"26.646"	"24.408"	"24.108"	"24.415"	"25.456"	"24.387"	"24.05"	"24.081"
"1981"	"23.914"	"24.461"	"25.732"	"26.681"	"26.318"	"24.323"	"24.026"	"24.162"	"23.636"	"23.86"	"23.006"	"22.773"
"1982"	"23.352"	"24.365"	"25.727"	"27.62"	"26.486"	"25.57"	"25.062"	"25.198"	"25.358"	"24.547"	"24.522"	"23.173"
"1983"	"23.67"	"25.801"	"26.78"	"27.864"	"27.568"	"26.239"	"25.295"	"24.643"	"24.16"	"25.086"	"24.184"	"23.34"
"1984"	"23.688"	"23.739"	"24.962"	"25.92"	"27.474"	"25.038"	"23.93"	"24.637"	"24.535"	"24.342"	"24.134"	"23.211"
"1985"	"23.889"	"24.91"	"26.467"	"27.711"	"27.319"	"24.607"	"24.652"	"24.531"	"24.887"	"24.493"	"23.789"	"23.866"
"1986"	"23.665"	"24.302"	"25.787"	"27.706"	"27.344"	"25.587"	"25.42"	"24.118"	"25.08"	"24.984"	"24.087"	"24.03"
"1987"	"24.146"	"24.274"	"26.014"	"27.761"	"27.562"	"25.661"	"26.006"	"25.119"	"26.072"	"25.213"	"25.228"	"24.355"
"1988"	"24.04"	"25.415"	"27.006"	"26.42"	"27.383"	"25.673"	"24.64"	"24.495"	"24.622"	"25.528"	"23.997"	"23.684"
"1989"	"23.499"	"23.359"	"25.266"	"27.145"	"27.101"	"25.048"	"24.22"	"25.151"	"24.495"	"24.927"	"24.231"	"23.6"
"1990"	"23.122"	"25.226"	"26.442"	"27.639"	"26.423"	"25.848"	"24.869"	"24.766"	"25.02"	"24.727"	"24.605"	"23.704"
"1991"	"23.988"	"24.761"	"26.442"	"27.511"	"27.854"	"24.632"	"24.861"	"24.299"	"25.275"	"24.345"	"24.008"	"23.402"
"1992"	"22.906"	"24.637"	"25.292"	"27.012"	"26.594"	"25.256"	"24.419"	"24.599"	"24.884"	"24.513"	"24.176"	"22.891"
"1993"	"22.792"	"24.102"	"25.923"	"27.005"	"26.94"	"25.553"	"24.535"	"24.908"	"25.227"	"24.183"	"23.771"	"23.154"
"1994"	"23.716"	"24.436"	"25.692"	"25.955"	"26.437"	"25.36"	"24.476"	"25.14"	"25.738"	"24.324"	"23.964"	"23.309"
"1995"	"23.922"	"25.294"	"25.883"	"27.104"	"25.743"	"25.813"	"24.887"	"24.625"	"25.288"	"25.074"	"24.679"	"23.511"
"1996"	"24.003"	"24.685"	"25.918"	"26.422"	"27.395"	"24.906"	"24.784"	"24.538"	"24.36"	"24.811"	"24.776"	"23.017"
"1997"	"23.802"	"24.511"	"25.982"	"26.323"	"26.853"	"26.428"	"25.214"	"25.022"	"25.283"	"24.909"	"24.562"	"24.279"
"1998"	"24.67"	"25.745"	"26.979"	"27.836"	"27.186"	"26.263"	"24.899"	"25.017"	"24.817"	"24.76"	"24.524"	"23.619"
"1999"	"23.537"	"24.498"	"26.403"	"26.646"	"25.296"	"24.943"	"24.619"	"24.963"	"25.472"	"24.573"	"24.361"	"23.523"
"2000"	"24.001"	"25.033"	"25.906"	"26.948"	"26.905"	"25.134"	"24.887"	"24.459"	"25.057"	"24.484"	"24.396"	"23.443"
