
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1902"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1903"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1904"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1905"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1906"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1907"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1908"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1909"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1910"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1911"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1912"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1913"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1914"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1915"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1916"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1917"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1918"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1919"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1920"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1921"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1922"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1923"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1924"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1925"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1926"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1927"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1928"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1929"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1930"	"34.008"	"30.73"	"32.648"	"46.237"	"56.348"	"74.599"	"78.716"	"72.09"	"65.543"	"64.347"	"56.993"	"44.265"
"1931"	"32.749"	"29.002"	"31.054"	"46.234"	"53.598"	"71.608"	"74.829"	"72.09"	"62.804"	"59.227"	"53.066"	"45.409"
"1932"	"30.353"	"33.887"	"34.046"	"51.694"	"62.192"	"79.722"	"83.513"	"73.24"	"68.018"	"73.83"	"67.116"	"44.265"
"1933"	"34.008"	"31.989"	"32.648"	"46.237"	"52.929"	"73.835"	"76.854"	"70.878"	"65.543"	"64.347"	"56.22"	"43.064"
"1934"	"35.834"	"29.898"	"32.648"	"48.14"	"56.348"	"74.639"	"75.478"	"69.572"	"63.042"	"63.706"	"53.938"	"41.455"
"1935"	"35.688"	"32.816"	"33.995"	"47.724"	"57.067"	"74.894"	"77.79"	"70.819"	"65.543"	"63.674"	"54.563"	"44.265"
"1936"	"34.008"	"31.399"	"31.768"	"47.78"	"59.049"	"73.764"	"76.738"	"70.76"	"64.373"	"64.347"	"57.69"	"44.265"
"1937"	"34.008"	"31.735"	"33.731"	"46.237"	"50.96"	"76.095"	"81.01"	"68.188"	"61.78"	"64.347"	"56.236"	"43.08"
"1938"	"32.244"	"32.086"	"32.648"	"44.938"	"55.034"	"74.599"	"79.988"	"70.283"	"65.543"	"61.847"	"52.824"	"44.265"
"1939"	"34.008"	"30.972"	"32.648"	"47.525"	"56.348"	"73.495"	"77.859"	"70.878"	"64.244"	"62.818"	"58.394"	"41.851"
"1940"	"31.55"	"31.545"	"32.683"	"46.237"	"56.348"	"75.045"	"83.529"	"73.688"	"65.543"	"63.23"	"61.582"	"45.639"
"1941"	"35.177"	"33.86"	"36.121"	"50.643"	"60.064"	"77.261"	"78.716"	"72.09"	"67.839"	"66.547"	"58.394"	"43.271"
"1942"	"32.749"	"30.73"	"32.633"	"46.237"	"56.367"	"74.282"	"79.599"	"70.887"	"64.96"	"64.347"	"54.086"	"47.65"
"1943"	"35.177"	"29.595"	"32.645"	"47.364"	"57.438"	"78.099"	"79.988"	"69.559"	"66.245"	"63.715"	"58.375"	"43.064"
"1944"	"34.008"	"31.458"	"32.648"	"47.178"	"54.817"	"72.952"	"78.716"	"67.485"	"62.85"	"59.915"	"56.946"	"43.064"
"1945"	"32.749"	"31.714"	"32.414"	"45.697"	"56.29"	"69.256"	"78.46"	"70.143"	"63.3"	"61.389"	"58.394"	"43.379"
"1946"	"31.979"	"30.73"	"32.648"	"46.237"	"56.683"	"77.295"	"78.716"	"75.227"	"66.818"	"65.646"	"63.26"	"47.731"
"1947"	"37.417"	"33.843"	"35.763"	"49.273"	"55.103"	"71.633"	"81.189"	"71.831"	"66.254"	"64.774"	"52.357"	"44.265"
"1948"	"35.356"	"30.73"	"32.648"	"45.155"	"53.451"	"74.624"	"77.955"	"69.58"	"65.543"	"60.054"	"56.993"	"43.08"
"1949"	"31.55"	"29.595"	"31.852"	"46.004"	"56.348"	"77.295"	"81.189"	"72.09"	"65.543"	"64.836"	"54.089"	"39.614"
"1950"	"32.749"	"30.73"	"32.648"	"47.538"	"56.348"	"75.226"	"81.167"	"69.798"	"67.176"	"61.847"	"56.796"	"41.985"
"1951"	"35.177"	"31.973"	"32.648"	"46.237"	"54.468"	"72.65"	"76.8"	"72.09"	"63.042"	"61.847"	"58.394"	"40.552"
"1952"	"27.607"	"29.788"	"31.396"	"45.277"	"54.186"	"67.784"	"75.182"	"70.76"	"61.838"	"63.794"	"52.926"	"44.265"
"1953"	"35.061"	"29.586"	"32.352"	"44.938"	"53.378"	"71.508"	"77.387"	"69.559"	"62.103"	"63.069"	"54.138"	"41.079"
"1954"	"34.569"	"28.358"	"31.669"	"46.089"	"54.15"	"74.236"	"77.905"	"70.781"	"64.244"	"63.719"	"52.849"	"44.265"
"1955"	"35.835"	"32.217"	"33.581"	"48.774"	"58.638"	"85.724"	"79.99"	"72.803"	"66.537"	"65.763"	"57.948"	"42.436"
"1956"	"34.643"	"31.46"	"31.683"	"47.152"	"57.693"	"82.315"	"80.89"	"72.874"	"67.701"	"66.347"	"57.104"	"43.064"
"1957"	"34.294"	"32.192"	"32.068"	"45.443"	"59.379"	"81.097"	"83.889"	"74.559"	"65.506"	"68.147"	"58.806"	"45.973"
"1958"	"34.147"	"32.993"	"33.973"	"45.069"	"58.552"	"71.752"	"81.59"	"74.444"	"66.146"	"67.518"	"58.438"	"43.424"
