
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.76"	"4.25"	"4.65"	"4.8"	"4.56"	"4.12"	"4.04"	"4.05"	"4.08"	"3.8"	"3.4"	"3.29"
"1902"	"3.65"	"4.12"	"4.67"	"4.85"	"4.6"	"4.16"	"4.02"	"4.09"	"4.04"	"3.76"	"3.39"	"3.33"
"1903"	"3.73"	"4.23"	"4.71"	"4.86"	"4.58"	"4.16"	"4.02"	"4.04"	"4.02"	"3.79"	"3.36"	"3.23"
"1904"	"3.6"	"4.1"	"4.59"	"4.78"	"4.53"	"4.04"	"3.96"	"4.01"	"4.07"	"3.8"	"3.38"	"3.27"
"1905"	"3.64"	"4.2"	"4.7"	"4.76"	"4.56"	"4.12"	"4.08"	"4.05"	"4.11"	"3.79"	"3.43"	"3.29"
"1906"	"3.72"	"4.24"	"4.65"	"4.91"	"4.63"	"4.11"	"4.02"	"4"	"4.04"	"3.79"	"3.39"	"3.3"
"1907"	"3.63"	"4.18"	"4.66"	"4.73"	"4.58"	"4.11"	"4.02"	"3.96"	"4.07"	"3.79"	"3.39"	"3.3"
"1908"	"3.67"	"4.14"	"4.61"	"4.85"	"4.56"	"4.11"	"3.94"	"4"	"4.03"	"3.79"	"3.36"	"3.26"
"1909"	"3.64"	"4.16"	"4.69"	"4.79"	"4.53"	"4.1"	"3.94"	"3.99"	"4.01"	"3.79"	"3.41"	"3.3"
"1910"	"3.67"	"4.14"	"4.62"	"4.79"	"4.59"	"4.1"	"3.99"	"3.98"	"4.01"	"3.76"	"3.37"	"3.26"
"1911"	"3.66"	"4.09"	"4.63"	"4.79"	"4.53"	"4.06"	"3.97"	"4.01"	"4.09"	"3.76"	"3.41"	"3.3"
"1912"	"3.59"	"4.22"	"4.71"	"4.86"	"4.61"	"4.1"	"4.01"	"4.03"	"4.05"	"3.76"	"3.4"	"3.26"
"1913"	"3.61"	"4.2"	"4.68"	"4.87"	"4.63"	"4.14"	"3.97"	"4.02"	"4.08"	"3.78"	"3.39"	"3.32"
"1914"	"3.62"	"4.2"	"4.69"	"4.84"	"4.6"	"4.17"	"4"	"4.01"	"4.09"	"3.77"	"3.41"	"3.33"
"1915"	"3.7"	"4.2"	"4.61"	"4.81"	"4.59"	"4.17"	"4.02"	"4.08"	"4.08"	"3.83"	"3.42"	"3.29"
"1916"	"3.62"	"4.19"	"4.69"	"4.87"	"4.59"	"4.03"	"4.01"	"4.01"	"4"	"3.77"	"3.39"	"3.24"
"1917"	"3.61"	"4.12"	"4.56"	"4.78"	"4.52"	"4.05"	"4.05"	"4.04"	"4.02"	"3.72"	"3.4"	"3.26"
"1918"	"3.6"	"4.03"	"4.54"	"4.78"	"4.46"	"4.07"	"4.03"	"4.04"	"4.04"	"3.82"	"3.45"	"3.3"
"1919"	"3.73"	"4.23"	"4.63"	"4.87"	"4.59"	"4.09"	"3.99"	"4"	"4.04"	"3.79"	"3.39"	"3.31"
"1920"	"3.65"	"4.2"	"4.72"	"4.79"	"4.6"	"4.12"	"4.02"	"4.04"	"4.07"	"3.8"	"3.4"	"3.26"
"1921"	"3.7"	"4.17"	"4.71"	"4.8"	"4.63"	"4.15"	"4.01"	"4.03"	"4.02"	"3.79"	"3.38"	"3.27"
"1922"	"3.65"	"4.14"	"4.66"	"4.81"	"4.54"	"4.11"	"3.97"	"4.02"	"4.02"	"3.76"	"3.39"	"3.25"
"1923"	"3.6"	"4.13"	"4.6"	"4.82"	"4.58"	"4.12"	"3.96"	"3.99"	"4.03"	"3.79"	"3.44"	"3.31"
"1924"	"3.64"	"4.2"	"4.67"	"4.87"	"4.66"	"4.12"	"4"	"4.04"	"4.07"	"3.79"	"3.39"	"3.26"
"1925"	"3.64"	"4.17"	"4.62"	"4.85"	"4.53"	"4.11"	"3.99"	"4.01"	"4.09"	"3.8"	"3.38"	"3.26"
"1926"	"3.67"	"4.18"	"4.71"	"4.82"	"4.6"	"4.17"	"4.06"	"4.08"	"4.07"	"3.79"	"3.39"	"3.31"
"1927"	"3.7"	"4.21"	"4.72"	"4.8"	"4.53"	"4.07"	"3.96"	"4.04"	"4.04"	"3.78"	"3.39"	"3.32"
"1928"	"3.72"	"4.2"	"4.61"	"4.81"	"4.63"	"4.14"	"4.02"	"4.03"	"4.1"	"3.79"	"3.39"	"3.3"
"1929"	"3.68"	"4.19"	"4.66"	"4.71"	"4.56"	"4.07"	"4.02"	"4.04"	"4.08"	"3.79"	"3.41"	"3.32"
"1930"	"3.68"	"4.2"	"4.66"	"4.81"	"4.51"	"4.11"	"4.05"	"4.04"	"4.08"	"3.76"	"3.43"	"3.31"
