
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"28.805"	"29.792"	"30.225"	"31.049"	"30.252"	"28.649"	"28.093"	"28.143"	"28.435"	"28.136"	"27.09"	"26.664"
"1902"	"27.795"	"28.367"	"30.457"	"31.407"	"30.758"	"29.104"	"27.777"	"28.579"	"28.072"	"27.676"	"27.238"	"27.378"
"1903"	"28.515"	"29.492"	"30.735"	"31.466"	"30.394"	"29.042"	"27.75"	"27.86"	"27.905"	"27.919"	"26.808"	"26.262"
"1904"	"27.144"	"28.008"	"29.611"	"30.958"	"29.955"	"27.751"	"27.221"	"27.707"	"28.342"	"28.157"	"27.11"	"26.561"
"1905"	"27.589"	"29.124"	"30.681"	"30.59"	"30.297"	"28.751"	"28.539"	"28.199"	"28.596"	"28.037"	"27.484"	"26.807"
"1906"	"28.407"	"29.496"	"30.333"	"32.025"	"30.926"	"28.585"	"27.796"	"27.686"	"28.048"	"27.92"	"27.021"	"27.003"
"1907"	"27.575"	"28.907"	"30.347"	"30.394"	"30.366"	"28.561"	"27.763"	"27.182"	"28.351"	"28.031"	"27.231"	"27.003"
"1908"	"27.858"	"28.574"	"29.853"	"31.514"	"30.163"	"28.443"	"26.974"	"27.67"	"27.938"	"28.031"	"26.828"	"26.474"
"1909"	"27.501"	"28.753"	"30.467"	"30.916"	"29.96"	"28.369"	"27.1"	"27.461"	"27.711"	"27.948"	"27.324"	"27.264"
"1910"	"27.858"	"28.586"	"29.994"	"30.853"	"30.615"	"28.294"	"27.642"	"27.348"	"27.636"	"27.624"	"26.847"	"26.558"
"1911"	"27.659"	"28.049"	"30.081"	"30.988"	"30.051"	"27.918"	"27.235"	"27.754"	"28.538"	"27.738"	"27.32"	"27.02"
"1912"	"27.104"	"29.504"	"30.848"	"31.504"	"30.857"	"28.385"	"27.704"	"27.778"	"28.179"	"27.706"	"27.239"	"26.505"
"1913"	"27.212"	"29.075"	"30.496"	"31.621"	"30.902"	"28.872"	"27.435"	"27.854"	"28.408"	"27.842"	"27.008"	"27.288"
"1914"	"27.45"	"29.132"	"30.56"	"31.345"	"30.661"	"29.019"	"27.697"	"27.702"	"28.471"	"27.91"	"27.372"	"27.305"
"1915"	"28.06"	"29.148"	"29.981"	"31.037"	"30.513"	"28.959"	"27.848"	"28.411"	"28.385"	"28.354"	"27.476"	"26.911"
"1916"	"27.267"	"28.924"	"30.582"	"31.529"	"30.538"	"27.733"	"27.836"	"27.758"	"27.692"	"27.663"	"27.105"	"26.263"
"1917"	"27.188"	"28.367"	"29.547"	"30.909"	"29.936"	"27.852"	"28.199"	"27.989"	"27.79"	"27.333"	"27.09"	"26.478"
"1918"	"27.175"	"27.452"	"29.154"	"30.922"	"29.285"	"28.042"	"27.95"	"27.879"	"27.964"	"28.405"	"27.718"	"27.023"
"1919"	"28.52"	"29.569"	"30.081"	"31.607"	"30.453"	"28.25"	"27.563"	"27.58"	"28.118"	"28.017"	"26.961"	"27.119"
"1920"	"27.727"	"29.207"	"30.884"	"31.002"	"30.751"	"28.534"	"27.957"	"27.902"	"28.199"	"28.136"	"27.068"	"26.457"
"1921"	"28.06"	"28.793"	"30.756"	"30.82"	"30.928"	"28.897"	"27.691"	"27.787"	"27.909"	"27.941"	"27.003"	"26.524"
"1922"	"27.705"	"28.552"	"30.225"	"31.037"	"30.012"	"28.429"	"27.442"	"27.712"	"27.918"	"27.722"	"27.047"	"26.205"
"1923"	"27.134"	"28.394"	"29.738"	"31.196"	"30.376"	"28.645"	"27.308"	"27.524"	"27.992"	"27.907"	"27.535"	"27.044"
"1924"	"27.58"	"29.207"	"30.452"	"31.529"	"31.287"	"28.518"	"27.573"	"27.986"	"28.174"	"28.037"	"27.217"	"26.553"
"1925"	"27.484"	"28.748"	"29.992"	"31.473"	"29.98"	"28.531"	"27.639"	"27.698"	"28.4"	"28.061"	"26.987"	"26.471"
"1926"	"27.89"	"28.958"	"30.753"	"31.196"	"30.783"	"28.944"	"28.357"	"28.434"	"28.26"	"28.037"	"27.124"	"27.178"
"1927"	"28.112"	"29.301"	"30.822"	"31.244"	"29.958"	"28.216"	"27.388"	"28.072"	"28.107"	"27.838"	"27.155"	"27.277"
"1928"	"28.261"	"29.299"	"29.981"	"31.255"	"30.982"	"28.78"	"27.907"	"27.762"	"28.562"	"27.905"	"27.129"	"26.95"
"1929"	"27.995"	"29.026"	"30.152"	"30.21"	"30.271"	"28.17"	"27.866"	"28.1"	"28.329"	"27.92"	"27.283"	"27.167"
"1930"	"27.903"	"29.093"	"30.406"	"31.021"	"29.664"	"28.517"	"28.237"	"27.916"	"28.339"	"27.708"	"27.403"	"27.324"
"1931"	"28.184"	"29.209"	"30.647"	"31.352"	"31.125"	"28.991"	"28.06"	"28.026"	"28.121"	"28.08"	"27.39"	"27.016"
