
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"19.12"	"19.662"	"20.28"	"21.872"	"21.937"	"21.405"	"21.051"	"21.115"	"20.952"	"20.57"	"19.434"	"18.261"
"1902"	"18.088"	"18.238"	"20.542"	"22.224"	"22.443"	"21.866"	"20.714"	"21.529"	"20.576"	"20.109"	"19.603"	"19.012"
"1903"	"18.808"	"19.363"	"20.805"	"22.284"	"22.079"	"21.816"	"20.687"	"20.831"	"20.422"	"20.352"	"19.174"	"17.895"
"1904"	"17.45"	"17.88"	"19.68"	"21.798"	"21.639"	"20.523"	"20.158"	"20.657"	"20.86"	"20.591"	"19.476"	"18.17"
"1905"	"17.902"	"18.995"	"20.713"	"21.412"	"21.982"	"21.529"	"21.477"	"21.171"	"21.1"	"20.47"	"19.83"	"18.433"
"1906"	"18.7"	"19.365"	"20.418"	"22.826"	"22.609"	"21.342"	"20.753"	"20.655"	"20.566"	"20.353"	"19.387"	"18.636"
"1907"	"17.891"	"18.777"	"20.417"	"21.232"	"22.05"	"21.333"	"20.7"	"20.154"	"20.869"	"20.464"	"19.596"	"18.636"
"1908"	"18.17"	"18.444"	"19.937"	"22.352"	"21.821"	"21.162"	"19.934"	"20.639"	"20.442"	"20.464"	"19.194"	"18.108"
"1909"	"17.807"	"18.623"	"20.553"	"21.736"	"21.644"	"21.106"	"20.06"	"20.432"	"20.227"	"20.381"	"19.668"	"18.898"
"1910"	"18.17"	"18.456"	"20.063"	"21.634"	"22.274"	"21.069"	"20.6"	"20.318"	"20.151"	"20.057"	"19.191"	"18.192"
"1911"	"17.96"	"17.919"	"20.149"	"21.828"	"21.735"	"20.657"	"20.172"	"20.726"	"21.056"	"20.171"	"19.685"	"18.637"
"1912"	"17.41"	"19.373"	"20.919"	"22.343"	"22.541"	"21.124"	"20.639"	"20.749"	"20.695"	"20.139"	"19.583"	"18.139"
"1913"	"17.524"	"18.945"	"20.58"	"22.445"	"22.585"	"21.608"	"20.393"	"20.825"	"20.925"	"20.275"	"19.352"	"18.914"
"1914"	"17.763"	"19.004"	"20.629"	"22.162"	"22.346"	"21.743"	"20.654"	"20.672"	"20.989"	"20.343"	"19.738"	"18.919"
"1915"	"18.351"	"19.02"	"20.065"	"21.84"	"22.199"	"21.7"	"20.786"	"21.362"	"20.903"	"20.789"	"19.82"	"18.536"
"1916"	"17.57"	"18.794"	"20.65"	"22.352"	"22.224"	"20.509"	"20.773"	"20.73"	"20.208"	"20.096"	"19.469"	"17.897"
"1917"	"17.503"	"18.238"	"19.632"	"21.75"	"21.62"	"20.59"	"21.158"	"20.941"	"20.308"	"19.766"	"19.434"	"18.103"
"1918"	"17.486"	"17.322"	"19.185"	"21.763"	"20.967"	"20.802"	"20.887"	"20.85"	"20.481"	"20.839"	"20.083"	"18.64"
"1919"	"18.835"	"19.438"	"20.149"	"22.427"	"22.139"	"21.027"	"20.521"	"20.529"	"20.634"	"20.45"	"19.327"	"18.753"
"1920"	"18.032"	"19.078"	"20.968"	"21.842"	"22.426"	"21.256"	"20.915"	"20.851"	"20.715"	"20.57"	"19.413"	"18.082"
"1921"	"18.351"	"18.663"	"20.827"	"21.601"	"22.611"	"21.633"	"20.628"	"20.759"	"20.426"	"20.374"	"19.369"	"18.142"
"1922"	"18.015"	"18.421"	"20.26"	"21.84"	"21.695"	"21.168"	"20.4"	"20.683"	"20.435"	"20.155"	"19.413"	"17.809"
"1923"	"17.448"	"18.264"	"19.808"	"21.997"	"22.051"	"21.417"	"20.267"	"20.474"	"20.51"	"20.34"	"19.884"	"18.654"
"1924"	"17.893"	"19.078"	"20.538"	"22.352"	"22.97"	"21.256"	"20.51"	"20.937"	"20.69"	"20.47"	"19.583"	"18.178"
"1925"	"17.796"	"18.619"	"20.076"	"22.311"	"21.664"	"21.251"	"20.597"	"20.668"	"20.906"	"20.495"	"19.353"	"18.105"
"1926"	"18.205"	"18.827"	"20.824"	"21.997"	"22.458"	"21.666"	"21.295"	"21.405"	"20.776"	"20.47"	"19.489"	"18.811"
"1927"	"18.427"	"19.172"	"20.906"	"22.082"	"21.626"	"20.993"	"20.347"	"21.022"	"20.623"	"20.271"	"19.52"	"18.881"
"1928"	"18.567"	"19.17"	"20.065"	"22.093"	"22.667"	"21.557"	"20.845"	"20.733"	"21.067"	"20.338"	"19.495"	"18.584"
"1929"	"18.311"	"18.895"	"20.184"	"21.05"	"21.956"	"20.946"	"20.805"	"21.05"	"20.847"	"20.353"	"19.648"	"18.8"
"1930"	"18.218"	"18.963"	"20.491"	"21.824"	"21.332"	"21.237"	"21.174"	"20.888"	"20.856"	"20.141"	"19.748"	"18.959"
"1931"	"18.499"	"19.079"	"20.694"	"22.17"	"22.801"	"21.728"	"21.019"	"20.997"	"20.625"	"20.513"	"19.757"	"18.651"
"1932"	"17.657"	"18.493"	"20.024"	"21.783"	"21.497"	"21.31"	"20.572"	"21.054"	"20.694"	"20.099"	"19.615"	"18.512"
"1933"	"18.244"	"18.93"	"20.153"	"21.619"	"21.283"	"20.9"	"20.712"	"20.624"	"20.319"	"19.844"	"19.694"	"18.584"
"1934"	"18.187"	"17.877"	"19.719"	"21.639"	"22.236"	"21.339"	"20.878"	"20.987"	"21.067"	"20.567"	"19.322"	"18.266"
"1935"	"18.272"	"18.793"	"20.231"	"21.894"	"22.694"	"21.613"	"20.49"	"20.568"	"20.51"	"20.37"	"19.313"	"18.798"
"1936"	"18.669"	"19.139"	"20.289"	"22.07"	"22.21"	"20.784"	"20.795"	"20.941"	"20.924"	"20.455"	"19.751"	"19.313"
"1937"	"18.427"	"19.398"	"20.451"	"21.412"	"22.337"	"21.142"	"20.238"	"21.155"	"21.008"	"20.24"	"19.653"	"18.523"
"1938"	"18.575"	"19.106"	"20.715"	"21.615"	"22.266"	"20.976"	"20.308"	"20.62"	"20.435"	"19.841"	"19.312"	"18.606"
"1939"	"17.755"	"18.388"	"19.912"	"21.245"	"21.648"	"20.924"	"20.244"	"20.519"	"20.492"	"20.416"	"19.173"	"18.569"
"1940"	"17.562"	"18.449"	"20.257"	"21.558"	"22.142"	"21.463"	"20.658"	"20.654"	"21.408"	"20.953"	"19.653"	"18.795"
"1941"	"18.655"	"19.048"	"20.824"	"22.341"	"22.722"	"21.333"	"21.142"	"21.24"	"20.741"	"20.676"	"20.027"	"18.795"
"1942"	"18.361"	"19.075"	"20.656"	"21.849"	"22.477"	"21.493"	"20.618"	"20.836"	"20.737"	"20.585"	"19.701"	"18.83"
"1943"	"18.196"	"18.521"	"20.381"	"21.088"	"21.225"	"20.572"	"20.294"	"20.842"	"20.208"	"19.512"	"19.413"	"18.584"
"1944"	"18.377"	"18.963"	"20"	"21.342"	"22.179"	"21.376"	"20.916"	"21.354"	"21.111"	"21.002"	"19.814"	"18.443"
"1945"	"18.186"	"19.206"	"20.464"	"21.277"	"22.044"	"21.616"	"20.833"	"20.906"	"20.737"	"20.513"	"19.372"	"18.423"
"1946"	"17.394"	"18.481"	"20.18"	"21.35"	"21.959"	"21.255"	"20.811"	"20.569"	"20.625"	"20.455"	"19.691"	"18.71"
"1947"	"18.673"	"18.714"	"20.165"	"21.135"	"22.684"	"21.477"	"20.872"	"21.069"	"20.319"	"19.939"	"19.653"	"18.897"
"1948"	"18.528"	"18.991"	"20.355"	"21.956"	"22.014"	"21.059"	"20.608"	"20.771"	"20.755"	"20.741"	"20.101"	"18.508"
"1949"	"17.881"	"18.574"	"20.805"	"21.99"	"21.778"	"21.343"	"20.658"	"21.127"	"20.501"	"20.517"	"19.422"	"18.268"
"1950"	"17.893"	"18.823"	"20.465"	"21.69"	"22.594"	"21.124"	"20.155"	"20.596"	"20.24"	"19.942"	"19.52"	"18.48"
"1951"	"18.263"	"18.356"	"20.65"	"21.449"	"22.307"	"20.85"	"20.461"	"21.227"	"21.107"	"20.928"	"20.113"	"18.639"
"1952"	"18.462"	"19.349"	"20.569"	"22.127"	"22.319"	"21.446"	"20.826"	"20.855"	"20.595"	"20.203"	"19.901"	"19.005"
"1953"	"18.783"	"18.877"	"21.527"	"21.79"	"22.823"	"22.217"	"20.726"	"21.112"	"20.709"	"20.552"	"19.69"	"18.657"
"1954"	"18.64"	"19.203"	"20.228"	"21.902"	"22.439"	"21.583"	"20.365"	"20.432"	"20.542"	"19.755"	"19.145"	"18.897"
"1955"	"18.769"	"19.132"	"20.17"	"21.456"	"21.152"	"20.654"	"20.366"	"20.448"	"20.809"	"20.299"	"19.166"	"18.074"
"1956"	"17.975"	"18.787"	"20.589"	"21.659"	"21.009"	"20.625"	"19.866"	"20.744"	"20.284"	"19.646"	"19.543"	"18.533"
"1957"	"18.052"	"18.948"	"19.894"	"21.495"	"22.027"	"21.392"	"20.551"	"20.674"	"20.783"	"20.34"	"19.335"	"19.033"
"1958"	"18.692"	"19.315"	"20.694"	"21.742"	"21.457"	"21.492"	"20.701"	"20.548"	"20.459"	"19.989"	"19.979"	"19.269"
"1959"	"18.973"	"19.577"	"20.908"	"22.134"	"22.553"	"21.224"	"20.503"	"21.112"	"20.821"	"20.473"	"19.843"	"18.914"
"1960"	"18.973"	"19.134"	"20.563"	"21.643"	"21.538"	"21.529"	"20.94"	"21.086"	"20.438"	"20.265"	"19.173"	"19.012"
"1961"	"18.541"	"19.283"	"21.212"	"22.28"	"21.787"	"20.946"	"20.519"	"20.925"	"20.718"	"20.498"	"19.657"	"18.951"
"1962"	"18.394"	"19.043"	"20.362"	"21.558"	"21.572"	"21.835"	"20.85"	"20.733"	"20.712"	"20.04"	"19.641"	"19.012"
"1963"	"18.358"	"18.567"	"20.228"	"21.565"	"22.476"	"21.714"	"21.114"	"21.222"	"21.365"	"20.591"	"19.941"	"19.012"
"1964"	"18.276"	"19.509"	"21.081"	"22.682"	"22.801"	"21.74"	"20.795"	"20.737"	"20.408"	"20.412"	"19.255"	"18.52"
