
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"5.48"	"6.06"	"6.41"	"6.25"	"5.89"	"5.12"	"4.95"	"5.07"	"5.22"	"4.99"	"4.73"	"4.84"
"1902"	"5.42"	"5.94"	"6.38"	"6.27"	"5.9"	"5.17"	"4.94"	"5.09"	"5.24"	"4.94"	"4.69"	"4.85"
"1903"	"5.46"	"6.02"	"6.41"	"6.29"	"5.89"	"5.15"	"4.96"	"5.06"	"5.21"	"4.97"	"4.73"	"4.82"
"1904"	"5.38"	"5.93"	"6.33"	"6.25"	"5.9"	"5.09"	"4.92"	"5.04"	"5.22"	"4.99"	"4.73"	"4.83"
"1905"	"5.38"	"5.97"	"6.43"	"6.24"	"5.88"	"5.11"	"4.98"	"5.08"	"5.25"	"4.97"	"4.73"	"4.82"
"1906"	"5.42"	"6.03"	"6.37"	"6.29"	"5.93"	"5.15"	"4.94"	"5.05"	"5.21"	"4.96"	"4.71"	"4.85"
"1907"	"5.41"	"5.97"	"6.41"	"6.22"	"5.87"	"5.14"	"4.97"	"5.02"	"5.21"	"4.97"	"4.72"	"4.85"
"1908"	"5.43"	"5.97"	"6.33"	"6.27"	"5.91"	"5.16"	"4.91"	"5.03"	"5.21"	"4.96"	"4.72"	"4.82"
"1909"	"5.38"	"5.96"	"6.39"	"6.27"	"5.88"	"5.14"	"4.91"	"5.03"	"5.21"	"4.95"	"4.73"	"4.86"
"1910"	"5.43"	"5.97"	"6.37"	"6.23"	"5.91"	"5.12"	"4.94"	"5.03"	"5.2"	"4.94"	"4.71"	"4.82"
"1911"	"5.42"	"5.94"	"6.36"	"6.24"	"5.89"	"5.11"	"4.92"	"5.03"	"5.23"	"4.95"	"4.72"	"4.86"
"1912"	"5.37"	"5.97"	"6.41"	"6.27"	"5.92"	"5.14"	"4.94"	"5.05"	"5.22"	"4.95"	"4.73"	"4.84"
"1913"	"5.38"	"5.97"	"6.38"	"6.28"	"5.92"	"5.19"	"4.94"	"5.04"	"5.22"	"4.97"	"4.7"	"4.86"
"1914"	"5.39"	"5.97"	"6.39"	"6.27"	"5.89"	"5.18"	"4.95"	"5.03"	"5.22"	"4.96"	"4.72"	"4.86"
"1915"	"5.43"	"6.01"	"6.39"	"6.25"	"5.89"	"5.16"	"4.94"	"5.08"	"5.22"	"4.98"	"4.76"	"4.87"
"1916"	"5.38"	"5.96"	"6.39"	"6.28"	"5.93"	"5.09"	"4.94"	"5.07"	"5.21"	"4.94"	"4.73"	"4.83"
"1917"	"5.38"	"5.96"	"6.33"	"6.24"	"5.89"	"5.07"	"4.93"	"5.09"	"5.22"	"4.93"	"4.71"	"4.83"
"1918"	"5.41"	"5.92"	"6.29"	"6.24"	"5.84"	"5.06"	"4.94"	"5.06"	"5.21"	"4.96"	"4.75"	"4.84"
"1919"	"5.43"	"6.03"	"6.38"	"6.28"	"5.92"	"5.12"	"4.94"	"5.04"	"5.21"	"4.96"	"4.7"	"4.86"
"1920"	"5.42"	"5.97"	"6.41"	"6.25"	"5.91"	"5.15"	"4.94"	"5.07"	"5.22"	"4.97"	"4.73"	"4.81"
"1921"	"5.41"	"5.97"	"6.41"	"6.25"	"5.9"	"5.17"	"4.95"	"5.06"	"5.21"	"4.95"	"4.72"	"4.82"
"1922"	"5.41"	"5.97"	"6.39"	"6.27"	"5.88"	"5.13"	"4.94"	"5.05"	"5.21"	"4.95"	"4.73"	"4.83"
"1923"	"5.38"	"5.94"	"6.34"	"6.24"	"5.9"	"5.15"	"4.94"	"5.04"	"5.21"	"4.94"	"4.74"	"4.86"
"1924"	"5.4"	"5.98"	"6.39"	"6.26"	"5.94"	"5.14"	"4.94"	"5.07"	"5.22"	"4.96"	"4.73"	"4.84"
"1925"	"5.38"	"5.97"	"6.36"	"6.28"	"5.9"	"5.13"	"4.94"	"5.03"	"5.23"	"4.97"	"4.73"	"4.82"
"1926"	"5.4"	"5.97"	"6.4"	"6.28"	"5.9"	"5.16"	"4.97"	"5.09"	"5.22"	"4.97"	"4.72"	"4.84"
"1927"	"5.42"	"5.98"	"6.41"	"6.29"	"5.89"	"5.1"	"4.91"	"5.07"	"5.22"	"4.95"	"4.7"	"4.85"
"1928"	"5.43"	"6.02"	"6.37"	"6.23"	"5.92"	"5.15"	"4.97"	"5.05"	"5.24"	"4.98"	"4.72"	"4.83"
"1929"	"5.41"	"5.98"	"6.41"	"6.2"	"5.87"	"5.09"	"4.94"	"5.07"	"5.22"	"4.97"	"4.72"	"4.86"
"1930"	"5.41"	"5.98"	"6.4"	"6.28"	"5.86"	"5.11"	"4.96"	"5.07"	"5.23"	"4.95"	"4.73"	"4.86"
"1931"	"5.47"	"6.04"	"6.44"	"6.26"	"5.98"	"5.23"	"5.03"	"5.07"	"5.28"	"5.06"	"4.8"	"4.84"
