
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"32.256"	"45.109"	"30.164"	"158.151"	"167.876"	"204.4"	"157.51"	"116.262"	"230.047"	"170.79"	"202.42"	"42.997"
"1902"	"52.147"	"19.335"	"84.594"	"60.132"	"121.473"	"284.437"	"175.562"	"197.877"	"174.32"	"371.854"	"157.921"	"129.119"
"1903"	"9.273"	"5.055"	"0.341"	"49.778"	"317.182"	"144.945"	"206.652"	"179.7"	"284.41"	"159.545"	"232.625"	"135.36"
"1904"	"48.882"	"0.751"	"0.537"	"10.729"	"161.529"	"160.023"	"184.406"	"88.892"	"95.085"	"216.064"	"20.102"	"20.81"
"1905"	"0.835"	"9.538"	"6.01"	"138.248"	"95.67"	"235.136"	"121.067"	"140.425"	"119.973"	"223.11"	"105.175"	"0.684"
"1906"	"27.57"	"30.597"	"32.274"	"28.542"	"100.173"	"147.003"	"182.442"	"253.423"	"49.997"	"235.333"	"164.01"	"49.815"
"1907"	"9.532"	"10.512"	"34.719"	"229.367"	"105.873"	"154.851"	"275.465"	"149.393"	"146.152"	"179.043"	"222.38"	"45.499"
"1908"	"4.325"	"141.261"	"85.562"	"97.199"	"94.149"	"235.734"	"239.215"	"116.308"	"182.535"	"323.276"	"13.762"	"3.359"
"1909"	"46.561"	"67.787"	"11.266"	"106.273"	"281.967"	"110.627"	"123.612"	"236.143"	"158.941"	"167.031"	"90.515"	"18.016"
"1910"	"20.877"	"126.629"	"0.591"	"63.594"	"101.08"	"152.502"	"383.584"	"309.27"	"90.131"	"256.583"	"178.927"	"0.684"
"1911"	"1.183"	"41.544"	"4.658"	"111.151"	"119.393"	"353.901"	"171.692"	"30.419"	"140.089"	"146.178"	"149.805"	"89.814"
"1912"	"1.937"	"0.685"	"3.855"	"53.064"	"134.081"	"486.142"	"105.462"	"161.396"	"198.045"	"328.799"	"190.58"	"11.808"
"1913"	"2.194"	"0.233"	"0.838"	"72.792"	"90.072"	"98.659"	"202.072"	"75.496"	"105.031"	"324.547"	"120.207"	"50.583"
"1914"	"2.676"	"0.233"	"13.185"	"49.934"	"72.136"	"131.304"	"176.114"	"175.616"	"152.226"	"290.045"	"82.266"	"71.325"
"1915"	"12.694"	"36.345"	"29.19"	"168.022"	"122.774"	"141.156"	"273.003"	"188.5"	"187.104"	"125.529"	"335.961"	"28.398"
"1916"	"0.026"	"2.571"	"0.84"	"48.884"	"116.062"	"105.983"	"533.221"	"190.952"	"235.714"	"236.933"	"156.462"	"13.958"
"1917"	"4.227"	"20.723"	"129.155"	"14.101"	"213.521"	"199.634"	"93.153"	"312.826"	"263.098"	"128.929"	"173.902"	"25.199"
"1918"	"28.424"	"29.216"	"31.225"	"12.157"	"217.991"	"140.394"	"168.129"	"143.538"	"55.119"	"85.504"	"347.667"	"42.524"
"1919"	"17.25"	"0.992"	"38.745"	"32.781"	"140.166"	"179.401"	"170.112"	"100.073"	"237.652"	"175.287"	"228.976"	"74.542"
"1920"	"100.659"	"0.254"	"16.829"	"130.854"	"82.837"	"202.262"	"99.279"	"94.43"	"171.714"	"321.46"	"397.534"	"2.443"
"1921"	"74.607"	"0.233"	"0.341"	"169.387"	"76.734"	"289.74"	"233.995"	"203.777"	"151.887"	"266.162"	"151.253"	"38.376"
"1922"	"9.559"	"69.248"	"0.341"	"47.512"	"317.491"	"249.583"	"130.723"	"144.464"	"73.967"	"281.506"	"210.541"	"63.332"
"1923"	"74.32"	"26.529"	"92.285"	"22.835"	"41.897"	"108.602"	"108.746"	"144.857"	"125.893"	"206.228"	"31.463"	"68.785"
"1924"	"23.554"	"0.233"	"67.715"	"58.422"	"173.972"	"194.257"	"276.251"	"178.018"	"153.596"	"142.786"	"181.541"	"30.893"
"1925"	"13.531"	"8.746"	"83.663"	"41.768"	"169.453"	"324.687"	"116.906"	"226.754"	"65.304"	"166.533"	"224.367"	"74.807"
"1926"	"49.343"	"1.365"	"16.06"	"39.773"	"74.87"	"133.1"	"215.803"	"150.197"	"167.55"	"185.576"	"75.207"	"7.482"
"1927"	"10.917"	"65.797"	"33.437"	"167.964"	"159.206"	"367.863"	"212.361"	"126.248"	"135.162"	"143.633"	"111.077"	"16.614"
"1928"	"11.377"	"123.549"	"14.964"	"112.914"	"118.191"	"99.843"	"223.909"	"101.753"	"93.896"	"201.265"	"163.094"	"47.736"
"1929"	"4.352"	"34.553"	"28.845"	"264.739"	"107.851"	"308.654"	"175.722"	"76.915"	"187.469"	"272.235"	"148.882"	"45.46"
"1930"	"14.738"	"54.669"	"20.962"	"75.103"	"361.849"	"224.185"	"76.244"	"115.336"	"142.326"	"407.945"	"196.693"	"70.625"
"1931"	"20.228"	"0.233"	"0.341"	"174.242"	"92.231"	"224.984"	"198.415"	"224.646"	"180.73"	"97.412"	"160.375"	"203.723"
"1932"	"0.534"	"3.185"	"41.809"	"136.539"	"197.909"	"176.663"	"109.665"	"189.71"	"150.533"	"288.735"	"280.199"	"45.782"
"1933"	"2.567"	"82.042"	"26.585"	"143.621"	"240.474"	"255.395"	"185.035"	"264.538"	"173.372"	"313.678"	"76.533"	"51.797"
"1934"	"97.991"	"0.233"	"1.248"	"109.309"	"53.884"	"212.03"	"118.472"	"90.981"	"13.304"	"268.635"	"118.494"	"4.843"
"1935"	"56.751"	"0.46"	"29.034"	"262.52"	"31.584"	"475.927"	"123.041"	"177.487"	"113.262"	"179.18"	"211.795"	"42.499"
"1936"	"1.173"	"152.918"	"150.205"	"72.265"	"123.295"	"210.051"	"280.933"	"69.443"	"155.373"	"79.385"	"327.035"	"45.897"
"1937"	"7.807"	"37.653"	"77.021"	"191.758"	"76.596"	"101.292"	"145.943"	"282.113"	"117.458"	"279.55"	"244.772"	"6.938"
"1938"	"0.026"	"34.484"	"121.084"	"120.077"	"94.524"	"151.9"	"311.327"	"187.693"	"130.234"	"127.117"	"26.563"	"27.991"
"1939"	"50.378"	"13.19"	"16.878"	"292.785"	"188.128"	"259.116"	"99.147"	"261.652"	"84.065"	"256.275"	"334.213"	"22.066"
"1940"	"0.026"	"0.233"	"16.765"	"144.819"	"139.5"	"248.63"	"123.346"	"92.971"	"143.931"	"202.491"	"334.767"	"34.99"
"1941"	"18.939"	"0.233"	"0.341"	"296.524"	"140.143"	"233.287"	"138.608"	"176.498"	"147.807"	"135.059"	"183.187"	"110.566"
"1942"	"0.026"	"0.233"	"27.02"	"260.833"	"118.188"	"128.133"	"113.664"	"155.573"	"114.83"	"254.141"	"158.057"	"170.135"
"1943"	"57.383"	"51.252"	"11.301"	"188.933"	"272.904"	"178.633"	"184.47"	"111.914"	"67.953"	"379.651"	"156.082"	"11.188"
"1944"	"12.371"	"131.925"	"113.651"	"46.898"	"133.28"	"467.785"	"152.316"	"135.498"	"171.966"	"227.938"	"165.762"	"68.592"
"1945"	"0.833"	"9.517"	"2.444"	"122.584"	"47.811"	"103.406"	"133.139"	"126.655"	"50.075"	"188.755"	"214.834"	"3.515"
"1946"	"6.045"	"10.512"	"36.942"	"128.375"	"165.572"	"269.316"	"100.378"	"150.062"	"166.082"	"100.481"	"293.467"	"189.857"
"1947"	"37.648"	"18.524"	"117.211"	"232.005"	"105.859"	"112.529"	"384.803"	"171.477"	"216.016"	"149.73"	"12.104"	"27.911"
"1948"	"21.118"	"4.201"	"49.358"	"76.592"	"237.06"	"145.238"	"189.212"	"123.022"	"98.949"	"168.431"	"262.569"	"13.577"
