
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"21.016"	"21.306"	"22.671"	"25.665"	"26.672"	"25.944"	"25.477"	"25.326"	"25.256"	"25.206"	"24.29"	"21.538"
"1902"	"20.717"	"20.768"	"23.18"	"25.517"	"26.669"	"25.966"	"25.424"	"26.408"	"25.256"	"25.206"	"24.16"	"22.256"
"1903"	"20.757"	"21.384"	"22.556"	"25.697"	"26.616"	"25.944"	"25.507"	"25.326"	"25.256"	"25.206"	"23.502"	"21.268"
"1904"	"19.761"	"20.124"	"21.785"	"25.697"	"25.882"	"24.725"	"25.411"	"25.323"	"25.256"	"25.206"	"24.046"	"22.256"
"1905"	"20.754"	"21.293"	"22.745"	"24.983"	"26.672"	"26.034"	"26.69"	"25.326"	"25.34"	"25.206"	"24.29"	"21.296"
"1906"	"20.783"	"21.157"	"22.854"	"25.697"	"26.681"	"25.95"	"25.477"	"25.326"	"25.256"	"25.206"	"24.29"	"21.428"
"1907"	"20.754"	"21.579"	"23.18"	"25.103"	"26.669"	"25.95"	"25.421"	"24.763"	"25.256"	"25.206"	"24.29"	"21.626"
"1908"	"20.754"	"21.114"	"22.249"	"25.697"	"26.669"	"25.944"	"24.539"	"25.236"	"25.256"	"25.219"	"23.55"	"20.825"
"1909"	"19.877"	"21.579"	"23.18"	"25.504"	"26.669"	"25.909"	"24.301"	"25.211"	"24.457"	"25.219"	"23.976"	"21.738"
"1910"	"20.815"	"21.381"	"22.103"	"25.697"	"26.672"	"25.982"	"25.408"	"25.326"	"25.256"	"25.206"	"24.164"	"20.891"
"1911"	"20.754"	"20.51"	"23.18"	"25.697"	"26.669"	"25.161"	"25.477"	"25.326"	"25.256"	"25.206"	"24.29"	"22.256"
"1912"	"19.998"	"21.525"	"23.18"	"25.671"	"26.669"	"25.928"	"25.477"	"25.323"	"25.256"	"25.206"	"24.29"	"21.559"
"1913"	"19.713"	"21.61"	"23.18"	"25.671"	"26.669"	"26.034"	"25.477"	"25.323"	"25.256"	"25.206"	"24.29"	"22.256"
"1914"	"20.946"	"21.579"	"23.18"	"25.469"	"26.669"	"25.928"	"25.507"	"25.323"	"25.256"	"25.206"	"24.29"	"22.256"
"1915"	"20.754"	"21.422"	"23.18"	"25.697"	"26.669"	"25.966"	"25.477"	"25.323"	"25.256"	"25.206"	"24.29"	"22.25"
"1916"	"20.007"	"21.29"	"22.483"	"25.697"	"26.672"	"25.95"	"25.424"	"25.326"	"25.256"	"25.26"	"24.29"	"21.355"
"1917"	"20.265"	"21.193"	"22.007"	"25.502"	"26.225"	"25.532"	"25.507"	"25.381"	"25.22"	"24.503"	"24.102"	"21.702"
