
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.185"	"25.199"	"25.936"	"27.821"	"26.825"	"25.473"	"24.893"	"25.076"	"25.633"	"25.095"	"23.973"	"22.507"
"1902"	"22.912"	"23.85"	"26.498"	"27.79"	"27.41"	"26.07"	"24.873"	"25.721"	"24.88"	"24.585"	"23.959"	"23.543"
"1903"	"23.714"	"24.853"	"26.8"	"28.003"	"27.078"	"25.857"	"24.683"	"24.845"	"24.751"	"24.57"	"23.121"	"22.143"
"1904"	"22.268"	"23.447"	"25.717"	"27.569"	"26.333"	"24.448"	"23.971"	"24.782"	"25.237"	"25.023"	"23.536"	"22.557"
"1905"	"22.966"	"24.791"	"26.434"	"27.188"	"27.03"	"25.768"	"25.207"	"25.219"	"25.408"	"24.871"	"24.154"	"22.744"
"1906"	"23.93"	"25.155"	"26.066"	"28.796"	"28.028"	"25.556"	"24.556"	"24.729"	"24.531"	"24.786"	"23.965"	"23.001"
"1907"	"22.822"	"24.464"	"26.193"	"26.913"	"26.907"	"25.294"	"24.606"	"24.13"	"25.294"	"25.084"	"23.959"	"23.029"
"1908"	"23.179"	"24.092"	"25.665"	"28.142"	"26.762"	"25.595"	"23.856"	"24.658"	"25.09"	"25.084"	"23.59"	"22.599"
"1909"	"22.981"	"24.416"	"26.555"	"27.39"	"26.54"	"25.446"	"24.094"	"24.768"	"24.599"	"24.959"	"24.275"	"23.515"
"1910"	"23.223"	"24.22"	"26.322"	"27.814"	"27.454"	"25.365"	"24.696"	"24.38"	"24.289"	"24.518"	"23.189"	"22.282"
"1911"	"23.077"	"23.195"	"26.078"	"27.611"	"26.814"	"25.155"	"24.16"	"24.778"	"25.685"	"24.722"	"24.193"	"23.211"
"1912"	"22.498"	"25.228"	"26.83"	"28.152"	"27.915"	"25.385"	"24.503"	"24.815"	"25.235"	"24.566"	"23.673"	"22.408"
"1913"	"22.359"	"24.595"	"26.501"	"28.249"	"27.646"	"25.595"	"24.248"	"24.934"	"25.647"	"24.665"	"23.838"	"23.555"
"1914"	"22.558"	"24.807"	"26.679"	"27.826"	"27.579"	"26.238"	"24.647"	"24.806"	"25.575"	"24.912"	"24.15"	"23.613"
"1915"	"23.543"	"24.927"	"26.133"	"27.809"	"27.357"	"26.012"	"25.018"	"25.564"	"25.44"	"25.344"	"24.146"	"22.682"
"1916"	"22.409"	"24.548"	"26.623"	"28.253"	"27.155"	"24.705"	"24.895"	"24.721"	"24.74"	"24.611"	"23.683"	"22.322"
"1917"	"22.413"	"23.75"	"25.533"	"27.545"	"26.52"	"24.684"	"25.209"	"24.98"	"24.736"	"24.097"	"23.887"	"22.604"
"1918"	"22.47"	"22.964"	"25.126"	"27.476"	"25.816"	"25.135"	"25.196"	"25.04"	"25.124"	"25.659"	"24.773"	"23.251"
"1919"	"23.974"	"25.134"	"26.169"	"28.424"	"26.986"	"25.211"	"24.616"	"24.761"	"25.233"	"25.099"	"23.831"	"23.305"
"1920"	"22.836"	"24.815"	"26.898"	"27.619"	"27.552"	"25.521"	"24.856"	"24.892"	"25.163"	"25.061"	"23.896"	"22.549"
"1921"	"23.63"	"24.232"	"26.764"	"27.191"	"27.704"	"25.626"	"24.683"	"24.857"	"24.673"	"24.809"	"23.509"	"22.542"
"1922"	"23.202"	"24.057"	"26.516"	"27.809"	"26.753"	"25.345"	"24.328"	"24.787"	"25.035"	"24.622"	"23.744"	"22.144"
"1923"	"22.26"	"23.755"	"25.386"	"27.454"	"27.019"	"25.752"	"24.028"	"24.642"	"24.802"	"24.827"	"24.285"	"23.254"
"1924"	"23.021"	"24.815"	"26.292"	"28.307"	"27.828"	"25.362"	"24.412"	"25.037"	"25.036"	"24.867"	"23.659"	"22.499"
"1925"	"23.062"	"24.163"	"25.891"	"28.031"	"26.492"	"25.488"	"24.647"	"24.893"	"25.496"	"24.742"	"23.516"	"22.467"
"1926"	"23.328"	"24.458"	"26.721"	"27.601"	"27.726"	"26.2"	"25.579"	"25.454"	"25.198"	"24.887"	"23.883"	"23.202"
"1927"	"23.697"	"24.973"	"27.029"	"28.279"	"27.07"	"25.319"	"24.249"	"25.2"	"25.164"	"24.687"	"23.562"	"23.288"
"1928"	"23.567"	"24.586"	"25.982"	"27.986"	"27.931"	"25.883"	"24.905"	"24.743"	"25.608"	"24.695"	"23.794"	"22.781"
"1929"	"23.459"	"24.508"	"25.997"	"26.848"	"26.973"	"25.227"	"24.856"	"25.398"	"25.561"	"24.786"	"23.926"	"23.34"
"1930"	"23.38"	"24.375"	"26.25"	"27.696"	"26.402"	"25.603"	"24.943"	"25.006"	"25.386"	"24.675"	"23.908"	"23.343"
"1931"	"23.408"	"24.64"	"26.756"	"28.192"	"28.049"	"26.017"	"25.028"	"25.153"	"25.037"	"25.098"	"24.077"	"23.061"
"1932"	"22.423"	"24.114"	"25.702"	"27.873"	"26.554"	"25.456"	"24.438"	"25.263"	"24.982"	"24.744"	"23.974"	"22.889"
"1933"	"23.134"	"24.61"	"25.999"	"27.598"	"26.217"	"24.78"	"24.407"	"24.621"	"24.631"	"24.224"	"24.099"	"22.834"
"1934"	"23.165"	"23.62"	"25.694"	"27.472"	"27.362"	"25.513"	"24.806"	"24.876"	"25.658"	"25.14"	"23.277"	"22.49"
"1935"	"23.377"	"24.607"	"26.342"	"27.613"	"27.808"	"25.779"	"24.343"	"24.524"	"24.716"	"24.823"	"23.31"	"23.188"
