
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1902"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1903"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1904"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1905"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1906"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1907"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1908"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1909"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1910"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1911"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1912"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1913"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1914"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1915"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1916"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1917"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1918"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1919"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1920"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1921"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1922"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1923"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1924"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1925"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1926"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1927"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1928"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1929"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1930"	"30.388"	"27.521"	"29.128"	"41.366"	"51.807"	"72.807"	"79.287"	"72.778"	"64.52"	"61.652"	"52.669"	"40.677"
"1931"	"29.015"	"25.482"	"27.095"	"41.222"	"48.7"	"69.512"	"74.766"	"72.778"	"61.401"	"56.183"	"48.259"	"42.019"
"1932"	"26.516"	"31.009"	"30.859"	"47.319"	"58.291"	"77.919"	"84.112"	"74.064"	"66.981"	"71.881"	"63.39"	"40.677"
"1933"	"30.388"	"28.888"	"29.128"	"41.366"	"48.198"	"72.061"	"77.199"	"71.495"	"64.52"	"61.652"	"51.802"	"39.477"
"1934"	"32.569"	"26.538"	"29.128"	"43.646"	"51.707"	"72.645"	"75.573"	"70.284"	"61.951"	"60.775"	"48.834"	"37.327"
"1935"	"32.643"	"30.033"	"30.479"	"43.32"	"52.66"	"72.909"	"78.064"	"71.48"	"64.52"	"60.823"	"49.789"	"40.677"
"1936"	"30.388"	"28.336"	"28.082"	"43.595"	"54.814"	"71.714"	"76.928"	"71.484"	"63.272"	"61.652"	"53.491"	"40.677"
"1937"	"30.388"	"28.739"	"30.328"	"41.366"	"46.069"	"74.218"	"81.546"	"68.212"	"60.707"	"61.652"	"51.653"	"39.53"
"1938"	"28.316"	"28.903"	"29.128"	"39.954"	"50.532"	"72.807"	"80.411"	"70.71"	"64.52"	"59.091"	"48.169"	"40.677"
"1939"	"30.388"	"28.002"	"29.128"	"42.666"	"51.807"	"71.787"	"78.094"	"71.495"	"63.142"	"60.261"	"54.07"	"38.279"
"1940"	"27.85"	"28.539"	"29.339"	"41.366"	"51.807"	"73.335"	"84.045"	"74.891"	"64.52"	"60.461"	"57.596"	"42.025"
"1941"	"31.594"	"31.21"	"33.174"	"46.172"	"56.182"	"75.419"	"79.287"	"72.778"	"66.928"	"64.063"	"54.07"	"39.659"
"1942"	"29.015"	"27.604"	"28.962"	"41.366"	"51.966"	"72.222"	"80.17"	"71.567"	"63.718"	"61.652"	"49.122"	"44.456"
"1943"	"31.594"	"26.42"	"29.019"	"42.62"	"52.844"	"76.473"	"80.411"	"70.278"	"65.339"	"60.831"	"53.887"	"39.477"
"1944"	"30.388"	"28.424"	"29.128"	"42.447"	"49.891"	"70.831"	"79.017"	"68.063"	"61.324"	"56.742"	"52.473"	"39.477"
"1945"	"29.015"	"28.702"	"28.748"	"40.649"	"51.35"	"67.033"	"78.708"	"70.485"	"61.957"	"58.301"	"54.07"	"39.724"
"1946"	"28.033"	"27.526"	"29.06"	"41.366"	"52.277"	"75.419"	"79.287"	"76.174"	"65.727"	"62.842"	"59.071"	"44.789"
"1947"	"33.977"	"30.966"	"32.508"	"44.847"	"50.273"	"69.667"	"81.61"	"72.376"	"65.359"	"62.194"	"47.139"	"40.677"
"1948"	"32.134"	"27.521"	"29.128"	"40.239"	"48.59"	"72.542"	"78.208"	"70.278"	"64.52"	"57.046"	"52.669"	"39.535"
"1949"	"27.814"	"26.42"	"28.133"	"40.935"	"51.807"	"75.419"	"81.377"	"72.778"	"64.52"	"61.832"	"49.324"	"35.975"
"1950"	"29.015"	"27.521"	"29.128"	"42.601"	"51.807"	"73.501"	"81.61"	"70.478"	"66.307"	"59.091"	"52.289"	"38.279"
"1951"	"31.579"	"28.658"	"29.128"	"41.269"	"49.763"	"70.421"	"76.811"	"72.778"	"61.956"	"59.091"	"54.07"	"36.979"
"1952"	"23.58"	"26.49"	"27.879"	"40.349"	"49.253"	"65.778"	"75.628"	"71.48"	"60.641"	"60.759"	"47.773"	"40.677"
"1953"	"31.538"	"26.42"	"28.649"	"40.065"	"48.86"	"69.499"	"77.81"	"70.278"	"60.877"	"60.29"	"49.437"	"37.188"
"1954"	"31.019"	"25.333"	"27.996"	"41.076"	"49.298"	"72.49"	"78.165"	"71.48"	"63.142"	"60.775"	"47.533"	"40.677"
"1955"	"31.93"	"29.021"	"30.145"	"43.478"	"54.134"	"84.044"	"80.523"	"73.646"	"65.462"	"63.21"	"52.808"	"38.475"
