
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.94"	"4.57"	"5.1"	"5.42"	"5.06"	"4.45"	"4.27"	"4.31"	"4.46"	"4.06"	"3.62"	"3.45"
"1902"	"3.83"	"4.42"	"5.15"	"5.42"	"5.13"	"4.5"	"4.27"	"4.4"	"4.4"	"4.03"	"3.63"	"3.52"
"1903"	"3.89"	"4.54"	"5.21"	"5.43"	"5.09"	"4.5"	"4.26"	"4.3"	"4.39"	"4.02"	"3.56"	"3.4"
"1904"	"3.78"	"4.39"	"5.09"	"5.38"	"5.01"	"4.34"	"4.19"	"4.28"	"4.43"	"4.06"	"3.59"	"3.45"
"1905"	"3.83"	"4.53"	"5.17"	"5.35"	"5.09"	"4.48"	"4.29"	"4.33"	"4.45"	"4.05"	"3.64"	"3.46"
"1906"	"3.92"	"4.58"	"5.13"	"5.55"	"5.21"	"4.45"	"4.25"	"4.28"	"4.36"	"4.03"	"3.62"	"3.48"
"1907"	"3.83"	"4.48"	"5.14"	"5.3"	"5.08"	"4.42"	"4.25"	"4.21"	"4.44"	"4.06"	"3.63"	"3.49"
"1908"	"3.86"	"4.44"	"5.08"	"5.45"	"5.06"	"4.46"	"4.18"	"4.26"	"4.41"	"4.06"	"3.59"	"3.44"
"1909"	"3.84"	"4.48"	"5.16"	"5.36"	"5.03"	"4.45"	"4.21"	"4.28"	"4.35"	"4.06"	"3.67"	"3.51"
"1910"	"3.87"	"4.45"	"5.15"	"5.41"	"5.15"	"4.45"	"4.26"	"4.26"	"4.32"	"4.02"	"3.56"	"3.41"
"1911"	"3.85"	"4.36"	"5.13"	"5.38"	"5.06"	"4.42"	"4.21"	"4.3"	"4.47"	"4.03"	"3.64"	"3.5"
"1912"	"3.8"	"4.57"	"5.22"	"5.45"	"5.19"	"4.45"	"4.24"	"4.31"	"4.42"	"4.02"	"3.61"	"3.44"
"1913"	"3.8"	"4.5"	"5.16"	"5.48"	"5.16"	"4.45"	"4.22"	"4.31"	"4.46"	"4.03"	"3.62"	"3.52"
"1914"	"3.81"	"4.53"	"5.19"	"5.42"	"5.15"	"4.53"	"4.25"	"4.3"	"4.46"	"4.04"	"3.64"	"3.53"
"1915"	"3.88"	"4.55"	"5.13"	"5.42"	"5.14"	"4.52"	"4.28"	"4.36"	"4.44"	"4.1"	"3.65"	"3.45"
"1916"	"3.8"	"4.48"	"5.17"	"5.48"	"5.11"	"4.36"	"4.27"	"4.29"	"4.38"	"4.03"	"3.6"	"3.43"
"1917"	"3.8"	"4.41"	"5.08"	"5.38"	"5.03"	"4.37"	"4.3"	"4.3"	"4.39"	"3.97"	"3.62"	"3.44"
"1918"	"3.81"	"4.32"	"5.02"	"5.37"	"4.95"	"4.42"	"4.29"	"4.31"	"4.42"	"4.12"	"3.69"	"3.5"
"1919"	"3.92"	"4.57"	"5.14"	"5.49"	"5.08"	"4.42"	"4.26"	"4.28"	"4.42"	"4.07"	"3.61"	"3.5"
"1920"	"3.83"	"4.53"	"5.22"	"5.39"	"5.14"	"4.45"	"4.27"	"4.3"	"4.42"	"4.06"	"3.62"	"3.44"
"1921"	"3.91"	"4.46"	"5.21"	"5.35"	"5.18"	"4.45"	"4.26"	"4.3"	"4.38"	"4.03"	"3.59"	"3.45"
"1922"	"3.86"	"4.43"	"5.16"	"5.42"	"5.06"	"4.45"	"4.22"	"4.3"	"4.4"	"4.03"	"3.6"	"3.4"
"1923"	"3.78"	"4.41"	"5.04"	"5.37"	"5.09"	"4.49"	"4.2"	"4.27"	"4.4"	"4.03"	"3.66"	"3.5"
"1924"	"3.85"	"4.53"	"5.14"	"5.48"	"5.19"	"4.45"	"4.24"	"4.31"	"4.4"	"4.05"	"3.61"	"3.44"
"1925"	"3.85"	"4.45"	"5.09"	"5.44"	"5.02"	"4.45"	"4.26"	"4.3"	"4.45"	"4.03"	"3.59"	"3.44"
