
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"29.657"	"30.995"	"31.783"	"33.297"	"31.751"	"29.561"	"28.725"	"28.951"	"29.944"	"29.339"	"28.333"	"27.285"
"1902"	"28.383"	"29.646"	"32.346"	"33.279"	"32.322"	"30.158"	"28.703"	"29.599"	"29.19"	"28.826"	"28.318"	"28.318"
"1903"	"29.186"	"30.651"	"32.648"	"33.494"	"32.005"	"29.947"	"28.515"	"28.723"	"29.062"	"28.812"	"27.482"	"26.918"
"1904"	"27.74"	"29.245"	"31.564"	"33.057"	"31.246"	"28.538"	"27.803"	"28.66"	"29.548"	"29.264"	"27.898"	"27.334"
"1905"	"28.438"	"30.588"	"32.283"	"32.663"	"31.957"	"29.858"	"29.039"	"29.097"	"29.721"	"29.113"	"28.515"	"27.499"
"1906"	"29.404"	"30.952"	"31.914"	"34.287"	"32.94"	"29.644"	"28.389"	"28.606"	"28.843"	"29.03"	"28.31"	"27.776"
"1907"	"28.293"	"30.261"	"32.041"	"32.403"	"31.833"	"29.384"	"28.438"	"28.006"	"29.606"	"29.327"	"28.32"	"27.806"
"1908"	"28.653"	"29.888"	"31.513"	"33.631"	"31.675"	"29.684"	"27.688"	"28.536"	"29.4"	"29.327"	"27.951"	"27.355"
"1909"	"28.453"	"30.215"	"32.404"	"32.879"	"31.464"	"29.536"	"27.926"	"28.647"	"28.911"	"29.202"	"28.636"	"28.29"
"1910"	"28.697"	"30.016"	"32.171"	"33.303"	"32.379"	"29.45"	"28.527"	"28.257"	"28.599"	"28.761"	"27.55"	"27.057"
"1911"	"28.55"	"28.991"	"31.927"	"33.099"	"31.742"	"29.238"	"27.991"	"28.656"	"29.984"	"28.965"	"28.554"	"27.986"
"1912"	"27.97"	"31.024"	"32.654"	"33.628"	"32.841"	"29.467"	"28.336"	"28.692"	"29.547"	"28.808"	"28.031"	"27.184"
"1913"	"27.832"	"30.389"	"32.351"	"33.713"	"32.568"	"29.684"	"28.079"	"28.81"	"29.946"	"28.907"	"28.184"	"28.33"
"1914"	"28.03"	"30.606"	"32.525"	"33.303"	"32.5"	"30.323"	"28.479"	"28.683"	"29.888"	"29.156"	"28.51"	"28.388"
"1915"	"29.014"	"30.725"	"31.981"	"33.296"	"32.282"	"30.095"	"28.849"	"29.441"	"29.753"	"29.588"	"28.506"	"27.457"
"1916"	"27.881"	"30.343"	"32.469"	"33.718"	"32.08"	"28.787"	"28.726"	"28.599"	"29.05"	"28.852"	"28.028"	"27.097"
"1917"	"27.885"	"29.546"	"31.38"	"33.033"	"31.445"	"28.765"	"29.041"	"28.857"	"29.047"	"28.341"	"28.247"	"27.359"
"1918"	"27.943"	"28.763"	"30.973"	"32.964"	"30.741"	"29.216"	"29.025"	"28.917"	"29.435"	"29.903"	"29.131"	"28.026"
"1919"	"29.448"	"30.93"	"32.016"	"33.914"	"31.91"	"29.301"	"28.449"	"28.639"	"29.544"	"29.342"	"28.176"	"28.081"
"1920"	"28.307"	"30.613"	"32.724"	"33.107"	"32.479"	"29.602"	"28.687"	"28.769"	"29.474"	"29.305"	"28.255"	"27.324"
"1921"	"29.101"	"30.027"	"32.612"	"32.666"	"32.612"	"29.716"	"28.515"	"28.735"	"28.983"	"29.052"	"27.868"	"27.32"
"1922"	"28.674"	"29.853"	"32.366"	"33.296"	"31.68"	"29.43"	"28.161"	"28.665"	"29.346"	"28.864"	"28.087"	"26.918"
