
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"16.77"	"16.884"	"22.42"	"98.342"	"168.239"	"207.099"	"155.064"	"107.013"	"214.309"	"111.097"	"184.098"	"34.061"
"1902"	"23.55"	"9.099"	"48.85"	"73.128"	"183.172"	"232.328"	"374.081"	"147.53"	"69.566"	"317.858"	"83.07"	"156.96"
"1903"	"1.291"	"2.606"	"0.196"	"27.741"	"252.517"	"244.342"	"229.572"	"230.865"	"216.035"	"160.882"	"238.772"	"61.625"
"1904"	"15.353"	"0.045"	"0.211"	"41.631"	"190.596"	"199.389"	"238.551"	"86.602"	"82.196"	"139.851"	"13.558"	"9.478"
"1905"	"1.013"	"28.875"	"13.141"	"86.286"	"127.035"	"262.416"	"102.382"	"132.045"	"66.334"	"231.167"	"60.176"	"0.926"
"1906"	"13.864"	"17.01"	"22.454"	"14.979"	"81.273"	"221.838"	"180.763"	"410.465"	"64.787"	"203.566"	"92.671"	"61.278"
"1907"	"8.005"	"3.45"	"40.714"	"143.123"	"88.098"	"215.518"	"258.895"	"159.498"	"104.712"	"160.082"	"151.64"	"40.158"
"1908"	"10.981"	"61.632"	"40.025"	"69.519"	"124.912"	"155.502"	"184.49"	"65.671"	"123.087"	"244.29"	"15.485"	"2.133"
"1909"	"32.566"	"19.586"	"0.218"	"120.652"	"240.236"	"169.428"	"142.2"	"315.206"	"82.861"	"212.45"	"55.665"	"9.264"
"1910"	"3.313"	"52.576"	"0.218"	"33.772"	"56.848"	"99.217"	"424.867"	"335.674"	"37.79"	"272.337"	"150.007"	"0.547"
"1911"	"1.284"	"12.504"	"39.868"	"50.719"	"105.375"	"480.845"	"357.867"	"37.678"	"84.61"	"214.077"	"135.12"	"58.281"
"1912"	"0.375"	"2.405"	"23.793"	"34.268"	"97.506"	"299.402"	"191.833"	"76.184"	"164.574"	"207.512"	"166.022"	"3.984"
"1913"	"0"	"0.045"	"0.941"	"44.366"	"97.867"	"111.565"	"264.655"	"90.762"	"70.944"	"178.138"	"85.466"	"48.417"
"1914"	"1.247"	"0.045"	"1.93"	"55.555"	"81.431"	"140.147"	"254.762"	"161.083"	"116.923"	"238.797"	"78.048"	"42.9"
"1915"	"10.604"	"15.004"	"62.87"	"69.215"	"104.423"	"413.997"	"220.262"	"185.761"	"158.895"	"122.644"	"220.065"	"14.051"
"1916"	"0"	"1.471"	"0.241"	"24.927"	"106.215"	"183.439"	"448.022"	"398.727"	"117.442"	"269.559"	"175.997"	"17.712"
"1917"	"4.988"	"24.332"	"45.511"	"33.403"	"122.904"	"181.086"	"79.54"	"278.325"	"159.427"	"125.607"	"168.578"	"12.157"
"1918"	"30.2"	"9.392"	"31.691"	"41.197"	"161.93"	"106.068"	"75.843"	"175.583"	"35.951"	"78.531"	"297.988"	"26.942"
"1919"	"12.692"	"0.045"	"6.803"	"60.207"	"138.35"	"189.497"	"123.71"	"112.198"	"221.401"	"128.926"	"170.214"	"59.548"
"1920"	"54.279"	"0.045"	"12.629"	"75.391"	"73.228"	"169.806"	"128.423"	"85.412"	"118.11"	"164.357"	"238.064"	"0.95"
"1921"	"42.471"	"0.045"	"0.196"	"136.779"	"101.37"	"175.716"	"323.765"	"206.582"	"52.228"	"175.512"	"114.41"	"13.057"
"1922"	"8.983"	"20.041"	"0.196"	"33.087"	"195.509"	"176.274"	"202.648"	"139.045"	"35.563"	"219.699"	"178.861"	"47"
"1923"	"31.231"	"7.98"	"55.509"	"64.932"	"54.584"	"193.117"	"111.513"	"251.111"	"158.757"	"137.804"	"34.449"	"34.305"
"1924"	"9.98"	"0.045"	"27.869"	"62.291"	"128.111"	"384.76"	"296.885"	"187.604"	"117.274"	"114.762"	"139.986"	"12.951"
"1925"	"14.166"	"8.178"	"22.151"	"47.272"	"152.115"	"235.015"	"124.439"	"192.515"	"109.118"	"92.173"	"183.403"	"100.088"
"1926"	"37.051"	"0.457"	"45.631"	"51.934"	"51.223"	"144.16"	"197.131"	"117.225"	"107.131"	"111.887"	"58.696"	"25.183"
"1927"	"3.157"	"11.032"	"11.144"	"63.507"	"142.92"	"275.93"	"232.018"	"104.612"	"101.198"	"89.903"	"85.685"	"13.287"
"1928"	"12.505"	"69.277"	"34.868"	"91.387"	"98.806"	"154.763"	"178.921"	"115.659"	"17.915"	"239.04"	"88.057"	"30.208"
"1929"	"3.27"	"15.64"	"1.791"	"181.728"	"47.256"	"261.916"	"133.106"	"73.396"	"127.77"	"160.611"	"107.459"	"31.818"
"1930"	"8.446"	"17.427"	"36.652"	"45.349"	"265.373"	"189.65"	"95.521"	"122.265"	"77.366"	"365.724"	"154.246"	"77.969"
"1931"	"1.454"	"0.045"	"0.531"	"106.183"	"124.337"	"130.678"	"189.97"	"171.555"	"117.961"	"98.317"	"162.056"	"155.401"
