
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"1.2406"	"3.1729"	"1.5556"	"3.1762"	"5.1094"	"9.8217"	"8.0667"	"5.9356"	"9.88"	"7.2386"	"7.2617"	"3.1051"
"1902"	"2.1987"	"1.8916"	"2.0214"	"3.0719"	"6.2785"	"9.8875"	"12.4624"	"7.3225"	"5.7289"	"12.8257"	"5.0201"	"5.3228"
"1903"	"0.8413"	"1.3459"	"0.1956"	"2.1843"	"7.8129"	"8.1183"	"10.4669"	"10.8714"	"9.4289"	"9.9621"	"8.4773"	"3.6474"
"1904"	"1.47"	"0.0447"	"0.2106"	"3.5619"	"7.0423"	"9.5041"	"11.2069"	"6.7884"	"4.88"	"8.7676"	"1.4523"	"1.5716"
"1905"	"0.9665"	"1.3346"	"1.9483"	"4.225"	"6.8314"	"8.8832"	"7.4003"	"9.6588"	"5.4268"	"11.8429"	"4.8838"	"0.7472"
"1906"	"2.0863"	"1.352"	"1.9597"	"2.1875"	"4.6582"	"9.6604"	"10.559"	"12.5711"	"6.1857"	"9.6143"	"5.7879"	"4.1542"
"1907"	"1.4718"	"0.7708"	"2.5664"	"5.8039"	"4.6729"	"12.4381"	"9.2429"	"9.547"	"8.402"	"10.1456"	"5.7955"	"3.0547"
"1908"	"1.3649"	"2.1381"	"2.275"	"3.106"	"6.5441"	"4.3317"	"9.0757"	"7.3524"	"7.0077"	"11.268"	"2.8101"	"1.2869"
"1909"	"2.2887"	"1.468"	"0.2181"	"5.6865"	"9.5321"	"9.3881"	"8.3166"	"13.8339"	"5.5578"	"9.4462"	"4.6059"	"1.3227"
"1910"	"0.7652"	"1.975"	"0.2181"	"3.5663"	"5.1546"	"8.7742"	"12.2044"	"14.0689"	"5.7077"	"12.6935"	"6.4472"	"0.5464"
"1911"	"1.127"	"1.2204"	"2.4409"	"3.9335"	"5.7171"	"14.4673"	"13.1203"	"4.738"	"5.9869"	"9.9061"	"6.5187"	"3.49"
"1912"	"0.3593"	"1.3346"	"2.1721"	"1.7388"	"3.8905"	"10.0664"	"8.1926"	"7.9859"	"7.3839"	"10.826"	"6.5288"	"1.0661"
"1913"	"0"	"0.0447"	"0.8497"	"2.2386"	"4.9216"	"6.1232"	"12.4228"	"6.4478"	"6.0949"	"8.8336"	"5.5266"	"3.8291"
"1914"	"1.056"	"0.0447"	"0.4241"	"6.1204"	"5.5566"	"6.6537"	"7.8188"	"5.5811"	"6.7761"	"12.2336"	"4.2954"	"4.3614"
"1915"	"1.5753"	"2.5954"	"3.0705"	"3.1785"	"6.2496"	"11.0785"	"9.2994"	"6.9114"	"8.4243"	"5.9074"	"7.3016"	"1.7538"
"1916"	"0"	"1.2426"	"0.2407"	"2.6806"	"6.536"	"8.2629"	"13.7197"	"9.1674"	"5.4423"	"10.8751"	"6.6672"	"1.8047"
"1917"	"1.2399"	"2.1921"	"2.7578"	"2.8053"	"5.1975"	"8.6142"	"9.1567"	"10.8971"	"10.3523"	"8.4979"	"7.1803"	"1.8377"
"1918"	"2.6937"	"1.8124"	"1.9893"	"3.1162"	"7.5552"	"6.4052"	"5.9333"	"4.157"	"5.0537"	"8.0925"	"9.6326"	"3.4737"
"1919"	"1.7235"	"0.0447"	"1.7543"	"3.3446"	"6.8137"	"10.1988"	"10.4017"	"7.2886"	"9.9828"	"8.2171"	"7.4419"	"2.921"
"1920"	"2.6935"	"0.0447"	"1.5487"	"4.5327"	"3.5274"	"9.0594"	"6.3953"	"8.1026"	"7.5865"	"7.4392"	"8.2733"	"0.6899"
"1921"	"3.6215"	"0.0447"	"0.1956"	"5.7959"	"2.5591"	"9.7816"	"10.4528"	"10.1239"	"3.9321"	"11.1897"	"5.9426"	"1.4158"
"1922"	"2.1719"	"1.7057"	"0.1956"	"2.8481"	"6.928"	"7.2678"	"9.3963"	"7.7547"	"4.1033"	"11.3447"	"8.2504"	"3.751"
"1923"	"2.9263"	"0.7712"	"3.1955"	"3.8385"	"4.5724"	"9.9691"	"7.78"	"11.6437"	"7.497"	"8.9022"	"4.6537"	"2.5957"
"1924"	"1.8838"	"0.0447"	"2.8699"	"4.3344"	"5.8231"	"9.8074"	"11.122"	"8.9008"	"8.0857"	"7.8336"	"5.946"	"1.8917"
"1925"	"1.3045"	"1.3346"	"2.826"	"3.6732"	"6.5582"	"7.2888"	"7.5906"	"9.0111"	"5.9385"	"8.3432"	"7.3704"	"4.2345"
"1926"	"3.2827"	"0.3885"	"2.4501"	"4.1287"	"6.6863"	"5.7594"	"9.5506"	"7.6244"	"8.1131"	"9.9244"	"4.8131"	"1.6528"
"1927"	"0.9623"	"1.3599"	"1.2698"	"3.7353"	"5.9564"	"10.878"	"8.7211"	"6.2468"	"6.976"	"7.5796"	"6.971"	"1.4422"
"1928"	"1.4223"	"3.1111"	"1.8774"	"3.2627"	"4.7055"	"6.2042"	"11.7195"	"8.6829"	"2.9295"	"13.5168"	"5.4358"	"3.2063"
"1929"	"1.2473"	"1.9062"	"0.7241"	"6.8827"	"5.0245"	"10.4621"	"7.1797"	"6.6789"	"8.1514"	"8.5498"	"6.5161"	"3.0288"
"1930"	"2.8583"	"2.1189"	"2.1152"	"2.7536"	"9.0853"	"7.8501"	"7.6421"	"7.5081"	"6.3443"	"14.5586"	"7.1819"	"3.7157"
"1931"	"0.7348"	"0.0447"	"0.5314"	"4.1245"	"3.7452"	"6.0292"	"8.1748"	"8.1443"	"6.7633"	"6.8496"	"6.2414"	"4.1457"
"1932"	"0.1416"	"1.5626"	"0.8392"	"4.5227"	"9.1169"	"5.8824"	"8.9204"	"12.1539"	"6.2114"	"13.8105"	"7.0524"	"2.0794"
