
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"3.66"	"4.34"	"4.93"	"5.34"	"5.92"	"5.83"	"5.52"	"5.3"	"5.02"	"4.19"	"3.45"	"3.17"
"1902"	"3.54"	"4.16"	"4.98"	"5.36"	"5.97"	"5.8"	"5.54"	"5.3"	"4.97"	"4.12"	"3.47"	"3.22"
"1903"	"3.6"	"4.32"	"4.97"	"5.34"	"5.78"	"5.69"	"5.48"	"5.26"	"4.91"	"4.16"	"3.41"	"3.16"
"1904"	"3.54"	"4.16"	"4.93"	"5.39"	"5.81"	"5.76"	"5.46"	"5.34"	"5.08"	"4.18"	"3.46"	"3.17"
"1905"	"3.47"	"4.26"	"5.07"	"5.3"	"5.84"	"5.87"	"5.66"	"5.34"	"5.11"	"4.16"	"3.47"	"3.16"
"1906"	"3.59"	"4.38"	"4.91"	"5.45"	"6.01"	"5.72"	"5.56"	"5.2"	"4.99"	"4.17"	"3.47"	"3.21"
"1907"	"3.53"	"4.2"	"5"	"5.28"	"5.99"	"5.78"	"5.51"	"5.37"	"5.08"	"4.16"	"3.44"	"3.19"
"1908"	"3.55"	"4.19"	"4.91"	"5.46"	"5.97"	"5.86"	"5.53"	"5.32"	"4.91"	"4.16"	"3.38"	"3.17"
"1909"	"3.54"	"4.23"	"5.01"	"5.32"	"5.84"	"5.72"	"5.44"	"5.2"	"4.89"	"4.24"	"3.52"	"3.24"
"1910"	"3.57"	"4.22"	"4.92"	"5.39"	"5.98"	"5.71"	"5.46"	"5.2"	"4.96"	"4.17"	"3.39"	"3.17"
"1911"	"3.57"	"4.13"	"4.97"	"5.35"	"5.89"	"5.76"	"5.59"	"5.38"	"5.05"	"4.17"	"3.47"	"3.22"
"1912"	"3.47"	"4.29"	"5.07"	"5.34"	"5.99"	"5.86"	"5.54"	"5.34"	"5.04"	"4.18"	"3.46"	"3.16"
"1913"	"3.52"	"4.28"	"5.05"	"5.41"	"5.91"	"5.84"	"5.49"	"5.41"	"5.07"	"4.12"	"3.42"	"3.23"
"1914"	"3.53"	"4.21"	"5.02"	"5.34"	"5.96"	"5.87"	"5.53"	"5.27"	"4.95"	"4.12"	"3.45"	"3.24"
"1915"	"3.57"	"4.27"	"5.01"	"5.34"	"6"	"5.77"	"5.47"	"5.39"	"5"	"4.25"	"3.5"	"3.21"
"1916"	"3.52"	"4.25"	"4.92"	"5.39"	"5.86"	"5.73"	"5.42"	"5.3"	"5"	"4.17"	"3.46"	"3.17"
"1917"	"3.52"	"4.2"	"4.91"	"5.34"	"5.81"	"5.58"	"5.48"	"5.23"	"4.89"	"4.14"	"3.47"	"3.16"
"1918"	"3.52"	"4.13"	"4.88"	"5.31"	"5.8"	"5.67"	"5.6"	"5.39"	"5.02"	"4.24"	"3.47"	"3.23"
"1919"	"3.67"	"4.33"	"4.92"	"5.39"	"5.94"	"5.73"	"5.46"	"5.37"	"4.96"	"4.18"	"3.48"	"3.22"
"1920"	"3.57"	"4.3"	"5.01"	"5.34"	"5.94"	"5.78"	"5.63"	"5.36"	"5.08"	"4.2"	"3.47"	"3.17"
"1921"	"3.62"	"4.18"	"4.99"	"5.34"	"6.09"	"5.84"	"5.44"	"5.3"	"4.98"	"4.12"	"3.4"	"3.17"
"1922"	"3.54"	"4.18"	"4.98"	"5.41"	"5.91"	"5.79"	"5.52"	"5.36"	"5.04"	"4.12"	"3.45"	"3.15"
"1923"	"3.49"	"4.21"	"4.94"	"5.35"	"5.91"	"5.87"	"5.59"	"5.41"	"5"	"4.16"	"3.47"	"3.22"
"1924"	"3.54"	"4.23"	"4.97"	"5.42"	"5.96"	"5.83"	"5.5"	"5.36"	"4.91"	"4.19"	"3.43"	"3.17"
