
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"29.963"	"31.285"	"31.872"	"34.352"	"36.906"	"37.136"	"35.217"	"34.107"	"33.814"	"31.828"	"29.238"	"27.873"
"1902"	"28.534"	"29.314"	"32.348"	"34.69"	"37.472"	"36.968"	"35.456"	"34.23"	"33.327"	"30.951"	"29.327"	"28.592"
"1903"	"29.218"	"30.924"	"32.318"	"34.378"	"35.665"	"35.923"	"34.832"	"33.834"	"32.843"	"31.404"	"28.878"	"27.947"
"1904"	"28.562"	"29.348"	"31.959"	"34.843"	"35.992"	"36.667"	"34.843"	"34.52"	"34.201"	"31.65"	"29.463"	"28.059"
"1905"	"27.697"	"30.481"	"33.073"	"34.083"	"36.294"	"37.486"	"36.605"	"34.486"	"34.546"	"31.438"	"29.611"	"27.928"
"1906"	"29.136"	"31.536"	"31.734"	"35.214"	"37.686"	"36.247"	"35.572"	"33.442"	"33.504"	"31.601"	"29.378"	"28.324"
"1907"	"28.379"	"29.758"	"32.468"	"33.955"	"37.511"	"36.84"	"35.172"	"34.848"	"34.189"	"31.502"	"29.18"	"28.218"
"1908"	"28.718"	"29.68"	"31.716"	"35.304"	"37.277"	"37.381"	"35.267"	"34.352"	"32.819"	"31.502"	"28.443"	"27.82"
"1909"	"28.575"	"30.147"	"32.535"	"34.164"	"36.283"	"36.208"	"34.579"	"33.343"	"32.666"	"32.197"	"30.155"	"28.871"
"1910"	"28.875"	"30.104"	"31.77"	"34.841"	"37.335"	"36.147"	"34.685"	"33.375"	"33.109"	"31.573"	"28.651"	"27.789"
"1911"	"28.871"	"29.055"	"32.247"	"34.597"	"36.772"	"36.639"	"35.757"	"34.904"	"34.009"	"31.586"	"29.577"	"28.37"
"1912"	"27.835"	"30.749"	"33.147"	"34.515"	"37.586"	"37.347"	"35.483"	"34.53"	"33.998"	"31.673"	"29.33"	"27.924"
"1913"	"28.458"	"30.637"	"32.947"	"35.101"	"36.91"	"37.199"	"35.111"	"35.203"	"34.154"	"31.15"	"28.984"	"28.411"
"1914"	"28.43"	"29.859"	"32.714"	"34.362"	"37.285"	"37.434"	"35.435"	"33.885"	"33.089"	"31.102"	"29.333"	"28.721"
"1915"	"29.077"	"30.588"	"32.653"	"34.455"	"37.668"	"36.72"	"34.837"	"35.024"	"33.619"	"32.345"	"29.825"	"28.356"
"1916"	"28.324"	"30.393"	"31.893"	"34.973"	"36.454"	"36.308"	"34.395"	"34.103"	"33.598"	"31.59"	"29.531"	"28.009"
"1917"	"28.409"	"29.735"	"31.681"	"34.395"	"36.043"	"34.963"	"35.04"	"33.646"	"32.62"	"31.278"	"29.477"	"27.871"
